Date,iShares Treasury Floating Rate BondEtf_Open_average,iShares Treasury Floating Rate BondEtf_Open_max,iShares Treasury Floating Rate BondEtf_Open_min,iShares Treasury Floating Rate BondEtf_Open_volatility,iShares Treasury Floating Rate BondEtf_Open_change,iShares Treasury Floating Rate BondEtf_High_average,iShares Treasury Floating Rate BondEtf_High_max,iShares Treasury Floating Rate BondEtf_High_min,iShares Treasury Floating Rate BondEtf_High_volatility,iShares Treasury Floating Rate BondEtf_High_change,iShares Treasury Floating Rate BondEtf_Low_average,iShares Treasury Floating Rate BondEtf_Low_max,iShares Treasury Floating Rate BondEtf_Low_min,iShares Treasury Floating Rate BondEtf_Low_volatility,iShares Treasury Floating Rate BondEtf_Low_change,iShares Treasury Floating Rate BondEtf_Close_average,iShares Treasury Floating Rate BondEtf_Close_max,iShares Treasury Floating Rate BondEtf_Close_min,iShares Treasury Floating Rate BondEtf_Close_volatility,iShares Treasury Floating Rate BondEtf_Close_change
2017-04-23,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2017-04-30,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2017-05-07,50.17,50.17,50.17,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2017-05-14,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2017-05-21,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2017-05-28,50.17,50.17,50.17,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2017-06-04,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2017-06-11,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2017-06-18,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2017-06-25,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2017-07-02,50.0,50.0,50.0,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2017-07-09,50.18,50.18,50.18,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2017-07-16,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2017-07-23,50.2,50.2,50.2,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2017-07-30,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2017-08-06,50.19,50.19,50.19,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2017-08-13,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2017-08-20,50.2,50.2,50.2,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2017-08-27,50.15,50.15,50.15,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2017-09-03,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2017-09-10,50.16,50.16,50.16,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2017-09-17,50.2,50.2,50.2,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2017-09-24,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2017-10-01,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2017-10-08,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2017-10-15,50.25,50.25,50.25,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2017-10-22,50.24,50.24,50.24,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2017-10-29,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2017-11-05,50.24,50.24,50.24,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2017-11-12,50.21,50.21,50.21,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2017-11-19,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2017-11-26,50.24,50.24,50.24,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2017-12-03,50.18,50.18,50.18,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2017-12-10,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2017-12-17,50.19,50.19,50.19,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2017-12-24,50.2,50.2,50.2,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2017-12-31,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.22,50.22,50.22,0.0,0.0
