Date,CEI_stock_Open_average,CEI_stock_Open_max,CEI_stock_Open_min,CEI_stock_Open_volatility,CEI_stock_Open_change,CEI_stock_High_average,CEI_stock_High_max,CEI_stock_High_min,CEI_stock_High_volatility,CEI_stock_High_change,CEI_stock_Low_average,CEI_stock_Low_max,CEI_stock_Low_min,CEI_stock_Low_volatility,CEI_stock_Low_change,CEI_stock_Close_average,CEI_stock_Close_max,CEI_stock_Close_min,CEI_stock_Close_volatility,CEI_stock_Close_change,CEI_stock_Volume_average,CEI_stock_Volume_max,CEI_stock_Volume_min,CEI_stock_Volume_volatility,CEI_stock_Volume_change
2016-05-08,91.95,97.25,89.0,8.25,1.75,95.8,102.5,91.25,11.25,1.75,89.85,93.75,87.5,6.25,0.5,91.8,95.25,87.5,7.75,2.5,134,255,45,210,-160
2016-05-15,87.65,91.25,82.25,9.0,0.75,92.05,95.0,89.25,5.75,-3.75,85.4,89.75,82.25,7.5,7.25,87.8,90.5,82.75,7.75,7.0,101,186,29,157,-134
2016-05-22,97.9,114.0,90.0,24.0,11.0,104.55,122.25,92.5,29.75,8.75,94.0,103.0,87.5,15.5,7.5,98.15,104.75,91.25,13.5,7.0,897,2483,89,2394,407
2016-05-29,95.0,97.0,93.0,4.0,-2.25,97.75,101.25,95.5,5.75,-5.0,93.5,96.0,91.25,4.75,-4.75,95.5,98.0,92.75,5.25,-5.25,175,219,136,83,58
2016-06-05,98.15,101.75,93.25,8.5,7.75,108.55,122.25,98.0,24.25,7.75,97.25,100.75,92.75,8.0,5.5,99.45,102.25,93.0,9.25,9.25,1106,2811,184,2627,785
2016-06-12,96.9,100.25,91.75,8.5,-0.5,100.7,107.5,97.0,10.5,7.25,92.45,95.0,89.0,6.0,-1.25,97.7,101.0,92.0,9.0,1.75,481,1139,122,1017,-547
2016-06-19,101.1,106.0,96.5,9.5,-4.0,102.75,106.0,97.75,8.25,-6.0,97.35,100.5,91.0,9.5,-9.0,99.9,103.0,94.75,8.25,-7.75,345,578,134,444,217
2016-06-26,98.0,102.5,95.25,7.25,-2.5,99.15,102.5,95.5,7.0,-2.25,93.85,97.0,89.75,7.25,4.0,96.55,102.0,93.0,9.0,2.25,223,380,108,272,-209
2016-07-03,93.0625,96.0,88.75,7.25,-7.25,94.4375,96.0,93.5,2.5,-2.0,90.25,94.0,87.5,6.5,-6.5,91.0625,94.5,88.5,6.0,-4.5,85,117,57,60,7
2016-07-10,95.1,101.25,91.5,9.75,3.75,96.65,101.25,91.5,9.75,4.75,92.0,93.25,90.0,3.25,3.0,94.0,98.75,90.0,8.75,3.0,141,427,26,401,-12
2016-07-17,92.85,94.5,91.75,2.75,0.0,97.3,105.75,93.0,12.75,8.5,91.1,92.5,90.5,2.0,1.75,93.15,97.25,90.5,6.75,-1.75,300,1000,60,940,766
2016-07-24,89.0,90.0,88.0,2.0,-1.75,91.5,96.25,88.0,8.25,-8.25,87.75,89.5,86.25,3.25,-3.25,89.45,91.25,88.0,3.25,-3.25,214,490,65,425,-381
2016-07-31,86.95,91.0,84.5,6.5,4.25,92.85,97.0,88.25,8.75,8.75,85.55,90.0,82.75,7.25,7.25,87.95,91.5,83.0,8.5,8.0,270,462,168,294,33
2016-08-07,89.4,91.75,87.5,4.25,1.25,92.7,95.0,89.5,5.5,-1.5,87.3,88.75,86.25,2.5,0.0,89.05,90.25,86.25,4.0,-0.25,236,499,109,390,78
2016-08-14,90.35,91.25,89.0,2.25,-1.25,92.85,96.0,90.75,5.25,-0.5,86.95,89.0,85.0,4.0,3.25,88.15,89.25,86.75,2.5,0.0,421,607,121,486,-369
2016-08-21,97.65,115.0,88.5,26.5,12.75,100.45,119.75,90.75,29.0,12.25,89.35,91.25,87.5,3.75,2.5,92.15,94.5,87.5,7.0,1.5,2257,5981,181,5800,3689
2016-08-28,90.85,92.75,88.0,4.75,-4.0,91.35,94.0,88.5,5.5,-5.5,88.4,90.0,85.75,4.25,-4.25,90.7,93.25,88.25,5.0,-4.75,263,370,102,268,48
2016-09-04,90.3125,95.5,88.25,7.25,6.5,93.6875,98.0,89.25,8.75,8.25,87.75,91.5,85.75,5.75,5.25,92.1875,96.75,88.75,8.0,5.75,1212,3582,225,3357,488
2016-09-11,90.15,93.25,87.75,5.5,-5.25,92.5,95.75,91.0,4.75,-3.5,87.15,89.0,85.25,3.75,-2.75,89.9,93.5,85.75,7.75,-1.25,475,917,185,732,321
2016-09-18,87.95,92.25,86.0,6.25,-6.0,88.45,92.25,86.25,6.0,-6.0,85.65,87.5,82.75,4.75,-2.5,86.2,87.5,83.75,3.75,-1.75,247,379,120,259,2
2016-09-25,84.95,87.25,80.25,7.0,-7.0,85.35,87.25,80.25,7.0,-7.0,81.5,87.25,73.5,13.75,-13.75,82.45,87.25,75.25,12.0,-12.0,460,1003,5,998,760
2016-10-02,71.3,79.5,65.0,14.5,-11.0,72.3,79.5,65.0,14.5,-12.75,65.3,73.5,56.75,16.75,-16.75,66.15,74.25,58.5,15.75,-15.75,487,833,111,722,722
2016-10-09,53.45,60.0,45.75,14.25,-11.25,57.55,71.25,45.75,25.5,-15.0,48.0,56.5,41.0,15.5,-12.75,51.15,59.5,44.5,15.0,-15.0,1493,4739,355,4384,-590
2016-10-16,46.65,57.5,41.5,16.0,2.75,50.1,59.75,42.5,17.25,3.75,41.35,44.25,38.25,6.0,1.25,45.65,55.0,41.25,13.75,0.75,6052,11802,901,10901,4013
2016-10-23,38.55,46.0,34.0,12.0,-9.75,40.45,46.0,36.25,9.75,-8.75,35.0,40.0,32.25,7.75,-7.75,36.25,40.25,33.0,7.25,-7.25,3408,4737,1927,2810,-1782
2016-10-30,29.45,33.75,26.0,7.75,-7.0,29.75,33.75,26.75,7.0,-7.0,26.4966,29.0,24.983,4.0169999999999995,-4.0,27.85,31.75,26.0,5.75,-5.75,799,1086,296,790,-131
2016-11-06,25.3,27.75,22.503,5.247,-2.75,26.35,27.75,25.0,2.75,-2.25,23.0506,24.5,21.5,3.0,-1.7469999999999999,24.2226,25.5,22.57,2.9299999999999997,-1.668999999999997,1075,1478,455,1023,-608
2016-11-13,31.65,35.75,25.0,10.75,10.5,36.85,48.0,25.25,22.75,10.75,28.96,33.25,23.55,9.7,7.449999999999999,34.702,47.0,24.51,22.49,11.489999999999998,6018,12579,860,11719,3398
2016-11-20,33.5625,36.25,31.25,5.0,-5.0,33.6875,36.25,31.75,4.5,-4.5,30.4375,32.75,28.75,4.0,-4.0,32.125,34.0,30.5,3.5,-3.5,1245,1540,940,600,-469
2016-11-27,873.75,1043.75,750.0,293.75,237.5,938.625,1086.875,775.0,311.875,212.5,798.75,856.25,737.5,118.75,112.5,877.5,1000.0,750.0,250.0,118.75,330,800,53,747,126
2016-12-04,847.5,906.25,787.5,118.75,-118.75,873.75,931.25,806.25,125.0,-68.75,788.75,812.5,756.25,56.25,-56.25,838.75,868.75,793.75,75.0,-12.5,98,109,84,25,0
2016-12-11,838.75,937.5,793.75,143.75,-143.75,850.0,943.75,812.5,131.25,-131.25,793.75,812.5,787.5,25.0,-18.75,813.75,831.25,787.5,43.75,-25.0,101,333,5,328,-328
2016-12-18,822.5,868.75,793.75,75.0,0.0,850.0,918.75,793.75,125.0,-56.25,786.25,825.0,762.5,62.5,-31.25,812.5,843.75,781.25,62.5,-37.5,83,130,23,107,-53
2016-12-25,801.5625,825.0,781.25,43.75,-18.75,815.625,825.0,812.5,12.5,0.0,778.125,793.75,762.5,31.25,-25.0,795.3125,812.5,775.0,37.5,-37.5,27,41,21,20,-6
2017-01-01,815.625,850.0,787.5,62.5,-62.5,828.125,900.0,787.5,112.5,-112.5,745.3125,793.75,668.75,125.0,-125.0,765.625,812.5,693.75,118.75,-118.75,123,197,54,143,-38
2017-01-08,656.25,668.75,637.5,31.25,-31.25,676.25,712.5,637.5,75.0,-37.5,631.25,650.0,612.5,37.5,6.25,643.75,656.25,631.25,25.0,6.25,119,153,23,130,-128
2017-01-15,614.0625,643.75,562.562,81.18799999999999,-81.18799999999999,628.1095,643.75,618.75,25.0,-25.0,574.21875,606.25,525.0,81.25,-81.25,602.15625,637.5,562.5,75.0,-44.125,75,121,46,75,24
2017-01-22,547.8748,593.812,525.75,68.06200000000001,-62.5,553.8124,593.812,531.312,62.5,-62.5,506.39979999999997,531.25,456.31199999999995,74.93800000000005,-19.313000000000045,529.6502,543.75,523.875,19.875,2.5,63,110,18,92,-54
2017-01-29,486.09999999999997,543.688,468.06199999999995,75.62600000000003,-74.93799999999999,494.5374,543.688,468.06199999999995,75.62600000000003,-74.81299999999999,461.25,481.25,450.0,31.25,-25.0,464.675,487.5,450.06199999999995,37.438000000000045,-31.25,36,57,16,41,-36
2017-02-05,474.6502,574.938,429.625,145.313,112.43799999999999,524.3876,681.25,431.25,250.0,212.31199999999995,433.35,531.25,362.5,168.75,100.0,490.8376,588.0,413.125,174.875,141.125,112,221,18,203,168
2017-02-12,508.9126,556.25,444.75,111.5,-111.5,511.2126,562.5,450.0,112.5,-112.5,465.1,500.5,425.0,75.5,-75.0,485.31280000000004,525.0,446.25,78.75,-78.75,59,114,29,85,-85
2017-02-19,450.6095,468.75,427.43800000000005,41.311999999999955,6.25,495.3125,562.5,443.75,118.75,81.25,435.71875,462.31199999999995,412.5,49.811999999999955,21.686999999999955,462.5,518.75,431.25,87.5,62.5,228,752,34,718,686
2017-02-26,459.0,518.75,424.93800000000005,93.81199999999995,-93.81199999999995,463.7624,518.75,437.5,81.25,-81.25,430.925,452.31199999999995,410.375,41.936999999999955,-32.311999999999955,442.2624,475.0,425.0,50.0,-49.938000000000045,63,110,23,87,-87
2017-03-05,397.9124,433.18800000000005,356.25,76.93800000000005,-51.87600000000009,405.4,433.18800000000005,375.0,58.188000000000045,-51.87600000000009,377.9,407.625,356.25,51.375,-38.875,385.3876,409.43800000000005,368.75,40.688000000000045,-38.87600000000009,48,69,38,31,-4
2017-03-12,379.4502,385.375,375.0,10.375,-4.686999999999955,380.7002,385.375,375.0,10.375,-4.686999999999955,365.525,380.68800000000005,343.81199999999995,36.87600000000009,36.87600000000009,366.7626,380.68800000000005,350.0,30.688000000000045,30.688000000000045,26,53,3,50,-25
2017-03-19,330.22479999999996,375.06199999999995,294.812,80.24999999999994,-62.62399999999997,334.39979999999997,375.06199999999995,312.5,62.561999999999955,-62.561999999999955,304.60020000000003,334.43800000000005,287.625,46.813000000000045,-46.813000000000045,308.75,337.5,293.75,43.75,-43.75,42,87,17,70,-34
2017-03-26,312.9876,387.56199999999995,231.25,156.31199999999995,93.87399999999997,366.2128,481.25,293.688,187.562,112.56200000000001,283.18739999999997,351.56199999999995,218.75,132.81199999999995,132.81199999999995,328.6128,387.5,249.938,137.562,118.25000000000006,100,155,30,125,19
2017-04-02,322.8374,382.875,256.312,126.56299999999999,-126.56299999999999,326.7,387.5,256.312,131.188,-131.188,281.5,350.0,225.0,125.0,-125.0,287.5998,354.375,242.562,111.81299999999999,-111.81299999999999,67,91,51,40,-25
2017-04-09,238.85925,250.062,224.25,25.812000000000012,-4.125,260.5,281.25,242.625,38.625,7.375,225.95325,250.0,211.25,38.75,8.187999999999988,238.28125,256.312,215.625,40.68700000000001,9.375,83,98,71,27,27
2017-04-16,212.2124,231.188,193.812,37.375999999999976,-13.187999999999988,220.0124,242.5,206.25,36.25,-24.5,196.25,212.5,187.5,25.0,-25.0,203.125,218.688,193.812,24.875999999999976,-15.562999999999988,62,117,2,115,12
2017-04-23,224.825,268.75,189.125,79.625,60.875,248.25,300.0,203.438,96.56200000000001,59.06200000000001,200.525,212.5,189.125,23.375,10.875,223.6,269.188,200.0,69.18799999999999,19.062000000000012,125,223,23,200,162
2017-04-30,194.8876,225.062,168.75,56.31200000000001,-56.31200000000001,194.8876,225.062,168.75,56.31200000000001,-56.31200000000001,173.2124,193.75,151.562,42.18799999999999,-36.75,180.6002,196.875,162.438,34.43700000000001,-34.43700000000001,138,329,13,316,-74
2017-05-07,161.52519999999998,171.812,155.688,16.124000000000024,-1.0620000000000118,169.3124,182.688,159.562,23.125999999999976,1.1870000000000118,152.275,157.625,145.625,12.0,-5.5,161.6498,168.125,156.25,11.875,0.0,71,134,11,123,76
2017-05-14,160.2124,175.0,154.0,21.0,-5.375,163.3374,175.0,154.0,21.0,-21.0,148.8376,153.75,143.938,9.812000000000012,-4.437999999999988,152.725,158.75,148.125,10.625,-8.187999999999988,35,63,3,60,-60
2017-05-21,153.3,156.562,148.125,8.437000000000012,-8.437000000000012,155.1372,156.812,149.812,7.0,-6.75,149.75,153.125,146.875,6.25,-3.125,153.0372,156.812,149.812,7.0,-6.312999999999988,31,62,12,50,-5
2017-05-28,133.23425,151.25,116.06200000000001,35.18799999999999,-35.18799999999999,133.96875,151.25,119.0,32.25,-32.25,119.23425,131.25,112.5,18.75,-16.875,122.5625,137.5,114.06200000000001,23.437999999999988,-20.062000000000012,70,113,41,72,4
2017-06-04,130.4,137.5,122.125,15.375,9.125,137.8374,150.0,125.0,25.0,15.562000000000012,120.425,125.0,118.75,6.25,0.0,129.1998,132.562,125.0,7.562000000000012,4.375,68,115,37,78,78
2017-06-11,2498.125,3125.0,131.25,2993.75,2978.125,2532.9376,3217.188,135.0,3082.188,2974.375,2406.9748,3000.0,120.81200000000001,2879.188,2847.938,2488.5502,3125.0,128.688,2996.312,2907.25,15,42,1,41,-28
2017-06-18,2984.6876,3281.25,2656.25,625.0,250.0,3570.3126,4453.125,2867.188,1585.937,1421.875,2840.0,3128.125,2578.125,550.0,275.0,3148.75,3864.062,2578.125,1285.937,878.1239999999998,10,24,1,23,23
2017-06-25,3937.5002,4429.688,3593.75,835.9380000000001,-757.8130000000001,4363.7502,4843.75,3773.438,1070.312,-156.25,3572.1874,3906.25,3328.125,578.125,-234.375,3803.125,4031.25,3515.625,515.625,125.0,10,17,3,14,-4
2017-07-02,4102.344,4531.25,3625.0,906.25,-906.25,4235.1565,4531.25,3967.188,564.0619999999999,-518.75,3789.0625,4167.188,3598.438,568.75,-565.6260000000002,3973.04675,4414.062,3668.75,745.3119999999999,-585.9369999999999,6,10,4,6,1
2017-07-09,4563.7498,5164.062,3750.0,1414.062,1414.062,5143.75,5468.75,4671.875,796.875,46.875,4093.75,4515.625,3609.375,906.25,906.25,4632.5,5070.312,4062.5,1007.8119999999999,-321.8739999999998,17,26,10,16,-8
2017-07-16,5779.375,6406.25,5156.25,1250.0,-309.375,6112.1874,7014.062,5156.25,1857.812,-1250.0,5116.25,5782.812,4304.688,1478.1239999999998,-546.8739999999998,5534.6874,6250.0,4539.062,1710.938,-1710.938,20,36,4,32,-21
2017-07-23,4037.5,4226.562,3750.0,476.5619999999999,-468.75,4352.8126,4617.188,4062.5,554.6880000000001,115.625,3857.5,4140.625,3639.062,501.5630000000001,-234.375,4042.5002,4140.625,3885.938,254.6869999999999,0.0,5,7,1,6,1
2017-07-30,3721.875,4062.5,3281.25,781.25,-781.25,3785.0,4062.5,3467.188,595.3119999999999,-595.3119999999999,3404.9998,3820.312,3203.125,617.1869999999999,-617.1869999999999,3625.625,3878.125,3437.5,440.625,-440.625,5,9,3,6,1
2017-08-06,3102.1876,3359.375,2968.75,390.625,-390.625,3230.0,3359.375,3090.625,268.75,-65.625,2950.6248,2970.312,2890.625,79.6869999999999,-1.5619999999998981,3093.7594,3204.688,2967.2340000000004,237.45399999999972,1.5630000000001019,9,23,1,22,0
2017-08-13,3000.3126,3204.688,2734.375,470.3130000000001,-470.3130000000001,3083.75,3264.062,2890.625,373.4369999999999,-373.4369999999999,2811.5628,2992.188,2679.688,312.5,-312.5,2932.7436,3125.0,2796.531,328.46900000000005,-312.5,4,6,3,3,-2
2017-08-20,3496.875,4078.125,2953.125,1125.0,484.375,3899.0624,4359.375,3453.125,906.25,-906.25,3149.375,3296.875,2900.0,396.875,384.375,3545.6562,3968.75,3315.625,653.125,-653.125,15,28,3,25,-23
2017-08-27,3159.375,3281.25,3046.875,234.375,-218.75,3323.125,3515.625,3125.0,390.625,-165.625,3085.9376,3173.438,3031.25,142.1880000000001,-110.9380000000001,3185.9374,3312.5,3039.062,273.4380000000001,-107.8119999999999,4,8,3,5,5
2017-09-03,3310.156,3437.5,3125.0,312.5,-195.3119999999999,3411.7185,3570.312,3250.0,320.3119999999999,-320.3119999999999,3167.96875,3250.0,3109.375,140.625,-125.0,3318.35925,3507.812,3196.875,310.9369999999999,-257.8119999999999,7,14,2,12,-12
2017-09-10,2865.9374,3140.625,2656.25,484.375,-484.375,2999.0622,3359.375,2795.312,564.0630000000001,-564.0630000000001,2765.625,3123.438,2500.0,623.4380000000001,-545.3130000000001,2894.0626,3203.125,2656.25,546.875,-546.875,12,32,1,31,16
2017-09-17,2825.0002,3046.875,2703.125,343.75,-29.686999999999898,2855.9376,3078.125,2718.75,359.375,78.125,2613.1248,2781.25,2501.562,279.6880000000001,110.9369999999999,2724.375,2859.375,2595.312,264.0630000000001,150.0,9,15,5,10,2
2017-09-24,2648.4376,2810.938,2528.125,282.8130000000001,-282.8130000000001,2754.3752,2968.75,2656.25,312.5,157.8119999999999,2558.125,2578.125,2528.125,50.0,-50.0,2585.625,2625.0,2568.75,56.25,46.875,8,17,3,14,6
2017-10-01,107905.9376,148437.5,2810.938,145626.562,145626.562,109437.1876,155703.125,2810.938,152892.187,152892.187,100696.875,128984.375,2625.0,126359.375,126281.25,102927.1874,136718.75,2682.812,134035.938,134035.938,17,37,5,32,26
2017-10-08,133140.625,135390.625,132031.25,3359.375,-2734.375,135000.0,141328.125,132031.25,9296.875,-2734.375,125000.0,130859.375,113281.25,17578.125,-7812.5,129860.9376,132421.875,126328.125,6093.75,-5632.812999999995,10,16,6,10,-2
2017-10-15,122593.75,127421.875,118906.25,8515.625,7421.875,125062.5,129687.5,120937.5,8750.0,4218.75,117437.5,119531.25,113671.875,5859.375,2265.625,119406.25,123046.875,114531.25,8515.625,2578.125,14,26,3,23,10
2017-10-22,120000.0,125000.0,113281.25,11718.75,-11718.75,121796.875,126562.5,115390.625,11171.875,-11171.875,114046.875,117109.375,109375.0,7734.375,-7734.375,115578.125,119375.0,111328.125,8046.875,-8046.875,10,18,8,10,-9
2017-10-29,128859.375,142187.5,122031.25,20156.25,17187.5,136625.0,144453.125,127343.75,17109.375,3515.625,122984.375,130468.75,117265.625,13203.125,9375.0,126593.75,132343.75,121875.0,10468.75,9296.875,19,49,1,48,25
2017-11-05,152968.75,194531.25,132812.5,61718.75,35156.25,194562.5,311718.75,135703.125,176015.625,38906.25,138359.375,153828.125,125078.125,28750.0,28437.5,157968.75,215859.375,125781.25,90078.125,24843.75,15,41,1,40,-3
2017-11-12,165640.625,171953.125,156250.0,15703.125,7812.5,177781.25,198437.5,164062.5,34375.0,-7812.5,157656.25,163281.25,153125.0,10156.25,1171.875,163843.75,171484.375,160000.0,11484.375,-11484.375,22,41,10,31,-12
2017-11-19,154902.34375,157812.5,148515.625,9296.875,-7734.375,159960.9375,167968.75,154687.5,13281.25,-13281.25,147968.75,156250.0,140625.0,15625.0,-9687.5,157050.78125,160000.0,153437.5,6562.5,-6562.5,12,31,4,27,-6
2017-11-26,139296.875,148437.5,128906.25,19531.25,-16796.875,145312.5,152343.75,138281.25,14062.5,-14062.5,129250.0,140625.0,125000.0,15625.0,-14062.5,134609.375,145156.25,126562.5,18593.75,-18593.75,14,26,5,21,-2
2017-12-03,132359.375,138984.375,123437.5,15546.875,-15546.875,135609.375,140078.125,127734.375,12343.75,-3437.5,124140.625,132500.0,115312.5,17187.5,-9453.125,127093.75,135546.875,122968.75,12578.125,-11484.375,12,13,10,3,-3
2017-12-10,125468.75,136718.75,113281.25,23437.5,-23437.5,126546.875,138281.25,114765.625,23515.625,-23515.625,117656.25,125000.0,110234.375,14765.625,-14765.625,118640.625,126250.0,111718.75,14531.25,-14531.25,9,15,1,14,11
2017-12-17,101421.875,112109.375,89843.75,22265.625,-22265.625,103375.0,112109.375,96875.0,15234.375,-13281.25,91750.0,101562.5,81250.0,20312.5,-20312.5,97281.25,105859.375,89765.625,16093.75,-7656.25,20,28,12,16,-8
2017-12-24,99804.6875,103906.25,93828.125,10078.125,-1640.625,102929.6875,103906.25,100000.0,3906.25,-3906.25,93027.34375,93828.125,90625.0,3203.125,3203.125,95976.5625,96640.625,95234.375,1406.25,-1093.75,11,20,7,13,-12
2017-12-31,102363.28125,113281.25,93828.125,19453.125,13281.25,108730.46875,117187.5,100000.0,17187.5,13281.25,97910.15625,105468.75,89921.875,15546.875,11562.5,103476.5625,111718.75,95390.625,16328.125,12031.25,23,35,8,27,11
