Date,ProShares UltraShort Real Estate_etf_Open_average,ProShares UltraShort Real Estate_etf_Open_max,ProShares UltraShort Real Estate_etf_Open_min,ProShares UltraShort Real Estate_etf_Open_volatility,ProShares UltraShort Real Estate_etf_Open_change,ProShares UltraShort Real Estate_etf_High_average,ProShares UltraShort Real Estate_etf_High_max,ProShares UltraShort Real Estate_etf_High_min,ProShares UltraShort Real Estate_etf_High_volatility,ProShares UltraShort Real Estate_etf_High_change,ProShares UltraShort Real Estate_etf_Low_average,ProShares UltraShort Real Estate_etf_Low_max,ProShares UltraShort Real Estate_etf_Low_min,ProShares UltraShort Real Estate_etf_Low_volatility,ProShares UltraShort Real Estate_etf_Low_change,ProShares UltraShort Real Estate_etf_Close_average,ProShares UltraShort Real Estate_etf_Close_max,ProShares UltraShort Real Estate_etf_Close_min,ProShares UltraShort Real Estate_etf_Close_volatility,ProShares UltraShort Real Estate_etf_Close_change
2016-03-20,42.35,42.35,42.35,0.0,0.0,42.74,42.74,42.74,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2016-03-27,39.49,39.49,39.49,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2016-04-03,39.78,39.78,39.78,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.61,39.61,39.61,0.0,0.0
2016-04-10,39.72,39.72,39.72,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.29,39.29,39.29,0.0,0.0
2016-04-17,41.06,41.06,41.06,0.0,0.0,41.06,41.06,41.06,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.44,40.44,40.44,0.0,0.0
2016-04-24,40.11,40.11,40.11,0.0,0.0,41.25,41.25,41.25,0.0,0.0,40.09,40.09,40.09,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2016-05-01,38.6,38.6,38.6,0.0,0.0,38.64,38.64,38.64,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2016-05-08,37.91,37.91,37.91,0.0,0.0,38.63,38.63,38.63,0.0,0.0,37.91,37.91,37.91,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2016-05-15,40.49,40.49,40.49,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.08,40.08,40.08,0.0,0.0
2016-05-22,38.83,38.83,38.83,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2016-05-29,37.3,37.3,37.3,0.0,0.0,38.12,38.12,38.12,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2016-06-05,37.64,37.64,37.64,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2016-06-12,37.05,37.05,37.05,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2016-06-19,37.2,37.2,37.2,0.0,0.0,38.0,38.0,38.0,0.0,0.0,36.42,36.42,36.42,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2016-06-26,33.83,33.83,33.83,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2016-07-03,34.07,34.07,34.07,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2016-07-10,32.85,32.85,32.85,0.0,0.0,33.29,33.29,33.29,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2016-07-17,32.39,32.39,32.39,0.0,0.0,32.41,32.41,32.41,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2016-07-24,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2016-07-31,32.71,32.71,32.71,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2016-08-07,32.79,32.79,32.79,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2016-08-14,33.78,33.78,33.78,0.0,0.0,34.24,34.24,34.24,0.0,0.0,33.69,33.69,33.69,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2016-08-21,33.51,33.51,33.51,0.0,0.0,34.65,34.65,34.65,0.0,0.0,33.1,33.1,33.1,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2016-08-28,33.54,33.54,33.54,0.0,0.0,33.54,33.54,33.54,0.0,0.0,32.5,32.5,32.5,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2016-09-04,33.82,33.82,33.82,0.0,0.0,35.68,35.68,35.68,0.0,0.0,33.82,33.82,33.82,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2016-09-11,36.28,36.28,36.28,0.0,0.0,36.44,36.44,36.44,0.0,0.0,35.99,35.99,35.99,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2016-09-18,33.36,33.36,33.36,0.0,0.0,33.94,33.94,33.94,0.0,0.0,32.92,32.92,32.92,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2016-09-25,33.59,33.59,33.59,0.0,0.0,34.24,34.24,34.24,0.0,0.0,33.31,33.31,33.31,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2016-10-02,37.36,37.36,37.36,0.0,0.0,38.23,38.23,38.23,0.0,0.0,36.62,36.62,36.62,0.0,0.0,37.91,37.91,37.91,0.0,0.0
2016-10-09,36.89,36.89,36.89,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2016-10-16,36.81,36.81,36.81,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2016-10-23,38.95,38.95,38.95,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.75,38.75,38.75,0.0,0.0
2016-10-30,40.73,40.73,40.73,0.0,0.0,40.91,40.91,40.91,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2016-11-06,41.69,41.69,41.69,0.0,0.0,41.69,41.69,41.69,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2016-11-13,40.37,40.37,40.37,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.32,40.32,40.32,0.0,0.0
2016-11-20,39.2,39.2,39.2,0.0,0.0,39.21,39.21,39.21,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2016-11-27,39.83,39.83,39.83,0.0,0.0,39.83,39.83,39.83,0.0,0.0,38.71,38.71,38.71,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2016-12-04,36.48,36.48,36.48,0.0,0.0,36.53,36.53,36.53,0.0,0.0,35.8,35.8,35.8,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2016-12-11,37.68,37.68,37.68,0.0,0.0,37.68,37.68,37.68,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2016-12-18,36.78,36.78,36.78,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2016-12-25,36.07,36.07,36.07,0.0,0.0,36.55,36.55,36.55,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.66,35.66,35.66,0.0,0.0
2017-01-01,34.41,34.41,34.41,0.0,0.0,34.49,34.49,34.49,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2017-01-08,35.47,35.47,35.47,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2017-01-15,35.59,35.59,35.59,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2017-01-22,34.81,34.81,34.81,0.0,0.0,35.74,35.74,35.74,0.0,0.0,34.65,34.65,34.65,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2017-01-29,35.18,35.18,35.18,0.0,0.0,35.23,35.23,35.23,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.97,34.97,34.97,0.0,0.0
2017-02-05,34.66,34.66,34.66,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2017-02-12,33.94,33.94,33.94,0.0,0.0,34.25,34.25,34.25,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2017-02-19,32.85,32.85,32.85,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2017-02-26,32.9,32.9,32.9,0.0,0.0,33.67,33.67,33.67,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2017-03-05,35.28,35.28,35.28,0.0,0.0,36.05,36.05,36.05,0.0,0.0,34.68,34.68,34.68,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2017-03-12,34.28,34.28,34.28,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2017-03-19,33.73,33.73,33.73,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2017-03-26,33.65,33.65,33.65,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2017-04-02,32.68,32.68,32.68,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2017-04-09,32.0,32.0,32.0,0.0,0.0,32.21,32.21,32.21,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2017-04-16,31.38,31.38,31.38,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2017-04-23,32.33,32.33,32.33,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2017-04-30,33.58,33.58,33.58,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2017-05-07,33.74,33.74,33.74,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.66,33.66,33.66,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2017-05-14,33.49,33.49,33.49,0.0,0.0,33.8,33.8,33.8,0.0,0.0,32.87,32.87,32.87,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2017-05-21,32.29,32.29,32.29,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2017-05-28,32.03,32.03,32.03,0.0,0.0,32.26,32.26,32.26,0.0,0.0,31.82,31.82,31.82,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2017-06-04,32.39,32.39,32.39,0.0,0.0,32.52,32.52,32.52,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2017-06-11,31.0,31.0,31.0,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2017-06-18,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2017-06-25,31.31,31.31,31.31,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2017-07-02,32.6,32.6,32.6,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2017-07-09,31.71,31.71,31.71,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2017-07-16,31.1,31.1,31.1,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2017-07-23,30.72,30.72,30.72,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2017-07-30,31.06,31.06,31.06,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2017-08-06,31.85,31.85,31.85,0.0,0.0,32.28,32.28,32.28,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2017-08-13,31.56,31.56,31.56,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2017-08-20,30.7,30.7,30.7,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2017-08-27,30.34,30.34,30.34,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2017-09-03,30.03,30.03,30.03,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2017-09-10,29.94,29.94,29.94,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2017-09-17,30.63,30.63,30.63,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.58,30.58,30.58,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2017-09-24,30.84,30.84,30.84,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2017-10-01,30.74,30.74,30.74,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2017-10-08,29.45,29.45,29.45,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2017-10-15,29.98,29.98,29.98,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2017-10-22,31.33,31.33,31.33,0.0,0.0,31.53,31.53,31.53,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2017-10-29,30.43,30.43,30.43,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2017-11-05,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2017-11-12,28.86,28.86,28.86,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.8,28.8,28.8,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2017-11-19,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2017-11-26,29.2,29.2,29.2,0.0,0.0,29.6,29.6,29.6,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2017-12-03,29.5,29.5,29.5,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2017-12-10,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2017-12-17,30.38,30.38,30.38,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2017-12-24,29.22,29.22,29.22,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2017-12-31,30.38,30.38,30.38,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.47,30.47,30.47,0.0,0.0
