Date,iShares Emerging Markets DividendEtf_Open_average,iShares Emerging Markets DividendEtf_Open_max,iShares Emerging Markets DividendEtf_Open_min,iShares Emerging Markets DividendEtf_Open_volatility,iShares Emerging Markets DividendEtf_Open_change,iShares Emerging Markets DividendEtf_High_average,iShares Emerging Markets DividendEtf_High_max,iShares Emerging Markets DividendEtf_High_min,iShares Emerging Markets DividendEtf_High_volatility,iShares Emerging Markets DividendEtf_High_change,iShares Emerging Markets DividendEtf_Low_average,iShares Emerging Markets DividendEtf_Low_max,iShares Emerging Markets DividendEtf_Low_min,iShares Emerging Markets DividendEtf_Low_volatility,iShares Emerging Markets DividendEtf_Low_change,iShares Emerging Markets DividendEtf_Close_average,iShares Emerging Markets DividendEtf_Close_max,iShares Emerging Markets DividendEtf_Close_min,iShares Emerging Markets DividendEtf_Close_volatility,iShares Emerging Markets DividendEtf_Close_change
2016-03-13,33.2,33.2,33.2,0.0,0.0,33.47,33.47,33.47,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2016-03-20,31.77,31.77,31.77,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2016-03-27,32.38,32.38,32.38,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2016-04-03,31.89,31.89,31.89,0.0,0.0,32.1,32.1,32.1,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2016-04-10,33.82,33.82,33.82,0.0,0.0,34.01,34.01,34.01,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2016-04-17,34.16,34.16,34.16,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2016-04-24,33.99,33.99,33.99,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2016-05-01,32.33,32.33,32.33,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2016-05-08,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2016-05-15,31.25,31.25,31.25,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2016-05-22,31.56,31.56,31.56,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2016-05-29,32.24,32.24,32.24,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2016-06-05,32.47,32.47,32.47,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2016-06-12,32.16,32.16,32.16,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2016-06-19,31.71,31.71,31.71,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2016-06-26,33.48,33.48,33.48,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2016-07-03,33.18,33.18,33.18,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2016-07-10,34.91,34.91,34.91,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2016-07-17,35.21,35.21,35.21,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2016-07-24,35.68,35.68,35.68,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2016-07-31,36.25,36.25,36.25,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.32,36.32,36.32,0.0,0.0
2016-08-07,37.41,37.41,37.41,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.21,37.21,37.21,0.0,0.0
2016-08-14,36.81,36.81,36.81,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2016-08-21,36.24,36.24,36.24,0.0,0.0,36.58,36.58,36.58,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2016-08-28,36.07,36.07,36.07,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.99,35.99,35.99,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2016-09-04,36.42,36.42,36.42,0.0,0.0,36.42,36.42,36.42,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2016-09-11,35.38,35.38,35.38,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2016-09-18,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2016-09-25,35.99,35.99,35.99,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2016-10-02,36.29,36.29,36.29,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.76,35.76,35.76,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2016-10-09,35.46,35.46,35.46,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2016-10-16,35.72,35.72,35.72,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2016-10-23,35.96,35.96,35.96,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2016-10-30,35.24,35.24,35.24,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2016-11-06,33.88,33.88,33.88,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2016-11-13,33.72,33.72,33.72,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2016-11-20,34.32,34.32,34.32,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2016-11-27,34.05,34.05,34.05,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2016-12-04,35.09,35.09,35.09,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2016-12-11,34.54,34.54,34.54,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2016-12-18,33.9,33.9,33.9,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2016-12-25,34.66,34.66,34.66,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2017-01-01,35.37,35.37,35.37,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2017-01-08,36.29,36.29,36.29,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2017-01-15,36.4,36.4,36.4,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.37,36.37,36.37,0.0,0.0
2017-01-22,37.38,37.38,37.38,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2017-01-29,37.59,37.59,37.59,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2017-02-05,37.96,37.96,37.96,0.0,0.0,38.25,38.25,38.25,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.22,38.22,38.22,0.0,0.0
2017-02-12,39.22,39.22,39.22,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2017-02-19,39.35,39.35,39.35,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.2,39.2,39.2,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2017-02-26,39.07,39.07,39.07,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.37,39.37,39.37,0.0,0.0
2017-03-05,38.75,38.75,38.75,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2017-03-12,40.48,40.48,40.48,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.32,40.32,40.32,0.0,0.0
2017-03-19,40.2,40.2,40.2,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.14,40.14,40.14,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2017-03-26,39.87,39.87,39.87,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2017-04-02,39.91,39.91,39.91,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2017-04-09,39.93,39.93,39.93,0.0,0.0,40.02,40.02,40.02,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.75,39.75,39.75,0.0,0.0
2017-04-16,39.52,39.52,39.52,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2017-04-23,40.06,40.06,40.06,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.9,39.9,39.9,0.0,0.0,40.03,40.03,40.03,0.0,0.0
2017-04-30,39.5,39.5,39.5,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2017-05-07,40.24,40.24,40.24,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.34,40.34,40.34,0.0,0.0
2017-05-14,39.99,39.99,39.99,0.0,0.0,40.37,40.37,40.37,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2017-05-21,40.8,40.8,40.8,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.64,40.64,40.64,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2017-05-28,41.03,41.03,41.03,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.99,40.99,40.99,0.0,0.0,41.09,41.09,41.09,0.0,0.0
2017-06-04,41.07,41.07,41.07,0.0,0.0,41.11,41.11,41.11,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2017-06-11,40.5,40.5,40.5,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2017-06-18,40.08,40.08,40.08,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.15,40.15,40.15,0.0,0.0
2017-06-25,40.05,40.05,40.05,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.02,40.02,40.02,0.0,0.0,40.17,40.17,40.17,0.0,0.0
2017-07-02,39.83,39.83,39.83,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2017-07-09,41.11,41.11,41.11,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.32,41.32,41.32,0.0,0.0
2017-07-16,41.52,41.52,41.52,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2017-07-23,41.52,41.52,41.52,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2017-07-30,42.03,42.03,42.03,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2017-08-06,41.24,41.24,41.24,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.28,41.28,41.28,0.0,0.0
2017-08-13,41.42,41.42,41.42,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2017-08-20,42.53,42.53,42.53,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2017-08-27,43.09,43.09,43.09,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2017-09-03,43.41,43.41,43.41,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2017-09-10,43.55,43.55,43.55,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.61,43.61,43.61,0.0,0.0
2017-09-17,43.05,43.05,43.05,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.88,42.88,42.88,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2017-09-24,41.37,41.37,41.37,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.46,41.46,41.46,0.0,0.0
2017-10-01,41.83,41.83,41.83,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.93,41.93,41.93,0.0,0.0
2017-10-08,42.71,42.71,42.71,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2017-10-15,42.12,42.12,42.12,0.0,0.0,42.12,42.12,42.12,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2017-10-22,41.61,41.61,41.61,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2017-10-29,41.65,41.65,41.65,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2017-11-05,41.35,41.35,41.35,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.25,41.25,41.25,0.0,0.0
2017-11-12,41.35,41.35,41.35,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2017-11-19,41.84,41.84,41.84,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.83,41.83,41.83,0.0,0.0
2017-11-26,41.14,41.14,41.14,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2017-12-03,40.73,40.73,40.73,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2017-12-10,41.06,41.06,41.06,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2017-12-17,41.1,41.1,41.1,0.0,0.0,41.22,41.22,41.22,0.0,0.0,40.88,40.88,40.88,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2017-12-24,42.25,42.25,42.25,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.83,41.83,41.83,0.0,0.0
2017-12-31,43.26,43.26,43.26,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.34,43.34,43.34,0.0,0.0
