Date,iShares US Oil & Gas Exploration & Production_etf_Open_average,iShares US Oil & Gas Exploration & Production_etf_Open_max,iShares US Oil & Gas Exploration & Production_etf_Open_min,iShares US Oil & Gas Exploration & Production_etf_Open_volatility,iShares US Oil & Gas Exploration & Production_etf_Open_change,iShares US Oil & Gas Exploration & Production_etf_High_average,iShares US Oil & Gas Exploration & Production_etf_High_max,iShares US Oil & Gas Exploration & Production_etf_High_min,iShares US Oil & Gas Exploration & Production_etf_High_volatility,iShares US Oil & Gas Exploration & Production_etf_High_change,iShares US Oil & Gas Exploration & Production_etf_Low_average,iShares US Oil & Gas Exploration & Production_etf_Low_max,iShares US Oil & Gas Exploration & Production_etf_Low_min,iShares US Oil & Gas Exploration & Production_etf_Low_volatility,iShares US Oil & Gas Exploration & Production_etf_Low_change,iShares US Oil & Gas Exploration & Production_etf_Close_average,iShares US Oil & Gas Exploration & Production_etf_Close_max,iShares US Oil & Gas Exploration & Production_etf_Close_min,iShares US Oil & Gas Exploration & Production_etf_Close_volatility,iShares US Oil & Gas Exploration & Production_etf_Close_change
2016-03-13,54.52,54.52,54.52,0.0,0.0,54.62,54.62,54.62,0.0,0.0,53.07,53.07,53.07,0.0,0.0,53.75,53.75,53.75,0.0,0.0
2016-03-20,50.53,50.53,50.53,0.0,0.0,51.86,51.86,51.86,0.0,0.0,50.0,50.0,50.0,0.0,0.0,51.76,51.76,51.76,0.0,0.0
2016-03-27,50.81,50.81,50.81,0.0,0.0,51.36,51.36,51.36,0.0,0.0,50.51,50.51,50.51,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2016-04-03,52.83,52.83,52.83,0.0,0.0,53.33,53.33,53.33,0.0,0.0,52.6,52.6,52.6,0.0,0.0,53.13,53.13,53.13,0.0,0.0
2016-04-10,54.93,54.93,54.93,0.0,0.0,54.98,54.98,54.98,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2016-04-17,57.07,57.07,57.07,0.0,0.0,58.4,58.4,58.4,0.0,0.0,57.07,57.07,57.07,0.0,0.0,58.37,58.37,58.37,0.0,0.0
2016-04-24,58.99,58.99,58.99,0.0,0.0,59.48,59.48,59.48,0.0,0.0,57.11,57.11,57.11,0.0,0.0,58.17,58.17,58.17,0.0,0.0
2016-05-01,54.74,54.74,54.74,0.0,0.0,55.75,55.75,55.75,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.46,54.46,54.46,0.0,0.0
2016-05-08,55.08,55.08,55.08,0.0,0.0,55.83,55.83,55.83,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2016-05-15,55.76,55.76,55.76,0.0,0.0,56.06,56.06,56.06,0.0,0.0,55.1,55.1,55.1,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2016-05-22,56.79,56.79,56.79,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.88,56.88,56.88,0.0,0.0
2016-05-29,57.48,57.48,57.48,0.0,0.0,57.51,57.51,57.51,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.69,56.69,56.69,0.0,0.0
2016-06-05,58.13,58.13,58.13,0.0,0.0,58.28,58.28,58.28,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.71,56.71,56.71,0.0,0.0
2016-06-12,55.76,55.76,55.76,0.0,0.0,56.68,56.68,56.68,0.0,0.0,55.76,55.76,55.76,0.0,0.0,56.21,56.21,56.21,0.0,0.0
2016-06-19,56.04,56.04,56.04,0.0,0.0,57.05,57.05,57.05,0.0,0.0,55.66,55.66,55.66,0.0,0.0,55.85,55.85,55.85,0.0,0.0
2016-06-26,56.72,56.72,56.72,0.0,0.0,57.87,57.87,57.87,0.0,0.0,56.64,56.64,56.64,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2016-07-03,55.79,55.79,55.79,0.0,0.0,56.09,56.09,56.09,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.91,55.91,55.91,0.0,0.0
2016-07-10,57.3,57.3,57.3,0.0,0.0,57.5,57.5,57.5,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.79,56.79,56.79,0.0,0.0
2016-07-17,55.74,55.74,55.74,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.62,55.62,55.62,0.0,0.0
2016-07-24,54.47,54.47,54.47,0.0,0.0,56.11,56.11,56.11,0.0,0.0,54.22,54.22,54.22,0.0,0.0,56.06,56.06,56.06,0.0,0.0
2016-07-31,56.35,56.35,56.35,0.0,0.0,57.34,57.34,57.34,0.0,0.0,56.09,56.09,56.09,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2016-08-07,58.42,58.42,58.42,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2016-08-14,60.39,60.39,60.39,0.0,0.0,60.52,60.52,60.52,0.0,0.0,60.04,60.04,60.04,0.0,0.0,60.39,60.39,60.39,0.0,0.0
2016-08-21,59.86,59.86,59.86,0.0,0.0,60.52,60.52,60.52,0.0,0.0,59.38,59.38,59.38,0.0,0.0,59.7,59.7,59.7,0.0,0.0
2016-08-28,58.99,58.99,58.99,0.0,0.0,59.56,59.56,59.56,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2016-09-04,61.52,61.52,61.52,0.0,0.0,61.78,61.78,61.78,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.35,60.35,60.35,0.0,0.0
2016-09-11,57.97,57.97,57.97,0.0,0.0,58.62,58.62,58.62,0.0,0.0,57.86,57.86,57.86,0.0,0.0,58.58,58.58,58.58,0.0,0.0
2016-09-18,59.68,59.68,59.68,0.0,0.0,60.1,60.1,60.1,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.55,58.55,58.55,0.0,0.0
2016-09-25,61.0,61.0,61.0,0.0,0.0,61.82,61.82,61.82,0.0,0.0,60.57,60.57,60.57,0.0,0.0,61.51,61.51,61.51,0.0,0.0
2016-10-02,62.24,62.24,62.24,0.0,0.0,62.37,62.37,62.37,0.0,0.0,61.25,61.25,61.25,0.0,0.0,61.55,61.55,61.55,0.0,0.0
2016-10-09,61.14,61.14,61.14,0.0,0.0,61.39,61.39,61.39,0.0,0.0,60.33,60.33,60.33,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2016-10-16,60.43,60.43,60.43,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.23,60.23,60.23,0.0,0.0,60.55,60.55,60.55,0.0,0.0
2016-10-23,59.57,59.57,59.57,0.0,0.0,60.49,60.49,60.49,0.0,0.0,58.72,58.72,58.72,0.0,0.0,59.06,59.06,59.06,0.0,0.0
2016-10-30,57.69,57.69,57.69,0.0,0.0,58.2,58.2,58.2,0.0,0.0,56.92,56.92,56.92,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2016-11-06,59.64,59.64,59.64,0.0,0.0,59.97,59.97,59.97,0.0,0.0,58.3,58.3,58.3,0.0,0.0,59.13,59.13,59.13,0.0,0.0
2016-11-13,61.15,61.15,61.15,0.0,0.0,61.46,61.46,61.46,0.0,0.0,60.63,60.63,60.63,0.0,0.0,60.99,60.99,60.99,0.0,0.0
2016-11-20,63.43,63.43,63.43,0.0,0.0,63.43,63.43,63.43,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.96,62.96,62.96,0.0,0.0
2016-11-27,65.95,65.95,65.95,0.0,0.0,66.22,66.22,66.22,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.88,65.88,65.88,0.0,0.0
2016-12-04,68.32,68.32,68.32,0.0,0.0,68.32,68.32,68.32,0.0,0.0,67.71,67.71,67.71,0.0,0.0,68.01,68.01,68.01,0.0,0.0
2016-12-11,67.21,67.21,67.21,0.0,0.0,67.3,67.3,67.3,0.0,0.0,66.65,66.65,66.65,0.0,0.0,66.98,66.98,66.98,0.0,0.0
2016-12-18,66.67,66.67,66.67,0.0,0.0,67.06,67.06,67.06,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.8,66.8,66.8,0.0,0.0
2016-12-25,65.72,65.72,65.72,0.0,0.0,66.24,66.24,66.24,0.0,0.0,65.27,65.27,65.27,0.0,0.0,65.44,65.44,65.44,0.0,0.0
2017-01-01,66.87,66.87,66.87,0.0,0.0,66.91,66.91,66.91,0.0,0.0,66.15,66.15,66.15,0.0,0.0,66.42,66.42,66.42,0.0,0.0
2017-01-08,65.0,65.0,65.0,0.0,0.0,65.3,65.3,65.3,0.0,0.0,64.81,64.81,64.81,0.0,0.0,65.01,65.01,65.01,0.0,0.0
2017-01-15,65.6,65.6,65.6,0.0,0.0,65.86,65.86,65.86,0.0,0.0,65.11,65.11,65.11,0.0,0.0,65.29,65.29,65.29,0.0,0.0
2017-01-22,65.85,65.85,65.85,0.0,0.0,65.9,65.9,65.9,0.0,0.0,65.14,65.14,65.14,0.0,0.0,65.25,65.25,65.25,0.0,0.0
2017-01-29,63.89,63.89,63.89,0.0,0.0,64.97,64.97,64.97,0.0,0.0,63.6,63.6,63.6,0.0,0.0,64.63,64.63,64.63,0.0,0.0
2017-02-05,64.48,64.48,64.48,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.2,64.2,64.2,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2017-02-12,62.94,62.94,62.94,0.0,0.0,63.34,63.34,63.34,0.0,0.0,62.73,62.73,62.73,0.0,0.0,62.9,62.9,62.9,0.0,0.0
2017-02-19,61.39,61.39,61.39,0.0,0.0,61.9,61.9,61.9,0.0,0.0,60.93,60.93,60.93,0.0,0.0,61.19,61.19,61.19,0.0,0.0
2017-02-26,61.66,61.66,61.66,0.0,0.0,62.1,62.1,62.1,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.53,61.53,61.53,0.0,0.0
2017-03-05,60.01,60.01,60.01,0.0,0.0,60.02,60.02,60.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.42,59.42,59.42,0.0,0.0
2017-03-12,60.37,60.37,60.37,0.0,0.0,60.57,60.57,60.57,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.15,60.15,60.15,0.0,0.0
2017-03-19,58.47,58.47,58.47,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.02,58.02,58.02,0.0,0.0,58.09,58.09,58.09,0.0,0.0
2017-03-26,60.68,60.68,60.68,0.0,0.0,61.33,61.33,61.33,0.0,0.0,60.5,60.5,60.5,0.0,0.0,61.12,61.12,61.12,0.0,0.0
2017-04-02,61.45,61.45,61.45,0.0,0.0,61.59,61.59,61.59,0.0,0.0,60.96,60.96,60.96,0.0,0.0,61.08,61.08,61.08,0.0,0.0
2017-04-09,61.26,61.26,61.26,0.0,0.0,61.37,61.37,61.37,0.0,0.0,59.92,59.92,59.92,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2017-04-16,58.33,58.33,58.33,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.59,58.59,58.59,0.0,0.0
2017-04-23,59.01,59.01,59.01,0.0,0.0,59.01,59.01,59.01,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2017-04-30,56.27,56.27,56.27,0.0,0.0,57.62,57.62,57.62,0.0,0.0,56.25,56.25,56.25,0.0,0.0,57.58,57.58,57.58,0.0,0.0
2017-05-07,58.48,58.48,58.48,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2017-05-14,57.79,57.79,57.79,0.0,0.0,58.86,58.86,58.86,0.0,0.0,57.79,57.79,57.79,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2017-05-21,56.52,56.52,56.52,0.0,0.0,56.69,56.69,56.69,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2017-05-28,55.22,55.22,55.22,0.0,0.0,55.22,55.22,55.22,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.63,54.63,54.63,0.0,0.0
2017-06-04,53.71,53.71,53.71,0.0,0.0,55.55,55.55,55.55,0.0,0.0,53.71,53.71,53.71,0.0,0.0,55.38,55.38,55.38,0.0,0.0
2017-06-11,54.2,54.2,54.2,0.0,0.0,54.6,54.6,54.6,0.0,0.0,53.91,53.91,53.91,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2017-06-18,52.73,52.73,52.73,0.0,0.0,53.57,53.57,53.57,0.0,0.0,52.62,52.62,52.62,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2017-06-25,54.68,54.68,54.68,0.0,0.0,55.04,55.04,55.04,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2017-07-02,53.14,53.14,53.14,0.0,0.0,53.31,53.31,53.31,0.0,0.0,52.27,52.27,52.27,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2017-07-09,54.6,54.6,54.6,0.0,0.0,55.05,55.05,55.05,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2017-07-16,54.97,54.97,54.97,0.0,0.0,55.31,55.31,55.31,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.82,54.82,54.82,0.0,0.0
2017-07-23,56.58,56.58,56.58,0.0,0.0,57.5,57.5,57.5,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2017-07-30,53.35,53.35,53.35,0.0,0.0,54.6,54.6,54.6,0.0,0.0,53.35,53.35,53.35,0.0,0.0,54.47,54.47,54.47,0.0,0.0
2017-08-06,52.6,52.6,52.6,0.0,0.0,53.12,53.12,53.12,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.9,52.9,52.9,0.0,0.0
2017-08-13,50.66,50.66,50.66,0.0,0.0,51.49,51.49,51.49,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2017-08-20,51.8,51.8,51.8,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2017-08-27,52.33,52.33,52.33,0.0,0.0,53.22,53.22,53.22,0.0,0.0,51.97,51.97,51.97,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2017-09-03,53.06,53.06,53.06,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2017-09-10,54.96,54.96,54.96,0.0,0.0,55.32,55.32,55.32,0.0,0.0,54.89,54.89,54.89,0.0,0.0,55.29,55.29,55.29,0.0,0.0
2017-09-17,57.09,57.09,57.09,0.0,0.0,57.54,57.54,57.54,0.0,0.0,56.92,56.92,56.92,0.0,0.0,57.42,57.42,57.42,0.0,0.0
2017-09-24,58.91,58.91,58.91,0.0,0.0,58.91,58.91,58.91,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.75,58.75,58.75,0.0,0.0
2017-10-01,58.44,58.44,58.44,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.37,58.37,58.37,0.0,0.0
2017-10-08,58.67,58.67,58.67,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2017-10-15,58.18,58.18,58.18,0.0,0.0,58.28,58.28,58.28,0.0,0.0,57.8,57.8,57.8,0.0,0.0,58.14,58.14,58.14,0.0,0.0
2017-10-22,57.05,57.05,57.05,0.0,0.0,58.41,58.41,58.41,0.0,0.0,56.71,56.71,56.71,0.0,0.0,58.41,58.41,58.41,0.0,0.0
2017-10-29,60.61,60.61,60.61,0.0,0.0,61.56,61.56,61.56,0.0,0.0,60.61,60.61,60.61,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2017-11-05,62.42,62.42,62.42,0.0,0.0,62.69,62.69,62.69,0.0,0.0,61.79,61.79,61.79,0.0,0.0,62.31,62.31,62.31,0.0,0.0
2017-11-12,59.85,59.85,59.85,0.0,0.0,60.29,60.29,60.29,0.0,0.0,59.77,59.77,59.77,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2017-11-19,60.77,60.77,60.77,0.0,0.0,60.95,60.95,60.95,0.0,0.0,60.43,60.43,60.43,0.0,0.0,60.45,60.45,60.45,0.0,0.0
2017-11-26,61.78,61.78,61.78,0.0,0.0,62.52,62.52,62.52,0.0,0.0,61.13,61.13,61.13,0.0,0.0,61.82,61.82,61.82,0.0,0.0
2017-12-03,60.81,60.81,60.81,0.0,0.0,61.35,61.35,61.35,0.0,0.0,60.49,60.49,60.49,0.0,0.0,61.1,61.1,61.1,0.0,0.0
2017-12-10,60.87,60.87,60.87,0.0,0.0,61.35,61.35,61.35,0.0,0.0,60.44,60.44,60.44,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2017-12-17,64.0,64.0,64.0,0.0,0.0,64.95,64.95,64.95,0.0,0.0,64.0,64.0,64.0,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2017-12-24,65.78,65.78,65.78,0.0,0.0,65.78,65.78,65.78,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.96,64.96,64.96,0.0,0.0
2017-12-31,67.25,67.25,67.25,0.0,0.0,67.25,67.25,67.25,0.0,0.0,66.73,66.73,66.73,0.0,0.0,67.2,67.2,67.2,0.0,0.0
