Date,iShares Global Infrastructure_etf_Open_average,iShares Global Infrastructure_etf_Open_max,iShares Global Infrastructure_etf_Open_min,iShares Global Infrastructure_etf_Open_volatility,iShares Global Infrastructure_etf_Open_change,iShares Global Infrastructure_etf_High_average,iShares Global Infrastructure_etf_High_max,iShares Global Infrastructure_etf_High_min,iShares Global Infrastructure_etf_High_volatility,iShares Global Infrastructure_etf_High_change,iShares Global Infrastructure_etf_Low_average,iShares Global Infrastructure_etf_Low_max,iShares Global Infrastructure_etf_Low_min,iShares Global Infrastructure_etf_Low_volatility,iShares Global Infrastructure_etf_Low_change,iShares Global Infrastructure_etf_Close_average,iShares Global Infrastructure_etf_Close_max,iShares Global Infrastructure_etf_Close_min,iShares Global Infrastructure_etf_Close_volatility,iShares Global Infrastructure_etf_Close_change
2016-05-15,39.46,39.46,39.46,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2016-05-22,39.78,39.78,39.78,0.0,0.0,39.89,39.89,39.89,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2016-05-29,40.0,40.0,40.0,0.0,0.0,40.37,40.37,40.37,0.0,0.0,39.99,39.99,39.99,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2016-06-05,40.36,40.36,40.36,0.0,0.0,40.41,40.41,40.41,0.0,0.0,39.94,39.94,39.94,0.0,0.0,40.05,40.05,40.05,0.0,0.0
2016-06-12,39.84,39.84,39.84,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.76,39.76,39.76,0.0,0.0,40.06,40.06,40.06,0.0,0.0
2016-06-19,38.36,38.36,38.36,0.0,0.0,39.26,39.26,39.26,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2016-06-26,40.58,40.58,40.58,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2016-07-03,40.26,40.26,40.26,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2016-07-10,40.9,40.9,40.9,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2016-07-17,41.15,41.15,41.15,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2016-07-24,41.2,41.2,41.2,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2016-07-31,41.4,41.4,41.4,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.23,41.23,41.23,0.0,0.0
2016-08-07,41.76,41.76,41.76,0.0,0.0,41.9,41.9,41.9,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.7,41.7,41.7,0.0,0.0
2016-08-14,41.87,41.87,41.87,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.65,41.65,41.65,0.0,0.0
2016-08-21,41.53,41.53,41.53,0.0,0.0,41.8,41.8,41.8,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2016-08-28,41.18,41.18,41.18,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.12,41.12,41.12,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2016-09-04,42.01,42.01,42.01,0.0,0.0,42.01,42.01,42.01,0.0,0.0,41.17,41.17,41.17,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2016-09-11,40.64,40.64,40.64,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.7,40.7,40.7,0.0,0.0
2016-09-18,41.77,41.77,41.77,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2016-09-25,41.61,41.61,41.61,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2016-10-02,40.12,40.12,40.12,0.0,0.0,40.21,40.21,40.21,0.0,0.0,39.79,39.79,39.79,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2016-10-09,40.19,40.19,40.19,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.93,39.93,39.93,0.0,0.0,39.93,39.93,39.93,0.0,0.0
2016-10-16,40.56,40.56,40.56,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2016-10-23,40.11,40.11,40.11,0.0,0.0,40.19,40.19,40.19,0.0,0.0,39.91,39.91,39.91,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2016-10-30,39.42,39.42,39.42,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.22,39.22,39.22,0.0,0.0
2016-11-06,38.36,38.36,38.36,0.0,0.0,38.36,38.36,38.36,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2016-11-13,38.04,38.04,38.04,0.0,0.0,38.12,38.12,38.12,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2016-11-20,38.5,38.5,38.5,0.0,0.0,38.64,38.64,38.64,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2016-11-27,38.37,38.37,38.37,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2016-12-04,39.15,39.15,39.15,0.0,0.0,39.19,39.19,39.19,0.0,0.0,39.01,39.01,39.01,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2016-12-11,39.36,39.36,39.36,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.58,39.58,39.58,0.0,0.0
2016-12-18,39.11,39.11,39.11,0.0,0.0,39.12,39.12,39.12,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2016-12-25,39.22,39.22,39.22,0.0,0.0,39.25,39.25,39.25,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2017-01-01,39.53,39.53,39.53,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2017-01-08,39.75,39.75,39.75,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.79,39.79,39.79,0.0,0.0
2017-01-15,39.76,39.76,39.76,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2017-01-22,39.77,39.77,39.77,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2017-01-29,39.84,39.84,39.84,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2017-02-05,40.24,40.24,40.24,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.37,40.37,40.37,0.0,0.0
2017-02-12,40.26,40.26,40.26,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.33,40.33,40.33,0.0,0.0
2017-02-19,40.45,40.45,40.45,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2017-02-26,40.85,40.85,40.85,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2017-03-05,40.68,40.68,40.68,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.78,40.78,40.78,0.0,0.0
2017-03-12,41.46,41.46,41.46,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2017-03-19,41.87,41.87,41.87,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.87,41.87,41.87,0.0,0.0,42.03,42.03,42.03,0.0,0.0
2017-03-26,42.16,42.16,42.16,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.16,42.16,42.16,0.0,0.0,42.32,42.32,42.32,0.0,0.0
2017-04-02,42.47,42.47,42.47,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2017-04-09,42.53,42.53,42.53,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.55,42.55,42.55,0.0,0.0
2017-04-16,42.21,42.21,42.21,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.13,42.13,42.13,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2017-04-23,42.93,42.93,42.93,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2017-04-30,43.17,43.17,43.17,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.64,43.64,43.64,0.0,0.0
2017-05-07,43.32,43.32,43.32,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.39,43.39,43.39,0.0,0.0
2017-05-14,43.6,43.6,43.6,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.89,43.89,43.89,0.0,0.0
2017-05-21,44.59,44.59,44.59,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2017-05-28,45.3,45.3,45.3,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2017-06-04,44.89,44.89,44.89,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2017-06-11,45.05,45.05,45.05,0.0,0.0,45.33,45.33,45.33,0.0,0.0,44.89,44.89,44.89,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2017-06-18,43.97,43.97,43.97,0.0,0.0,44.21,44.21,44.21,0.0,0.0,43.9,43.9,43.9,0.0,0.0,44.1,44.1,44.1,0.0,0.0
2017-06-25,43.83,43.83,43.83,0.0,0.0,44.04,44.04,44.04,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2017-07-02,43.48,43.48,43.48,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.6,43.6,43.6,0.0,0.0
2017-07-09,44.29,44.29,44.29,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.51,44.51,44.51,0.0,0.0
2017-07-16,45.11,45.11,45.11,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.22,45.22,45.22,0.0,0.0
2017-07-23,44.87,44.87,44.87,0.0,0.0,45.04,45.04,45.04,0.0,0.0,44.87,44.87,44.87,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2017-07-30,45.59,45.59,45.59,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.65,45.65,45.65,0.0,0.0
2017-08-06,44.86,44.86,44.86,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2017-08-13,45.14,45.14,45.14,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.29,45.29,45.29,0.0,0.0
2017-08-20,45.85,45.85,45.85,0.0,0.0,46.02,46.02,46.02,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.94,45.94,45.94,0.0,0.0
2017-08-27,46.23,46.23,46.23,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2017-09-03,46.33,46.33,46.33,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.34,46.34,46.34,0.0,0.0
2017-09-10,46.14,46.14,46.14,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2017-09-17,45.65,45.65,45.65,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2017-09-24,45.25,45.25,45.25,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.26,45.26,45.26,0.0,0.0
2017-10-01,44.96,44.96,44.96,0.0,0.0,45.07,45.07,45.07,0.0,0.0,44.83,44.83,44.83,0.0,0.0,45.03,45.03,45.03,0.0,0.0
2017-10-08,46.03,46.03,46.03,0.0,0.0,46.04,46.04,46.04,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.8,45.8,45.8,0.0,0.0
2017-10-15,45.93,45.93,45.93,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.78,45.78,45.78,0.0,0.0
2017-10-22,45.12,45.12,45.12,0.0,0.0,45.36,45.36,45.36,0.0,0.0,44.98,44.98,44.98,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2017-10-29,45.64,45.64,45.64,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2017-11-05,45.73,45.73,45.73,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2017-11-12,45.23,45.23,45.23,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.12,45.12,45.12,0.0,0.0,45.18,45.18,45.18,0.0,0.0
2017-11-19,45.83,45.83,45.83,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2017-11-26,46.29,46.29,46.29,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.36,46.36,46.36,0.0,0.0
2017-12-03,46.17,46.17,46.17,0.0,0.0,46.17,46.17,46.17,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2017-12-10,46.0,46.0,46.0,0.0,0.0,46.16,46.16,46.16,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.04,46.04,46.04,0.0,0.0
2017-12-17,44.92,44.92,44.92,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.99,44.99,44.99,0.0,0.0
2017-12-24,45.46,45.46,45.46,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.22,45.22,45.22,0.0,0.0
2017-12-31,45.88,45.88,45.88,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.92,45.92,45.92,0.0,0.0
