Date,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_average,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_max,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_min,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_volatility,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_change,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_average,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_max,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_min,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_volatility,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_change,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_average,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_max,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_min,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_volatility,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_change,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_average,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_max,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_min,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_volatility,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_change
2016-05-08,119.91,119.91,119.91,0.0,0.0,120.06,120.06,120.06,0.0,0.0,119.78,119.78,119.78,0.0,0.0,120.02,120.02,120.02,0.0,0.0
2016-05-15,118.93,118.93,118.93,0.0,0.0,118.99,118.99,118.99,0.0,0.0,118.69,118.69,118.69,0.0,0.0,118.92,118.92,118.92,0.0,0.0
2016-05-22,119.28,119.28,119.28,0.0,0.0,119.41,119.41,119.41,0.0,0.0,119.03,119.03,119.03,0.0,0.0,119.18,119.18,119.18,0.0,0.0
2016-05-29,120.05,120.05,120.05,0.0,0.0,120.34,120.34,120.34,0.0,0.0,119.93,119.93,119.93,0.0,0.0,120.34,120.34,120.34,0.0,0.0
2016-06-05,120.9,120.9,120.9,0.0,0.0,121.15,121.15,121.15,0.0,0.0,120.88,120.88,120.88,0.0,0.0,120.94,120.94,120.94,0.0,0.0
2016-06-12,121.08,121.08,121.08,0.0,0.0,121.08,121.08,121.08,0.0,0.0,120.69,120.69,120.69,0.0,0.0,120.76,120.76,120.76,0.0,0.0
2016-06-19,120.88,120.88,120.88,0.0,0.0,121.5,121.5,121.5,0.0,0.0,120.88,120.88,120.88,0.0,0.0,121.17,121.17,121.17,0.0,0.0
2016-06-26,122.99,122.99,122.99,0.0,0.0,123.17,123.17,123.17,0.0,0.0,122.75,122.75,122.75,0.0,0.0,123.05,123.05,123.05,0.0,0.0
2016-07-03,124.05,124.05,124.05,0.0,0.0,124.42,124.42,124.42,0.0,0.0,123.86,123.86,123.86,0.0,0.0,124.4,124.4,124.4,0.0,0.0
2016-07-10,123.27,123.27,123.27,0.0,0.0,123.5,123.5,123.5,0.0,0.0,123.0,123.0,123.0,0.0,0.0,123.09,123.09,123.09,0.0,0.0
2016-07-17,123.17,123.17,123.17,0.0,0.0,123.61,123.61,123.61,0.0,0.0,123.1,123.1,123.1,0.0,0.0,123.34,123.34,123.34,0.0,0.0
2016-07-24,123.5,123.5,123.5,0.0,0.0,124.04,124.04,124.04,0.0,0.0,123.5,123.5,123.5,0.0,0.0,123.99,123.99,123.99,0.0,0.0
2016-07-31,122.87,122.87,122.87,0.0,0.0,122.96,122.96,122.96,0.0,0.0,122.41,122.41,122.41,0.0,0.0,122.46,122.46,122.46,0.0,0.0
2016-08-07,123.76,123.76,123.76,0.0,0.0,124.06,124.06,124.06,0.0,0.0,123.67,123.67,123.67,0.0,0.0,123.76,123.76,123.76,0.0,0.0
2016-08-14,123.54,123.54,123.54,0.0,0.0,123.7,123.7,123.7,0.0,0.0,123.26,123.26,123.26,0.0,0.0,123.43,123.43,123.43,0.0,0.0
2016-08-21,124.05,124.05,124.05,0.0,0.0,124.45,124.45,124.45,0.0,0.0,123.32,123.32,123.32,0.0,0.0,123.4,123.4,123.4,0.0,0.0
2016-08-28,123.58,123.58,123.58,0.0,0.0,123.59,123.59,123.59,0.0,0.0,123.1,123.1,123.1,0.0,0.0,123.35,123.35,123.35,0.0,0.0
2016-09-04,122.11,122.11,122.11,0.0,0.0,122.38,122.38,122.38,0.0,0.0,121.75,121.75,121.75,0.0,0.0,121.82,121.82,121.82,0.0,0.0
2016-09-11,121.75,121.75,121.75,0.0,0.0,121.82,121.82,121.82,0.0,0.0,121.5,121.5,121.5,0.0,0.0,121.73,121.73,121.73,0.0,0.0
2016-09-18,122.96,122.96,122.96,0.0,0.0,123.04,123.04,123.04,0.0,0.0,122.84,122.84,122.84,0.0,0.0,122.88,122.88,122.88,0.0,0.0
2016-09-25,123.45,123.45,123.45,0.0,0.0,123.45,123.45,123.45,0.0,0.0,122.84,122.84,122.84,0.0,0.0,123.18,123.18,123.18,0.0,0.0
2016-10-02,121.99,121.99,121.99,0.0,0.0,122.2,122.2,122.2,0.0,0.0,121.69,121.69,121.69,0.0,0.0,122.11,122.11,122.11,0.0,0.0
2016-10-09,121.86,121.86,121.86,0.0,0.0,122.1,122.1,122.1,0.0,0.0,121.61,121.61,121.61,0.0,0.0,121.62,121.62,121.62,0.0,0.0
2016-10-16,122.52,122.52,122.52,0.0,0.0,122.58,122.58,122.58,0.0,0.0,122.3,122.3,122.3,0.0,0.0,122.51,122.51,122.51,0.0,0.0
2016-10-23,120.95,120.95,120.95,0.0,0.0,121.14,121.14,121.14,0.0,0.0,120.84,120.84,120.84,0.0,0.0,120.87,120.87,120.87,0.0,0.0
2016-10-30,120.63,120.63,120.63,0.0,0.0,120.9,120.9,120.9,0.0,0.0,120.63,120.63,120.63,0.0,0.0,120.81,120.81,120.81,0.0,0.0
2016-11-06,118.54,118.54,118.54,0.0,0.0,118.65,118.65,118.65,0.0,0.0,118.02,118.02,118.02,0.0,0.0,118.08,118.08,118.08,0.0,0.0
2016-11-13,117.41,117.41,117.41,0.0,0.0,117.45,117.45,117.45,0.0,0.0,116.52,116.52,116.52,0.0,0.0,116.59,116.59,116.59,0.0,0.0
2016-11-20,116.87,116.87,116.87,0.0,0.0,116.87,116.87,116.87,0.0,0.0,116.46,116.46,116.46,0.0,0.0,116.59,116.59,116.59,0.0,0.0
2016-11-27,116.16,116.16,116.16,0.0,0.0,116.69,116.69,116.69,0.0,0.0,116.16,116.16,116.16,0.0,0.0,116.4,116.4,116.4,0.0,0.0
2016-12-04,116.54,116.54,116.54,0.0,0.0,116.7,116.7,116.7,0.0,0.0,116.05,116.05,116.05,0.0,0.0,116.2,116.2,116.2,0.0,0.0
2016-12-11,115.87,115.87,115.87,0.0,0.0,116.0,116.0,116.0,0.0,0.0,115.55,115.55,115.55,0.0,0.0,115.6,115.6,115.6,0.0,0.0
2016-12-18,116.24,116.24,116.24,0.0,0.0,116.38,116.38,116.38,0.0,0.0,116.22,116.22,116.22,0.0,0.0,116.33,116.33,116.33,0.0,0.0
2016-12-25,117.0,117.0,117.0,0.0,0.0,117.36,117.36,117.36,0.0,0.0,116.95,116.95,116.95,0.0,0.0,117.18,117.18,117.18,0.0,0.0
2017-01-01,117.87,117.87,117.87,0.0,0.0,117.98,117.98,117.98,0.0,0.0,117.62,117.62,117.62,0.0,0.0,117.69,117.69,117.69,0.0,0.0
2017-01-08,117.82,117.82,117.82,0.0,0.0,117.97,117.97,117.97,0.0,0.0,117.39,117.39,117.39,0.0,0.0,117.78,117.78,117.78,0.0,0.0
2017-01-15,117.13,117.13,117.13,0.0,0.0,117.36,117.36,117.36,0.0,0.0,116.9,116.9,116.9,0.0,0.0,117.32,117.32,117.32,0.0,0.0
2017-01-22,117.35,117.35,117.35,0.0,0.0,117.42,117.42,117.42,0.0,0.0,117.22,117.22,117.22,0.0,0.0,117.34,117.34,117.34,0.0,0.0
2017-01-29,117.26,117.26,117.26,0.0,0.0,117.43,117.43,117.43,0.0,0.0,116.8,116.8,116.8,0.0,0.0,117.05,117.05,117.05,0.0,0.0
2017-02-05,117.35,117.35,117.35,0.0,0.0,117.62,117.62,117.62,0.0,0.0,117.26,117.26,117.26,0.0,0.0,117.53,117.53,117.53,0.0,0.0
2017-02-12,117.86,117.86,117.86,0.0,0.0,117.87,117.87,117.87,0.0,0.0,117.63,117.63,117.63,0.0,0.0,117.74,117.74,117.74,0.0,0.0
2017-02-19,118.62,118.62,118.62,0.0,0.0,118.87,118.87,118.87,0.0,0.0,118.44,118.44,118.44,0.0,0.0,118.78,118.78,118.78,0.0,0.0
2017-02-26,117.52,117.52,117.52,0.0,0.0,117.53,117.53,117.53,0.0,0.0,117.13,117.13,117.13,0.0,0.0,117.5,117.5,117.5,0.0,0.0
2017-03-05,116.07,116.07,116.07,0.0,0.0,116.07,116.07,116.07,0.0,0.0,115.76,115.76,115.76,0.0,0.0,116.01,116.01,116.01,0.0,0.0
2017-03-12,116.75,116.75,116.75,0.0,0.0,116.92,116.92,116.92,0.0,0.0,116.67,116.67,116.67,0.0,0.0,116.82,116.82,116.82,0.0,0.0
2017-03-19,117.52,117.52,117.52,0.0,0.0,117.82,117.82,117.82,0.0,0.0,117.52,117.52,117.52,0.0,0.0,117.72,117.72,117.72,0.0,0.0
2017-03-26,117.87,117.87,117.87,0.0,0.0,117.94,117.94,117.94,0.0,0.0,117.79,117.79,117.79,0.0,0.0,117.91,117.91,117.91,0.0,0.0
2017-04-02,118.34,118.34,118.34,0.0,0.0,118.44,118.44,118.44,0.0,0.0,117.75,117.75,117.75,0.0,0.0,117.78,117.78,117.78,0.0,0.0
2017-04-09,119.06,119.06,119.06,0.0,0.0,119.21,119.21,119.21,0.0,0.0,118.89,118.89,118.89,0.0,0.0,119.14,119.14,119.14,0.0,0.0
2017-04-16,119.28,119.28,119.28,0.0,0.0,119.29,119.29,119.29,0.0,0.0,119.07,119.07,119.07,0.0,0.0,119.08,119.08,119.08,0.0,0.0
2017-04-23,118.71,118.71,118.71,0.0,0.0,119.01,119.01,119.01,0.0,0.0,118.59,118.59,118.59,0.0,0.0,118.99,118.99,118.99,0.0,0.0
2017-04-30,118.38,118.38,118.38,0.0,0.0,118.4,118.4,118.4,0.0,0.0,118.13,118.13,118.13,0.0,0.0,118.4,118.4,118.4,0.0,0.0
2017-05-07,118.8,118.8,118.8,0.0,0.0,119.06,119.06,119.06,0.0,0.0,118.78,118.78,118.78,0.0,0.0,119.03,119.03,119.03,0.0,0.0
2017-05-14,119.83,119.83,119.83,0.0,0.0,119.97,119.97,119.97,0.0,0.0,119.7,119.7,119.7,0.0,0.0,119.97,119.97,119.97,0.0,0.0
2017-05-21,119.82,119.82,119.82,0.0,0.0,119.91,119.91,119.91,0.0,0.0,119.72,119.72,119.72,0.0,0.0,119.83,119.83,119.83,0.0,0.0
2017-05-28,120.46,120.46,120.46,0.0,0.0,120.58,120.58,120.58,0.0,0.0,120.3,120.3,120.3,0.0,0.0,120.52,120.52,120.52,0.0,0.0
2017-06-04,119.95,119.95,119.95,0.0,0.0,120.14,120.14,120.14,0.0,0.0,119.85,119.85,119.85,0.0,0.0,120.05,120.05,120.05,0.0,0.0
2017-06-11,120.84,120.84,120.84,0.0,0.0,120.91,120.91,120.91,0.0,0.0,120.75,120.75,120.75,0.0,0.0,120.84,120.84,120.84,0.0,0.0
2017-06-18,121.11,121.11,121.11,0.0,0.0,121.19,121.19,121.19,0.0,0.0,121.05,121.05,121.05,0.0,0.0,121.18,121.18,121.18,0.0,0.0
2017-06-25,120.66,120.66,120.66,0.0,0.0,120.69,120.69,120.69,0.0,0.0,120.47,120.47,120.47,0.0,0.0,120.51,120.51,120.51,0.0,0.0
2017-07-02,119.7,119.7,119.7,0.0,0.0,119.77,119.77,119.77,0.0,0.0,119.6,119.6,119.6,0.0,0.0,119.72,119.72,119.72,0.0,0.0
2017-07-09,120.72,120.72,120.72,0.0,0.0,120.8,120.8,120.8,0.0,0.0,120.38,120.38,120.38,0.0,0.0,120.57,120.57,120.57,0.0,0.0
2017-07-16,121.44,121.44,121.44,0.0,0.0,121.61,121.61,121.61,0.0,0.0,121.43,121.43,121.43,0.0,0.0,121.55,121.55,121.55,0.0,0.0
2017-07-23,120.84,120.84,120.84,0.0,0.0,121.11,121.11,121.11,0.0,0.0,120.79,120.79,120.79,0.0,0.0,121.11,121.11,121.11,0.0,0.0
2017-07-30,120.9,120.9,120.9,0.0,0.0,120.92,120.92,120.92,0.0,0.0,120.58,120.58,120.58,0.0,0.0,120.74,120.74,120.74,0.0,0.0
2017-08-06,120.3,120.3,120.3,0.0,0.0,120.51,120.51,120.51,0.0,0.0,120.09,120.09,120.09,0.0,0.0,120.49,120.49,120.49,0.0,0.0
2017-08-13,121.03,121.03,121.03,0.0,0.0,121.04,121.04,121.04,0.0,0.0,120.61,120.61,120.61,0.0,0.0,120.65,120.65,120.65,0.0,0.0
2017-08-20,121.01,121.01,121.01,0.0,0.0,121.29,121.29,121.29,0.0,0.0,120.95,120.95,120.95,0.0,0.0,121.21,121.21,121.21,0.0,0.0
2017-08-27,121.19,121.19,121.19,0.0,0.0,121.22,121.22,121.22,0.0,0.0,120.8,120.8,120.8,0.0,0.0,120.81,120.81,120.81,0.0,0.0
2017-09-03,121.52,121.52,121.52,0.0,0.0,121.52,121.52,121.52,0.0,0.0,121.23,121.23,121.23,0.0,0.0,121.24,121.24,121.24,0.0,0.0
2017-09-10,120.99,120.99,120.99,0.0,0.0,121.05,121.05,121.05,0.0,0.0,120.79,120.79,120.79,0.0,0.0,121.02,121.02,121.02,0.0,0.0
2017-09-17,121.06,121.06,121.06,0.0,0.0,121.12,121.12,121.12,0.0,0.0,120.89,120.89,120.89,0.0,0.0,120.98,120.98,120.98,0.0,0.0
2017-09-24,121.2,121.2,121.2,0.0,0.0,121.3,121.3,121.3,0.0,0.0,120.95,120.95,120.95,0.0,0.0,121.23,121.23,121.23,0.0,0.0
2017-10-01,120.68,120.68,120.68,0.0,0.0,120.99,120.99,120.99,0.0,0.0,120.57,120.57,120.57,0.0,0.0,120.95,120.95,120.95,0.0,0.0
2017-10-08,121.57,121.57,121.57,0.0,0.0,121.65,121.65,121.65,0.0,0.0,121.4,121.4,121.4,0.0,0.0,121.58,121.58,121.58,0.0,0.0
2017-10-15,120.98,120.98,120.98,0.0,0.0,121.16,121.16,121.16,0.0,0.0,120.9,120.9,120.9,0.0,0.0,121.06,121.06,121.06,0.0,0.0
2017-10-22,120.71,120.71,120.71,0.0,0.0,120.94,120.94,120.94,0.0,0.0,120.67,120.67,120.67,0.0,0.0,120.91,120.91,120.91,0.0,0.0
2017-10-29,121.1,121.1,121.1,0.0,0.0,121.19,121.19,121.19,0.0,0.0,120.91,120.91,120.91,0.0,0.0,121.13,121.13,121.13,0.0,0.0
2017-11-05,120.09,120.09,120.09,0.0,0.0,120.15,120.15,120.15,0.0,0.0,119.78,119.78,119.78,0.0,0.0,119.89,119.89,119.89,0.0,0.0
2017-11-12,120.51,120.51,120.51,0.0,0.0,120.58,120.58,120.58,0.0,0.0,120.38,120.38,120.38,0.0,0.0,120.46,120.46,120.46,0.0,0.0
2017-11-19,121.25,121.25,121.25,0.0,0.0,121.37,121.37,121.37,0.0,0.0,121.17,121.17,121.17,0.0,0.0,121.19,121.19,121.19,0.0,0.0
2017-11-26,120.81,120.81,120.81,0.0,0.0,121.38,121.38,121.38,0.0,0.0,120.4,120.4,120.4,0.0,0.0,120.72,120.72,120.72,0.0,0.0
2017-12-03,121.02,121.02,121.02,0.0,0.0,121.11,121.11,121.11,0.0,0.0,120.91,120.91,120.91,0.0,0.0,120.98,120.98,120.98,0.0,0.0
2017-12-10,121.7,121.7,121.7,0.0,0.0,121.85,121.85,121.85,0.0,0.0,121.49,121.49,121.49,0.0,0.0,121.79,121.79,121.79,0.0,0.0
2017-12-17,120.57,120.57,120.57,0.0,0.0,120.67,120.67,120.67,0.0,0.0,120.48,120.48,120.48,0.0,0.0,120.65,120.65,120.65,0.0,0.0
2017-12-24,121.26,121.26,121.26,0.0,0.0,121.62,121.62,121.62,0.0,0.0,121.26,121.26,121.26,0.0,0.0,121.56,121.56,121.56,0.0,0.0
2017-12-31,121.09,121.09,121.09,0.0,0.0,121.09,121.09,121.09,0.0,0.0,120.76,120.76,120.76,0.0,0.0,120.89,120.89,120.89,0.0,0.0
