Date,iShares US Aerospace & DefenseEtf_Open_average,iShares US Aerospace & DefenseEtf_Open_max,iShares US Aerospace & DefenseEtf_Open_min,iShares US Aerospace & DefenseEtf_Open_volatility,iShares US Aerospace & DefenseEtf_Open_change,iShares US Aerospace & DefenseEtf_High_average,iShares US Aerospace & DefenseEtf_High_max,iShares US Aerospace & DefenseEtf_High_min,iShares US Aerospace & DefenseEtf_High_volatility,iShares US Aerospace & DefenseEtf_High_change,iShares US Aerospace & DefenseEtf_Low_average,iShares US Aerospace & DefenseEtf_Low_max,iShares US Aerospace & DefenseEtf_Low_min,iShares US Aerospace & DefenseEtf_Low_volatility,iShares US Aerospace & DefenseEtf_Low_change,iShares US Aerospace & DefenseEtf_Close_average,iShares US Aerospace & DefenseEtf_Close_max,iShares US Aerospace & DefenseEtf_Close_min,iShares US Aerospace & DefenseEtf_Close_volatility,iShares US Aerospace & DefenseEtf_Close_change
2017-09-03,168.0,168.0,168.0,0.0,0.0,168.4,168.4,168.4,0.0,0.0,167.02,167.02,167.02,0.0,0.0,168.06,168.06,168.06,0.0,0.0
2017-09-10,170.15,170.15,170.15,0.0,0.0,171.06,171.06,171.06,0.0,0.0,170.09,170.09,170.09,0.0,0.0,171.03,171.03,171.03,0.0,0.0
2017-09-17,178.0,178.0,178.0,0.0,0.0,178.59,178.59,178.59,0.0,0.0,177.48,177.48,177.48,0.0,0.0,177.85,177.85,177.85,0.0,0.0
2017-09-24,177.78,177.78,177.78,0.0,0.0,178.66,178.66,178.66,0.0,0.0,177.0,177.0,177.0,0.0,0.0,178.04,178.04,178.04,0.0,0.0
2017-10-01,182.09,182.09,182.09,0.0,0.0,182.63,182.63,182.63,0.0,0.0,181.35,181.35,181.35,0.0,0.0,182.02,182.02,182.02,0.0,0.0
2017-10-08,183.12,183.12,183.12,0.0,0.0,183.46,183.46,183.46,0.0,0.0,182.01,182.01,182.01,0.0,0.0,182.11,182.11,182.11,0.0,0.0
2017-10-15,182.24,182.24,182.24,0.0,0.0,184.0,184.0,184.0,0.0,0.0,182.0,182.0,182.0,0.0,0.0,184.0,184.0,184.0,0.0,0.0
2017-10-22,180.65,180.65,180.65,0.0,0.0,180.97,180.97,180.97,0.0,0.0,180.06,180.06,180.06,0.0,0.0,180.64,180.64,180.64,0.0,0.0
2017-10-29,183.46,183.46,183.46,0.0,0.0,183.46,183.46,183.46,0.0,0.0,181.75,181.75,181.75,0.0,0.0,182.17,182.17,182.17,0.0,0.0
2017-11-05,180.1,180.1,180.1,0.0,0.0,180.45,180.45,180.45,0.0,0.0,178.74,178.74,178.74,0.0,0.0,179.22,179.22,179.22,0.0,0.0
2017-11-12,179.19,179.19,179.19,0.0,0.0,179.5,179.5,179.5,0.0,0.0,177.95,177.95,177.95,0.0,0.0,178.02,178.02,178.02,0.0,0.0
2017-11-19,181.07,181.07,181.07,0.0,0.0,181.46,181.46,181.46,0.0,0.0,180.53,180.53,180.53,0.0,0.0,181.13,181.13,181.13,0.0,0.0
2017-11-26,186.15,186.15,186.15,0.0,0.0,186.59,186.59,186.59,0.0,0.0,180.42,180.42,180.42,0.0,0.0,183.17,183.17,183.17,0.0,0.0
2017-12-03,184.99,184.99,184.99,0.0,0.0,185.2,185.2,185.2,0.0,0.0,184.14,184.14,184.14,0.0,0.0,184.85,184.85,184.85,0.0,0.0
2017-12-10,185.89,185.89,185.89,0.0,0.0,188.34,188.34,188.34,0.0,0.0,185.63,185.63,185.63,0.0,0.0,187.83,187.83,187.83,0.0,0.0
2017-12-17,188.17,188.17,188.17,0.0,0.0,188.49,188.49,188.49,0.0,0.0,187.35,187.35,187.35,0.0,0.0,187.86,187.86,187.86,0.0,0.0
2017-12-24,189.74,189.74,189.74,0.0,0.0,189.74,189.74,189.74,0.0,0.0,188.11,188.11,188.11,0.0,0.0,188.11,188.11,188.11,0.0,0.0
2017-12-31,190.78,190.78,190.78,0.0,0.0,191.82,191.82,191.82,0.0,0.0,190.14,190.14,190.14,0.0,0.0,191.74,191.74,191.74,0.0,0.0
