Date,Guggenheim CurrencyShares Canadian Dollar_etf_Open_average,Guggenheim CurrencyShares Canadian Dollar_etf_Open_max,Guggenheim CurrencyShares Canadian Dollar_etf_Open_min,Guggenheim CurrencyShares Canadian Dollar_etf_Open_volatility,Guggenheim CurrencyShares Canadian Dollar_etf_Open_change,Guggenheim CurrencyShares Canadian Dollar_etf_High_average,Guggenheim CurrencyShares Canadian Dollar_etf_High_max,Guggenheim CurrencyShares Canadian Dollar_etf_High_min,Guggenheim CurrencyShares Canadian Dollar_etf_High_volatility,Guggenheim CurrencyShares Canadian Dollar_etf_High_change,Guggenheim CurrencyShares Canadian Dollar_etf_Low_average,Guggenheim CurrencyShares Canadian Dollar_etf_Low_max,Guggenheim CurrencyShares Canadian Dollar_etf_Low_min,Guggenheim CurrencyShares Canadian Dollar_etf_Low_volatility,Guggenheim CurrencyShares Canadian Dollar_etf_Low_change,Guggenheim CurrencyShares Canadian Dollar_etf_Close_average,Guggenheim CurrencyShares Canadian Dollar_etf_Close_max,Guggenheim CurrencyShares Canadian Dollar_etf_Close_min,Guggenheim CurrencyShares Canadian Dollar_etf_Close_volatility,Guggenheim CurrencyShares Canadian Dollar_etf_Close_change
2016-03-13,76.47,76.47,76.47,0.0,0.0,76.56,76.56,76.56,0.0,0.0,76.05,76.05,76.05,0.0,0.0,76.05,76.05,76.05,0.0,0.0
2016-03-20,74.59,74.59,74.59,0.0,0.0,74.88,74.88,74.88,0.0,0.0,74.56,74.56,74.56,0.0,0.0,74.87,74.87,74.87,0.0,0.0
2016-03-27,75.68,75.68,75.68,0.0,0.0,76.17,76.17,76.17,0.0,0.0,75.41,75.41,75.41,0.0,0.0,76.17,76.17,76.17,0.0,0.0
2016-04-03,76.16,76.16,76.16,0.0,0.0,76.48,76.48,76.48,0.0,0.0,76.13,76.13,76.13,0.0,0.0,76.22,76.22,76.22,0.0,0.0
2016-04-10,77.0,77.0,77.0,0.0,0.0,77.26,77.26,77.26,0.0,0.0,76.84,76.84,76.84,0.0,0.0,77.22,77.22,77.22,0.0,0.0
2016-04-17,78.29,78.29,78.29,0.0,0.0,78.44,78.44,78.44,0.0,0.0,77.95,77.95,77.95,0.0,0.0,78.19,78.19,78.19,0.0,0.0
2016-04-24,79.16,79.16,79.16,0.0,0.0,79.26,79.26,79.26,0.0,0.0,78.72,78.72,78.72,0.0,0.0,78.97,78.97,78.97,0.0,0.0
2016-05-01,76.7,76.7,76.7,0.0,0.0,76.92,76.92,76.92,0.0,0.0,76.53,76.53,76.53,0.0,0.0,76.66,76.66,76.66,0.0,0.0
2016-05-08,76.79,76.79,76.79,0.0,0.0,76.79,76.79,76.79,0.0,0.0,76.47,76.47,76.47,0.0,0.0,76.6,76.6,76.6,0.0,0.0
2016-05-15,75.6,75.6,75.6,0.0,0.0,75.68,75.68,75.68,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.47,75.47,75.47,0.0,0.0
2016-05-22,75.9,75.9,75.9,0.0,0.0,76.19,76.19,76.19,0.0,0.0,75.86,75.86,75.86,0.0,0.0,75.99,75.99,75.99,0.0,0.0
2016-05-29,76.48,76.48,76.48,0.0,0.0,76.65,76.65,76.65,0.0,0.0,76.35,76.35,76.35,0.0,0.0,76.51,76.51,76.51,0.0,0.0
2016-06-05,78.06,78.06,78.06,0.0,0.0,78.09,78.09,78.09,0.0,0.0,77.5,77.5,77.5,0.0,0.0,77.66,77.66,77.66,0.0,0.0
2016-06-12,76.9,76.9,76.9,0.0,0.0,77.19,77.19,77.19,0.0,0.0,76.8,76.8,76.8,0.0,0.0,76.9,76.9,76.9,0.0,0.0
2016-06-19,76.32,76.32,76.32,0.0,0.0,76.74,76.74,76.74,0.0,0.0,76.18,76.18,76.18,0.0,0.0,76.19,76.19,76.19,0.0,0.0
2016-06-26,76.82,76.82,76.82,0.0,0.0,76.93,76.93,76.93,0.0,0.0,76.61,76.61,76.61,0.0,0.0,76.68,76.68,76.68,0.0,0.0
2016-07-03,76.03,76.03,76.03,0.0,0.0,76.05,76.05,76.05,0.0,0.0,75.65,75.65,75.65,0.0,0.0,75.93,75.93,75.93,0.0,0.0
2016-07-10,76.71,76.71,76.71,0.0,0.0,76.73,76.73,76.73,0.0,0.0,76.28,76.28,76.28,0.0,0.0,76.56,76.56,76.56,0.0,0.0
2016-07-17,75.63,75.63,75.63,0.0,0.0,75.63,75.63,75.63,0.0,0.0,75.08,75.08,75.08,0.0,0.0,75.32,75.32,75.32,0.0,0.0
2016-07-24,75.56,75.56,75.56,0.0,0.0,76.13,76.13,76.13,0.0,0.0,75.45,75.45,75.45,0.0,0.0,75.81,75.81,75.81,0.0,0.0
2016-07-31,75.14,75.14,75.14,0.0,0.0,75.22,75.22,75.22,0.0,0.0,74.99,74.99,74.99,0.0,0.0,75.21,75.21,75.21,0.0,0.0
2016-08-07,76.49,76.49,76.49,0.0,0.0,76.58,76.58,76.58,0.0,0.0,76.32,76.32,76.32,0.0,0.0,76.35,76.35,76.35,0.0,0.0
2016-08-14,76.98,76.98,76.98,0.0,0.0,77.0,77.0,77.0,0.0,0.0,76.76,76.76,76.76,0.0,0.0,76.96,76.96,76.96,0.0,0.0
2016-08-21,76.79,76.79,76.79,0.0,0.0,77.06,77.06,77.06,0.0,0.0,76.07,76.07,76.07,0.0,0.0,76.11,76.11,76.11,0.0,0.0
2016-08-28,76.02,76.02,76.02,0.0,0.0,76.2,76.2,76.2,0.0,0.0,75.96,75.96,75.96,0.0,0.0,76.17,76.17,76.17,0.0,0.0
2016-09-04,76.04,76.04,76.04,0.0,0.0,76.05,76.05,76.05,0.0,0.0,75.81,75.81,75.81,0.0,0.0,75.91,75.91,75.91,0.0,0.0
2016-09-11,74.76,74.76,74.76,0.0,0.0,74.96,74.96,74.96,0.0,0.0,74.68,74.68,74.68,0.0,0.0,74.88,74.88,74.88,0.0,0.0
2016-09-18,75.26,75.26,75.26,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.09,75.09,75.09,0.0,0.0,75.12,75.12,75.12,0.0,0.0
2016-09-25,75.45,75.45,75.45,0.0,0.0,75.55,75.55,75.55,0.0,0.0,75.3,75.3,75.3,0.0,0.0,75.42,75.42,75.42,0.0,0.0
2016-10-02,74.78,74.78,74.78,0.0,0.0,74.78,74.78,74.78,0.0,0.0,74.3,74.3,74.3,0.0,0.0,74.48,74.48,74.48,0.0,0.0
2016-10-09,75.13,75.13,75.13,0.0,0.0,75.48,75.48,75.48,0.0,0.0,75.07,75.07,75.07,0.0,0.0,75.24,75.24,75.24,0.0,0.0
2016-10-16,74.24,74.24,74.24,0.0,0.0,74.31,74.31,74.31,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2016-10-23,73.81,73.81,73.81,0.0,0.0,74.06,74.06,74.06,0.0,0.0,73.67,73.67,73.67,0.0,0.0,73.86,73.86,73.86,0.0,0.0
2016-10-30,73.65,73.65,73.65,0.0,0.0,73.84,73.84,73.84,0.0,0.0,73.48,73.48,73.48,0.0,0.0,73.78,73.78,73.78,0.0,0.0
2016-11-06,73.08,73.08,73.08,0.0,0.0,73.3,73.3,73.3,0.0,0.0,73.0,73.0,73.0,0.0,0.0,73.02,73.02,73.02,0.0,0.0
2016-11-13,73.18,73.18,73.18,0.0,0.0,73.26,73.26,73.26,0.0,0.0,73.04,73.04,73.04,0.0,0.0,73.19,73.19,73.19,0.0,0.0
2016-11-20,73.24,73.24,73.24,0.0,0.0,73.24,73.24,73.24,0.0,0.0,73.13,73.13,73.13,0.0,0.0,73.14,73.14,73.14,0.0,0.0
2016-11-27,74.44,74.44,74.44,0.0,0.0,74.5,74.5,74.5,0.0,0.0,74.32,74.32,74.32,0.0,0.0,74.43,74.43,74.43,0.0,0.0
2016-12-04,74.97,74.97,74.97,0.0,0.0,75.13,75.13,75.13,0.0,0.0,74.96,74.96,74.96,0.0,0.0,74.99,74.99,74.99,0.0,0.0
2016-12-11,73.87,73.87,73.87,0.0,0.0,74.14,74.14,74.14,0.0,0.0,73.8,73.8,73.8,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2016-12-18,72.91,72.91,72.91,0.0,0.0,73.05,73.05,73.05,0.0,0.0,72.91,72.91,72.91,0.0,0.0,73.0,73.0,73.0,0.0,0.0
2016-12-25,73.44,73.44,73.44,0.0,0.0,73.65,73.65,73.65,0.0,0.0,73.44,73.44,73.44,0.0,0.0,73.57,73.57,73.57,0.0,0.0
2017-01-01,74.73,74.73,74.73,0.0,0.0,74.85,74.85,74.85,0.0,0.0,74.56,74.56,74.56,0.0,0.0,74.66,74.66,74.66,0.0,0.0
2017-01-08,75.19,75.19,75.19,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.11,75.11,75.11,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2017-01-15,74.0,74.0,74.0,0.0,0.0,74.26,74.26,74.26,0.0,0.0,73.86,73.86,73.86,0.0,0.0,74.15,74.15,74.15,0.0,0.0
2017-01-22,75.37,75.37,75.37,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.17,75.17,75.17,0.0,0.0,75.23,75.23,75.23,0.0,0.0
2017-01-29,75.85,75.85,75.85,0.0,0.0,76.04,76.04,76.04,0.0,0.0,75.83,75.83,75.83,0.0,0.0,75.85,75.85,75.85,0.0,0.0
2017-02-05,75.5,75.5,75.5,0.0,0.0,75.61,75.61,75.61,0.0,0.0,75.48,75.48,75.48,0.0,0.0,75.51,75.51,75.51,0.0,0.0
2017-02-12,75.51,75.51,75.51,0.0,0.0,75.51,75.51,75.51,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2017-02-19,75.44,75.44,75.44,0.0,0.0,75.52,75.52,75.52,0.0,0.0,75.36,75.36,75.36,0.0,0.0,75.36,75.36,75.36,0.0,0.0
2017-02-26,73.66,73.66,73.66,0.0,0.0,73.84,73.84,73.84,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.83,73.83,73.83,0.0,0.0
2017-03-05,73.42,73.42,73.42,0.0,0.0,73.46,73.46,73.46,0.0,0.0,73.28,73.28,73.28,0.0,0.0,73.39,73.39,73.39,0.0,0.0
2017-03-12,74.17,74.17,74.17,0.0,0.0,74.23,74.23,74.23,0.0,0.0,73.84,73.84,73.84,0.0,0.0,74.06,74.06,74.06,0.0,0.0
2017-03-19,73.87,73.87,73.87,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.82,73.82,73.82,0.0,0.0
2017-03-26,74.22,74.22,74.22,0.0,0.0,74.32,74.32,74.32,0.0,0.0,74.02,74.02,74.02,0.0,0.0,74.24,74.24,74.24,0.0,0.0
2017-04-02,73.85,73.85,73.85,0.0,0.0,73.95,73.95,73.95,0.0,0.0,73.61,73.61,73.61,0.0,0.0,73.65,73.65,73.65,0.0,0.0
2017-04-09,74.63,74.63,74.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.09,74.09,74.09,0.0,0.0
2017-04-16,73.07,73.07,73.07,0.0,0.0,73.13,73.13,73.13,0.0,0.0,73.01,73.01,73.01,0.0,0.0,73.09,73.09,73.09,0.0,0.0
2017-04-23,72.34,72.34,72.34,0.0,0.0,72.35,72.35,72.35,0.0,0.0,72.11,72.11,72.11,0.0,0.0,72.35,72.35,72.35,0.0,0.0
2017-04-30,71.76,71.76,71.76,0.0,0.0,72.3,72.3,72.3,0.0,0.0,71.7,71.7,71.7,0.0,0.0,72.27,72.27,72.27,0.0,0.0
2017-05-07,72.03,72.03,72.03,0.0,0.0,72.05,72.05,72.05,0.0,0.0,71.93,71.93,71.93,0.0,0.0,72.0,72.0,72.0,0.0,0.0
2017-05-14,72.64,72.64,72.64,0.0,0.0,73.07,73.07,73.07,0.0,0.0,72.64,72.64,72.64,0.0,0.0,73.05,73.05,73.05,0.0,0.0
2017-05-21,73.32,73.32,73.32,0.0,0.0,73.41,73.41,73.41,0.0,0.0,73.31,73.31,73.31,0.0,0.0,73.34,73.34,73.34,0.0,0.0
2017-05-28,73.09,73.09,73.09,0.0,0.0,73.19,73.19,73.19,0.0,0.0,72.97,72.97,72.97,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2017-06-04,73.28,73.28,73.28,0.0,0.0,73.52,73.52,73.52,0.0,0.0,73.27,73.27,73.27,0.0,0.0,73.31,73.31,73.31,0.0,0.0
2017-06-11,74.51,74.51,74.51,0.0,0.0,74.69,74.69,74.69,0.0,0.0,74.42,74.42,74.42,0.0,0.0,74.62,74.62,74.62,0.0,0.0
2017-06-18,74.18,74.18,74.18,0.0,0.0,74.43,74.43,74.43,0.0,0.0,74.17,74.17,74.17,0.0,0.0,74.37,74.37,74.37,0.0,0.0
2017-06-25,76.0,76.0,76.0,0.0,0.0,76.15,76.15,76.15,0.0,0.0,75.91,75.91,75.91,0.0,0.0,76.09,76.09,76.09,0.0,0.0
2017-07-02,76.57,76.57,76.57,0.0,0.0,76.73,76.73,76.73,0.0,0.0,76.41,76.41,76.41,0.0,0.0,76.57,76.57,76.57,0.0,0.0
2017-07-09,77.64,77.64,77.64,0.0,0.0,78.02,78.02,78.02,0.0,0.0,77.61,77.61,77.61,0.0,0.0,77.99,77.99,77.99,0.0,0.0
2017-07-16,78.57,78.57,78.57,0.0,0.0,78.75,78.75,78.75,0.0,0.0,78.5,78.5,78.5,0.0,0.0,78.68,78.68,78.68,0.0,0.0
2017-07-23,79.18,79.18,79.18,0.0,0.0,79.4,79.4,79.4,0.0,0.0,79.14,79.14,79.14,0.0,0.0,79.3,79.3,79.3,0.0,0.0
2017-07-30,78.24,78.24,78.24,0.0,0.0,78.28,78.28,78.28,0.0,0.0,77.9,77.9,77.9,0.0,0.0,77.99,77.99,77.99,0.0,0.0
2017-08-06,77.66,77.66,77.66,0.0,0.0,77.91,77.91,77.91,0.0,0.0,77.59,77.59,77.59,0.0,0.0,77.78,77.78,77.78,0.0,0.0
2017-08-13,78.36,78.36,78.36,0.0,0.0,78.55,78.55,78.55,0.0,0.0,78.28,78.28,78.28,0.0,0.0,78.44,78.44,78.44,0.0,0.0
2017-08-20,78.82,78.82,78.82,0.0,0.0,79.13,79.13,79.13,0.0,0.0,78.69,78.69,78.69,0.0,0.0,79.06,79.06,79.06,0.0,0.0
2017-08-27,79.58,79.58,79.58,0.0,0.0,79.73,79.73,79.73,0.0,0.0,79.42,79.42,79.42,0.0,0.0,79.66,79.66,79.66,0.0,0.0
2017-09-03,81.45,81.45,81.45,0.0,0.0,81.49,81.49,81.49,0.0,0.0,81.11,81.11,81.11,0.0,0.0,81.26,81.26,81.26,0.0,0.0
2017-09-10,81.13,81.13,81.13,0.0,0.0,81.14,81.14,81.14,0.0,0.0,80.71,80.71,80.71,0.0,0.0,80.95,80.95,80.95,0.0,0.0
2017-09-17,80.12,80.12,80.12,0.0,0.0,80.26,80.26,80.26,0.0,0.0,79.89,79.89,79.89,0.0,0.0,79.96,79.96,79.96,0.0,0.0
2017-09-24,79.14,79.14,79.14,0.0,0.0,79.14,79.14,79.14,0.0,0.0,78.71,78.71,78.71,0.0,0.0,79.07,79.07,79.07,0.0,0.0
2017-10-01,78.5,78.5,78.5,0.0,0.0,78.74,78.74,78.74,0.0,0.0,78.44,78.44,78.44,0.0,0.0,78.68,78.68,78.68,0.0,0.0
2017-10-08,79.12,79.12,79.12,0.0,0.0,79.12,79.12,79.12,0.0,0.0,78.85,78.85,78.85,0.0,0.0,79.04,79.04,79.04,0.0,0.0
2017-10-15,78.4,78.4,78.4,0.0,0.0,78.4,78.4,78.4,0.0,0.0,78.11,78.11,78.11,0.0,0.0,78.17,78.17,78.17,0.0,0.0
2017-10-22,76.43,76.43,76.43,0.0,0.0,76.92,76.92,76.92,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.91,76.91,76.91,0.0,0.0
2017-10-29,77.44,77.44,77.44,0.0,0.0,77.44,77.44,77.44,0.0,0.0,77.2,77.2,77.2,0.0,0.0,77.29,77.29,77.29,0.0,0.0
2017-11-05,77.75,77.75,77.75,0.0,0.0,77.82,77.82,77.82,0.0,0.0,77.72,77.72,77.72,0.0,0.0,77.79,77.79,77.79,0.0,0.0
2017-11-12,77.04,77.04,77.04,0.0,0.0,77.37,77.37,77.37,0.0,0.0,76.9,76.9,76.9,0.0,0.0,77.26,77.26,77.26,0.0,0.0
2017-11-19,77.55,77.55,77.55,0.0,0.0,77.68,77.68,77.68,0.0,0.0,77.55,77.55,77.55,0.0,0.0,77.6,77.6,77.6,0.0,0.0
2017-11-26,77.33,77.33,77.33,0.0,0.0,77.76,77.76,77.76,0.0,0.0,77.31,77.31,77.31,0.0,0.0,77.68,77.68,77.68,0.0,0.0
2017-12-03,76.73,76.73,76.73,0.0,0.0,76.8,76.8,76.8,0.0,0.0,76.6,76.6,76.6,0.0,0.0,76.64,76.64,76.64,0.0,0.0
2017-12-10,77.11,77.11,77.11,0.0,0.0,77.14,77.14,77.14,0.0,0.0,76.52,76.52,76.52,0.0,0.0,76.59,76.59,76.59,0.0,0.0
2017-12-17,77.16,77.16,77.16,0.0,0.0,77.56,77.56,77.56,0.0,0.0,77.16,77.16,77.16,0.0,0.0,77.56,77.56,77.56,0.0,0.0
2017-12-24,78.63,78.63,78.63,0.0,0.0,78.81,78.81,78.81,0.0,0.0,78.5,78.5,78.5,0.0,0.0,78.5,78.5,78.5,0.0,0.0
2017-12-31,79.64,79.64,79.64,0.0,0.0,79.71,79.71,79.71,0.0,0.0,79.47,79.47,79.47,0.0,0.0,79.49,79.49,79.49,0.0,0.0
