Date,iShares MSCI Emerging MarketsEtf_Open_average,iShares MSCI Emerging MarketsEtf_Open_max,iShares MSCI Emerging MarketsEtf_Open_min,iShares MSCI Emerging MarketsEtf_Open_volatility,iShares MSCI Emerging MarketsEtf_Open_change,iShares MSCI Emerging MarketsEtf_High_average,iShares MSCI Emerging MarketsEtf_High_max,iShares MSCI Emerging MarketsEtf_High_min,iShares MSCI Emerging MarketsEtf_High_volatility,iShares MSCI Emerging MarketsEtf_High_change,iShares MSCI Emerging MarketsEtf_Low_average,iShares MSCI Emerging MarketsEtf_Low_max,iShares MSCI Emerging MarketsEtf_Low_min,iShares MSCI Emerging MarketsEtf_Low_volatility,iShares MSCI Emerging MarketsEtf_Low_change,iShares MSCI Emerging MarketsEtf_Close_average,iShares MSCI Emerging MarketsEtf_Close_max,iShares MSCI Emerging MarketsEtf_Close_min,iShares MSCI Emerging MarketsEtf_Close_volatility,iShares MSCI Emerging MarketsEtf_Close_change
2016-06-05,33.5,33.5,33.5,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2016-06-12,33.04,33.04,33.04,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.82,32.82,32.82,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2016-06-19,32.56,32.56,32.56,0.0,0.0,33.26,33.26,33.26,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2016-06-26,34.41,34.41,34.41,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2016-07-03,33.95,33.95,33.95,0.0,0.0,34.3,34.3,34.3,0.0,0.0,33.91,33.91,33.91,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2016-07-10,35.53,35.53,35.53,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2016-07-17,35.61,35.61,35.61,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2016-07-24,35.81,35.81,35.81,0.0,0.0,36.03,36.03,36.03,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2016-07-31,36.24,36.24,36.24,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2016-08-07,37.28,37.28,37.28,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.26,37.26,37.26,0.0,0.0
2016-08-14,37.18,37.18,37.18,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2016-08-21,36.94,36.94,36.94,0.0,0.0,37.32,37.32,37.32,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2016-08-28,37.09,37.09,37.09,0.0,0.0,37.21,37.21,37.21,0.0,0.0,36.93,36.93,36.93,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2016-09-04,37.18,37.18,37.18,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2016-09-11,36.24,36.24,36.24,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2016-09-18,37.58,37.58,37.58,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2016-09-25,37.23,37.23,37.23,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2016-10-02,37.68,37.68,37.68,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2016-10-09,36.91,36.91,36.91,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2016-10-16,37.17,37.17,37.17,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2016-10-23,36.9,36.9,36.9,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2016-10-30,35.79,35.79,35.79,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2016-11-06,34.34,34.34,34.34,0.0,0.0,34.63,34.63,34.63,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2016-11-13,34.61,34.61,34.61,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2016-11-20,35.07,35.07,35.07,0.0,0.0,35.1,35.1,35.1,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2016-11-27,34.87,34.87,34.87,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.91,34.91,34.91,0.0,0.0
2016-12-04,35.92,35.92,35.92,0.0,0.0,36.06,36.06,36.06,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2016-12-11,35.02,35.02,35.02,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2016-12-18,33.91,33.91,33.91,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2016-12-25,35.04,35.04,35.04,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2017-01-01,35.75,35.75,35.75,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2017-01-08,36.35,36.35,36.35,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2017-01-15,36.17,36.17,36.17,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2017-01-22,37.22,37.22,37.22,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2017-01-29,37.46,37.46,37.46,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2017-02-05,37.73,37.73,37.73,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2017-02-12,38.02,38.02,38.02,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.99,37.99,37.99,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2017-02-19,38.24,38.24,38.24,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2017-02-26,37.85,37.85,37.85,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2017-03-05,37.66,37.66,37.66,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.78,37.78,37.78,0.0,0.0
2017-03-12,39.36,39.36,39.36,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2017-03-19,39.44,39.44,39.44,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2017-03-26,39.18,39.18,39.18,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.07,39.07,39.07,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2017-04-02,39.12,39.12,39.12,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.13,39.13,39.13,0.0,0.0
2017-04-09,39.16,39.16,39.16,0.0,0.0,39.26,39.26,39.26,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2017-04-16,39.06,39.06,39.06,0.0,0.0,39.11,39.11,39.11,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.05,39.05,39.05,0.0,0.0
2017-04-23,39.8,39.8,39.8,0.0,0.0,39.89,39.89,39.89,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.82,39.82,39.82,0.0,0.0
2017-04-30,39.56,39.56,39.56,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2017-05-07,40.86,40.86,40.86,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.97,40.97,40.97,0.0,0.0
2017-05-14,40.63,40.63,40.63,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2017-05-21,41.42,41.42,41.42,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.49,41.49,41.49,0.0,0.0
2017-05-28,41.45,41.45,41.45,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2017-06-04,41.71,41.71,41.71,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2017-06-11,40.99,40.99,40.99,0.0,0.0,41.04,41.04,41.04,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.97,40.97,40.97,0.0,0.0
2017-06-18,41.1,41.1,41.1,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.25,41.25,41.25,0.0,0.0
2017-06-25,41.2,41.2,41.2,0.0,0.0,41.32,41.32,41.32,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2017-07-02,40.91,40.91,40.91,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2017-07-09,42.91,42.91,42.91,0.0,0.0,43.19,43.19,43.19,0.0,0.0,42.89,42.89,42.89,0.0,0.0,43.16,43.16,43.16,0.0,0.0
2017-07-16,43.41,43.41,43.41,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2017-07-23,43.35,43.35,43.35,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.49,43.49,43.49,0.0,0.0
2017-07-30,43.63,43.63,43.63,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.69,43.69,43.69,0.0,0.0
2017-08-06,42.61,42.61,42.61,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.66,42.66,42.66,0.0,0.0
2017-08-13,43.21,43.21,43.21,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.03,43.03,43.03,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2017-08-20,44.65,44.65,44.65,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.66,44.66,44.66,0.0,0.0
2017-08-27,44.74,44.74,44.74,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2017-09-03,44.85,44.85,44.85,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.62,44.62,44.62,0.0,0.0
2017-09-10,45.13,45.13,45.13,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2017-09-17,45.12,45.12,45.12,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2017-09-24,44.37,44.37,44.37,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.28,44.28,44.28,0.0,0.0,44.54,44.54,44.54,0.0,0.0
2017-10-01,45.17,45.17,45.17,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2017-10-08,46.38,46.38,46.38,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2017-10-15,46.04,46.04,46.04,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.98,45.98,45.98,0.0,0.0
2017-10-22,45.45,45.45,45.45,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.86,45.86,45.86,0.0,0.0
2017-10-29,46.26,46.26,46.26,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.82,45.82,45.82,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2017-11-05,46.15,46.15,46.15,0.0,0.0,46.18,46.18,46.18,0.0,0.0,45.91,45.91,45.91,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2017-11-12,46.44,46.44,46.44,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2017-11-19,47.37,47.37,47.37,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2017-11-26,45.7,45.7,45.7,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2017-12-03,45.64,45.64,45.64,0.0,0.0,45.72,45.72,45.72,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2017-12-10,45.88,45.88,45.88,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2017-12-17,46.01,46.01,46.01,0.0,0.0,46.23,46.23,46.23,0.0,0.0,45.95,45.95,45.95,0.0,0.0,46.22,46.22,46.22,0.0,0.0
2017-12-24,47.0,47.0,47.0,0.0,0.0,47.04,47.04,47.04,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.84,46.84,46.84,0.0,0.0
2017-12-31,48.53,48.53,48.53,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.84,48.84,48.84,0.0,0.0
