Date,iShares Cohen & Steers REIT_etf_Open_average,iShares Cohen & Steers REIT_etf_Open_max,iShares Cohen & Steers REIT_etf_Open_min,iShares Cohen & Steers REIT_etf_Open_volatility,iShares Cohen & Steers REIT_etf_Open_change,iShares Cohen & Steers REIT_etf_High_average,iShares Cohen & Steers REIT_etf_High_max,iShares Cohen & Steers REIT_etf_High_min,iShares Cohen & Steers REIT_etf_High_volatility,iShares Cohen & Steers REIT_etf_High_change,iShares Cohen & Steers REIT_etf_Low_average,iShares Cohen & Steers REIT_etf_Low_max,iShares Cohen & Steers REIT_etf_Low_min,iShares Cohen & Steers REIT_etf_Low_volatility,iShares Cohen & Steers REIT_etf_Low_change,iShares Cohen & Steers REIT_etf_Close_average,iShares Cohen & Steers REIT_etf_Close_max,iShares Cohen & Steers REIT_etf_Close_min,iShares Cohen & Steers REIT_etf_Close_volatility,iShares Cohen & Steers REIT_etf_Close_change
2016-10-02,99.99,99.99,99.99,0.0,0.0,101.17,101.17,101.17,0.0,0.0,98.94,98.94,98.94,0.0,0.0,99.3,99.3,99.3,0.0,0.0
2016-10-09,100.74,100.74,100.74,0.0,0.0,101.27,101.27,101.27,0.0,0.0,99.96,99.96,99.96,0.0,0.0,100.23,100.23,100.23,0.0,0.0
2016-10-16,100.41,100.41,100.41,0.0,0.0,100.7,100.7,100.7,0.0,0.0,100.14,100.14,100.14,0.0,0.0,100.54,100.54,100.54,0.0,0.0
2016-10-23,96.94,96.94,96.94,0.0,0.0,97.98,97.98,97.98,0.0,0.0,96.8,96.8,96.8,0.0,0.0,97.15,97.15,97.15,0.0,0.0
2016-10-30,94.85,94.85,94.85,0.0,0.0,95.7,95.7,95.7,0.0,0.0,94.33,94.33,94.33,0.0,0.0,95.48,95.48,95.48,0.0,0.0
2016-11-06,94.37,94.37,94.37,0.0,0.0,96.23,96.23,96.23,0.0,0.0,94.37,94.37,94.37,0.0,0.0,94.89,94.89,94.89,0.0,0.0
2016-11-13,94.97,94.97,94.97,0.0,0.0,95.32,95.32,95.32,0.0,0.0,94.37,94.37,94.37,0.0,0.0,94.9,94.9,94.9,0.0,0.0
2016-11-20,95.74,95.74,95.74,0.0,0.0,96.64,96.64,96.64,0.0,0.0,95.73,95.73,95.73,0.0,0.0,95.99,95.99,95.99,0.0,0.0
2016-11-27,95.44,95.44,95.44,0.0,0.0,97.03,97.03,97.03,0.0,0.0,95.44,95.44,95.44,0.0,0.0,95.99,95.99,95.99,0.0,0.0
2016-12-04,99.96,99.96,99.96,0.0,0.0,100.79,100.79,100.79,0.0,0.0,99.51,99.51,99.51,0.0,0.0,99.61,99.61,99.61,0.0,0.0
2016-12-11,98.4,98.4,98.4,0.0,0.0,100.11,100.11,100.11,0.0,0.0,98.4,98.4,98.4,0.0,0.0,99.53,99.53,99.53,0.0,0.0
2016-12-18,97.43,97.43,97.43,0.0,0.0,97.8,97.8,97.8,0.0,0.0,97.18,97.18,97.18,0.0,0.0,97.68,97.68,97.68,0.0,0.0
2016-12-25,98.59,98.59,98.59,0.0,0.0,99.81,99.81,99.81,0.0,0.0,98.04,98.04,98.04,0.0,0.0,99.64,99.64,99.64,0.0,0.0
2017-01-01,101.61,101.61,101.61,0.0,0.0,102.49,102.49,102.49,0.0,0.0,101.35,101.35,101.35,0.0,0.0,102.07,102.07,102.07,0.0,0.0
2017-01-08,99.57,99.57,99.57,0.0,0.0,99.82,99.82,99.82,0.0,0.0,99.19,99.19,99.19,0.0,0.0,99.43,99.43,99.43,0.0,0.0
2017-01-15,99.61,99.61,99.61,0.0,0.0,100.35,100.35,100.35,0.0,0.0,99.24,99.24,99.24,0.0,0.0,100.28,100.28,100.28,0.0,0.0
2017-01-22,100.07,100.07,100.07,0.0,0.0,100.31,100.31,100.31,0.0,0.0,98.66,98.66,98.66,0.0,0.0,99.03,99.03,99.03,0.0,0.0
2017-01-29,99.7,99.7,99.7,0.0,0.0,100.02,100.02,100.02,0.0,0.0,99.14,99.14,99.14,0.0,0.0,99.43,99.43,99.43,0.0,0.0
2017-02-05,99.98,99.98,99.98,0.0,0.0,100.78,100.78,100.78,0.0,0.0,99.71,99.71,99.71,0.0,0.0,100.74,100.74,100.74,0.0,0.0
2017-02-12,100.45,100.45,100.45,0.0,0.0,100.9,100.9,100.9,0.0,0.0,99.87,99.87,99.87,0.0,0.0,100.79,100.79,100.79,0.0,0.0
2017-02-19,102.44,102.44,102.44,0.0,0.0,103.03,103.03,103.03,0.0,0.0,101.96,101.96,101.96,0.0,0.0,102.98,102.98,102.98,0.0,0.0
2017-02-26,101.88,101.88,101.88,0.0,0.0,101.94,101.94,101.94,0.0,0.0,100.57,100.57,100.57,0.0,0.0,101.56,101.56,101.56,0.0,0.0
2017-03-05,98.26,98.26,98.26,0.0,0.0,98.77,98.77,98.77,0.0,0.0,96.79,96.79,96.79,0.0,0.0,97.3,97.3,97.3,0.0,0.0
2017-03-12,99.41,99.41,99.41,0.0,0.0,100.02,100.02,100.02,0.0,0.0,99.06,99.06,99.06,0.0,0.0,99.56,99.56,99.56,0.0,0.0
2017-03-19,99.63,99.63,99.63,0.0,0.0,99.92,99.92,99.92,0.0,0.0,99.09,99.09,99.09,0.0,0.0,99.21,99.21,99.21,0.0,0.0
2017-03-26,99.0,99.0,99.0,0.0,0.0,100.05,100.05,100.05,0.0,0.0,99.0,99.0,99.0,0.0,0.0,99.75,99.75,99.75,0.0,0.0
2017-04-02,100.59,100.59,100.59,0.0,0.0,101.17,101.17,101.17,0.0,0.0,100.54,100.54,100.54,0.0,0.0,100.74,100.74,100.74,0.0,0.0
2017-04-09,101.75,101.75,101.75,0.0,0.0,102.07,102.07,102.07,0.0,0.0,101.52,101.52,101.52,0.0,0.0,101.59,101.59,101.59,0.0,0.0
2017-04-16,102.66,102.66,102.66,0.0,0.0,102.92,102.92,102.92,0.0,0.0,102.33,102.33,102.33,0.0,0.0,102.43,102.43,102.43,0.0,0.0
2017-04-23,100.08,100.08,100.08,0.0,0.0,100.4,100.4,100.4,0.0,0.0,99.16,99.16,99.16,0.0,0.0,99.64,99.64,99.64,0.0,0.0
2017-04-30,99.33,99.33,99.33,0.0,0.0,99.77,99.77,99.77,0.0,0.0,99.19,99.19,99.19,0.0,0.0,99.74,99.74,99.74,0.0,0.0
2017-05-07,99.32,99.32,99.32,0.0,0.0,99.4,99.4,99.4,0.0,0.0,98.85,98.85,98.85,0.0,0.0,98.94,98.94,98.94,0.0,0.0
2017-05-14,99.57,99.57,99.57,0.0,0.0,100.58,100.58,100.58,0.0,0.0,99.05,99.05,99.05,0.0,0.0,100.04,100.04,100.04,0.0,0.0
2017-05-21,101.14,101.14,101.14,0.0,0.0,101.42,101.42,101.42,0.0,0.0,100.17,100.17,100.17,0.0,0.0,100.43,100.43,100.43,0.0,0.0
2017-05-28,100.6,100.6,100.6,0.0,0.0,101.3,101.3,101.3,0.0,0.0,100.55,100.55,100.55,0.0,0.0,101.22,101.22,101.22,0.0,0.0
2017-06-04,100.51,100.51,100.51,0.0,0.0,101.3,101.3,101.3,0.0,0.0,100.29,100.29,100.29,0.0,0.0,101.1,101.1,101.1,0.0,0.0
2017-06-11,103.18,103.18,103.18,0.0,0.0,103.37,103.37,103.37,0.0,0.0,102.58,102.58,102.58,0.0,0.0,102.96,102.96,102.96,0.0,0.0
2017-06-18,102.78,102.78,102.78,0.0,0.0,103.69,103.69,103.69,0.0,0.0,102.78,102.78,102.78,0.0,0.0,103.09,103.09,103.09,0.0,0.0
2017-06-25,101.38,101.38,101.38,0.0,0.0,101.9,101.9,101.9,0.0,0.0,100.89,100.89,100.89,0.0,0.0,101.12,101.12,101.12,0.0,0.0
2017-07-02,99.0,99.0,99.0,0.0,0.0,99.69,99.69,99.69,0.0,0.0,98.89,98.89,98.89,0.0,0.0,99.44,99.44,99.44,0.0,0.0
2017-07-09,100.16,100.16,100.16,0.0,0.0,100.89,100.89,100.89,0.0,0.0,100.16,100.16,100.16,0.0,0.0,100.69,100.69,100.69,0.0,0.0
2017-07-16,101.64,101.64,101.64,0.0,0.0,101.71,101.71,101.71,0.0,0.0,101.12,101.12,101.12,0.0,0.0,101.56,101.56,101.56,0.0,0.0
2017-07-23,102.13,102.13,102.13,0.0,0.0,102.69,102.69,102.69,0.0,0.0,101.94,101.94,101.94,0.0,0.0,102.22,102.22,102.22,0.0,0.0
2017-07-30,100.91,100.91,100.91,0.0,0.0,102.18,102.18,102.18,0.0,0.0,100.91,100.91,100.91,0.0,0.0,101.78,101.78,101.78,0.0,0.0
2017-08-06,100.22,100.22,100.22,0.0,0.0,100.22,100.22,100.22,0.0,0.0,99.19,99.19,99.19,0.0,0.0,99.63,99.63,99.63,0.0,0.0
2017-08-13,100.63,100.63,100.63,0.0,0.0,101.45,101.45,101.45,0.0,0.0,99.51,99.51,99.51,0.0,0.0,99.77,99.77,99.77,0.0,0.0
2017-08-20,101.55,101.55,101.55,0.0,0.0,102.35,102.35,102.35,0.0,0.0,101.37,101.37,101.37,0.0,0.0,101.95,101.95,101.95,0.0,0.0
2017-08-27,102.18,102.18,102.18,0.0,0.0,102.84,102.84,102.84,0.0,0.0,101.93,101.93,101.93,0.0,0.0,102.37,102.37,102.37,0.0,0.0
2017-09-03,103.03,103.03,103.03,0.0,0.0,103.52,103.52,103.52,0.0,0.0,102.51,102.51,102.51,0.0,0.0,103.15,103.15,103.15,0.0,0.0
2017-09-10,103.39,103.39,103.39,0.0,0.0,103.63,103.63,103.63,0.0,0.0,102.72,102.72,102.72,0.0,0.0,103.24,103.24,103.24,0.0,0.0
2017-09-17,102.0,102.0,102.0,0.0,0.0,102.14,102.14,102.14,0.0,0.0,100.75,100.75,100.75,0.0,0.0,100.85,100.85,100.85,0.0,0.0
2017-09-24,100.88,100.88,100.88,0.0,0.0,100.88,100.88,100.88,0.0,0.0,100.05,100.05,100.05,0.0,0.0,100.65,100.65,100.65,0.0,0.0
2017-10-01,100.22,100.22,100.22,0.0,0.0,100.92,100.92,100.92,0.0,0.0,99.87,99.87,99.87,0.0,0.0,100.9,100.9,100.9,0.0,0.0
2017-10-08,102.85,102.85,102.85,0.0,0.0,103.02,103.02,103.02,0.0,0.0,102.41,102.41,102.41,0.0,0.0,102.74,102.74,102.74,0.0,0.0
2017-10-15,101.9,101.9,101.9,0.0,0.0,101.96,101.96,101.96,0.0,0.0,101.05,101.05,101.05,0.0,0.0,101.39,101.39,101.39,0.0,0.0
2017-10-22,99.24,99.24,99.24,0.0,0.0,99.87,99.87,99.87,0.0,0.0,98.37,98.37,98.37,0.0,0.0,99.59,99.59,99.59,0.0,0.0
2017-10-29,100.65,100.65,100.65,0.0,0.0,101.36,101.36,101.36,0.0,0.0,100.27,100.27,100.27,0.0,0.0,101.09,101.09,101.09,0.0,0.0
2017-11-05,102.7,102.7,102.7,0.0,0.0,103.75,103.75,103.75,0.0,0.0,102.7,102.7,102.7,0.0,0.0,103.3,103.3,103.3,0.0,0.0
2017-11-12,103.73,103.73,103.73,0.0,0.0,103.73,103.73,103.73,0.0,0.0,102.75,102.75,102.75,0.0,0.0,103.09,103.09,103.09,0.0,0.0
2017-11-19,102.96,102.96,102.96,0.0,0.0,103.2,103.2,103.2,0.0,0.0,102.96,102.96,102.96,0.0,0.0,103.06,103.06,103.06,0.0,0.0
2017-11-26,102.42,102.42,102.42,0.0,0.0,103.16,103.16,103.16,0.0,0.0,102.03,102.03,102.03,0.0,0.0,102.78,102.78,102.78,0.0,0.0
2017-12-03,101.5,101.5,101.5,0.0,0.0,102.1,102.1,102.1,0.0,0.0,101.39,101.39,101.39,0.0,0.0,101.93,101.93,101.93,0.0,0.0
2017-12-10,102.7,102.7,102.7,0.0,0.0,103.45,103.45,103.45,0.0,0.0,102.69,102.69,102.69,0.0,0.0,103.26,103.26,103.26,0.0,0.0
2017-12-17,98.9,98.9,98.9,0.0,0.0,99.91,99.91,99.91,0.0,0.0,98.9,98.9,98.9,0.0,0.0,99.75,99.75,99.75,0.0,0.0
2017-12-24,101.3,101.3,101.3,0.0,0.0,102.1,102.1,102.1,0.0,0.0,101.15,101.15,101.15,0.0,0.0,101.32,101.32,101.32,0.0,0.0
2017-12-31,98.84,98.84,98.84,0.0,0.0,99.16,99.16,99.16,0.0,0.0,98.77,98.77,98.77,0.0,0.0,99.03,99.03,99.03,0.0,0.0
