Date,PowerShares S&P SmallCap Information TechnologyEtf_Open_average,PowerShares S&P SmallCap Information TechnologyEtf_Open_max,PowerShares S&P SmallCap Information TechnologyEtf_Open_min,PowerShares S&P SmallCap Information TechnologyEtf_Open_volatility,PowerShares S&P SmallCap Information TechnologyEtf_Open_change,PowerShares S&P SmallCap Information TechnologyEtf_High_average,PowerShares S&P SmallCap Information TechnologyEtf_High_max,PowerShares S&P SmallCap Information TechnologyEtf_High_min,PowerShares S&P SmallCap Information TechnologyEtf_High_volatility,PowerShares S&P SmallCap Information TechnologyEtf_High_change,PowerShares S&P SmallCap Information TechnologyEtf_Low_average,PowerShares S&P SmallCap Information TechnologyEtf_Low_max,PowerShares S&P SmallCap Information TechnologyEtf_Low_min,PowerShares S&P SmallCap Information TechnologyEtf_Low_volatility,PowerShares S&P SmallCap Information TechnologyEtf_Low_change,PowerShares S&P SmallCap Information TechnologyEtf_Close_average,PowerShares S&P SmallCap Information TechnologyEtf_Close_max,PowerShares S&P SmallCap Information TechnologyEtf_Close_min,PowerShares S&P SmallCap Information TechnologyEtf_Close_volatility,PowerShares S&P SmallCap Information TechnologyEtf_Close_change
2016-04-10,54.86,54.86,54.86,0.0,0.0,54.99,54.99,54.99,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2016-04-17,54.36,54.36,54.36,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2016-04-24,54.5,54.5,54.5,0.0,0.0,54.56,54.56,54.56,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2016-05-01,52.58,52.58,52.58,0.0,0.0,53.34,53.34,53.34,0.0,0.0,52.52,52.52,52.52,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2016-05-08,52.77,52.77,52.77,0.0,0.0,53.36,53.36,53.36,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2016-05-15,52.47,52.47,52.47,0.0,0.0,53.19,53.19,53.19,0.0,0.0,52.47,52.47,52.47,0.0,0.0,53.19,53.19,53.19,0.0,0.0
2016-05-22,55.48,55.48,55.48,0.0,0.0,55.9,55.9,55.9,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.87,55.87,55.87,0.0,0.0
2016-05-29,56.74,56.74,56.74,0.0,0.0,56.74,56.74,56.74,0.0,0.0,56.11,56.11,56.11,0.0,0.0,56.59,56.59,56.59,0.0,0.0
2016-06-05,56.88,56.88,56.88,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.56,56.56,56.56,0.0,0.0
2016-06-12,56.21,56.21,56.21,0.0,0.0,56.21,56.21,56.21,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.79,55.79,55.79,0.0,0.0
2016-06-19,55.26,55.26,55.26,0.0,0.0,55.67,55.67,55.67,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2016-06-26,55.53,55.53,55.53,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.17,55.17,55.17,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2016-07-03,55.49,55.49,55.49,0.0,0.0,56.4,56.4,56.4,0.0,0.0,55.49,55.49,55.49,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2016-07-10,58.05,58.05,58.05,0.0,0.0,58.18,58.18,58.18,0.0,0.0,57.8,57.8,57.8,0.0,0.0,58.03,58.03,58.03,0.0,0.0
2016-07-17,57.65,57.65,57.65,0.0,0.0,58.28,58.28,58.28,0.0,0.0,57.57,57.57,57.57,0.0,0.0,58.17,58.17,58.17,0.0,0.0
2016-07-24,59.43,59.43,59.43,0.0,0.0,59.43,59.43,59.43,0.0,0.0,58.7,58.7,58.7,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2016-07-31,59.34,59.34,59.34,0.0,0.0,59.85,59.85,59.85,0.0,0.0,59.14,59.14,59.14,0.0,0.0,59.78,59.78,59.78,0.0,0.0
2016-08-07,60.02,60.02,60.02,0.0,0.0,60.3,60.3,60.3,0.0,0.0,59.97,59.97,59.97,0.0,0.0,60.28,60.28,60.28,0.0,0.0
2016-08-14,60.72,60.72,60.72,0.0,0.0,61.01,61.01,61.01,0.0,0.0,60.42,60.42,60.42,0.0,0.0,60.88,60.88,60.88,0.0,0.0
2016-08-21,61.81,61.81,61.81,0.0,0.0,61.98,61.98,61.98,0.0,0.0,61.22,61.22,61.22,0.0,0.0,61.64,61.64,61.64,0.0,0.0
2016-08-28,62.31,62.31,62.31,0.0,0.0,62.77,62.77,62.77,0.0,0.0,62.07,62.07,62.07,0.0,0.0,62.77,62.77,62.77,0.0,0.0
2016-09-04,62.06,62.06,62.06,0.0,0.0,62.13,62.13,62.13,0.0,0.0,60.95,60.95,60.95,0.0,0.0,60.97,60.97,60.97,0.0,0.0
2016-09-11,61.8,61.8,61.8,0.0,0.0,61.8,61.8,61.8,0.0,0.0,61.23,61.23,61.23,0.0,0.0,61.52,61.52,61.52,0.0,0.0
2016-09-18,63.84,63.84,63.84,0.0,0.0,63.87,63.87,63.87,0.0,0.0,63.46,63.46,63.46,0.0,0.0,63.59,63.59,63.59,0.0,0.0
2016-09-25,63.24,63.24,63.24,0.0,0.0,63.72,63.72,63.72,0.0,0.0,62.9,62.9,62.9,0.0,0.0,63.45,63.45,63.45,0.0,0.0
2016-10-02,64.05,64.05,64.05,0.0,0.0,64.22,64.22,64.22,0.0,0.0,63.13,63.13,63.13,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2016-10-09,61.65,61.65,61.65,0.0,0.0,62.1,62.1,62.1,0.0,0.0,61.5,61.5,61.5,0.0,0.0,61.75,61.75,61.75,0.0,0.0
2016-10-16,61.02,61.02,61.02,0.0,0.0,61.56,61.56,61.56,0.0,0.0,60.87,60.87,60.87,0.0,0.0,61.51,61.51,61.51,0.0,0.0
2016-10-23,61.12,61.12,61.12,0.0,0.0,62.02,62.02,62.02,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.2,61.2,61.2,0.0,0.0
2016-10-30,61.06,61.06,61.06,0.0,0.0,61.65,61.65,61.65,0.0,0.0,60.99,60.99,60.99,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2016-11-06,64.0,64.0,64.0,0.0,0.0,66.0,66.0,66.0,0.0,0.0,63.98,63.98,63.98,0.0,0.0,65.99,65.99,65.99,0.0,0.0
2016-11-13,67.59,67.59,67.59,0.0,0.0,67.59,67.59,67.59,0.0,0.0,67.19,67.19,67.19,0.0,0.0,67.53,67.53,67.53,0.0,0.0
2016-11-20,68.58,68.58,68.58,0.0,0.0,68.97,68.97,68.97,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.94,68.94,68.94,0.0,0.0
2016-11-27,66.13,66.13,66.13,0.0,0.0,66.72,66.72,66.72,0.0,0.0,65.84,65.84,65.84,0.0,0.0,66.63,66.63,66.63,0.0,0.0
2016-12-04,71.15,71.15,71.15,0.0,0.0,71.15,71.15,71.15,0.0,0.0,70.27,70.27,70.27,0.0,0.0,70.61,70.61,70.61,0.0,0.0
2016-12-11,70.91,70.91,70.91,0.0,0.0,71.19,71.19,71.19,0.0,0.0,70.0,70.0,70.0,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2016-12-18,69.85,69.85,69.85,0.0,0.0,70.22,70.22,70.22,0.0,0.0,69.85,69.85,69.85,0.0,0.0,70.2,70.2,70.2,0.0,0.0
2016-12-25,70.55,70.55,70.55,0.0,0.0,70.55,70.55,70.55,0.0,0.0,69.37,69.37,69.37,0.0,0.0,69.65,69.65,69.65,0.0,0.0
2017-01-01,70.24,70.24,70.24,0.0,0.0,70.35,70.35,70.35,0.0,0.0,69.92,69.92,69.92,0.0,0.0,70.01,70.01,70.01,0.0,0.0
2017-01-08,70.21,70.21,70.21,0.0,0.0,70.86,70.86,70.86,0.0,0.0,70.21,70.21,70.21,0.0,0.0,70.71,70.71,70.71,0.0,0.0
2017-01-15,69.88,69.88,69.88,0.0,0.0,70.28,70.28,70.28,0.0,0.0,69.88,69.88,69.88,0.0,0.0,69.92,69.92,69.92,0.0,0.0
2017-01-22,71.86,71.86,71.86,0.0,0.0,71.86,71.86,71.86,0.0,0.0,71.55,71.55,71.55,0.0,0.0,71.78,71.78,71.78,0.0,0.0
2017-01-29,71.71,71.71,71.71,0.0,0.0,72.2,72.2,72.2,0.0,0.0,71.54,71.54,71.54,0.0,0.0,72.08,72.08,72.08,0.0,0.0
2017-02-05,73.56,73.56,73.56,0.0,0.0,73.57,73.57,73.57,0.0,0.0,72.89,72.89,72.89,0.0,0.0,73.36,73.36,73.36,0.0,0.0
2017-02-12,73.88,73.88,73.88,0.0,0.0,74.44,74.44,74.44,0.0,0.0,73.81,73.81,73.81,0.0,0.0,74.09,74.09,74.09,0.0,0.0
2017-02-19,72.67,72.67,72.67,0.0,0.0,73.31,73.31,73.31,0.0,0.0,72.51,72.51,72.51,0.0,0.0,73.27,73.27,73.27,0.0,0.0
2017-02-26,71.77,71.77,71.77,0.0,0.0,72.06,72.06,72.06,0.0,0.0,71.41,71.41,71.41,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2017-03-05,71.55,71.55,71.55,0.0,0.0,71.75,71.75,71.75,0.0,0.0,71.06,71.06,71.06,0.0,0.0,71.44,71.44,71.44,0.0,0.0
2017-03-12,72.98,72.98,72.98,0.0,0.0,73.68,73.68,73.68,0.0,0.0,72.74,72.74,72.74,0.0,0.0,73.51,73.51,73.51,0.0,0.0
2017-03-19,72.24,72.24,72.24,0.0,0.0,72.71,72.71,72.71,0.0,0.0,71.89,71.89,71.89,0.0,0.0,72.32,72.32,72.32,0.0,0.0
2017-03-26,73.03,73.03,73.03,0.0,0.0,73.18,73.18,73.18,0.0,0.0,72.64,72.64,72.64,0.0,0.0,73.01,73.01,73.01,0.0,0.0
2017-04-02,71.03,71.03,71.03,0.0,0.0,71.16,71.16,71.16,0.0,0.0,70.56,70.56,70.56,0.0,0.0,70.92,70.92,70.92,0.0,0.0
2017-04-09,69.86,69.86,69.86,0.0,0.0,70.18,70.18,70.18,0.0,0.0,69.15,69.15,69.15,0.0,0.0,69.15,69.15,69.15,0.0,0.0
2017-04-16,71.71,71.71,71.71,0.0,0.0,71.74,71.74,71.74,0.0,0.0,71.36,71.36,71.36,0.0,0.0,71.36,71.36,71.36,0.0,0.0
2017-04-23,73.35,73.35,73.35,0.0,0.0,73.35,73.35,73.35,0.0,0.0,72.4,72.4,72.4,0.0,0.0,72.55,72.55,72.55,0.0,0.0
2017-04-30,73.08,73.08,73.08,0.0,0.0,73.24,73.24,73.24,0.0,0.0,72.34,72.34,72.34,0.0,0.0,73.24,73.24,73.24,0.0,0.0
2017-05-07,73.89,73.89,73.89,0.0,0.0,73.95,73.95,73.95,0.0,0.0,73.33,73.33,73.33,0.0,0.0,73.68,73.68,73.68,0.0,0.0
2017-05-14,72.6,72.6,72.6,0.0,0.0,73.05,73.05,73.05,0.0,0.0,72.47,72.47,72.47,0.0,0.0,72.59,72.59,72.59,0.0,0.0
2017-05-21,74.23,74.23,74.23,0.0,0.0,74.6,74.6,74.6,0.0,0.0,73.88,73.88,73.88,0.0,0.0,74.39,74.39,74.39,0.0,0.0
2017-05-28,75.41,75.41,75.41,0.0,0.0,76.55,76.55,76.55,0.0,0.0,75.41,75.41,75.41,0.0,0.0,76.08,76.08,76.08,0.0,0.0
2017-06-04,77.76,77.76,77.76,0.0,0.0,78.45,78.45,78.45,0.0,0.0,74.92,74.92,74.92,0.0,0.0,75.65,75.65,75.65,0.0,0.0
2017-06-11,74.69,74.69,74.69,0.0,0.0,74.73,74.73,74.73,0.0,0.0,73.88,73.88,73.88,0.0,0.0,74.21,74.21,74.21,0.0,0.0
2017-06-18,74.59,74.59,74.59,0.0,0.0,75.68,75.68,75.68,0.0,0.0,74.36,74.36,74.36,0.0,0.0,75.59,75.59,75.59,0.0,0.0
2017-06-25,74.08,74.08,74.08,0.0,0.0,74.34,74.34,74.34,0.0,0.0,73.77,73.77,73.77,0.0,0.0,73.98,73.98,73.98,0.0,0.0
2017-07-02,73.37,73.37,73.37,0.0,0.0,74.98,74.98,74.98,0.0,0.0,73.37,73.37,73.37,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2017-07-09,76.61,76.61,76.61,0.0,0.0,77.2,77.2,77.2,0.0,0.0,76.56,76.56,76.56,0.0,0.0,77.05,77.05,77.05,0.0,0.0
2017-07-16,78.17,78.17,78.17,0.0,0.0,78.31,78.31,78.31,0.0,0.0,77.83,77.83,77.83,0.0,0.0,77.92,77.92,77.92,0.0,0.0
2017-07-23,77.49,77.49,77.49,0.0,0.0,77.59,77.59,77.59,0.0,0.0,76.82,76.82,76.82,0.0,0.0,77.0,77.0,77.0,0.0,0.0
2017-07-30,75.13,75.13,75.13,0.0,0.0,75.13,75.13,75.13,0.0,0.0,74.06,74.06,74.06,0.0,0.0,74.21,74.21,74.21,0.0,0.0
2017-08-06,72.68,72.68,72.68,0.0,0.0,73.18,73.18,73.18,0.0,0.0,72.62,72.62,72.62,0.0,0.0,73.12,73.12,73.12,0.0,0.0
2017-08-13,71.82,71.82,71.82,0.0,0.0,72.39,72.39,72.39,0.0,0.0,71.56,71.56,71.56,0.0,0.0,72.16,72.16,72.16,0.0,0.0
2017-08-20,72.98,72.98,72.98,0.0,0.0,73.1,73.1,73.1,0.0,0.0,72.57,72.57,72.57,0.0,0.0,72.86,72.86,72.86,0.0,0.0
2017-08-27,74.35,74.35,74.35,0.0,0.0,74.73,74.73,74.73,0.0,0.0,74.35,74.35,74.35,0.0,0.0,74.67,74.67,74.67,0.0,0.0
2017-09-03,73.84,73.84,73.84,0.0,0.0,74.1,74.1,74.1,0.0,0.0,73.58,73.58,73.58,0.0,0.0,73.59,73.59,73.59,0.0,0.0
2017-09-10,75.38,75.38,75.38,0.0,0.0,76.04,76.04,76.04,0.0,0.0,75.38,75.38,75.38,0.0,0.0,76.02,76.02,76.02,0.0,0.0
2017-09-17,76.12,76.12,76.12,0.0,0.0,77.29,77.29,77.29,0.0,0.0,75.99,75.99,75.99,0.0,0.0,77.21,77.21,77.21,0.0,0.0
2017-09-24,78.67,78.67,78.67,0.0,0.0,79.24,79.24,79.24,0.0,0.0,78.57,78.57,78.57,0.0,0.0,79.04,79.04,79.04,0.0,0.0
2017-10-01,80.0,80.0,80.0,0.0,0.0,80.72,80.72,80.72,0.0,0.0,80.0,80.0,80.0,0.0,0.0,80.63,80.63,80.63,0.0,0.0
2017-10-08,81.22,81.22,81.22,0.0,0.0,81.35,81.35,81.35,0.0,0.0,80.95,80.95,80.95,0.0,0.0,80.95,80.95,80.95,0.0,0.0
2017-10-15,80.68,80.68,80.68,0.0,0.0,80.89,80.89,80.89,0.0,0.0,80.38,80.38,80.38,0.0,0.0,80.38,80.38,80.38,0.0,0.0
2017-10-22,80.72,80.72,80.72,0.0,0.0,81.28,81.28,81.28,0.0,0.0,80.31,80.31,80.31,0.0,0.0,81.28,81.28,81.28,0.0,0.0
2017-10-29,78.99,78.99,78.99,0.0,0.0,79.03,79.03,79.03,0.0,0.0,77.77,77.77,77.77,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2017-11-05,77.67,77.67,77.67,0.0,0.0,77.9,77.9,77.9,0.0,0.0,77.67,77.67,77.67,0.0,0.0,77.71,77.71,77.71,0.0,0.0
2017-11-12,78.24,78.24,78.24,0.0,0.0,78.8,78.8,78.8,0.0,0.0,77.92,77.92,77.92,0.0,0.0,78.23,78.23,78.23,0.0,0.0
2017-11-19,80.61,80.61,80.61,0.0,0.0,80.8,80.8,80.8,0.0,0.0,80.31,80.31,80.31,0.0,0.0,80.76,80.76,80.76,0.0,0.0
2017-11-26,78.43,78.43,78.43,0.0,0.0,78.53,78.53,78.53,0.0,0.0,75.46,75.46,75.46,0.0,0.0,77.39,77.39,77.39,0.0,0.0
2017-12-03,76.33,76.33,76.33,0.0,0.0,76.37,76.37,76.37,0.0,0.0,75.73,75.73,75.73,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2017-12-10,76.63,76.63,76.63,0.0,0.0,77.59,77.59,77.59,0.0,0.0,76.11,76.11,76.11,0.0,0.0,77.1,77.1,77.1,0.0,0.0
2017-12-17,77.79,77.79,77.79,0.0,0.0,77.79,77.79,77.79,0.0,0.0,77.01,77.01,77.01,0.0,0.0,77.01,77.01,77.01,0.0,0.0
2017-12-24,77.2,77.2,77.2,0.0,0.0,77.2,77.2,77.2,0.0,0.0,76.4,76.4,76.4,0.0,0.0,76.44,76.44,76.44,0.0,0.0
2017-12-31,78.69,78.69,78.69,0.0,0.0,78.93,78.93,78.93,0.0,0.0,78.38,78.38,78.38,0.0,0.0,78.93,78.93,78.93,0.0,0.0
