Date,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_average,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_max,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_min,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_volatility,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_change,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_average,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_max,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_min,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_volatility,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_change,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_average,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_max,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_min,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_volatility,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_change,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_average,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_max,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_min,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_volatility,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_change
2016-03-27,48.6,48.6,48.6,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2016-04-03,47.11,47.11,47.11,0.0,0.0,47.11,47.11,47.11,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2016-04-10,48.17,48.17,48.17,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2016-04-17,48.77,48.77,48.77,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2016-04-24,48.02,48.02,48.02,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.83,47.83,47.83,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2016-05-01,46.88,46.88,46.88,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.73,46.73,46.73,0.0,0.0,47.35,47.35,47.35,0.0,0.0
2016-05-08,46.44,46.44,46.44,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.26,46.26,46.26,0.0,0.0
2016-05-15,45.65,45.65,45.65,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.59,45.59,45.59,0.0,0.0,45.74,45.74,45.74,0.0,0.0
2016-05-22,46.96,46.96,46.96,0.0,0.0,47.45,47.45,47.45,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2016-05-29,47.63,47.63,47.63,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2016-06-05,47.9,47.9,47.9,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2016-06-12,47.57,47.57,47.57,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2016-06-19,46.61,46.61,46.61,0.0,0.0,47.26,47.26,47.26,0.0,0.0,46.23,46.23,46.23,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2016-06-26,48.23,48.23,48.23,0.0,0.0,48.35,48.35,48.35,0.0,0.0,47.72,47.72,47.72,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2016-07-03,48.58,48.58,48.58,0.0,0.0,49.34,49.34,49.34,0.0,0.0,48.58,48.58,48.58,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2016-07-10,50.07,50.07,50.07,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2016-07-17,50.36,50.36,50.36,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2016-07-24,50.07,50.07,50.07,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2016-07-31,50.07,50.07,50.07,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2016-08-07,49.77,49.77,49.77,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2016-08-14,50.22,50.22,50.22,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2016-08-21,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2016-08-28,48.86,48.86,48.86,0.0,0.0,49.25,49.25,49.25,0.0,0.0,48.86,48.86,48.86,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2016-09-04,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.93,47.93,47.93,0.0,0.0
2016-09-11,47.91,47.91,47.91,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.83,47.83,47.83,0.0,0.0
2016-09-18,49.17,49.17,49.17,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2016-09-25,48.16,48.16,48.16,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2016-10-02,48.49,48.49,48.49,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2016-10-09,47.85,47.85,47.85,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2016-10-16,46.66,46.66,46.66,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.92,46.92,46.92,0.0,0.0
2016-10-23,46.22,46.22,46.22,0.0,0.0,46.34,46.34,46.34,0.0,0.0,45.89,45.89,45.89,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2016-10-30,45.08,45.08,45.08,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.08,45.08,45.08,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2016-11-06,49.04,49.04,49.04,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.04,49.04,49.04,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2016-11-13,51.22,51.22,51.22,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2016-11-20,53.08,53.08,53.08,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.91,52.91,52.91,0.0,0.0,53.02,53.02,53.02,0.0,0.0
2016-11-27,51.76,51.76,51.76,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2016-12-04,55.75,55.75,55.75,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2016-12-11,53.62,53.62,53.62,0.0,0.0,54.12,54.12,54.12,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.6,53.6,53.6,0.0,0.0
2016-12-18,52.85,52.85,52.85,0.0,0.0,53.04,53.04,53.04,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2016-12-25,52.79,52.79,52.79,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2017-01-01,52.42,52.42,52.42,0.0,0.0,52.42,52.42,52.42,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2017-01-08,51.9,51.9,51.9,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0
2017-01-15,50.96,50.96,50.96,0.0,0.0,51.03,51.03,51.03,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2017-01-22,51.07,51.07,51.07,0.0,0.0,51.07,51.07,51.07,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2017-01-29,50.61,50.61,50.61,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2017-02-05,51.35,51.35,51.35,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2017-02-12,50.93,50.93,50.93,0.0,0.0,51.65,51.65,51.65,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2017-02-19,51.28,51.28,51.28,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.28,51.28,51.28,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2017-02-26,52.11,52.11,52.11,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2017-03-05,50.96,50.96,50.96,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2017-03-12,51.76,51.76,51.76,0.0,0.0,52.18,52.18,52.18,0.0,0.0,51.76,51.76,51.76,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2017-03-19,51.37,51.37,51.37,0.0,0.0,51.37,51.37,51.37,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2017-03-26,52.69,52.69,52.69,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2017-04-02,51.41,51.41,51.41,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.28,51.28,51.28,0.0,0.0
2017-04-09,51.45,51.45,51.45,0.0,0.0,51.45,51.45,51.45,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2017-04-16,53.1,53.1,53.1,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.04,53.04,53.04,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2017-04-23,54.6,54.6,54.6,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.08,54.08,54.08,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2017-04-30,54.15,54.15,54.15,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2017-05-07,54.13,54.13,54.13,0.0,0.0,54.16,54.16,54.16,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2017-05-14,52.91,52.91,52.91,0.0,0.0,53.29,53.29,53.29,0.0,0.0,52.91,52.91,52.91,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2017-05-21,53.1,53.1,53.1,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2017-05-28,53.84,53.84,53.84,0.0,0.0,54.36,54.36,54.36,0.0,0.0,53.84,53.84,53.84,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2017-06-04,54.06,54.06,54.06,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2017-06-11,53.53,53.53,53.53,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.51,53.51,53.51,0.0,0.0
2017-06-18,53.47,53.47,53.47,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2017-06-25,54.14,54.14,54.14,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2017-07-02,53.27,53.27,53.27,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2017-07-09,53.54,53.54,53.54,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.83,53.83,53.83,0.0,0.0
2017-07-16,54.14,54.14,54.14,0.0,0.0,54.21,54.21,54.21,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2017-07-23,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2017-07-30,53.91,53.91,53.91,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2017-08-06,52.57,52.57,52.57,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2017-08-13,50.99,50.99,50.99,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.64,50.64,50.64,0.0,0.0
2017-08-20,51.16,51.16,51.16,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2017-08-27,52.28,52.28,52.28,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.35,52.35,52.35,0.0,0.0
2017-09-03,52.39,52.39,52.39,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2017-09-10,53.49,53.49,53.49,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2017-09-17,53.9,53.9,53.9,0.0,0.0,54.03,54.03,54.03,0.0,0.0,53.9,53.9,53.9,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2017-09-24,56.25,56.25,56.25,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.24,56.24,56.24,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2017-10-01,56.67,56.67,56.67,0.0,0.0,56.94,56.94,56.94,0.0,0.0,56.54,56.54,56.54,0.0,0.0,56.64,56.64,56.64,0.0,0.0
2017-10-08,55.31,55.31,55.31,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.07,55.07,55.07,0.0,0.0,55.07,55.07,55.07,0.0,0.0
2017-10-15,56.2,56.2,56.2,0.0,0.0,56.31,56.31,56.31,0.0,0.0,55.89,55.89,55.89,0.0,0.0,56.29,56.29,56.29,0.0,0.0
2017-10-22,56.07,56.07,56.07,0.0,0.0,56.24,56.24,56.24,0.0,0.0,55.9,55.9,55.9,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2017-10-29,55.15,55.15,55.15,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2017-11-05,54.78,54.78,54.78,0.0,0.0,54.93,54.93,54.93,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2017-11-12,56.37,56.37,56.37,0.0,0.0,57.13,57.13,57.13,0.0,0.0,56.37,56.37,56.37,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2017-11-19,57.82,57.82,57.82,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2017-11-26,59.86,59.86,59.86,0.0,0.0,59.86,59.86,59.86,0.0,0.0,57.75,57.75,57.75,0.0,0.0,59.27,59.27,59.27,0.0,0.0
2017-12-03,60.28,60.28,60.28,0.0,0.0,60.33,60.33,60.33,0.0,0.0,59.98,59.98,59.98,0.0,0.0,60.15,60.15,60.15,0.0,0.0
2017-12-10,59.55,59.55,59.55,0.0,0.0,60.4,60.4,60.4,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2017-12-17,60.91,60.91,60.91,0.0,0.0,61.01,61.01,61.01,0.0,0.0,60.89,60.89,60.89,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2017-12-24,61.38,61.38,61.38,0.0,0.0,61.38,61.38,61.38,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.15,61.15,61.15,0.0,0.0
2017-12-31,61.44,61.44,61.44,0.0,0.0,61.54,61.54,61.54,0.0,0.0,61.33,61.33,61.33,0.0,0.0,61.53,61.53,61.53,0.0,0.0
