Date,Reality Shares DIVS_etf_Open_average,Reality Shares DIVS_etf_Open_max,Reality Shares DIVS_etf_Open_min,Reality Shares DIVS_etf_Open_volatility,Reality Shares DIVS_etf_Open_change,Reality Shares DIVS_etf_High_average,Reality Shares DIVS_etf_High_max,Reality Shares DIVS_etf_High_min,Reality Shares DIVS_etf_High_volatility,Reality Shares DIVS_etf_High_change,Reality Shares DIVS_etf_Low_average,Reality Shares DIVS_etf_Low_max,Reality Shares DIVS_etf_Low_min,Reality Shares DIVS_etf_Low_volatility,Reality Shares DIVS_etf_Low_change,Reality Shares DIVS_etf_Close_average,Reality Shares DIVS_etf_Close_max,Reality Shares DIVS_etf_Close_min,Reality Shares DIVS_etf_Close_volatility,Reality Shares DIVS_etf_Close_change
2016-05-01,23.33,23.33,23.33,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.43,23.43,23.43,0.0,0.0
2016-05-08,23.29,23.29,23.29,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.26,23.26,23.26,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2016-05-15,23.45,23.45,23.45,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2016-05-22,23.44,23.44,23.44,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2016-05-29,23.34,23.34,23.34,0.0,0.0,23.52,23.52,23.52,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2016-06-05,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0
2016-06-12,23.53,23.53,23.53,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.6,23.6,23.6,0.0,0.0
2016-06-19,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2016-06-26,23.68,23.68,23.68,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2016-07-03,23.68,23.68,23.68,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2016-07-10,23.75,23.75,23.75,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.85,23.85,23.85,0.0,0.0
2016-07-17,23.8,23.8,23.8,0.0,0.0,24.22,24.22,24.22,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.84,23.84,23.84,0.0,0.0
2016-07-24,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0
2016-07-31,23.99,23.99,23.99,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2016-08-07,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2016-08-14,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2016-08-21,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2016-08-28,23.96,23.96,23.96,0.0,0.0,24.14,24.14,24.14,0.0,0.0,23.96,23.96,23.96,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2016-09-04,24.14,24.14,24.14,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2016-09-11,24.25,24.25,24.25,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2016-09-18,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2016-09-25,24.06,24.06,24.06,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2016-10-02,24.23,24.23,24.23,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2016-10-09,24.01,24.01,24.01,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2016-10-16,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2016-10-23,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2016-10-30,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.93,23.93,23.93,0.0,0.0
2016-11-06,24.05,24.05,24.05,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2016-11-13,24.2,24.2,24.2,0.0,0.0,24.35,24.35,24.35,0.0,0.0,23.8,23.8,23.8,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2016-11-20,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2016-11-27,24.41,24.41,24.41,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2016-12-04,24.8,24.8,24.8,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2016-12-11,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2016-12-18,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2016-12-25,25.26,25.26,25.26,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2017-01-01,25.5,25.5,25.5,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2017-01-08,25.41,25.41,25.41,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2017-01-15,25.56,25.56,25.56,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2017-01-22,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2017-01-29,25.89,25.89,25.89,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.89,25.89,25.89,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2017-02-05,26.09,26.09,26.09,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2017-02-12,26.52,26.52,26.52,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2017-02-19,26.62,26.62,26.62,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2017-02-26,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2017-03-05,26.59,26.59,26.59,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.53,26.53,26.53,0.0,0.0
2017-03-12,26.36,26.36,26.36,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2017-03-19,26.03,26.03,26.03,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.96,25.96,25.96,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2017-03-26,26.05,26.05,26.05,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2017-04-02,26.07,26.07,26.07,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2017-04-09,25.95,25.95,25.95,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2017-04-16,25.8,25.8,25.8,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2017-04-23,26.0,26.0,26.0,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2017-04-30,26.0,26.0,26.0,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2017-05-07,26.01,26.01,26.01,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2017-05-14,25.97,25.97,25.97,0.0,0.0,26.05,26.05,26.05,0.0,0.0,25.88,25.88,25.88,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2017-05-21,25.99,25.99,25.99,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.99,25.99,25.99,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2017-05-28,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.97,25.97,25.97,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2017-06-04,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2017-06-11,25.8,25.8,25.8,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2017-06-18,25.37,25.37,25.37,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2017-06-25,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2017-07-02,25.56,25.56,25.56,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2017-07-09,25.73,25.73,25.73,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2017-07-16,25.75,25.75,25.75,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2017-07-23,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2017-07-30,25.68,25.68,25.68,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2017-08-06,25.61,25.61,25.61,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2017-08-13,25.69,25.69,25.69,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2017-08-20,25.78,25.78,25.78,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2017-08-27,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2017-09-03,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2017-09-10,25.83,25.83,25.83,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2017-09-17,25.88,25.88,25.88,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2017-09-24,25.85,25.85,25.85,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2017-10-01,26.05,26.05,26.05,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2017-10-08,26.18,26.18,26.18,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2017-10-15,26.1,26.1,26.1,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2017-10-22,26.04,26.04,26.04,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2017-10-29,25.93,25.93,25.93,0.0,0.0,26.11,26.11,26.11,0.0,0.0,25.93,25.93,25.93,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2017-11-05,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2017-11-12,26.12,26.12,26.12,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2017-11-19,26.17,26.17,26.17,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2017-11-26,26.34,26.34,26.34,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2017-12-03,26.38,26.38,26.38,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.37,26.37,26.37,0.0,0.0
2017-12-10,26.56,26.56,26.56,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2017-12-17,26.42,26.42,26.42,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2017-12-24,26.4,26.4,26.4,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2017-12-31,26.31,26.31,26.31,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.29,26.29,26.29,0.0,0.0
