Date,iShares International Developed PropertyEtf_Open_average,iShares International Developed PropertyEtf_Open_max,iShares International Developed PropertyEtf_Open_min,iShares International Developed PropertyEtf_Open_volatility,iShares International Developed PropertyEtf_Open_change,iShares International Developed PropertyEtf_High_average,iShares International Developed PropertyEtf_High_max,iShares International Developed PropertyEtf_High_min,iShares International Developed PropertyEtf_High_volatility,iShares International Developed PropertyEtf_High_change,iShares International Developed PropertyEtf_Low_average,iShares International Developed PropertyEtf_Low_max,iShares International Developed PropertyEtf_Low_min,iShares International Developed PropertyEtf_Low_volatility,iShares International Developed PropertyEtf_Low_change,iShares International Developed PropertyEtf_Close_average,iShares International Developed PropertyEtf_Close_max,iShares International Developed PropertyEtf_Close_min,iShares International Developed PropertyEtf_Close_volatility,iShares International Developed PropertyEtf_Close_change
2016-11-27,34.39,34.39,34.39,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2016-12-04,35.07,35.07,35.07,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2016-12-11,33.98,33.98,33.98,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.98,33.98,33.98,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2016-12-18,33.25,33.25,33.25,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2016-12-25,33.73,33.73,33.73,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2017-01-01,34.46,34.46,34.46,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2017-01-08,34.26,34.26,34.26,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2017-01-15,34.1,34.1,34.1,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2017-01-22,34.37,34.37,34.37,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2017-01-29,34.66,34.66,34.66,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2017-02-05,34.99,34.99,34.99,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.88,34.88,34.88,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2017-02-12,35.1,35.1,35.1,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2017-02-19,35.49,35.49,35.49,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2017-02-26,34.94,34.94,34.94,0.0,0.0,35.14,35.14,35.14,0.0,0.0,34.91,34.91,34.91,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2017-03-05,34.72,34.72,34.72,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.77,34.77,34.77,0.0,0.0
2017-03-12,35.52,35.52,35.52,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2017-03-19,35.42,35.42,35.42,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2017-03-26,35.31,35.31,35.31,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.52,35.52,35.52,0.0,0.0
2017-04-02,35.79,35.79,35.79,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2017-04-09,36.24,36.24,36.24,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2017-04-16,36.23,36.23,36.23,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2017-04-23,36.49,36.49,36.49,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2017-04-30,36.65,36.65,36.65,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2017-05-07,36.9,36.9,36.9,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2017-05-14,37.05,37.05,37.05,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2017-05-21,37.48,37.48,37.48,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2017-05-28,38.16,38.16,38.16,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2017-06-04,37.83,37.83,37.83,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2017-06-11,38.18,38.18,38.18,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.13,38.13,38.13,0.0,0.0,38.34,38.34,38.34,0.0,0.0
2017-06-18,37.31,37.31,37.31,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2017-06-25,37.1,37.1,37.1,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2017-07-02,36.4,36.4,36.4,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2017-07-09,37.13,37.13,37.13,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2017-07-16,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2017-07-23,38.02,38.02,38.02,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.88,37.88,37.88,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2017-07-30,38.52,38.52,38.52,0.0,0.0,38.64,38.64,38.64,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2017-08-06,37.96,37.96,37.96,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2017-08-13,38.02,38.02,38.02,0.0,0.0,38.11,38.11,38.11,0.0,0.0,37.95,37.95,37.95,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2017-08-20,38.04,38.04,38.04,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.97,37.97,37.97,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2017-08-27,38.47,38.47,38.47,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2017-09-03,38.91,38.91,38.91,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2017-09-10,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2017-09-17,38.27,38.27,38.27,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.27,38.27,38.27,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2017-09-24,37.96,37.96,37.96,0.0,0.0,38.1,38.1,38.1,0.0,0.0,37.9,37.9,37.9,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2017-10-01,37.88,37.88,37.88,0.0,0.0,38.06,38.06,38.06,0.0,0.0,37.8,37.8,37.8,0.0,0.0,38.05,38.05,38.05,0.0,0.0
2017-10-08,38.77,38.77,38.77,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2017-10-15,38.54,38.54,38.54,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2017-10-22,37.98,37.98,37.98,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.13,38.13,38.13,0.0,0.0
2017-10-29,38.61,38.61,38.61,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2017-11-05,38.75,38.75,38.75,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2017-11-12,38.72,38.72,38.72,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2017-11-19,39.31,39.31,39.31,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.37,39.37,39.37,0.0,0.0
2017-11-26,39.24,39.24,39.24,0.0,0.0,39.33,39.33,39.33,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.23,39.23,39.23,0.0,0.0
2017-12-03,39.36,39.36,39.36,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2017-12-10,39.79,39.79,39.79,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2017-12-17,39.0,39.0,39.0,0.0,0.0,39.12,39.12,39.12,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2017-12-24,39.64,39.64,39.64,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2017-12-31,40.35,40.35,40.35,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.52,40.52,40.52,0.0,0.0
