Date,iShares Global TelecomEtf_Open_average,iShares Global TelecomEtf_Open_max,iShares Global TelecomEtf_Open_min,iShares Global TelecomEtf_Open_volatility,iShares Global TelecomEtf_Open_change,iShares Global TelecomEtf_High_average,iShares Global TelecomEtf_High_max,iShares Global TelecomEtf_High_min,iShares Global TelecomEtf_High_volatility,iShares Global TelecomEtf_High_change,iShares Global TelecomEtf_Low_average,iShares Global TelecomEtf_Low_max,iShares Global TelecomEtf_Low_min,iShares Global TelecomEtf_Low_volatility,iShares Global TelecomEtf_Low_change,iShares Global TelecomEtf_Close_average,iShares Global TelecomEtf_Close_max,iShares Global TelecomEtf_Close_min,iShares Global TelecomEtf_Close_volatility,iShares Global TelecomEtf_Close_change
2016-05-15,61.33,61.33,61.33,0.0,0.0,61.51,61.51,61.51,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2016-05-22,62.17,62.17,62.17,0.0,0.0,62.42,62.42,62.42,0.0,0.0,62.17,62.17,62.17,0.0,0.0,62.34,62.34,62.34,0.0,0.0
2016-05-29,62.11,62.11,62.11,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.11,62.11,62.11,0.0,0.0,62.44,62.44,62.44,0.0,0.0
2016-06-05,62.03,62.03,62.03,0.0,0.0,62.33,62.33,62.33,0.0,0.0,61.89,61.89,61.89,0.0,0.0,62.09,62.09,62.09,0.0,0.0
2016-06-12,61.5,61.5,61.5,0.0,0.0,61.75,61.75,61.75,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.7,61.7,61.7,0.0,0.0
2016-06-19,60.15,60.15,60.15,0.0,0.0,61.18,61.18,61.18,0.0,0.0,60.15,60.15,60.15,0.0,0.0,60.27,60.27,60.27,0.0,0.0
2016-06-26,63.27,63.27,63.27,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.16,63.16,63.16,0.0,0.0,63.42,63.42,63.42,0.0,0.0
2016-07-03,62.56,62.56,62.56,0.0,0.0,62.98,62.98,62.98,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.92,62.92,62.92,0.0,0.0
2016-07-10,63.87,63.87,63.87,0.0,0.0,63.87,63.87,63.87,0.0,0.0,63.49,63.49,63.49,0.0,0.0,63.69,63.69,63.69,0.0,0.0
2016-07-17,63.37,63.37,63.37,0.0,0.0,63.83,63.83,63.83,0.0,0.0,63.37,63.37,63.37,0.0,0.0,63.65,63.65,63.65,0.0,0.0
2016-07-24,63.16,63.16,63.16,0.0,0.0,63.8,63.8,63.8,0.0,0.0,63.16,63.16,63.16,0.0,0.0,63.7,63.7,63.7,0.0,0.0
2016-07-31,63.39,63.39,63.39,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.27,63.27,63.27,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2016-08-07,64.26,64.26,64.26,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.05,64.05,64.05,0.0,0.0,64.13,64.13,64.13,0.0,0.0
2016-08-14,62.84,62.84,62.84,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.8,62.8,62.8,0.0,0.0
2016-08-21,62.93,62.93,62.93,0.0,0.0,63.39,63.39,63.39,0.0,0.0,62.16,62.16,62.16,0.0,0.0,62.34,62.34,62.34,0.0,0.0
2016-08-28,62.47,62.47,62.47,0.0,0.0,62.73,62.73,62.73,0.0,0.0,62.36,62.36,62.36,0.0,0.0,62.53,62.53,62.53,0.0,0.0
2016-09-04,62.57,62.57,62.57,0.0,0.0,62.57,62.57,62.57,0.0,0.0,61.44,61.44,61.44,0.0,0.0,61.44,61.44,61.44,0.0,0.0
2016-09-11,60.73,60.73,60.73,0.0,0.0,60.73,60.73,60.73,0.0,0.0,60.46,60.46,60.46,0.0,0.0,60.64,60.64,60.64,0.0,0.0
2016-09-18,62.35,62.35,62.35,0.0,0.0,62.56,62.56,62.56,0.0,0.0,62.35,62.35,62.35,0.0,0.0,62.43,62.43,62.43,0.0,0.0
2016-09-25,61.96,61.96,61.96,0.0,0.0,62.05,62.05,62.05,0.0,0.0,61.82,61.82,61.82,0.0,0.0,61.85,61.85,61.85,0.0,0.0
2016-10-02,60.32,60.32,60.32,0.0,0.0,60.32,60.32,60.32,0.0,0.0,59.61,59.61,59.61,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2016-10-09,60.26,60.26,60.26,0.0,0.0,60.39,60.39,60.39,0.0,0.0,60.01,60.01,60.01,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2016-10-16,59.26,59.26,59.26,0.0,0.0,59.28,59.28,59.28,0.0,0.0,58.73,58.73,58.73,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2016-10-23,58.9,58.9,58.9,0.0,0.0,59.18,59.18,59.18,0.0,0.0,58.9,58.9,58.9,0.0,0.0,58.98,58.98,58.98,0.0,0.0
2016-10-30,57.76,57.76,57.76,0.0,0.0,57.85,57.85,57.85,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.58,57.58,57.58,0.0,0.0
2016-11-06,56.08,56.08,56.08,0.0,0.0,56.13,56.13,56.13,0.0,0.0,55.82,55.82,55.82,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2016-11-13,56.3,56.3,56.3,0.0,0.0,56.3,56.3,56.3,0.0,0.0,55.99,55.99,55.99,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2016-11-20,57.4,57.4,57.4,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.62,57.62,57.62,0.0,0.0
2016-11-27,57.0,57.0,57.0,0.0,0.0,57.36,57.36,57.36,0.0,0.0,56.99,56.99,56.99,0.0,0.0,57.12,57.12,57.12,0.0,0.0
2016-12-04,58.84,58.84,58.84,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2016-12-11,59.23,59.23,59.23,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.23,59.23,59.23,0.0,0.0
2016-12-18,58.72,58.72,58.72,0.0,0.0,58.89,58.89,58.89,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.89,58.89,58.89,0.0,0.0
2016-12-25,59.07,59.07,59.07,0.0,0.0,59.07,59.07,59.07,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.72,58.72,58.72,0.0,0.0
2017-01-01,60.5,60.5,60.5,0.0,0.0,60.5,60.5,60.5,0.0,0.0,59.95,59.95,59.95,0.0,0.0,60.07,60.07,60.07,0.0,0.0
2017-01-08,60.12,60.12,60.12,0.0,0.0,60.25,60.25,60.25,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2017-01-15,60.19,60.19,60.19,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.19,60.19,60.19,0.0,0.0,60.38,60.38,60.38,0.0,0.0
2017-01-22,59.4,59.4,59.4,0.0,0.0,59.61,59.61,59.61,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2017-01-29,58.91,58.91,58.91,0.0,0.0,59.02,59.02,59.02,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.94,58.94,58.94,0.0,0.0
2017-02-05,59.05,59.05,59.05,0.0,0.0,59.15,59.15,59.15,0.0,0.0,59.01,59.01,59.01,0.0,0.0,59.13,59.13,59.13,0.0,0.0
2017-02-12,58.39,58.39,58.39,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.99,58.99,58.99,0.0,0.0
2017-02-19,59.46,59.46,59.46,0.0,0.0,59.88,59.88,59.88,0.0,0.0,59.46,59.46,59.46,0.0,0.0,59.83,59.83,59.83,0.0,0.0
2017-02-26,59.05,59.05,59.05,0.0,0.0,59.22,59.22,59.22,0.0,0.0,58.91,58.91,58.91,0.0,0.0,59.19,59.19,59.19,0.0,0.0
2017-03-05,59.15,59.15,59.15,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.05,59.05,59.05,0.0,0.0,59.29,59.29,59.29,0.0,0.0
2017-03-12,60.28,60.28,60.28,0.0,0.0,60.59,60.59,60.59,0.0,0.0,60.28,60.28,60.28,0.0,0.0,60.51,60.51,60.51,0.0,0.0
2017-03-19,59.89,59.89,59.89,0.0,0.0,60.11,60.11,60.11,0.0,0.0,59.89,59.89,59.89,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2017-03-26,59.52,59.52,59.52,0.0,0.0,59.7,59.7,59.7,0.0,0.0,59.38,59.38,59.38,0.0,0.0,59.48,59.48,59.48,0.0,0.0
2017-04-02,59.17,59.17,59.17,0.0,0.0,59.46,59.46,59.46,0.0,0.0,59.17,59.17,59.17,0.0,0.0,59.29,59.29,59.29,0.0,0.0
2017-04-09,59.04,59.04,59.04,0.0,0.0,59.17,59.17,59.17,0.0,0.0,58.82,58.82,58.82,0.0,0.0,58.93,58.93,58.93,0.0,0.0
2017-04-16,59.08,59.08,59.08,0.0,0.0,59.3,59.3,59.3,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.82,58.82,58.82,0.0,0.0
2017-04-23,58.88,58.88,58.88,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.66,58.66,58.66,0.0,0.0
2017-04-30,58.71,58.71,58.71,0.0,0.0,59.37,59.37,59.37,0.0,0.0,58.71,58.71,58.71,0.0,0.0,59.27,59.27,59.27,0.0,0.0
2017-05-07,59.3,59.3,59.3,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.08,59.08,59.08,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2017-05-14,59.71,59.71,59.71,0.0,0.0,60.15,60.15,60.15,0.0,0.0,59.64,59.64,59.64,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2017-05-21,60.4,60.4,60.4,0.0,0.0,60.54,60.54,60.54,0.0,0.0,60.39,60.39,60.39,0.0,0.0,60.53,60.53,60.53,0.0,0.0
2017-05-28,61.23,61.23,61.23,0.0,0.0,61.45,61.45,61.45,0.0,0.0,61.19,61.19,61.19,0.0,0.0,61.32,61.32,61.32,0.0,0.0
2017-06-04,60.86,60.86,60.86,0.0,0.0,60.95,60.95,60.95,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.95,60.95,60.95,0.0,0.0
2017-06-11,60.82,60.82,60.82,0.0,0.0,61.19,61.19,61.19,0.0,0.0,60.71,60.71,60.71,0.0,0.0,60.95,60.95,60.95,0.0,0.0
2017-06-18,58.97,58.97,58.97,0.0,0.0,59.17,59.17,59.17,0.0,0.0,58.94,58.94,58.94,0.0,0.0,59.01,59.01,59.01,0.0,0.0
2017-06-25,58.52,58.52,58.52,0.0,0.0,58.86,58.86,58.86,0.0,0.0,58.31,58.31,58.31,0.0,0.0,58.5,58.5,58.5,0.0,0.0
2017-07-02,57.96,57.96,57.96,0.0,0.0,58.07,58.07,58.07,0.0,0.0,57.69,57.69,57.69,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2017-07-09,58.33,58.33,58.33,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.65,58.65,58.65,0.0,0.0
2017-07-16,59.3,59.3,59.3,0.0,0.0,59.45,59.45,59.45,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.45,59.45,59.45,0.0,0.0
2017-07-23,61.0,61.0,61.0,0.0,0.0,61.22,61.22,61.22,0.0,0.0,60.76,60.76,60.76,0.0,0.0,61.1,61.1,61.1,0.0,0.0
2017-07-30,61.18,61.18,61.18,0.0,0.0,61.29,61.29,61.29,0.0,0.0,60.86,60.86,60.86,0.0,0.0,61.14,61.14,61.14,0.0,0.0
2017-08-06,60.58,60.58,60.58,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.24,60.24,60.24,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2017-08-13,59.84,59.84,59.84,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.63,59.63,59.63,0.0,0.0,59.83,59.83,59.83,0.0,0.0
2017-08-20,60.23,60.23,60.23,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.23,60.23,60.23,0.0,0.0,60.45,60.45,60.45,0.0,0.0
2017-08-27,60.25,60.25,60.25,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.05,60.05,60.05,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2017-09-03,59.09,59.09,59.09,0.0,0.0,59.09,59.09,59.09,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.88,58.88,58.88,0.0,0.0
2017-09-10,59.11,59.11,59.11,0.0,0.0,59.54,59.54,59.54,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.47,59.47,59.47,0.0,0.0
2017-09-17,60.28,60.28,60.28,0.0,0.0,60.46,60.46,60.46,0.0,0.0,60.15,60.15,60.15,0.0,0.0,60.44,60.44,60.44,0.0,0.0
2017-09-24,60.24,60.24,60.24,0.0,0.0,60.42,60.42,60.42,0.0,0.0,60.14,60.14,60.14,0.0,0.0,60.38,60.38,60.38,0.0,0.0
2017-10-01,60.11,60.11,60.11,0.0,0.0,60.14,60.14,60.14,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.09,60.09,60.09,0.0,0.0
2017-10-08,60.07,60.07,60.07,0.0,0.0,60.07,60.07,60.07,0.0,0.0,59.77,59.77,59.77,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2017-10-15,59.9,59.9,59.9,0.0,0.0,60.11,60.11,60.11,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.96,59.96,59.96,0.0,0.0
2017-10-22,58.99,58.99,58.99,0.0,0.0,59.27,59.27,59.27,0.0,0.0,58.87,58.87,58.87,0.0,0.0,59.12,59.12,59.12,0.0,0.0
2017-10-29,58.93,58.93,58.93,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.78,58.78,58.78,0.0,0.0
2017-11-05,58.49,58.49,58.49,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.42,58.42,58.42,0.0,0.0
2017-11-12,58.3,58.3,58.3,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2017-11-19,59.89,59.89,59.89,0.0,0.0,59.89,59.89,59.89,0.0,0.0,59.6,59.6,59.6,0.0,0.0,59.83,59.83,59.83,0.0,0.0
2017-11-26,60.9,60.9,60.9,0.0,0.0,61.12,61.12,61.12,0.0,0.0,60.68,60.68,60.68,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2017-12-03,60.92,60.92,60.92,0.0,0.0,61.25,61.25,61.25,0.0,0.0,60.86,60.86,60.86,0.0,0.0,61.22,61.22,61.22,0.0,0.0
2017-12-10,61.28,61.28,61.28,0.0,0.0,61.5,61.5,61.5,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.23,61.23,61.23,0.0,0.0
2017-12-17,60.43,60.43,60.43,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.43,60.43,60.43,0.0,0.0,60.5,60.5,60.5,0.0,0.0
2017-12-24,60.88,60.88,60.88,0.0,0.0,60.88,60.88,60.88,0.0,0.0,60.53,60.53,60.53,0.0,0.0,60.53,60.53,60.53,0.0,0.0
2017-12-31,60.84,60.84,60.84,0.0,0.0,60.96,60.96,60.96,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.96,60.96,60.96,0.0,0.0
