Date,ProShares Ultra FTSE EuropeEtf_Open_average,ProShares Ultra FTSE EuropeEtf_Open_max,ProShares Ultra FTSE EuropeEtf_Open_min,ProShares Ultra FTSE EuropeEtf_Open_volatility,ProShares Ultra FTSE EuropeEtf_Open_change,ProShares Ultra FTSE EuropeEtf_High_average,ProShares Ultra FTSE EuropeEtf_High_max,ProShares Ultra FTSE EuropeEtf_High_min,ProShares Ultra FTSE EuropeEtf_High_volatility,ProShares Ultra FTSE EuropeEtf_High_change,ProShares Ultra FTSE EuropeEtf_Low_average,ProShares Ultra FTSE EuropeEtf_Low_max,ProShares Ultra FTSE EuropeEtf_Low_min,ProShares Ultra FTSE EuropeEtf_Low_volatility,ProShares Ultra FTSE EuropeEtf_Low_change,ProShares Ultra FTSE EuropeEtf_Close_average,ProShares Ultra FTSE EuropeEtf_Close_max,ProShares Ultra FTSE EuropeEtf_Close_min,ProShares Ultra FTSE EuropeEtf_Close_volatility,ProShares Ultra FTSE EuropeEtf_Close_change
2016-03-13,37.9,37.9,37.9,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2016-03-20,35.18,35.18,35.18,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.0,35.0,35.0,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2016-03-27,35.62,35.62,35.62,0.0,0.0,36.87,36.87,36.87,0.0,0.0,35.62,35.62,35.62,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2016-04-03,36.36,36.36,36.36,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2016-04-10,38.04,38.04,38.04,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.01,38.01,38.01,0.0,0.0
2016-04-17,39.27,39.27,39.27,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.18,39.18,39.18,0.0,0.0
2016-04-24,38.92,38.92,38.92,0.0,0.0,39.47,39.47,39.47,0.0,0.0,38.92,38.92,38.92,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2016-05-01,36.68,36.68,36.68,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.68,36.68,36.68,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2016-05-08,36.9,36.9,36.9,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2016-05-15,37.25,37.25,37.25,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2016-05-22,39.25,39.25,39.25,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2016-05-29,39.07,39.07,39.07,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.89,38.89,38.89,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2016-06-05,37.16,37.16,37.16,0.0,0.0,37.16,37.16,37.16,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2016-06-12,35.99,35.99,35.99,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.13,35.13,35.13,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2016-06-19,32.28,32.28,32.28,0.0,0.0,36.0,36.0,36.0,0.0,0.0,32.1,32.1,32.1,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2016-06-26,35.66,35.66,35.66,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2016-07-03,33.44,33.44,33.44,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2016-07-10,36.59,36.59,36.59,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2016-07-17,35.85,35.85,35.85,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2016-07-24,37.0,37.0,37.0,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2016-07-31,36.46,36.46,36.46,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2016-08-07,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2016-08-14,37.6,37.6,37.6,0.0,0.0,38.43,38.43,38.43,0.0,0.0,37.59,37.59,37.59,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2016-08-21,38.38,38.38,38.38,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2016-08-28,38.95,38.95,38.95,0.0,0.0,39.57,39.57,39.57,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2016-09-04,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2016-09-11,36.73,36.73,36.73,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2016-09-18,37.68,37.68,37.68,0.0,0.0,38.6,38.6,38.6,0.0,0.0,37.68,37.68,37.68,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2016-09-25,38.16,38.16,38.16,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2016-10-02,37.88,37.88,37.88,0.0,0.0,38.03,38.03,38.03,0.0,0.0,37.77,37.77,37.77,0.0,0.0,38.03,38.03,38.03,0.0,0.0
2016-10-09,36.06,36.06,36.06,0.0,0.0,36.06,36.06,36.06,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2016-10-16,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2016-10-23,35.79,35.79,35.79,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.75,35.75,35.75,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2016-10-30,34.59,34.59,34.59,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2016-11-06,34.76,34.76,34.76,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2016-11-13,33.41,33.41,33.41,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2016-11-20,33.91,33.91,33.91,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2016-11-27,33.48,33.48,33.48,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.48,33.48,33.48,0.0,0.0,34.02,34.02,34.02,0.0,0.0
2016-12-04,36.26,36.26,36.26,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2016-12-11,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2016-12-18,36.35,36.35,36.35,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2016-12-25,37.12,37.12,37.12,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2017-01-01,38.54,38.54,38.54,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2017-01-08,38.93,38.93,38.93,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2017-01-15,38.14,38.14,38.14,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.13,38.13,38.13,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2017-01-22,40.19,40.19,40.19,0.0,0.0,40.19,40.19,40.19,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.75,39.75,39.75,0.0,0.0
2017-01-29,39.8,39.8,39.8,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.9,39.9,39.9,0.0,0.0
2017-02-05,39.44,39.44,39.44,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.45,39.45,39.45,0.0,0.0
2017-02-12,40.05,40.05,40.05,0.0,0.0,40.29,40.29,40.29,0.0,0.0,39.91,39.91,39.91,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2017-02-19,39.45,39.45,39.45,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2017-02-26,40.48,40.48,40.48,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2017-03-05,40.71,40.71,40.71,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.71,40.71,40.71,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2017-03-12,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.85,42.85,42.85,0.0,0.0
2017-03-19,43.06,43.06,43.06,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.88,42.88,42.88,0.0,0.0
2017-03-26,43.0,43.0,43.0,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2017-04-02,42.52,42.52,42.52,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2017-04-09,42.7,42.7,42.7,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2017-04-16,42.83,42.83,42.83,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2017-04-23,46.95,46.95,46.95,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2017-04-30,49.5,49.5,49.5,0.0,0.0,50.4,50.4,50.4,0.0,0.0,49.5,49.5,49.5,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2017-05-07,49.22,49.22,49.22,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2017-05-14,50.7,50.7,50.7,0.0,0.0,51.73,51.73,51.73,0.0,0.0,50.7,50.7,50.7,0.0,0.0,51.44,51.44,51.44,0.0,0.0
2017-05-21,50.88,50.88,50.88,0.0,0.0,51.86,51.86,51.86,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2017-05-28,52.26,52.26,52.26,0.0,0.0,52.57,52.57,52.57,0.0,0.0,51.87,51.87,51.87,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2017-06-04,51.0,51.0,51.0,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.28,50.28,50.28,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2017-06-11,49.87,49.87,49.87,0.0,0.0,50.7,50.7,50.7,0.0,0.0,49.87,49.87,49.87,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2017-06-18,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2017-06-25,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2017-07-02,49.47,49.47,49.47,0.0,0.0,50.4,50.4,50.4,0.0,0.0,49.47,49.47,49.47,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2017-07-09,51.89,51.89,51.89,0.0,0.0,52.97,52.97,52.97,0.0,0.0,51.89,51.89,51.89,0.0,0.0,52.97,52.97,52.97,0.0,0.0
2017-07-16,52.55,52.55,52.55,0.0,0.0,52.97,52.97,52.97,0.0,0.0,52.17,52.17,52.17,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2017-07-23,53.0,53.0,53.0,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.9,52.9,52.9,0.0,0.0
2017-07-30,54.19,54.19,54.19,0.0,0.0,54.19,54.19,54.19,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.86,53.86,53.86,0.0,0.0
2017-08-06,51.51,51.51,51.51,0.0,0.0,51.57,51.57,51.57,0.0,0.0,50.83,50.83,50.83,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2017-08-13,51.28,51.28,51.28,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2017-08-20,53.0,53.0,53.0,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2017-08-27,53.43,53.43,53.43,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.08,53.08,53.08,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2017-09-03,54.53,54.53,54.53,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2017-09-10,55.2,55.2,55.2,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.06,55.06,55.06,0.0,0.0,55.34,55.34,55.34,0.0,0.0
2017-09-17,55.96,55.96,55.96,0.0,0.0,56.37,56.37,56.37,0.0,0.0,55.92,55.92,55.92,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2017-09-24,56.0,56.0,56.0,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.44,56.44,56.44,0.0,0.0
2017-10-01,56.08,56.08,56.08,0.0,0.0,56.08,56.08,56.08,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2017-10-08,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.25,57.25,57.25,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2017-10-15,56.83,56.83,56.83,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2017-10-22,56.29,56.29,56.29,0.0,0.0,56.29,56.29,56.29,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.75,55.75,55.75,0.0,0.0
2017-10-29,56.51,56.51,56.51,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.51,56.51,56.51,0.0,0.0,56.78,56.78,56.78,0.0,0.0
2017-11-05,55.13,55.13,55.13,0.0,0.0,55.13,55.13,55.13,0.0,0.0,55.13,55.13,55.13,0.0,0.0,55.13,55.13,55.13,0.0,0.0
2017-11-12,54.48,54.48,54.48,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.61,54.61,54.61,0.0,0.0
2017-11-19,55.6,55.6,55.6,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2017-11-26,56.16,56.16,56.16,0.0,0.0,56.37,56.37,56.37,0.0,0.0,55.85,55.85,55.85,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2017-12-03,56.33,56.33,56.33,0.0,0.0,56.33,56.33,56.33,0.0,0.0,56.33,56.33,56.33,0.0,0.0,56.33,56.33,56.33,0.0,0.0
2017-12-10,55.75,55.75,55.75,0.0,0.0,56.0,56.0,56.0,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2017-12-17,56.91,56.91,56.91,0.0,0.0,57.52,57.52,57.52,0.0,0.0,56.91,56.91,56.91,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2017-12-24,58.31,58.31,58.31,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.31,58.31,58.31,0.0,0.0,58.61,58.61,58.61,0.0,0.0
2017-12-31,61.66,61.66,61.66,0.0,0.0,61.69,61.69,61.69,0.0,0.0,61.16,61.16,61.16,0.0,0.0,61.34,61.34,61.34,0.0,0.0
