Date,PowerShares KBW Property & Casualty Insurance Port_etf_Open_average,PowerShares KBW Property & Casualty Insurance Port_etf_Open_max,PowerShares KBW Property & Casualty Insurance Port_etf_Open_min,PowerShares KBW Property & Casualty Insurance Port_etf_Open_volatility,PowerShares KBW Property & Casualty Insurance Port_etf_Open_change,PowerShares KBW Property & Casualty Insurance Port_etf_High_average,PowerShares KBW Property & Casualty Insurance Port_etf_High_max,PowerShares KBW Property & Casualty Insurance Port_etf_High_min,PowerShares KBW Property & Casualty Insurance Port_etf_High_volatility,PowerShares KBW Property & Casualty Insurance Port_etf_High_change,PowerShares KBW Property & Casualty Insurance Port_etf_Low_average,PowerShares KBW Property & Casualty Insurance Port_etf_Low_max,PowerShares KBW Property & Casualty Insurance Port_etf_Low_min,PowerShares KBW Property & Casualty Insurance Port_etf_Low_volatility,PowerShares KBW Property & Casualty Insurance Port_etf_Low_change,PowerShares KBW Property & Casualty Insurance Port_etf_Close_average,PowerShares KBW Property & Casualty Insurance Port_etf_Close_max,PowerShares KBW Property & Casualty Insurance Port_etf_Close_min,PowerShares KBW Property & Casualty Insurance Port_etf_Close_volatility,PowerShares KBW Property & Casualty Insurance Port_etf_Close_change
2016-04-24,47.34,47.34,47.34,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.6,47.6,47.6,0.0,0.0
2016-05-01,48.01,48.01,48.01,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2016-05-08,49.07,49.07,49.07,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2016-05-15,48.7,48.7,48.7,0.0,0.0,49.12,49.12,49.12,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2016-05-22,49.34,49.34,49.34,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2016-05-29,49.34,49.34,49.34,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2016-06-05,49.84,49.84,49.84,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2016-06-12,47.92,47.92,47.92,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2016-06-19,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2016-06-26,49.76,49.76,49.76,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2016-07-03,49.65,49.65,49.65,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2016-07-10,50.07,50.07,50.07,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2016-07-17,49.85,49.85,49.85,0.0,0.0,50.15,50.15,50.15,0.0,0.0,49.63,49.63,49.63,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2016-07-24,49.99,49.99,49.99,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2016-07-31,50.06,50.06,50.06,0.0,0.0,50.6,50.6,50.6,0.0,0.0,49.8,49.8,49.8,0.0,0.0,50.6,50.6,50.6,0.0,0.0
2016-08-07,50.46,50.46,50.46,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2016-08-14,50.45,50.45,50.45,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2016-08-21,50.54,50.54,50.54,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2016-08-28,51.26,51.26,51.26,0.0,0.0,51.26,51.26,51.26,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2016-09-04,50.98,50.98,50.98,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2016-09-11,49.54,49.54,49.54,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2016-09-18,50.69,50.69,50.69,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2016-09-25,50.23,50.23,50.23,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2016-10-02,50.37,50.37,50.37,0.0,0.0,51.31,51.31,51.31,0.0,0.0,50.37,50.37,50.37,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2016-10-09,52.13,52.13,52.13,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2016-10-16,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0,49.94,49.94,49.94,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-10-23,50.15,50.15,50.15,0.0,0.0,50.4,50.4,50.4,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2016-10-30,49.64,49.64,49.64,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2016-11-06,52.34,52.34,52.34,0.0,0.0,52.34,52.34,52.34,0.0,0.0,51.26,51.26,51.26,0.0,0.0,52.33,52.33,52.33,0.0,0.0
2016-11-13,53.11,53.11,53.11,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.84,52.84,52.84,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2016-11-20,53.5,53.5,53.5,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.69,53.69,53.69,0.0,0.0
2016-11-27,53.59,53.59,53.59,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.51,53.51,53.51,0.0,0.0
2016-12-04,54.93,54.93,54.93,0.0,0.0,55.24,55.24,55.24,0.0,0.0,54.92,54.92,54.92,0.0,0.0,55.24,55.24,55.24,0.0,0.0
2016-12-11,55.18,55.18,55.18,0.0,0.0,55.18,55.18,55.18,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.77,54.77,54.77,0.0,0.0
2016-12-18,55.75,55.75,55.75,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.92,55.92,55.92,0.0,0.0
2016-12-25,55.54,55.54,55.54,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.44,55.44,55.44,0.0,0.0,55.62,55.62,55.62,0.0,0.0
2017-01-01,56.0,56.0,56.0,0.0,0.0,56.0,56.0,56.0,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.66,55.66,55.66,0.0,0.0
2017-01-08,55.23,55.23,55.23,0.0,0.0,55.39,55.39,55.39,0.0,0.0,54.95,54.95,54.95,0.0,0.0,55.09,55.09,55.09,0.0,0.0
2017-01-15,55.33,55.33,55.33,0.0,0.0,55.34,55.34,55.34,0.0,0.0,54.96,54.96,54.96,0.0,0.0,55.15,55.15,55.15,0.0,0.0
2017-01-22,56.34,56.34,56.34,0.0,0.0,56.34,56.34,56.34,0.0,0.0,55.72,55.72,55.72,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2017-01-29,56.44,56.44,56.44,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.29,56.29,56.29,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2017-02-05,56.35,56.35,56.35,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.71,56.71,56.71,0.0,0.0
2017-02-12,57.71,57.71,57.71,0.0,0.0,57.71,57.71,57.71,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2017-02-19,58.46,58.46,58.46,0.0,0.0,58.46,58.46,58.46,0.0,0.0,57.88,57.88,57.88,0.0,0.0,58.14,58.14,58.14,0.0,0.0
2017-02-26,58.0,58.0,58.0,0.0,0.0,58.15,58.15,58.15,0.0,0.0,57.83,57.83,57.83,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2017-03-05,57.85,57.85,57.85,0.0,0.0,57.91,57.91,57.91,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2017-03-12,58.73,58.73,58.73,0.0,0.0,58.73,58.73,58.73,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.86,57.86,57.86,0.0,0.0
2017-03-19,56.68,56.68,56.68,0.0,0.0,57.0,57.0,57.0,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.59,56.59,56.59,0.0,0.0
2017-03-26,56.95,56.95,56.95,0.0,0.0,57.12,57.12,57.12,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2017-04-02,56.31,56.31,56.31,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.23,56.23,56.23,0.0,0.0
2017-04-09,56.11,56.11,56.11,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.56,55.56,55.56,0.0,0.0
2017-04-16,56.0,56.0,56.0,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.91,55.91,55.91,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2017-04-23,57.9,57.9,57.9,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.11,57.11,57.11,0.0,0.0
2017-04-30,57.17,57.17,57.17,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.12,57.12,57.12,0.0,0.0
2017-05-07,55.77,55.77,55.77,0.0,0.0,55.99,55.99,55.99,0.0,0.0,55.74,55.74,55.74,0.0,0.0,55.75,55.75,55.75,0.0,0.0
2017-05-14,56.03,56.03,56.03,0.0,0.0,56.03,56.03,56.03,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.71,55.71,55.71,0.0,0.0
2017-05-21,57.1,57.1,57.1,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.1,57.1,57.1,0.0,0.0,57.11,57.11,57.11,0.0,0.0
2017-05-28,58.0,58.0,58.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0,57.69,57.69,57.69,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2017-06-04,57.4,57.4,57.4,0.0,0.0,57.94,57.94,57.94,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.94,57.94,57.94,0.0,0.0
2017-06-11,58.55,58.55,58.55,0.0,0.0,58.83,58.83,58.83,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.83,58.83,58.83,0.0,0.0
2017-06-18,58.01,58.01,58.01,0.0,0.0,58.01,58.01,58.01,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.64,57.64,57.64,0.0,0.0
2017-06-25,58.53,58.53,58.53,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2017-07-02,58.33,58.33,58.33,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.82,58.82,58.82,0.0,0.0
2017-07-09,58.47,58.47,58.47,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.8,58.8,58.8,0.0,0.0
2017-07-16,59.65,59.65,59.65,0.0,0.0,59.65,59.65,59.65,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.41,59.41,59.41,0.0,0.0
2017-07-23,58.81,58.81,58.81,0.0,0.0,59.5,59.5,59.5,0.0,0.0,58.79,58.79,58.79,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2017-07-30,60.57,60.57,60.57,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.57,60.57,60.57,0.0,0.0,60.82,60.82,60.82,0.0,0.0
2017-08-06,59.53,59.53,59.53,0.0,0.0,59.97,59.97,59.97,0.0,0.0,59.53,59.53,59.53,0.0,0.0,59.7,59.7,59.7,0.0,0.0
2017-08-13,59.3,59.3,59.3,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.2,59.2,59.2,0.0,0.0,59.4,59.4,59.4,0.0,0.0
2017-08-20,58.64,58.64,58.64,0.0,0.0,59.07,59.07,59.07,0.0,0.0,58.6,58.6,58.6,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2017-08-27,57.21,57.21,57.21,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.21,57.21,57.21,0.0,0.0,57.31,57.31,57.31,0.0,0.0
2017-09-03,52.71,52.71,52.71,0.0,0.0,55.77,55.77,55.77,0.0,0.0,52.71,52.71,52.71,0.0,0.0,55.34,55.34,55.34,0.0,0.0
2017-09-10,56.87,56.87,56.87,0.0,0.0,57.17,57.17,57.17,0.0,0.0,56.72,56.72,56.72,0.0,0.0,57.06,57.06,57.06,0.0,0.0
2017-09-17,56.98,56.98,56.98,0.0,0.0,57.38,57.38,57.38,0.0,0.0,56.98,56.98,56.98,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2017-09-24,58.21,58.21,58.21,0.0,0.0,58.21,58.21,58.21,0.0,0.0,57.78,57.78,57.78,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2017-10-01,58.59,58.59,58.59,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2017-10-08,58.7,58.7,58.7,0.0,0.0,59.33,59.33,59.33,0.0,0.0,58.7,58.7,58.7,0.0,0.0,59.18,59.18,59.18,0.0,0.0
2017-10-15,60.58,60.58,60.58,0.0,0.0,60.58,60.58,60.58,0.0,0.0,60.2,60.2,60.2,0.0,0.0,60.22,60.22,60.22,0.0,0.0
2017-10-22,60.11,60.11,60.11,0.0,0.0,60.11,60.11,60.11,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2017-10-29,59.29,59.29,59.29,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.29,59.29,59.29,0.0,0.0,59.65,59.65,59.65,0.0,0.0
2017-11-05,59.76,59.76,59.76,0.0,0.0,60.19,60.19,60.19,0.0,0.0,59.67,59.67,59.67,0.0,0.0,60.12,60.12,60.12,0.0,0.0
2017-11-12,58.85,58.85,58.85,0.0,0.0,59.29,59.29,59.29,0.0,0.0,58.85,58.85,58.85,0.0,0.0,59.27,59.27,59.27,0.0,0.0
2017-11-19,59.0,59.0,59.0,0.0,0.0,59.01,59.01,59.01,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2017-11-26,60.66,60.66,60.66,0.0,0.0,60.66,60.66,60.66,0.0,0.0,59.19,59.19,59.19,0.0,0.0,60.28,60.28,60.28,0.0,0.0
2017-12-03,59.38,59.38,59.38,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.46,59.46,59.46,0.0,0.0
2017-12-10,58.81,58.81,58.81,0.0,0.0,60.09,60.09,60.09,0.0,0.0,58.81,58.81,58.81,0.0,0.0,59.74,59.74,59.74,0.0,0.0
2017-12-17,59.2,59.2,59.2,0.0,0.0,59.2,59.2,59.2,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.13,59.13,59.13,0.0,0.0
2017-12-24,59.75,59.75,59.75,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.4,59.4,59.4,0.0,0.0
2017-12-31,58.37,58.37,58.37,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.11,58.11,58.11,0.0,0.0,58.38,58.38,58.38,0.0,0.0
