Date,NPTN_stock_Open_average,NPTN_stock_Open_max,NPTN_stock_Open_min,NPTN_stock_Open_volatility,NPTN_stock_Open_change,NPTN_stock_High_average,NPTN_stock_High_max,NPTN_stock_High_min,NPTN_stock_High_volatility,NPTN_stock_High_change,NPTN_stock_Low_average,NPTN_stock_Low_max,NPTN_stock_Low_min,NPTN_stock_Low_volatility,NPTN_stock_Low_change,NPTN_stock_Close_average,NPTN_stock_Close_max,NPTN_stock_Close_min,NPTN_stock_Close_volatility,NPTN_stock_Close_change,NPTN_stock_Volume_average,NPTN_stock_Volume_max,NPTN_stock_Volume_min,NPTN_stock_Volume_volatility,NPTN_stock_Volume_change
2016-07-03,9.26,9.5,9.0,0.5,0.23000000000000043,9.477500000000001,9.92,9.21,0.7099999999999991,0.6099999999999994,9.125,9.33,8.94,0.39000000000000057,0.2900000000000009,9.395,9.89,9.1,0.7900000000000009,0.7900000000000009,347312,566499,222352,344147,344147
2016-07-10,10.236,10.58,10.0,0.5800000000000001,0.5800000000000001,10.484,10.94,10.08,0.8599999999999994,0.8599999999999994,10.030000000000001,10.39,9.75,0.6400000000000006,0.6400000000000006,10.308,10.77,10.02,0.75,0.75,642594,767164,548139,219025,22304
2016-07-17,11.096,11.31,10.86,0.45000000000000107,0.120000000000001,11.29,11.45,11.14,0.3099999999999987,-0.17999999999999972,10.916,11.03,10.78,0.25,0.08000000000000007,11.144,11.3,11.0,0.3000000000000007,-0.16999999999999993,430758,707196,249299,457897,-457897
2016-07-24,12.628,13.36,11.84,1.5199999999999996,0.8800000000000008,13.236,13.75,12.82,0.9299999999999997,-0.33000000000000007,12.372,13.18,11.79,1.3900000000000006,0.6000000000000014,12.928,13.38,12.55,0.8300000000000001,-0.5599999999999987,1175525,2111642,782752,1328890,-1328890
2016-07-31,12.958,13.5,12.57,0.9299999999999997,0.9299999999999997,13.25,13.95,12.65,1.299999999999999,1.299999999999999,12.734,13.35,12.14,1.209999999999999,0.9599999999999991,13.034,13.65,12.27,1.3800000000000008,1.0500000000000007,888943,1241242,392495,848747,691603
2016-08-07,13.292,13.84,12.1,1.7400000000000002,-0.35999999999999943,13.828000000000001,14.05,13.55,0.5,0.08000000000000007,12.992,13.36,12.0,1.3599999999999994,0.1399999999999988,13.572000000000001,14.01,13.4,0.6099999999999994,0.6099999999999994,1058010,1956191,376628,1579563,50150
2016-08-14,14.75,15.21,14.15,1.0600000000000005,1.0600000000000005,15.192,15.8,14.9,0.9000000000000004,0.8100000000000005,14.48,15.11,14.03,1.08,1.08,15.044,15.69,14.71,0.9799999999999986,0.9199999999999999,1178993,1721371,625583,1095788,-499787
2016-08-21,15.204,15.72,14.72,1.0,-0.8300000000000001,15.398,15.93,15.05,0.879999999999999,-0.5300000000000011,14.838,15.32,14.5,0.8200000000000003,-0.620000000000001,15.044,15.57,14.83,0.7400000000000002,-0.6600000000000001,698822,1409839,347167,1062672,-175264
2016-08-28,15.065999999999999,15.29,14.87,0.41999999999999993,0.41999999999999993,15.450000000000001,15.71,15.23,0.4800000000000004,0.46000000000000085,14.847999999999999,15.01,14.53,0.4800000000000004,0.02000000000000135,15.248,15.68,14.93,0.75,0.5499999999999989,674711,884818,560739,324079,27769
2016-09-04,16.445,17.22,15.83,1.3899999999999988,1.3899999999999988,16.8675,17.34,16.27,1.0700000000000003,1.0700000000000003,16.06,16.53,15.47,1.0600000000000005,0.7699999999999978,16.43,16.79,15.9,0.8899999999999988,0.5800000000000001,1281718,1409244,1021450,387794,387794
2016-09-11,17.418,18.17,16.56,1.610000000000003,1.610000000000003,18.054,18.47,17.71,0.759999999999998,0.3500000000000014,17.114,17.69,16.36,1.3300000000000018,1.3300000000000018,17.695999999999998,18.04,17.45,0.5899999999999999,0.46000000000000085,1571809,2064395,1286907,777488,-759500
2016-09-18,17.624,18.5,16.97,1.5300000000000011,-1.4800000000000004,17.738,18.51,17.02,1.490000000000002,-1.490000000000002,16.804,18.02,16.23,1.7899999999999991,-1.7899999999999991,17.105999999999998,18.22,16.49,1.7300000000000004,-1.7300000000000004,1152846,1847281,806495,1040786,-131022
2016-09-25,16.55,17.05,16.24,0.8100000000000023,0.259999999999998,16.884,17.4,16.61,0.7899999999999991,0.010000000000001563,16.208000000000002,16.62,16.0,0.620000000000001,-0.05000000000000071,16.496,16.95,16.21,0.7399999999999984,0.129999999999999,913967,1317175,650951,666224,666224
2016-10-02,16.432,16.98,16.25,0.7300000000000004,0.010000000000001563,16.774,17.39,16.46,0.9299999999999997,0.03999999999999915,16.004,16.16,15.83,0.33000000000000007,0.13000000000000078,16.316,16.86,16.04,0.8200000000000003,0.129999999999999,773769,1142878,511126,631752,12230
2016-10-09,15.411999999999999,16.43,14.74,1.6899999999999995,-1.6899999999999995,15.612,16.61,14.93,1.6799999999999997,-1.4100000000000001,14.846,15.43,14.44,0.9900000000000002,-0.7699999999999996,15.132,15.86,14.66,1.1999999999999993,-1.0899999999999999,876929,1459101,527568,931533,-931533
2016-10-16,14.936,15.2,14.66,0.5399999999999991,0.23000000000000043,15.158,15.26,14.99,0.2699999999999996,0.08000000000000007,14.756,14.89,14.59,0.3000000000000007,0.1899999999999995,15.006,15.19,14.85,0.33999999999999986,0.07000000000000028,416478,512387,237269,275118,-187129
2016-10-23,14.93,15.45,13.87,1.58,-1.1300000000000008,15.302,15.68,14.34,1.3399999999999999,-1.1400000000000006,14.534,15.01,13.81,1.1999999999999993,-1.1799999999999997,14.766,15.46,13.91,1.5500000000000007,-1.5500000000000007,633000,1353295,410455,942840,-72812
2016-10-30,13.724,14.64,11.32,3.3200000000000003,-3.0,14.102,15.37,11.69,3.6799999999999997,-2.6900000000000013,13.258,14.37,10.22,4.149999999999999,-3.75,13.688,14.57,11.23,3.34,-2.7699999999999996,1473028,4599873,410759,4189114,4189114
2016-11-06,11.594,12.01,11.23,0.7799999999999994,-0.019999999999999574,12.098,12.43,11.81,0.6199999999999992,-0.019999999999999574,11.338,11.61,11.04,0.5700000000000003,0.19000000000000128,11.73,12.27,11.26,1.0099999999999998,-0.040000000000000924,1266599,2083619,876631,1206988,-1191108
2016-11-13,12.55,13.3,11.68,1.620000000000001,1.620000000000001,12.982,13.54,12.19,1.3499999999999996,1.25,12.384,13.21,11.66,1.5500000000000007,1.209999999999999,12.882,13.44,12.16,1.2799999999999994,1.2799999999999994,871619,1150910,561720,589190,-306866
2016-11-20,13.3125,13.55,13.04,0.5100000000000016,-0.16999999999999993,13.52,13.71,13.38,0.33000000000000007,-0.33000000000000007,12.9475,13.17,12.8,0.3699999999999992,0.09999999999999964,13.245,13.37,12.99,0.379999999999999,0.28999999999999915,512353,853861,205370,648491,-648491
2016-11-27,13.07,13.59,12.0,1.5899999999999999,-1.3200000000000003,13.33,13.95,12.19,1.7599999999999998,-1.5300000000000011,12.59,13.44,11.51,1.9299999999999997,-1.7699999999999996,12.746,13.59,11.56,2.0299999999999994,-1.9900000000000002,786481,900347,646438,253909,253909
2016-12-04,12.584,13.52,11.73,1.7899999999999991,1.7899999999999991,13.072,14.0,12.54,1.4600000000000009,1.4600000000000009,12.336,12.81,11.73,1.08,0.8899999999999988,12.712,13.33,12.42,0.9100000000000001,0.3200000000000003,618627,874120,398335,475785,229848
2016-12-11,12.426,12.55,12.3,0.25,-0.23000000000000043,12.732,12.93,12.59,0.33999999999999986,0.16999999999999993,12.104,12.32,11.86,0.46000000000000085,0.120000000000001,12.366,12.6,12.15,0.4499999999999993,0.25,1088323,2022413,642299,1380114,1149199
