Date,iShares MSCI EAFE Value_etf_Open_average,iShares MSCI EAFE Value_etf_Open_max,iShares MSCI EAFE Value_etf_Open_min,iShares MSCI EAFE Value_etf_Open_volatility,iShares MSCI EAFE Value_etf_Open_change,iShares MSCI EAFE Value_etf_High_average,iShares MSCI EAFE Value_etf_High_max,iShares MSCI EAFE Value_etf_High_min,iShares MSCI EAFE Value_etf_High_volatility,iShares MSCI EAFE Value_etf_High_change,iShares MSCI EAFE Value_etf_Low_average,iShares MSCI EAFE Value_etf_Low_max,iShares MSCI EAFE Value_etf_Low_min,iShares MSCI EAFE Value_etf_Low_volatility,iShares MSCI EAFE Value_etf_Low_change,iShares MSCI EAFE Value_etf_Close_average,iShares MSCI EAFE Value_etf_Close_max,iShares MSCI EAFE Value_etf_Close_min,iShares MSCI EAFE Value_etf_Close_volatility,iShares MSCI EAFE Value_etf_Close_change
2016-03-20,43.97,43.97,43.97,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.89,43.89,43.89,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2016-03-27,43.81,43.81,43.81,0.0,0.0,44.26,44.26,44.26,0.0,0.0,43.72,43.72,43.72,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2016-04-03,44.04,44.04,44.04,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.89,43.89,43.89,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2016-04-10,46.06,46.06,46.06,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2016-04-17,47.12,47.12,47.12,0.0,0.0,47.28,47.28,47.28,0.0,0.0,46.98,46.98,46.98,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2016-04-24,46.57,46.57,46.57,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.31,46.31,46.31,0.0,0.0
2016-05-01,44.82,44.82,44.82,0.0,0.0,45.22,45.22,45.22,0.0,0.0,44.68,44.68,44.68,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2016-05-08,44.78,44.78,44.78,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.58,44.58,44.58,0.0,0.0
2016-05-15,44.95,44.95,44.95,0.0,0.0,45.09,45.09,45.09,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2016-05-22,45.98,45.98,45.98,0.0,0.0,46.13,46.13,46.13,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2016-05-29,45.64,45.64,45.64,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2016-06-05,44.95,44.95,44.95,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2016-06-12,43.82,43.82,43.82,0.0,0.0,44.27,44.27,44.27,0.0,0.0,43.67,43.67,43.67,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2016-06-19,41.52,41.52,41.52,0.0,0.0,42.55,42.55,42.55,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.49,41.49,41.49,0.0,0.0
2016-06-26,42.95,42.95,42.95,0.0,0.0,43.05,43.05,43.05,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2016-07-03,42.2,42.2,42.2,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2016-07-10,44.22,44.22,44.22,0.0,0.0,44.26,44.26,44.26,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.07,44.07,44.07,0.0,0.0
2016-07-17,44.07,44.07,44.07,0.0,0.0,44.09,44.09,44.09,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.99,43.99,43.99,0.0,0.0
2016-07-24,44.59,44.59,44.59,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.51,44.51,44.51,0.0,0.0,44.71,44.71,44.71,0.0,0.0
2016-07-31,44.44,44.44,44.44,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.62,44.62,44.62,0.0,0.0
2016-08-07,45.79,45.79,45.79,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.58,45.58,45.58,0.0,0.0
2016-08-14,45.47,45.47,45.47,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2016-08-21,45.8,45.8,45.8,0.0,0.0,46.23,46.23,46.23,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2016-08-28,46.48,46.48,46.48,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2016-09-04,46.58,46.58,46.58,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.02,46.02,46.02,0.0,0.0
2016-09-11,44.81,44.81,44.81,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2016-09-18,46.24,46.24,46.24,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.23,46.23,46.23,0.0,0.0
2016-09-25,45.89,45.89,45.89,0.0,0.0,46.33,46.33,46.33,0.0,0.0,45.86,45.86,45.86,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2016-10-02,46.15,46.15,46.15,0.0,0.0,46.16,46.16,46.16,0.0,0.0,45.74,45.74,45.74,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2016-10-09,45.6,45.6,45.6,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.41,45.41,45.41,0.0,0.0
2016-10-16,45.83,45.83,45.83,0.0,0.0,46.19,46.19,46.19,0.0,0.0,45.83,45.83,45.83,0.0,0.0,46.19,46.19,46.19,0.0,0.0
2016-10-23,46.05,46.05,46.05,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2016-10-30,45.25,45.25,45.25,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.15,45.15,45.15,0.0,0.0
2016-11-06,46.11,46.11,46.11,0.0,0.0,46.26,46.26,46.26,0.0,0.0,45.85,45.85,45.85,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2016-11-13,45.53,45.53,45.53,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2016-11-20,46.08,46.08,46.08,0.0,0.0,46.08,46.08,46.08,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.04,46.04,46.04,0.0,0.0
2016-11-27,46.01,46.01,46.01,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.21,46.21,46.21,0.0,0.0
2016-12-04,48.22,48.22,48.22,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2016-12-11,47.74,47.74,47.74,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2016-12-18,47.26,47.26,47.26,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.21,47.21,47.21,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2016-12-25,47.37,47.37,47.37,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2017-01-01,48.44,48.44,48.44,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.46,48.46,48.46,0.0,0.0
2017-01-08,48.74,48.74,48.74,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2017-01-15,48.5,48.5,48.5,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2017-01-22,48.99,48.99,48.99,0.0,0.0,49.03,49.03,49.03,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2017-01-29,48.88,48.88,48.88,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.82,48.82,48.82,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2017-02-05,48.65,48.65,48.65,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2017-02-12,48.84,48.84,48.84,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2017-02-19,48.55,48.55,48.55,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.79,48.79,48.79,0.0,0.0
2017-02-26,49.25,49.25,49.25,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2017-03-05,49.47,49.47,49.47,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2017-03-12,50.4,50.4,50.4,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2017-03-19,50.17,50.17,50.17,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2017-03-26,50.18,50.18,50.18,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2017-04-02,49.66,49.66,49.66,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2017-04-09,49.44,49.44,49.44,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2017-04-16,49.77,49.77,49.77,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2017-04-23,51.51,51.51,51.51,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.39,51.39,51.39,0.0,0.0
2017-04-30,52.29,52.29,52.29,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.85,52.85,52.85,0.0,0.0
2017-05-07,52.11,52.11,52.11,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.28,52.28,52.28,0.0,0.0
2017-05-14,52.66,52.66,52.66,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2017-05-21,52.57,52.57,52.57,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.65,52.65,52.65,0.0,0.0
2017-05-28,53.2,53.2,53.2,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.31,53.31,53.31,0.0,0.0
2017-06-04,52.66,52.66,52.66,0.0,0.0,52.91,52.91,52.91,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.76,52.76,52.76,0.0,0.0
2017-06-11,52.5,52.5,52.5,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2017-06-18,51.11,51.11,51.11,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2017-06-25,51.86,51.86,51.86,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2017-07-02,51.53,51.53,51.53,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2017-07-09,52.5,52.5,52.5,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.59,52.59,52.59,0.0,0.0
2017-07-16,52.65,52.65,52.65,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2017-07-23,52.79,52.79,52.79,0.0,0.0,53.06,53.06,53.06,0.0,0.0,52.79,52.79,52.79,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2017-07-30,53.73,53.73,53.73,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2017-08-06,52.5,52.5,52.5,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2017-08-13,52.44,52.44,52.44,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.36,52.36,52.36,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2017-08-20,52.81,52.81,52.81,0.0,0.0,53.06,53.06,53.06,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2017-08-27,53.15,53.15,53.15,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.99,52.99,52.99,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2017-09-03,53.45,53.45,53.45,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.29,53.29,53.29,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2017-09-10,53.9,53.9,53.9,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.85,53.85,53.85,0.0,0.0
2017-09-17,54.39,54.39,54.39,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.42,54.42,54.42,0.0,0.0
2017-09-24,54.41,54.41,54.41,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2017-10-01,54.29,54.29,54.29,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2017-10-08,55.01,55.01,55.01,0.0,0.0,55.17,55.17,55.17,0.0,0.0,55.01,55.01,55.01,0.0,0.0,55.09,55.09,55.09,0.0,0.0
2017-10-15,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.91,54.91,54.91,0.0,0.0,55.01,55.01,55.01,0.0,0.0
2017-10-22,54.58,54.58,54.58,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.68,54.68,54.68,0.0,0.0
2017-10-29,55.16,55.16,55.16,0.0,0.0,55.16,55.16,55.16,0.0,0.0,54.91,54.91,54.91,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2017-11-05,54.63,54.63,54.63,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2017-11-12,54.1,54.1,54.1,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2017-11-19,55.12,55.12,55.12,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2017-11-26,55.11,55.11,55.11,0.0,0.0,55.28,55.28,55.28,0.0,0.0,54.89,54.89,54.89,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2017-12-03,55.13,55.13,55.13,0.0,0.0,55.2,55.2,55.2,0.0,0.0,54.99,54.99,54.99,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2017-12-10,55.2,55.2,55.2,0.0,0.0,55.32,55.32,55.32,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.26,55.26,55.26,0.0,0.0
2017-12-17,54.96,54.96,54.96,0.0,0.0,55.03,55.03,55.03,0.0,0.0,54.85,54.85,54.85,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2017-12-24,55.3,55.3,55.3,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2017-12-31,56.75,56.75,56.75,0.0,0.0,56.92,56.92,56.92,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.89,56.89,56.89,0.0,0.0
