Date,iShares Select Dividend_etf_Open_average,iShares Select Dividend_etf_Open_max,iShares Select Dividend_etf_Open_min,iShares Select Dividend_etf_Open_volatility,iShares Select Dividend_etf_Open_change,iShares Select Dividend_etf_High_average,iShares Select Dividend_etf_High_max,iShares Select Dividend_etf_High_min,iShares Select Dividend_etf_High_volatility,iShares Select Dividend_etf_High_change,iShares Select Dividend_etf_Low_average,iShares Select Dividend_etf_Low_max,iShares Select Dividend_etf_Low_min,iShares Select Dividend_etf_Low_volatility,iShares Select Dividend_etf_Low_change,iShares Select Dividend_etf_Close_average,iShares Select Dividend_etf_Close_max,iShares Select Dividend_etf_Close_min,iShares Select Dividend_etf_Close_volatility,iShares Select Dividend_etf_Close_change
2016-07-31,86.58,86.58,86.58,0.0,0.0,86.75,86.75,86.75,0.0,0.0,86.4,86.4,86.4,0.0,0.0,86.62,86.62,86.62,0.0,0.0
2016-08-07,86.99,86.99,86.99,0.0,0.0,87.18,87.18,87.18,0.0,0.0,86.76,86.76,86.76,0.0,0.0,86.83,86.83,86.83,0.0,0.0
2016-08-14,87.15,87.15,87.15,0.0,0.0,87.25,87.25,87.25,0.0,0.0,86.57,86.57,86.57,0.0,0.0,86.84,86.84,86.84,0.0,0.0
2016-08-21,86.8,86.8,86.8,0.0,0.0,87.29,87.29,87.29,0.0,0.0,85.67,85.67,85.67,0.0,0.0,85.98,85.98,85.98,0.0,0.0
2016-08-28,86.21,86.21,86.21,0.0,0.0,86.75,86.75,86.75,0.0,0.0,86.21,86.21,86.21,0.0,0.0,86.7,86.7,86.7,0.0,0.0
2016-09-04,86.74,86.74,86.74,0.0,0.0,86.82,86.82,86.82,0.0,0.0,84.71,84.71,84.71,0.0,0.0,84.75,84.75,84.75,0.0,0.0
2016-09-11,84.71,84.71,84.71,0.0,0.0,85.14,85.14,85.14,0.0,0.0,84.46,84.46,84.46,0.0,0.0,85.02,85.02,85.02,0.0,0.0
2016-09-18,87.17,87.17,87.17,0.0,0.0,87.39,87.39,87.39,0.0,0.0,86.91,86.91,86.91,0.0,0.0,86.95,86.95,86.95,0.0,0.0
2016-09-25,85.64,85.64,85.64,0.0,0.0,86.01,86.01,86.01,0.0,0.0,85.47,85.47,85.47,0.0,0.0,85.69,85.69,85.69,0.0,0.0
2016-10-02,84.58,84.58,84.58,0.0,0.0,84.86,84.86,84.86,0.0,0.0,83.76,83.76,83.76,0.0,0.0,84.07,84.07,84.07,0.0,0.0
2016-10-09,84.1,84.1,84.1,0.0,0.0,84.51,84.51,84.51,0.0,0.0,83.82,83.82,83.82,0.0,0.0,83.82,83.82,83.82,0.0,0.0
2016-10-16,83.45,83.45,83.45,0.0,0.0,83.78,83.78,83.78,0.0,0.0,83.24,83.24,83.24,0.0,0.0,83.64,83.64,83.64,0.0,0.0
2016-10-23,83.41,83.41,83.41,0.0,0.0,83.97,83.97,83.97,0.0,0.0,83.07,83.07,83.07,0.0,0.0,83.45,83.45,83.45,0.0,0.0
2016-10-30,82.0,82.0,82.0,0.0,0.0,82.51,82.51,82.51,0.0,0.0,81.74,81.74,81.74,0.0,0.0,81.79,81.79,81.79,0.0,0.0
2016-11-06,84.45,84.45,84.45,0.0,0.0,84.88,84.88,84.88,0.0,0.0,84.23,84.23,84.23,0.0,0.0,84.68,84.68,84.68,0.0,0.0
2016-11-13,86.27,86.27,86.27,0.0,0.0,86.32,86.32,86.32,0.0,0.0,86.01,86.01,86.01,0.0,0.0,86.13,86.13,86.13,0.0,0.0
2016-11-20,87.15,87.15,87.15,0.0,0.0,87.64,87.64,87.64,0.0,0.0,87.15,87.15,87.15,0.0,0.0,87.61,87.61,87.61,0.0,0.0
2016-11-27,87.16,87.16,87.16,0.0,0.0,87.53,87.53,87.53,0.0,0.0,87.02,87.02,87.02,0.0,0.0,87.21,87.21,87.21,0.0,0.0
2016-12-04,89.57,89.57,89.57,0.0,0.0,89.82,89.82,89.82,0.0,0.0,89.37,89.37,89.37,0.0,0.0,89.81,89.81,89.81,0.0,0.0
2016-12-11,89.64,89.64,89.64,0.0,0.0,89.99,89.99,89.99,0.0,0.0,89.53,89.53,89.53,0.0,0.0,89.71,89.71,89.71,0.0,0.0
2016-12-18,89.15,89.15,89.15,0.0,0.0,89.25,89.25,89.25,0.0,0.0,89.0,89.0,89.0,0.0,0.0,89.23,89.23,89.23,0.0,0.0
2016-12-25,89.03,89.03,89.03,0.0,0.0,89.06,89.06,89.06,0.0,0.0,88.23,88.23,88.23,0.0,0.0,88.57,88.57,88.57,0.0,0.0
2017-01-01,89.3,89.3,89.3,0.0,0.0,89.65,89.65,89.65,0.0,0.0,89.01,89.01,89.01,0.0,0.0,89.47,89.47,89.47,0.0,0.0
2017-01-08,88.7,88.7,88.7,0.0,0.0,89.04,89.04,89.04,0.0,0.0,88.69,88.69,88.69,0.0,0.0,88.81,88.81,88.81,0.0,0.0
2017-01-15,88.45,88.45,88.45,0.0,0.0,88.99,88.99,88.99,0.0,0.0,88.44,88.44,88.44,0.0,0.0,88.75,88.75,88.75,0.0,0.0
2017-01-22,89.9,89.9,89.9,0.0,0.0,89.97,89.97,89.97,0.0,0.0,89.51,89.51,89.51,0.0,0.0,89.71,89.71,89.71,0.0,0.0
2017-01-29,89.84,89.84,89.84,0.0,0.0,90.27,90.27,90.27,0.0,0.0,89.75,89.75,89.75,0.0,0.0,90.08,90.08,90.08,0.0,0.0
2017-02-05,90.02,90.02,90.02,0.0,0.0,90.51,90.51,90.51,0.0,0.0,89.95,89.95,89.95,0.0,0.0,90.44,90.44,90.44,0.0,0.0
2017-02-12,90.9,90.9,90.9,0.0,0.0,91.03,91.03,91.03,0.0,0.0,90.57,90.57,90.57,0.0,0.0,90.99,90.99,90.99,0.0,0.0
2017-02-19,91.67,91.67,91.67,0.0,0.0,92.19,92.19,92.19,0.0,0.0,91.56,91.56,91.56,0.0,0.0,92.19,92.19,92.19,0.0,0.0
2017-02-26,92.71,92.71,92.71,0.0,0.0,92.86,92.86,92.86,0.0,0.0,92.35,92.35,92.35,0.0,0.0,92.73,92.73,92.73,0.0,0.0
2017-03-05,91.51,91.51,91.51,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.09,91.09,91.09,0.0,0.0,91.52,91.52,91.52,0.0,0.0
2017-03-12,92.34,92.34,92.34,0.0,0.0,92.63,92.63,92.63,0.0,0.0,92.17,92.17,92.17,0.0,0.0,92.33,92.33,92.33,0.0,0.0
2017-03-19,90.73,90.73,90.73,0.0,0.0,90.99,90.99,90.99,0.0,0.0,90.22,90.22,90.22,0.0,0.0,90.52,90.52,90.52,0.0,0.0
2017-03-26,91.2,91.2,91.2,0.0,0.0,91.51,91.51,91.51,0.0,0.0,91.1,91.1,91.1,0.0,0.0,91.1,91.1,91.1,0.0,0.0
2017-04-02,91.08,91.08,91.08,0.0,0.0,91.27,91.27,91.27,0.0,0.0,90.86,90.86,90.86,0.0,0.0,90.88,90.88,90.88,0.0,0.0
2017-04-09,91.07,91.07,91.07,0.0,0.0,91.07,91.07,91.07,0.0,0.0,90.44,90.44,90.44,0.0,0.0,90.5,90.5,90.5,0.0,0.0
2017-04-16,91.19,91.19,91.19,0.0,0.0,91.4,91.4,91.4,0.0,0.0,91.1,91.1,91.1,0.0,0.0,91.17,91.17,91.17,0.0,0.0
2017-04-23,92.26,92.26,92.26,0.0,0.0,92.26,92.26,92.26,0.0,0.0,91.43,91.43,91.43,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2017-04-30,91.09,91.09,91.09,0.0,0.0,91.67,91.67,91.67,0.0,0.0,91.03,91.03,91.03,0.0,0.0,91.65,91.65,91.65,0.0,0.0
2017-05-07,90.89,90.89,90.89,0.0,0.0,91.0,91.0,91.0,0.0,0.0,90.76,90.76,90.76,0.0,0.0,90.86,90.86,90.86,0.0,0.0
2017-05-14,90.19,90.19,90.19,0.0,0.0,90.95,90.95,90.95,0.0,0.0,90.0,90.0,90.0,0.0,0.0,90.73,90.73,90.73,0.0,0.0
2017-05-21,91.98,91.98,91.98,0.0,0.0,92.14,92.14,92.14,0.0,0.0,91.91,91.91,91.91,0.0,0.0,92.09,92.09,92.09,0.0,0.0
2017-05-28,93.34,93.34,93.34,0.0,0.0,93.36,93.36,93.36,0.0,0.0,92.95,92.95,92.95,0.0,0.0,93.19,93.19,93.19,0.0,0.0
2017-06-04,92.49,92.49,92.49,0.0,0.0,93.4,93.4,93.4,0.0,0.0,92.43,92.43,92.43,0.0,0.0,93.34,93.34,93.34,0.0,0.0
2017-06-11,94.0,94.0,94.0,0.0,0.0,94.42,94.42,94.42,0.0,0.0,93.81,93.81,93.81,0.0,0.0,94.4,94.4,94.4,0.0,0.0
2017-06-18,93.07,93.07,93.07,0.0,0.0,93.41,93.41,93.41,0.0,0.0,92.99,92.99,92.99,0.0,0.0,93.19,93.19,93.19,0.0,0.0
2017-06-25,92.28,92.28,92.28,0.0,0.0,92.5,92.5,92.5,0.0,0.0,92.1,92.1,92.1,0.0,0.0,92.21,92.21,92.21,0.0,0.0
2017-07-02,91.3,91.3,91.3,0.0,0.0,91.73,91.73,91.73,0.0,0.0,91.18,91.18,91.18,0.0,0.0,91.58,91.58,91.58,0.0,0.0
2017-07-09,91.83,91.83,91.83,0.0,0.0,92.17,92.17,92.17,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.98,91.98,91.98,0.0,0.0
2017-07-16,92.86,92.86,92.86,0.0,0.0,93.05,93.05,93.05,0.0,0.0,92.66,92.66,92.66,0.0,0.0,93.04,93.04,93.04,0.0,0.0
2017-07-23,92.83,92.83,92.83,0.0,0.0,92.86,92.86,92.86,0.0,0.0,92.25,92.25,92.25,0.0,0.0,92.48,92.48,92.48,0.0,0.0
2017-07-30,92.71,92.71,92.71,0.0,0.0,92.87,92.87,92.87,0.0,0.0,92.59,92.59,92.59,0.0,0.0,92.8,92.8,92.8,0.0,0.0
2017-08-06,91.5,91.5,91.5,0.0,0.0,91.71,91.71,91.71,0.0,0.0,91.26,91.26,91.26,0.0,0.0,91.43,91.43,91.43,0.0,0.0
2017-08-13,90.58,90.58,90.58,0.0,0.0,91.27,91.27,91.27,0.0,0.0,90.47,90.47,90.47,0.0,0.0,90.88,90.88,90.88,0.0,0.0
2017-08-20,91.66,91.66,91.66,0.0,0.0,92.19,92.19,92.19,0.0,0.0,91.66,91.66,91.66,0.0,0.0,91.91,91.91,91.91,0.0,0.0
2017-08-27,92.18,92.18,92.18,0.0,0.0,92.59,92.59,92.59,0.0,0.0,92.09,92.09,92.09,0.0,0.0,92.43,92.43,92.43,0.0,0.0
2017-09-03,92.14,92.14,92.14,0.0,0.0,92.61,92.61,92.61,0.0,0.0,91.95,91.95,91.95,0.0,0.0,92.51,92.51,92.51,0.0,0.0
2017-09-10,93.43,93.43,93.43,0.0,0.0,93.91,93.91,93.91,0.0,0.0,93.43,93.43,93.43,0.0,0.0,93.78,93.78,93.78,0.0,0.0
2017-09-17,93.77,93.77,93.77,0.0,0.0,93.82,93.82,93.82,0.0,0.0,93.61,93.61,93.61,0.0,0.0,93.68,93.68,93.68,0.0,0.0
2017-09-24,93.75,93.75,93.75,0.0,0.0,93.82,93.82,93.82,0.0,0.0,93.56,93.56,93.56,0.0,0.0,93.65,93.65,93.65,0.0,0.0
2017-10-01,94.04,94.04,94.04,0.0,0.0,94.18,94.18,94.18,0.0,0.0,93.89,93.89,93.89,0.0,0.0,94.04,94.04,94.04,0.0,0.0
2017-10-08,95.32,95.32,95.32,0.0,0.0,95.43,95.43,95.43,0.0,0.0,94.98,94.98,94.98,0.0,0.0,95.02,95.02,95.02,0.0,0.0
2017-10-15,95.11,95.11,95.11,0.0,0.0,95.57,95.57,95.57,0.0,0.0,95.03,95.03,95.03,0.0,0.0,95.57,95.57,95.57,0.0,0.0
2017-10-22,95.03,95.03,95.03,0.0,0.0,95.05,95.05,95.05,0.0,0.0,94.36,94.36,94.36,0.0,0.0,95.05,95.05,95.05,0.0,0.0
2017-10-29,94.8,94.8,94.8,0.0,0.0,94.99,94.99,94.99,0.0,0.0,94.62,94.62,94.62,0.0,0.0,94.79,94.79,94.79,0.0,0.0
2017-11-05,94.6,94.6,94.6,0.0,0.0,95.01,95.01,95.01,0.0,0.0,94.6,94.6,94.6,0.0,0.0,94.9,94.9,94.9,0.0,0.0
2017-11-12,95.2,95.2,95.2,0.0,0.0,95.36,95.36,95.36,0.0,0.0,95.15,95.15,95.15,0.0,0.0,95.24,95.24,95.24,0.0,0.0
2017-11-19,95.72,95.72,95.72,0.0,0.0,95.93,95.93,95.93,0.0,0.0,95.56,95.56,95.56,0.0,0.0,95.57,95.57,95.57,0.0,0.0
2017-11-26,98.78,98.78,98.78,0.0,0.0,98.83,98.83,98.83,0.0,0.0,97.11,97.11,97.11,0.0,0.0,98.35,98.35,98.35,0.0,0.0
2017-12-03,98.56,98.56,98.56,0.0,0.0,99.04,99.04,99.04,0.0,0.0,98.27,98.27,98.27,0.0,0.0,99.04,99.04,99.04,0.0,0.0
2017-12-10,98.47,98.47,98.47,0.0,0.0,99.56,99.56,99.56,0.0,0.0,98.47,98.47,98.47,0.0,0.0,99.17,99.17,99.17,0.0,0.0
2017-12-17,98.15,98.15,98.15,0.0,0.0,98.4,98.4,98.4,0.0,0.0,98.01,98.01,98.01,0.0,0.0,98.32,98.32,98.32,0.0,0.0
2017-12-24,99.0,99.0,99.0,0.0,0.0,99.01,99.01,99.01,0.0,0.0,98.53,98.53,98.53,0.0,0.0,98.56,98.56,98.56,0.0,0.0
2017-12-31,98.88,98.88,98.88,0.0,0.0,99.06,99.06,99.06,0.0,0.0,98.58,98.58,98.58,0.0,0.0,98.94,98.94,98.94,0.0,0.0
