Date,HRLStock_Open_average,HRLStock_Open_max,HRLStock_Open_min,HRLStock_Open_volatility,HRLStock_Open_change,HRLStock_High_average,HRLStock_High_max,HRLStock_High_min,HRLStock_High_volatility,HRLStock_High_change,HRLStock_Low_average,HRLStock_Low_max,HRLStock_Low_min,HRLStock_Low_volatility,HRLStock_Low_change,HRLStock_Close_average,HRLStock_Close_max,HRLStock_Close_min,HRLStock_Close_volatility,HRLStock_Close_change,HRLStock_Volume_average,HRLStock_Volume_max,HRLStock_Volume_min,HRLStock_Volume_volatility,HRLStock_Volume_change
2016-07-31,36.854,37.35,36.31,1.0399999999999991,-1.0,37.03,37.57,36.53,1.0399999999999991,-1.0399999999999991,36.39,36.93,36.0,0.9299999999999997,-0.8100000000000023,36.658,37.55,36.13,1.4199999999999946,-1.1400000000000006,2036278,2502090,1734900,767190,-376493
2016-08-07,36.528,36.83,36.28,0.5499999999999972,0.09000000000000341,36.796,37.1,36.48,0.6200000000000045,0.6200000000000045,36.288000000000004,36.53,36.06,0.46999999999999886,0.46999999999999886,36.646,37.06,36.43,0.6300000000000026,0.5800000000000054,1468031,1720254,1016764,703490,277564
2016-08-14,36.78,37.25,36.13,1.1199999999999974,0.38000000000000256,37.354,38.7,36.53,2.1700000000000017,1.8000000000000043,36.472,37.12,35.87,1.25,0.6299999999999955,36.99,38.66,36.19,2.469999999999999,1.9499999999999957,4079394,5737935,2214953,3522982,2845390
2016-08-21,39.012,39.58,38.37,1.2100000000000009,-0.8000000000000043,39.22,40.0,38.43,1.5700000000000003,-1.5700000000000003,38.524,38.97,37.79,1.1799999999999997,-1.1400000000000006,38.72,39.51,37.92,1.5899999999999963,-1.5899999999999963,2720186,3918666,1911990,2006676,-1533875
2016-08-28,38.14,38.29,38.0,0.28999999999999915,0.240000000000002,38.41,38.56,38.33,0.23000000000000398,0.12000000000000455,37.904,38.2,37.76,0.44000000000000483,0.35999999999999943,38.242,38.46,37.88,0.5799999999999983,0.060000000000002274,2174424,2529949,1694553,835396,-835396
2016-09-04,38.085,38.58,37.34,1.2399999999999949,-1.1199999999999974,38.167500000000004,38.66,37.34,1.3199999999999932,-1.3199999999999932,37.417500000000004,38.32,36.0,2.3200000000000003,-2.3200000000000003,37.5575,38.65,36.01,2.6400000000000006,-2.6400000000000006,2166839,3090392,1351171,1739221,1739221
2016-09-11,36.392,36.68,36.0,0.6799999999999997,0.6799999999999997,36.688,36.76,36.56,0.19999999999999574,0.1699999999999946,36.15,36.27,36.0,0.2700000000000031,0.13000000000000256,36.482,36.68,36.33,0.3500000000000014,-0.12000000000000455,2338335,3248490,1385647,1862843,-335841
2016-09-18,37.146,37.59,36.7,0.8900000000000006,0.8900000000000006,37.386,37.99,36.7,1.2899999999999991,1.2899999999999991,36.79,37.59,36.33,1.2600000000000051,1.2600000000000051,37.192,37.87,36.39,1.4799999999999969,1.2899999999999991,2189976,2757420,1381162,1376258,34634
2016-09-25,37.972,38.3,37.66,0.6400000000000006,0.22999999999999687,38.236000000000004,38.47,37.77,0.6999999999999957,0.4799999999999969,37.746,38.12,37.29,0.8299999999999983,0.5399999999999991,37.952,38.37,37.33,1.0399999999999991,0.6000000000000014,2279907,2599153,2035964,563189,485435
2016-10-02,37.410000000000004,37.93,36.85,1.0799999999999983,-0.44999999999999574,37.746,38.4,37.15,1.25,-0.8999999999999986,36.994,37.65,36.72,0.9299999999999997,-0.8200000000000003,37.376,38.04,36.91,1.1300000000000026,-0.5899999999999963,2856794,3509145,2440790,1068355,274622
2016-10-09,37.86,38.05,37.75,0.29999999999999716,0.29999999999999716,38.122,38.24,37.94,0.30000000000000426,0.0899999999999963,37.664,37.87,37.49,0.37999999999999545,0.37999999999999545,37.938,38.11,37.8,0.3100000000000023,0.10999999999999943,1797908,2509081,1150562,1358519,-1358519
2016-10-16,38.082,38.32,37.67,0.6499999999999986,-0.5300000000000011,38.182,38.52,37.78,0.740000000000002,-0.46000000000000085,37.746,38.01,37.43,0.5799999999999983,-0.4799999999999969,37.968,38.27,37.71,0.5600000000000023,-0.3500000000000014,1586770,2043718,1272546,771172,136425
2016-10-23,37.95,38.08,37.79,0.28999999999999915,0.10000000000000142,38.23,38.45,38.07,0.38000000000000256,0.3299999999999983,37.734,38.0,37.54,0.46000000000000085,0.17999999999999972,38.044000000000004,38.22,37.92,0.29999999999999716,0.22999999999999687,1880358,2489616,1386764,1102852,274009
2016-10-30,37.806,38.46,36.5,1.9600000000000009,-1.7199999999999989,38.092,38.84,36.88,1.9600000000000009,-1.75,37.318,38.08,36.35,1.7299999999999969,-1.6899999999999977,37.452,38.5,36.43,2.0700000000000003,-2.0700000000000003,2892410,4060521,2304915,1755606,383711
2016-11-06,36.374,37.14,34.67,2.469999999999999,-2.0899999999999963,36.882,38.35,35.04,3.3100000000000023,-2.1400000000000006,35.708,37.14,34.5,2.6400000000000006,-1.9799999999999969,36.190000000000005,37.42,34.78,2.6400000000000006,-2.3100000000000023,4025949,5858075,3289269,2568806,-246776
2016-11-13,35.492,35.97,34.78,1.1899999999999977,1.1899999999999977,35.816,36.01,35.4,0.6099999999999994,0.6000000000000014,35.234,35.51,34.63,0.8799999999999955,0.7899999999999991,35.606,35.94,35.07,0.8699999999999974,0.509999999999998,2609101,3813361,1975024,1838337,-1180356
