Date,ProShares UltraShort Bloomberg Crude OilEtf_Open_average,ProShares UltraShort Bloomberg Crude OilEtf_Open_max,ProShares UltraShort Bloomberg Crude OilEtf_Open_min,ProShares UltraShort Bloomberg Crude OilEtf_Open_volatility,ProShares UltraShort Bloomberg Crude OilEtf_Open_change,ProShares UltraShort Bloomberg Crude OilEtf_High_average,ProShares UltraShort Bloomberg Crude OilEtf_High_max,ProShares UltraShort Bloomberg Crude OilEtf_High_min,ProShares UltraShort Bloomberg Crude OilEtf_High_volatility,ProShares UltraShort Bloomberg Crude OilEtf_High_change,ProShares UltraShort Bloomberg Crude OilEtf_Low_average,ProShares UltraShort Bloomberg Crude OilEtf_Low_max,ProShares UltraShort Bloomberg Crude OilEtf_Low_min,ProShares UltraShort Bloomberg Crude OilEtf_Low_volatility,ProShares UltraShort Bloomberg Crude OilEtf_Low_change,ProShares UltraShort Bloomberg Crude OilEtf_Close_average,ProShares UltraShort Bloomberg Crude OilEtf_Close_max,ProShares UltraShort Bloomberg Crude OilEtf_Close_min,ProShares UltraShort Bloomberg Crude OilEtf_Close_volatility,ProShares UltraShort Bloomberg Crude OilEtf_Close_change
2016-03-13,54.17,54.17,54.17,0.0,0.0,57.0,57.0,57.0,0.0,0.0,53.23,53.23,53.23,0.0,0.0,56.54,56.54,56.54,0.0,0.0
2016-03-20,64.4,64.4,64.4,0.0,0.0,64.82,64.82,64.82,0.0,0.0,60.63,60.63,60.63,0.0,0.0,61.08,61.08,61.08,0.0,0.0
2016-03-27,69.38,69.38,69.38,0.0,0.0,70.61,70.61,70.61,0.0,0.0,68.8,68.8,68.8,0.0,0.0,70.58,70.58,70.58,0.0,0.0
2016-04-03,60.4,60.4,60.4,0.0,0.0,60.95,60.95,60.95,0.0,0.0,58.4,58.4,58.4,0.0,0.0,59.25,59.25,59.25,0.0,0.0
2016-04-10,56.33,56.33,56.33,0.0,0.0,57.75,57.75,57.75,0.0,0.0,55.65,55.65,55.65,0.0,0.0,56.51,56.51,56.51,0.0,0.0
2016-04-17,50.99,50.99,50.99,0.0,0.0,51.43,51.43,51.43,0.0,0.0,49.19,49.19,49.19,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2016-04-24,44.85,44.85,44.85,0.0,0.0,47.18,47.18,47.18,0.0,0.0,44.25,44.25,44.25,0.0,0.0,45.83,45.83,45.83,0.0,0.0
2016-05-01,50.13,50.13,50.13,0.0,0.0,50.46,50.46,50.46,0.0,0.0,47.13,47.13,47.13,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2016-05-08,44.88,44.88,44.88,0.0,0.0,45.54,45.54,45.54,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.75,44.75,44.75,0.0,0.0
2016-05-15,41.4,41.4,41.4,0.0,0.0,42.67,42.67,42.67,0.0,0.0,40.99,40.99,40.99,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2016-05-22,41.0,41.0,41.0,0.0,0.0,41.28,41.28,41.28,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2016-05-29,40.94,40.94,40.94,0.0,0.0,41.92,41.92,41.92,0.0,0.0,40.72,40.72,40.72,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2016-06-05,39.55,39.55,39.55,0.0,0.0,40.75,40.75,40.75,0.0,0.0,39.13,39.13,39.13,0.0,0.0,40.54,40.54,40.54,0.0,0.0
2016-06-12,43.25,43.25,43.25,0.0,0.0,43.65,43.65,43.65,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2016-06-19,42.76,42.76,42.76,0.0,0.0,43.0,43.0,43.0,0.0,0.0,41.63,41.63,41.63,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2016-06-26,41.39,41.39,41.39,0.0,0.0,41.4,41.4,41.4,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2016-07-03,45.17,45.17,45.17,0.0,0.0,46.87,46.87,46.87,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.97,45.97,45.97,0.0,0.0
2016-07-10,43.94,43.94,43.94,0.0,0.0,44.58,44.58,44.58,0.0,0.0,43.16,43.16,43.16,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2016-07-17,48.0,48.0,48.0,0.0,0.0,49.7,49.7,49.7,0.0,0.0,47.87,47.87,47.87,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2016-07-24,56.62,56.62,56.62,0.0,0.0,57.45,57.45,57.45,0.0,0.0,54.56,54.56,54.56,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2016-07-31,53.84,53.84,53.84,0.0,0.0,55.58,55.58,55.58,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2016-08-07,48.64,48.64,48.64,0.0,0.0,48.99,48.99,48.99,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2016-08-14,40.13,40.13,40.13,0.0,0.0,40.88,40.88,40.88,0.0,0.0,39.92,39.92,39.92,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2016-08-21,42.66,42.66,42.66,0.0,0.0,43.36,43.36,43.36,0.0,0.0,40.63,40.63,40.63,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2016-08-28,48.71,48.71,48.71,0.0,0.0,49.14,49.14,49.14,0.0,0.0,47.39,47.39,47.39,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2016-09-04,43.1,43.1,43.1,0.0,0.0,44.58,44.58,44.58,0.0,0.0,42.9,42.9,42.9,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2016-09-11,50.4,50.4,50.4,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2016-09-18,44.91,44.91,44.91,0.0,0.0,48.26,48.26,48.26,0.0,0.0,44.25,44.25,44.25,0.0,0.0,47.3,47.3,47.3,0.0,0.0
2016-09-25,40.22,40.22,40.22,0.0,0.0,40.85,40.85,40.85,0.0,0.0,39.94,39.94,39.94,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2016-10-02,36.6,36.6,36.6,0.0,0.0,37.96,37.96,37.96,0.0,0.0,36.49,36.49,36.49,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2016-10-09,36.38,36.38,36.38,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2016-10-16,36.74,36.74,36.74,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2016-10-23,38.53,38.53,38.53,0.0,0.0,39.68,39.68,39.68,0.0,0.0,37.78,37.78,37.78,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2016-10-30,47.42,47.42,47.42,0.0,0.0,48.55,48.55,48.55,0.0,0.0,45.96,45.96,45.96,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2016-11-06,48.01,48.01,48.01,0.0,0.0,49.25,49.25,49.25,0.0,0.0,47.81,47.81,47.81,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2016-11-13,44.14,44.14,44.14,0.0,0.0,45.22,45.22,45.22,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2016-11-20,41.67,41.67,41.67,0.0,0.0,43.39,43.39,43.39,0.0,0.0,41.37,41.37,41.37,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2016-11-27,33.9,33.9,33.9,0.0,0.0,34.43,34.43,34.43,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2016-12-04,33.61,33.61,33.61,0.0,0.0,34.01,34.01,34.01,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2016-12-11,33.24,33.24,33.24,0.0,0.0,33.52,33.52,33.52,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2016-12-18,33.15,33.15,33.15,0.0,0.0,33.27,33.27,33.27,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2016-12-25,31.92,31.92,31.92,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2017-01-01,31.39,31.39,31.39,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2017-01-08,32.82,32.82,32.82,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2017-01-15,32.59,32.59,32.59,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.35,32.35,32.35,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2017-01-22,32.87,32.87,32.87,0.0,0.0,33.59,33.59,33.59,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2017-01-29,32.3,32.3,32.3,0.0,0.0,32.43,32.43,32.43,0.0,0.0,31.61,31.61,31.61,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2017-02-05,32.04,32.04,32.04,0.0,0.0,32.28,32.28,32.28,0.0,0.0,31.75,31.75,31.75,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2017-02-12,33.3,33.3,33.3,0.0,0.0,33.33,33.33,33.33,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2017-02-19,32.5,32.5,32.5,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2017-02-26,33.76,33.76,33.76,0.0,0.0,33.79,33.79,33.79,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2017-03-05,37.72,37.72,37.72,0.0,0.0,39.61,39.61,39.61,0.0,0.0,37.69,37.69,37.69,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2017-03-12,38.35,38.35,38.35,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2017-03-19,41.17,41.17,41.17,0.0,0.0,41.7,41.7,41.7,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2017-03-26,37.42,37.42,37.42,0.0,0.0,37.44,37.44,37.44,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.57,36.57,36.57,0.0,0.0
2017-04-02,34.85,34.85,34.85,0.0,0.0,34.98,34.98,34.98,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2017-04-09,33.0,33.0,33.0,0.0,0.0,33.46,33.46,33.46,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2017-04-16,36.85,36.85,36.85,0.0,0.0,38.92,38.92,38.92,0.0,0.0,36.82,36.82,36.82,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2017-04-23,38.63,38.63,38.63,0.0,0.0,39.6,39.6,39.6,0.0,0.0,38.32,38.32,38.32,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2017-04-30,45.1,45.1,45.1,0.0,0.0,45.1,45.1,45.1,0.0,0.0,42.73,42.73,42.73,0.0,0.0,43.34,43.34,43.34,0.0,0.0
2017-05-07,40.6,40.6,40.6,0.0,0.0,41.44,41.44,41.44,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.61,40.61,40.61,0.0,0.0
2017-05-14,37.2,37.2,37.2,0.0,0.0,37.25,37.25,37.25,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2017-05-21,38.83,38.83,38.83,0.0,0.0,39.18,39.18,39.18,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2017-05-28,41.17,41.17,41.17,0.0,0.0,41.84,41.84,41.84,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2017-06-04,44.3,44.3,44.3,0.0,0.0,44.47,44.47,44.47,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2017-06-11,45.76,45.76,45.76,0.0,0.0,46.36,46.36,46.36,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2017-06-18,50.54,50.54,50.54,0.0,0.0,51.08,51.08,51.08,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2017-06-25,44.8,44.8,44.8,0.0,0.0,45.18,45.18,45.18,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2017-07-02,45.96,45.96,45.96,0.0,0.0,47.63,47.63,47.63,0.0,0.0,45.8,45.8,45.8,0.0,0.0,46.65,46.65,46.65,0.0,0.0
2017-07-09,42.48,42.48,42.48,0.0,0.0,42.96,42.96,42.96,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2017-07-16,42.13,42.13,42.13,0.0,0.0,44.2,44.2,44.2,0.0,0.0,42.09,42.09,42.09,0.0,0.0,43.96,43.96,43.96,0.0,0.0
2017-07-23,37.55,37.55,37.55,0.0,0.0,37.62,37.62,37.62,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2017-07-30,37.85,37.85,37.85,0.0,0.0,38.38,38.38,38.38,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2017-08-06,39.07,39.07,39.07,0.0,0.0,39.45,39.45,39.45,0.0,0.0,37.9,37.9,37.9,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2017-08-13,40.76,40.76,40.76,0.0,0.0,41.36,41.36,41.36,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2017-08-20,39.91,39.91,39.91,0.0,0.0,40.01,40.01,40.01,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2017-08-27,39.71,39.71,39.71,0.0,0.0,40.39,40.39,40.39,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2017-09-03,37.1,37.1,37.1,0.0,0.0,39.42,39.42,39.42,0.0,0.0,36.97,36.97,36.97,0.0,0.0,38.94,38.94,38.94,0.0,0.0
2017-09-10,35.41,35.41,35.41,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.39,35.39,35.39,0.0,0.0
2017-09-17,35.32,35.32,35.32,0.0,0.0,35.52,35.52,35.52,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2017-09-24,33.87,33.87,33.87,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2017-10-01,36.38,36.38,36.38,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2017-10-08,33.74,33.74,33.74,0.0,0.0,34.31,34.31,34.31,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2017-10-15,34.3,34.3,34.3,0.0,0.0,34.32,34.32,34.32,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2017-10-22,32.57,32.57,32.57,0.0,0.0,32.62,32.62,32.62,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2017-10-29,29.97,29.97,29.97,0.0,0.0,30.35,30.35,30.35,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2017-11-05,27.41,27.41,27.41,0.0,0.0,27.97,27.97,27.97,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2017-11-12,28.63,28.63,28.63,0.0,0.0,28.74,28.74,28.74,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2017-11-19,26.06,26.06,26.06,0.0,0.0,26.24,26.24,26.24,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2017-11-26,26.38,26.38,26.38,0.0,0.0,26.61,26.61,26.61,0.0,0.0,25.8,25.8,25.8,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2017-12-03,26.9,26.9,26.9,0.0,0.0,27.47,27.47,27.47,0.0,0.0,26.74,26.74,26.74,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2017-12-10,27.08,27.08,27.08,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2017-12-17,26.44,26.44,26.44,0.0,0.0,26.47,26.47,26.47,0.0,0.0,25.95,25.95,25.95,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2017-12-24,24.53,24.53,24.53,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2017-12-31,23.58,23.58,23.58,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.43,23.43,23.43,0.0,0.0
