Date,Vanguard Short-Term Government Bond_etf_Open_average,Vanguard Short-Term Government Bond_etf_Open_max,Vanguard Short-Term Government Bond_etf_Open_min,Vanguard Short-Term Government Bond_etf_Open_volatility,Vanguard Short-Term Government Bond_etf_Open_change,Vanguard Short-Term Government Bond_etf_High_average,Vanguard Short-Term Government Bond_etf_High_max,Vanguard Short-Term Government Bond_etf_High_min,Vanguard Short-Term Government Bond_etf_High_volatility,Vanguard Short-Term Government Bond_etf_High_change,Vanguard Short-Term Government Bond_etf_Low_average,Vanguard Short-Term Government Bond_etf_Low_max,Vanguard Short-Term Government Bond_etf_Low_min,Vanguard Short-Term Government Bond_etf_Low_volatility,Vanguard Short-Term Government Bond_etf_Low_change,Vanguard Short-Term Government Bond_etf_Close_average,Vanguard Short-Term Government Bond_etf_Close_max,Vanguard Short-Term Government Bond_etf_Close_min,Vanguard Short-Term Government Bond_etf_Close_volatility,Vanguard Short-Term Government Bond_etf_Close_change
2016-07-03,61.35,61.35,61.35,0.0,0.0,61.35,61.35,61.35,0.0,0.0,61.3,61.3,61.3,0.0,0.0,61.34,61.34,61.34,0.0,0.0
2016-07-10,61.22,61.22,61.22,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.18,61.18,61.18,0.0,0.0,61.23,61.23,61.23,0.0,0.0
2016-07-17,61.2,61.2,61.2,0.0,0.0,61.25,61.25,61.25,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.23,61.23,61.23,0.0,0.0
2016-07-24,61.26,61.26,61.26,0.0,0.0,61.32,61.32,61.32,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.32,61.32,61.32,0.0,0.0
2016-07-31,61.24,61.24,61.24,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.2,61.2,61.2,0.0,0.0
2016-08-07,61.24,61.24,61.24,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.21,61.21,61.21,0.0,0.0,61.24,61.24,61.24,0.0,0.0
2016-08-14,61.18,61.18,61.18,0.0,0.0,61.21,61.21,61.21,0.0,0.0,61.18,61.18,61.18,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2016-08-21,61.19,61.19,61.19,0.0,0.0,61.21,61.21,61.21,0.0,0.0,61.11,61.11,61.11,0.0,0.0,61.12,61.12,61.12,0.0,0.0
2016-08-28,61.14,61.14,61.14,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.09,61.09,61.09,0.0,0.0,61.1,61.1,61.1,0.0,0.0
2016-09-04,61.12,61.12,61.12,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.09,61.09,61.09,0.0,0.0,61.12,61.12,61.12,0.0,0.0
