Date,iShares Europe_etf_Open_average,iShares Europe_etf_Open_max,iShares Europe_etf_Open_min,iShares Europe_etf_Open_volatility,iShares Europe_etf_Open_change,iShares Europe_etf_High_average,iShares Europe_etf_High_max,iShares Europe_etf_High_min,iShares Europe_etf_High_volatility,iShares Europe_etf_High_change,iShares Europe_etf_Low_average,iShares Europe_etf_Low_max,iShares Europe_etf_Low_min,iShares Europe_etf_Low_volatility,iShares Europe_etf_Low_change,iShares Europe_etf_Close_average,iShares Europe_etf_Close_max,iShares Europe_etf_Close_min,iShares Europe_etf_Close_volatility,iShares Europe_etf_Close_change
2017-03-26,41.74,41.74,41.74,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2017-04-02,41.51,41.51,41.51,0.0,0.0,41.63,41.63,41.63,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2017-04-09,41.5,41.5,41.5,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2017-04-16,41.59,41.59,41.59,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.65,41.65,41.65,0.0,0.0
2017-04-23,43.47,43.47,43.47,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2017-04-30,44.46,44.46,44.46,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2017-05-07,44.49,44.49,44.49,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.73,44.73,44.73,0.0,0.0
2017-05-14,45.28,45.28,45.28,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.47,45.47,45.47,0.0,0.0
2017-05-21,45.27,45.27,45.27,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2017-05-28,45.85,45.85,45.85,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.98,45.98,45.98,0.0,0.0
2017-06-04,45.18,45.18,45.18,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2017-06-11,44.94,44.94,44.94,0.0,0.0,45.23,45.23,45.23,0.0,0.0,44.92,44.92,44.92,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2017-06-18,44.1,44.1,44.1,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.01,44.01,44.01,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2017-06-25,44.42,44.42,44.42,0.0,0.0,44.43,44.43,44.43,0.0,0.0,44.01,44.01,44.01,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2017-07-02,44.1,44.1,44.1,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.27,44.27,44.27,0.0,0.0
2017-07-09,45.05,45.05,45.05,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2017-07-16,45.23,45.23,45.23,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2017-07-23,45.21,45.21,45.21,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2017-07-30,45.95,45.95,45.95,0.0,0.0,46.01,46.01,46.01,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.94,45.94,45.94,0.0,0.0
2017-08-06,44.87,44.87,44.87,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2017-08-13,44.84,44.84,44.84,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2017-08-20,45.26,45.26,45.26,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.24,45.24,45.24,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2017-08-27,45.67,45.67,45.67,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2017-09-03,46.1,46.1,46.1,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.02,46.02,46.02,0.0,0.0
2017-09-10,46.51,46.51,46.51,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.47,46.47,46.47,0.0,0.0
2017-09-17,46.81,46.81,46.81,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2017-09-24,46.73,46.73,46.73,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2017-10-01,46.57,46.57,46.57,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2017-10-08,47.4,47.4,47.4,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2017-10-15,47.12,47.12,47.12,0.0,0.0,47.12,47.12,47.12,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2017-10-22,46.56,46.56,46.56,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2017-10-29,47.12,47.12,47.12,0.0,0.0,47.12,47.12,47.12,0.0,0.0,46.92,46.92,46.92,0.0,0.0,47.07,47.07,47.07,0.0,0.0
2017-11-05,46.45,46.45,46.45,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2017-11-12,46.33,46.33,46.33,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.33,46.33,46.33,0.0,0.0
2017-11-19,47.19,47.19,47.19,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2017-11-26,46.82,46.82,46.82,0.0,0.0,46.97,46.97,46.97,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2017-12-03,46.87,46.87,46.87,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.91,46.91,46.91,0.0,0.0
2017-12-10,46.77,46.77,46.77,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2017-12-17,46.98,46.98,46.98,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.92,46.92,46.92,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2017-12-24,47.49,47.49,47.49,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2017-12-31,48.45,48.45,48.45,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.62,48.62,48.62,0.0,0.0
