Date,LHCG_stock_Open_average,LHCG_stock_Open_max,LHCG_stock_Open_min,LHCG_stock_Open_volatility,LHCG_stock_Open_change,LHCG_stock_High_average,LHCG_stock_High_max,LHCG_stock_High_min,LHCG_stock_High_volatility,LHCG_stock_High_change,LHCG_stock_Low_average,LHCG_stock_Low_max,LHCG_stock_Low_min,LHCG_stock_Low_volatility,LHCG_stock_Low_change,LHCG_stock_Close_average,LHCG_stock_Close_max,LHCG_stock_Close_min,LHCG_stock_Close_volatility,LHCG_stock_Close_change,LHCG_stock_Volume_average,LHCG_stock_Volume_max,LHCG_stock_Volume_min,LHCG_stock_Volume_volatility,LHCG_stock_Volume_change
2016-03-13,35.164,35.9,34.6,1.2999999999999972,-1.2999999999999972,35.4,36.59,34.73,1.8600000000000065,-1.8100000000000023,34.494,35.31,33.72,1.5900000000000034,-1.5300000000000011,34.916,35.71,34.3,1.4100000000000037,-1.259999999999998,194649,337748,109074,228674,214392
2016-03-20,34.224999999999994,34.47,33.97,0.5,-0.1700000000000017,34.5075,34.73,34.24,0.4899999999999949,-0.30999999999999517,33.6575,33.89,33.36,0.5300000000000011,-0.14999999999999858,34.1975,34.41,33.89,0.519999999999996,-0.10999999999999943,107991,136449,65579,70870,-47495
2016-03-27,34.994,35.59,34.19,1.4000000000000057,1.0800000000000054,35.624,36.04,35.02,1.019999999999996,1.019999999999996,34.498,35.04,33.65,1.3900000000000006,0.990000000000002,35.436,35.96,34.79,1.1700000000000017,1.1700000000000017,116790,160116,93375,66741,-19107
2016-04-03,35.632,36.07,34.94,1.1300000000000026,-0.18999999999999773,36.372,36.75,36.17,0.5799999999999983,-0.46999999999999886,35.242,35.66,34.88,0.779999999999994,-0.30999999999999517,35.668,36.07,35.05,1.0200000000000031,-0.0799999999999983,130227,191456,84620,106836,-37156
2016-04-10,36.402,38.1,35.29,2.8100000000000023,2.3599999999999994,37.318,38.69,36.26,2.4299999999999997,2.4299999999999997,36.06,37.62,35.11,2.509999999999998,2.5,36.978,38.57,35.29,3.280000000000001,3.280000000000001,102005,117788,73010,44778,-11775
2016-04-17,39.242,39.96,38.55,1.4100000000000037,1.1700000000000017,39.693999999999996,40.16,38.88,1.279999999999994,1.029999999999994,38.738,39.34,37.93,1.4100000000000037,1.4100000000000037,39.46,40.1,38.78,1.3200000000000003,1.0499999999999972,96238,116607,75961,40646,13458
2016-04-24,40.512,41.33,39.85,1.4799999999999969,0.8599999999999994,41.756,42.61,40.16,2.450000000000003,2.450000000000003,40.06,40.77,39.44,1.3300000000000054,0.6700000000000017,40.782000000000004,41.68,40.06,1.6199999999999974,0.28000000000000114,101476,119890,84120,35770,-22646
2016-05-01,40.83,41.82,40.36,1.4600000000000009,0.259999999999998,41.754,43.08,40.77,2.309999999999995,2.1400000000000006,39.832,40.34,39.52,0.8200000000000003,0.5600000000000023,40.984,42.35,40.29,2.0600000000000023,1.5799999999999983,140982,187331,94302,93029,69564
2016-05-08,42.61,43.73,40.9,2.8299999999999983,-1.509999999999998,43.202,43.83,41.83,2.0,-1.9400000000000048,41.442,42.41,39.91,2.5,-2.5,42.248,43.67,40.87,2.8000000000000043,-2.8000000000000043,102114,134011,77511,56500,-38984
2016-05-15,41.49,42.19,40.77,1.4199999999999946,1.1199999999999974,42.438,43.02,41.8,1.220000000000006,0.5800000000000054,40.184,40.85,39.59,1.259999999999998,0.45999999999999375,41.692,42.29,40.98,1.3100000000000023,0.36999999999999744,104395,145026,63551,81475,-61905
2016-05-22,41.628,42.17,41.05,1.1200000000000045,-0.980000000000004,42.268,43.13,41.53,1.6000000000000014,-0.6000000000000014,40.836,41.02,40.66,0.36000000000000654,-0.240000000000002,41.334,42.03,41.0,1.0300000000000011,-0.00999999999999801,122325,194827,75627,119200,41452
2016-05-29,42.19,43.04,41.08,1.9600000000000009,1.9600000000000009,42.817499999999995,43.18,42.07,1.1099999999999994,0.9699999999999989,41.6475,42.37,40.9,1.4699999999999989,1.4699999999999989,42.6225,43.09,42.0,1.0900000000000034,0.6899999999999977,101173,132778,68121,64657,-64657
2016-06-05,43.224,43.62,42.57,1.0499999999999972,0.5399999999999991,43.832,44.73,43.41,1.3200000000000003,0.36000000000000654,42.912,43.25,42.35,0.8999999999999986,0.14999999999999858,43.256,43.53,42.75,0.7800000000000011,-0.39000000000000057,137961,172575,103160,69415,-21200
2016-06-12,42.038,42.46,41.55,0.9100000000000037,-0.45000000000000284,42.596000000000004,43.01,41.96,1.0499999999999972,-0.6499999999999986,41.424,41.81,40.82,0.990000000000002,-0.9299999999999997,41.85,42.21,41.43,0.7800000000000011,-0.46999999999999886,79637,138894,51833,87061,70695
2016-06-19,42.048,42.61,41.08,1.5300000000000011,-0.980000000000004,43.226,44.32,42.55,1.7700000000000031,0.6000000000000014,41.138,42.07,40.51,1.5600000000000023,-0.9199999999999946,42.24,42.9,41.84,1.0599999999999952,0.21999999999999886,137712,343185,60208,282977,206170
2016-06-26,42.116,43.09,41.74,1.3500000000000014,1.3500000000000014,42.742,43.38,41.92,1.4600000000000009,1.4600000000000009,41.55,42.39,41.02,1.3699999999999974,1.3699999999999974,42.217999999999996,43.28,41.53,1.75,1.3500000000000014,106115,152768,87444,65324,12214
2016-07-03,43.405,44.67,42.24,2.4299999999999997,1.8700000000000045,44.325,45.56,43.18,2.3800000000000026,2.3800000000000026,43.085,44.47,41.92,2.549999999999997,2.549999999999997,44.0675,45.53,42.54,2.990000000000002,2.990000000000002,104726,133193,80611,52582,46153
2016-07-10,46.17,46.7,45.5,1.2000000000000028,0.740000000000002,46.474,46.73,45.96,0.769999999999996,0.44999999999999574,45.542,46.0,45.09,0.9099999999999966,-0.21999999999999886,45.952,46.51,45.34,1.1699999999999946,-0.5499999999999972,112508,137614,86384,51230,1649
2016-07-17,45.518,45.61,45.45,0.1599999999999966,-0.0799999999999983,45.898,46.03,45.65,0.38000000000000256,-0.05000000000000426,45.141999999999996,45.25,45.03,0.21999999999999886,-0.21999999999999886,45.482,45.64,45.37,0.2700000000000031,0.21000000000000085,76481,134011,50331,83680,-23344
2016-07-24,45.488,45.76,45.31,0.44999999999999574,-0.28000000000000114,45.79,46.06,45.67,0.39000000000000057,-0.0799999999999983,44.994,45.25,44.85,0.3999999999999986,-0.11999999999999744,45.432,45.57,45.24,0.3299999999999983,0.01999999999999602,68816,89237,52766,36471,19918
2016-07-31,44.078,45.31,41.88,3.4299999999999997,-3.4299999999999997,44.752,45.57,43.66,1.9100000000000037,-1.9100000000000037,42.99,45.02,40.47,4.550000000000004,-4.550000000000004,43.373999999999995,45.32,40.51,4.810000000000002,-4.810000000000002,146673,323039,54543,268496,64704
2016-08-07,39.564,40.47,38.96,1.509999999999998,-1.509999999999998,40.102,41.48,39.24,2.239999999999995,-1.0899999999999963,38.958,39.48,38.39,1.0899999999999963,-0.9299999999999997,39.156,39.64,38.67,0.9699999999999989,-0.7199999999999989,112128,167182,77448,89734,-89734
2016-08-14,38.205999999999996,38.73,37.38,1.3499999999999943,-1.1599999999999966,38.46,39.16,37.38,1.779999999999994,-1.6599999999999966,37.614,38.52,36.66,1.8600000000000065,-1.8600000000000065,37.85,38.86,37.01,1.8500000000000014,-1.8500000000000014,110655,179556,74528,105028,2110
2016-08-21,36.624,37.32,35.88,1.4399999999999977,-1.1899999999999977,36.802,37.37,36.21,1.1599999999999966,-0.9699999999999989,36.04,36.84,34.75,2.0900000000000034,-2.0900000000000034,36.4,37.09,35.86,1.230000000000004,-1.230000000000004,67715,83327,59851,23476,-23476
2016-08-28,35.866,36.45,34.99,1.4600000000000009,-1.0399999999999991,36.272,36.74,35.71,1.0300000000000011,-0.6000000000000014,35.42,36.14,34.79,1.3500000000000014,-0.8999999999999986,35.814,36.4,34.9,1.5,-0.3500000000000014,139530,241151,68810,172341,47144
2016-09-04,35.79,36.24,35.46,0.7800000000000011,0.3300000000000054,36.265,36.43,36.08,0.3500000000000014,0.28000000000000114,35.332499999999996,35.46,35.19,0.2700000000000031,0.21999999999999886,35.805,36.41,35.46,0.9499999999999957,0.3100000000000023,137976,164126,110113,54013,-21233
2016-09-11,36.03,36.28,35.55,0.730000000000004,0.730000000000004,36.392,36.8,36.17,0.6299999999999955,0.519999999999996,35.528,36.06,34.87,1.1900000000000048,1.1900000000000048,36.16,36.43,35.93,0.5,0.20000000000000284,201060,374094,100366,273728,178866
2016-09-18,36.88,37.91,36.39,1.519999999999996,1.519999999999996,37.43,38.51,36.73,1.7800000000000011,1.3999999999999986,36.546,37.72,35.57,2.1499999999999986,1.3799999999999955,37.206,38.43,36.34,2.0899999999999963,1.8399999999999963,154897,201390,106249,95141,36288
2016-09-25,37.818,38.2,37.25,0.9500000000000028,-0.9500000000000028,37.962,38.25,37.25,1.0,-0.9500000000000028,37.058,37.59,35.62,1.970000000000006,-1.970000000000006,37.57,38.1,36.88,1.2199999999999989,-0.8200000000000003,149221,206539,87472,119067,73756
2016-10-02,37.019999999999996,37.66,36.48,1.1799999999999997,0.05999999999999517,37.374,37.86,36.82,1.0399999999999991,0.240000000000002,36.666,37.44,36.14,1.2999999999999972,0.269999999999996,37.106,37.56,36.61,0.9500000000000028,0.13000000000000256,113001,148047,83840,64207,-40811
2016-10-09,36.698,37.21,36.4,0.8100000000000023,0.0899999999999963,37.086,37.61,36.7,0.9099999999999966,-0.8399999999999963,36.302,36.56,36.13,0.4299999999999997,-0.3100000000000023,36.612,37.27,36.32,0.9500000000000028,-0.9500000000000028,65961,75077,59308,15769,1281
2016-10-16,36.91,37.5,36.31,1.1899999999999977,0.5599999999999952,37.296,37.78,36.56,1.2199999999999989,0.4399999999999977,36.502,36.93,35.94,0.990000000000002,-0.23000000000000398,36.856,37.39,36.06,1.3299999999999983,-0.3299999999999983,80188,90551,60842,29709,14628
2016-10-23,35.332,36.35,33.05,3.3000000000000043,-3.3000000000000043,35.572,36.86,33.34,3.519999999999996,-3.519999999999996,34.39,36.05,32.24,3.809999999999995,-3.809999999999995,34.57,36.1,32.48,3.6200000000000045,-3.6200000000000045,161733,444142,32758,411384,391741
2016-10-30,35.114,39.65,32.64,7.009999999999998,7.009999999999998,36.914,41.06,34.51,6.550000000000004,6.530000000000001,34.646,39.6,32.04,7.560000000000002,6.960000000000001,36.08,40.53,32.7,7.829999999999998,6.259999999999998,246879,458493,140384,318109,85986
2016-11-06,42.144,43.04,41.41,1.6300000000000026,1.6300000000000026,42.86,43.6,42.29,1.3100000000000023,1.1099999999999994,41.606,42.85,40.9,1.9500000000000028,1.6400000000000006,42.448,43.0,41.95,1.0499999999999972,0.990000000000002,198691,245612,122151,123461,75947
2016-11-13,43.294,43.64,42.95,0.6899999999999977,-0.46999999999999886,43.716,44.04,43.33,0.7100000000000009,-0.3200000000000003,42.936,43.49,42.38,1.1099999999999994,0.5399999999999991,43.392,43.63,43.03,0.6000000000000014,-0.13000000000000256,183200,285576,112989,172587,-153334
2016-11-20,43.5125,43.74,43.29,0.45000000000000284,0.07000000000000028,43.94,44.48,43.62,0.8599999999999994,0.4899999999999949,43.1325,43.5,42.75,0.75,0.75,43.715,44.34,43.41,0.9300000000000068,0.9300000000000068,109196,168546,59765,108781,-108781
2016-11-27,43.054,44.09,42.06,2.030000000000001,-1.4600000000000009,43.326,44.31,42.69,1.6200000000000045,-1.6200000000000045,42.416,43.43,41.93,1.5,-1.5,42.638,43.63,41.98,1.6500000000000057,-1.6500000000000057,115593,162443,71737,90706,-22053
2016-12-04,42.64,43.31,42.36,0.9500000000000028,0.8100000000000023,43.146,43.81,42.67,1.1400000000000006,1.1400000000000006,42.02,42.53,41.66,0.8700000000000045,0.46999999999999886,42.814,43.42,42.49,0.9299999999999997,0.9299999999999997,92876,125035,75808,49227,28985
2016-12-11,43.602,44.21,43.08,1.1300000000000026,0.9200000000000017,44.032,44.53,43.55,0.980000000000004,0.759999999999998,42.756,43.5,41.66,1.8400000000000034,1.8400000000000034,43.572,44.04,42.87,1.1700000000000017,0.4399999999999977,232392,728412,60858,667554,595798
2016-12-18,44.52,44.93,44.02,0.9099999999999966,0.29999999999999716,45.082,45.61,44.71,0.8999999999999986,-0.020000000000003126,44.036,44.74,43.14,1.6000000000000014,1.1799999999999997,44.684,45.0,44.3,0.7000000000000028,0.3200000000000003,65142,91119,35820,55299,-55299
2016-12-25,45.477500000000006,45.88,44.84,1.0399999999999991,0.5,46.07,46.32,45.85,0.46999999999999886,-0.4100000000000037,44.947500000000005,45.2,44.59,0.6099999999999994,-0.25,45.6475,45.7,45.52,0.17999999999999972,0.030000000000001137,83263,118311,56729,61582,45627
2017-01-01,45.817499999999995,46.23,45.53,0.6999999999999957,-0.37999999999999545,46.1875,46.51,45.76,0.75,-0.4299999999999997,45.1575,45.38,44.94,0.44000000000000483,-0.04999999999999716,45.62,46.13,45.3,0.8300000000000054,-0.269999999999996,87977,103602,71539,32063,-15649
2017-01-08,44.924,45.4,44.48,0.9200000000000017,-0.46000000000000085,45.482,46.34,44.92,1.4200000000000017,0.75,44.406,44.95,44.04,0.9100000000000037,-0.6900000000000048,45.134,46.22,44.64,1.5799999999999983,0.8999999999999986,149645,200907,116114,84793,49839
2017-01-15,46.5025,46.78,45.99,0.7899999999999991,-0.5399999999999991,46.81,47.24,46.48,0.7600000000000051,-0.2600000000000051,45.805,46.27,45.52,0.75,-0.22999999999999687,46.4125,46.76,45.99,0.769999999999996,-0.4199999999999946,71138,84501,54095,30406,-30406
2017-01-22,46.766,47.56,46.15,1.4100000000000037,1.4100000000000037,47.112,47.87,46.53,1.3399999999999963,1.3399999999999963,45.672,46.49,44.13,2.3599999999999994,-1.3399999999999963,46.948,47.78,46.44,1.3400000000000034,1.3400000000000034,70527,103433,47021,56412,37571
2017-01-29,48.967999999999996,50.45,47.18,3.270000000000003,3.1500000000000057,49.944,50.63,47.95,2.6799999999999997,2.5,48.306,49.73,46.22,3.509999999999998,3.219999999999999,49.418,50.23,47.0,3.229999999999997,2.759999999999998,146369,258948,99860,159088,-40761
2017-02-05,48.214,49.78,46.91,2.8700000000000045,-2.8700000000000045,48.558,49.97,47.17,2.799999999999997,-2.799999999999997,47.41,48.43,46.18,2.25,-2.25,47.62,48.69,46.71,1.9799999999999969,-1.9799999999999969,110145,149803,49962,99841,37614
2017-02-12,47.324,48.07,46.28,1.7899999999999991,1.1899999999999977,48.048,48.59,47.12,1.470000000000006,1.3500000000000014,47.022,48.0,46.2,1.7999999999999972,1.7999999999999972,47.726,48.3,46.49,1.8099999999999952,1.8099999999999952,117437,143634,67365,76269,-22692
2017-02-19,48.9775,49.61,48.64,0.9699999999999989,0.0799999999999983,49.575,50.07,49.08,0.990000000000002,0.990000000000002,48.535,48.67,48.42,0.25,0.04999999999999716,48.975,49.26,48.75,0.509999999999998,-0.14999999999999858,61026,68734,51522,17212,-3468
2017-02-26,48.684,48.97,48.52,0.44999999999999574,0.44999999999999574,48.986,49.12,48.73,0.39000000000000057,0.0799999999999983,48.134,48.5,47.62,0.8800000000000026,0.060000000000002274,48.656,49.11,48.02,1.0899999999999963,0.3399999999999963,84971,117992,47310,70682,-49348
2017-03-05,49.572,50.99,48.74,2.25,1.8900000000000006,50.242,53.13,48.9,4.230000000000004,3.9000000000000057,48.454,50.33,47.29,3.039999999999999,1.8099999999999952,49.47,53.1,48.43,4.670000000000002,4.240000000000002,131492,243352,54588,188764,188057
2017-03-12,50.982,53.53,49.84,3.6899999999999977,-3.6899999999999977,51.61,54.11,50.58,3.530000000000001,-3.530000000000001,49.752,50.61,48.81,1.7999999999999972,-1.5499999999999972,50.402,50.74,50.04,0.7000000000000028,-0.6400000000000006,167131,299360,98957,200403,129595
2017-03-19,50.306,51.06,49.91,1.1500000000000057,0.9600000000000009,51.062,51.76,50.49,1.269999999999996,1.269999999999996,50.124,51.01,49.56,1.4499999999999957,1.1899999999999977,50.488,51.61,50.0,1.6099999999999994,1.6099999999999994,90643,115821,68427,47394,-6643
2017-03-26,53.34,54.07,51.63,2.4399999999999977,2.4399999999999977,53.92,54.31,53.19,1.1200000000000045,1.0399999999999991,53.018,53.61,51.63,1.9799999999999969,1.8799999999999955,53.648,54.1,52.99,1.1099999999999994,0.9099999999999966,142726,183069,103956,79113,23167
2017-04-02,53.364,54.21,52.9,1.3100000000000023,-1.25,53.844,54.98,53.15,1.8299999999999983,-1.8299999999999983,52.538000000000004,53.32,52.14,1.1799999999999997,-1.0499999999999972,53.028,53.64,52.62,1.0200000000000031,-1.0200000000000031,113267,176906,64830,112076,57396
2017-04-09,52.965,53.43,52.64,0.7899999999999991,0.00999999999999801,53.445,53.63,53.35,0.28000000000000114,0.01999999999999602,52.317499999999995,52.53,52.0,0.5300000000000011,-0.14000000000000057,52.792500000000004,53.2,52.35,0.8500000000000014,-0.29999999999999716,95209,114758,65509,49249,-22355
2017-04-16,52.484,52.81,52.04,0.7700000000000031,0.05000000000000426,52.992,54.12,52.42,1.6999999999999957,1.259999999999998,51.838,52.56,51.38,1.1799999999999997,0.4299999999999997,52.403999999999996,53.04,51.76,1.2800000000000011,0.39000000000000057,90322,116542,73538,43004,-22664
2017-04-23,53.778,54.53,53.32,1.2100000000000009,1.2100000000000009,54.524,55.52,53.86,1.6600000000000037,0.990000000000002,53.47,54.23,52.86,1.3699999999999974,1.1199999999999974,53.882,54.66,53.17,1.4899999999999949,0.9299999999999997,84567,115650,48461,67189,24682
2017-04-30,58.71,66.3,54.34,11.959999999999994,7.619999999999997,59.394,66.3,55.23,11.07,8.150000000000006,56.418,59.94,54.15,5.789999999999999,5.789999999999999,57.458,60.96,54.93,6.030000000000001,5.340000000000003,158054,380333,69597,310736,72841
2017-05-07,60.64,60.75,60.34,0.4099999999999966,-0.36999999999999744,62.194,64.04,61.25,2.7900000000000063,-2.3500000000000085,60.312000000000005,60.35,60.27,0.0799999999999983,-0.03999999999999915,60.83,61.28,60.4,0.8800000000000026,0.480000000000004,177346,278720,102017,176703,-13687
2017-05-14,60.366,61.14,59.63,1.509999999999998,-0.980000000000004,60.86,61.68,60.22,1.4600000000000009,-1.240000000000002,59.82,60.5,59.33,1.1700000000000017,-1.1700000000000017,60.04,60.5,59.51,0.990000000000002,-0.990000000000002,122439,140277,104308,35969,-16846
2017-05-21,59.966,60.61,59.56,1.0499999999999972,1.019999999999996,60.41,60.97,59.97,1.0,0.9399999999999977,59.596000000000004,59.97,59.35,0.6199999999999974,0.4399999999999977,60.098,60.65,59.48,1.1700000000000017,0.6700000000000017,108186,148958,74423,74535,-9629
2017-05-28,60.3475,60.74,59.98,0.7600000000000051,0.3500000000000014,61.0075,61.8,60.4,1.3999999999999986,1.1299999999999955,59.875,60.33,59.35,0.9799999999999969,0.7899999999999991,60.51,61.12,59.93,1.1899999999999977,1.1899999999999977,115953,184874,54435,130439,130439
2017-06-04,63.294,65.11,61.19,3.9200000000000017,3.9200000000000017,64.486,65.99,62.76,3.229999999999997,3.229999999999997,62.992,64.64,60.83,3.8100000000000023,3.8100000000000023,64.116,65.61,62.64,2.969999999999999,2.969999999999999,166001,214961,130692,84269,-65892
2017-06-11,65.492,65.95,65.25,0.7000000000000028,0.030000000000001137,66.02,66.53,65.56,0.9699999999999989,0.4200000000000017,64.916,65.41,64.36,1.0499999999999972,0.7900000000000063,65.748,66.35,65.22,1.1299999999999955,0.5900000000000034,139428,189346,86371,102975,59548
2017-06-18,66.794,68.0,65.93,2.069999999999993,1.8199999999999932,67.502,68.6,66.42,2.1799999999999926,2.1799999999999926,66.262,67.14,65.45,1.6899999999999977,1.6899999999999977,67.186,68.35,65.9,2.4499999999999886,1.9799999999999898,209967,625245,76455,548790,538489
2017-06-25,67.048,68.47,65.7,2.769999999999996,-1.1700000000000017,67.896,69.35,67.14,2.2099999999999937,-1.2399999999999949,66.136,67.01,64.88,2.1300000000000097,0.0799999999999983,66.942,67.89,65.53,2.3599999999999994,0.9000000000000057,138736,187668,118554,69114,-11166
2017-07-02,67.07249999999999,67.84,65.74,2.1000000000000085,-2.1000000000000085,67.4875,68.24,66.63,1.6099999999999994,-1.6099999999999994,66.0475,67.55,65.12,2.4299999999999926,-2.299999999999997,66.8475,67.69,65.66,2.030000000000001,-1.0799999999999983,101687,170456,72099,98357,5992
2017-07-09,65.12,66.32,64.21,2.1099999999999994,-2.1099999999999994,65.68,66.54,64.7,1.8400000000000034,-1.0700000000000074,64.29599999999999,65.03,63.36,1.6700000000000017,-0.8200000000000074,64.892,65.35,64.45,0.8999999999999915,0.14999999999999147,129960,210020,82169,127851,-27791
2017-07-16,63.932,65.34,63.15,2.190000000000005,-1.8600000000000065,64.308,65.51,63.53,1.980000000000004,-1.980000000000004,63.262,64.0,62.78,1.2199999999999989,-1.1000000000000014,63.582,64.24,63.35,0.8899999999999935,-0.8099999999999952,137181,198399,90783,107616,25834
2017-07-23,61.054,63.9,58.22,5.68,-5.050000000000004,61.846000000000004,64.76,59.7,5.060000000000002,-4.299999999999997,59.82,62.91,57.36,5.549999999999997,-5.029999999999994,60.684000000000005,64.26,58.3,5.960000000000008,-5.300000000000004,214693,407938,119702,288236,101907
2017-07-30,59.028,60.61,57.85,2.759999999999998,2.240000000000002,59.56,61.33,58.4,2.9299999999999997,2.789999999999999,57.57,58.55,56.76,1.7899999999999991,1.0799999999999983,58.932,60.85,57.72,3.1300000000000026,2.950000000000003,250498,312211,192237,119974,-119974
2017-08-06,62.604,63.67,60.86,2.8100000000000023,2.240000000000002,63.744,64.38,62.62,1.759999999999998,1.759999999999998,61.978,63.1,60.5,2.6000000000000014,2.6000000000000014,63.31,63.95,62.62,1.3300000000000054,1.25,161060,221255,116185,105070,-60635
2017-08-13,64.426,65.31,63.5,1.8100000000000023,-0.5699999999999932,65.11,65.55,64.41,1.1400000000000006,0.7900000000000063,63.744,64.6,63.4,1.1999999999999957,-0.13000000000000256,64.45400000000001,65.23,63.86,1.3700000000000045,0.4100000000000037,151229,220332,94641,125691,-109146
2017-08-20,64.21000000000001,65.19,63.69,1.5,-1.269999999999996,64.614,65.19,64.0,1.1899999999999977,-0.8400000000000034,63.524,64.13,62.93,1.1999999999999957,-1.1300000000000026,63.768,64.43,63.1,1.3300000000000054,-1.3300000000000054,122461,182586,78513,104073,-45989
2017-08-27,63.874,65.59,63.27,2.3200000000000003,2.3000000000000043,64.81,65.59,63.71,1.8800000000000026,0.4200000000000017,63.25,63.97,62.83,1.1400000000000006,0.8299999999999983,64.322,65.33,63.39,1.9399999999999977,1.1899999999999977,117282,199024,70045,128979,-48247
2017-09-03,65.6525,65.99,65.3,0.6899999999999977,0.1599999999999966,66.3575,66.56,66.2,0.35999999999999943,-0.1700000000000017,65.045,65.16,64.84,0.3199999999999932,-0.25,65.6575,66.16,65.42,0.7399999999999949,-0.7399999999999949,133730,167097,106257,60840,-30396
2017-09-10,65.348,65.89,65.05,0.8400000000000034,-0.8299999999999983,66.062,66.41,65.77,0.6400000000000006,-0.45999999999999375,64.696,65.01,64.38,0.6300000000000097,-0.6099999999999994,65.214,65.57,64.81,0.7599999999999909,0.29999999999999716,191308,419301,102555,316746,316746
2017-09-17,64.654,65.84,63.27,2.5700000000000003,-1.240000000000009,65.798,66.45,65.16,1.2900000000000063,-0.5900000000000034,63.717999999999996,64.83,62.14,2.6899999999999977,-0.23000000000000398,64.734,65.47,63.57,1.8999999999999986,0.5100000000000051,123625,201433,73608,127825,-28473
2017-09-24,67.662,70.27,65.26,5.009999999999991,5.009999999999991,69.158,71.63,66.1,5.530000000000001,5.530000000000001,67.222,70.27,64.6,5.670000000000002,5.670000000000002,68.59,70.92,65.19,5.730000000000004,5.730000000000004,152210,223859,117879,105980,20653
2017-10-01,71.328,72.4,70.59,1.8100000000000023,-0.1799999999999926,72.238,73.85,71.12,2.7299999999999898,-1.6799999999999926,70.016,70.97,68.68,2.289999999999992,-2.289999999999992,70.744,72.0,68.93,3.069999999999993,-3.069999999999993,170911,196221,144455,51766,-36449
2017-10-08,67.218,68.93,65.91,3.0200000000000102,-3.0200000000000102,67.804,69.6,66.72,2.8799999999999955,-2.8799999999999955,66.08,67.1,65.06,2.039999999999992,-2.039999999999992,66.682,67.2,65.96,1.240000000000009,-1.240000000000009,126685,173704,104882,68822,-68822
