Date,Guggenheim CurrencyShares British Pound SterlingEtf_Open_average,Guggenheim CurrencyShares British Pound SterlingEtf_Open_max,Guggenheim CurrencyShares British Pound SterlingEtf_Open_min,Guggenheim CurrencyShares British Pound SterlingEtf_Open_volatility,Guggenheim CurrencyShares British Pound SterlingEtf_Open_change,Guggenheim CurrencyShares British Pound SterlingEtf_High_average,Guggenheim CurrencyShares British Pound SterlingEtf_High_max,Guggenheim CurrencyShares British Pound SterlingEtf_High_min,Guggenheim CurrencyShares British Pound SterlingEtf_High_volatility,Guggenheim CurrencyShares British Pound SterlingEtf_High_change,Guggenheim CurrencyShares British Pound SterlingEtf_Low_average,Guggenheim CurrencyShares British Pound SterlingEtf_Low_max,Guggenheim CurrencyShares British Pound SterlingEtf_Low_min,Guggenheim CurrencyShares British Pound SterlingEtf_Low_volatility,Guggenheim CurrencyShares British Pound SterlingEtf_Low_change,Guggenheim CurrencyShares British Pound SterlingEtf_Close_average,Guggenheim CurrencyShares British Pound SterlingEtf_Close_max,Guggenheim CurrencyShares British Pound SterlingEtf_Close_min,Guggenheim CurrencyShares British Pound SterlingEtf_Close_volatility,Guggenheim CurrencyShares British Pound SterlingEtf_Close_change
2016-08-21,129.08,129.08,129.08,0.0,0.0,129.73,129.73,129.73,0.0,0.0,128.22,128.22,128.22,0.0,0.0,128.31,128.31,128.31,0.0,0.0
2016-08-28,130.28,130.28,130.28,0.0,0.0,130.39,130.39,130.39,0.0,0.0,129.85,129.85,129.85,0.0,0.0,129.9,129.9,129.9,0.0,0.0
2016-09-04,129.86,129.86,129.86,0.0,0.0,129.86,129.86,129.86,0.0,0.0,129.37,129.37,129.37,0.0,0.0,129.65,129.65,129.65,0.0,0.0
2016-09-11,128.09,128.09,128.09,0.0,0.0,128.18,128.18,128.18,0.0,0.0,127.01,127.01,127.01,0.0,0.0,127.09,127.09,127.09,0.0,0.0
2016-09-18,126.47,126.47,126.47,0.0,0.0,126.73,126.73,126.73,0.0,0.0,126.39,126.39,126.39,0.0,0.0,126.63,126.63,126.63,0.0,0.0
2016-09-25,126.91,126.91,126.91,0.0,0.0,127.17,127.17,127.17,0.0,0.0,126.55,126.55,126.55,0.0,0.0,126.6,126.6,126.6,0.0,0.0
2016-10-02,120.98,120.98,120.98,0.0,0.0,121.75,121.75,121.75,0.0,0.0,120.9,120.9,120.9,0.0,0.0,121.53,121.53,121.53,0.0,0.0
2016-10-09,119.4,119.4,119.4,0.0,0.0,119.43,119.43,119.43,0.0,0.0,118.89,118.89,118.89,0.0,0.0,118.89,118.89,118.89,0.0,0.0
2016-10-16,119.11,119.11,119.11,0.0,0.0,119.52,119.52,119.52,0.0,0.0,119.05,119.05,119.05,0.0,0.0,119.35,119.35,119.35,0.0,0.0
2016-10-23,118.72,118.72,118.72,0.0,0.0,119.25,119.25,119.25,0.0,0.0,118.55,118.55,118.55,0.0,0.0,119.05,119.05,119.05,0.0,0.0
2016-10-30,121.94,121.94,121.94,0.0,0.0,122.59,122.59,122.59,0.0,0.0,121.94,121.94,121.94,0.0,0.0,122.19,122.19,122.19,0.0,0.0
2016-11-06,123.13,123.13,123.13,0.0,0.0,123.32,123.32,123.32,0.0,0.0,122.66,122.66,122.66,0.0,0.0,122.99,122.99,122.99,0.0,0.0
2016-11-13,120.47,120.47,120.47,0.0,0.0,120.7,120.7,120.7,0.0,0.0,120.11,120.11,120.11,0.0,0.0,120.58,120.58,120.58,0.0,0.0
2016-11-20,121.36,121.36,121.36,0.0,0.0,121.68,121.68,121.68,0.0,0.0,121.29,121.29,121.29,0.0,0.0,121.6,121.6,121.6,0.0,0.0
2016-11-27,123.46,123.46,123.46,0.0,0.0,124.23,124.23,124.23,0.0,0.0,123.31,123.31,123.31,0.0,0.0,124.23,124.23,124.23,0.0,0.0
2016-12-04,122.82,122.82,122.82,0.0,0.0,122.86,122.86,122.86,0.0,0.0,122.52,122.52,122.52,0.0,0.0,122.72,122.72,122.72,0.0,0.0
2016-12-11,121.22,121.22,121.22,0.0,0.0,122.08,122.08,122.08,0.0,0.0,121.06,121.06,121.06,0.0,0.0,121.79,121.79,121.79,0.0,0.0
2016-12-18,119.5,119.5,119.5,0.0,0.0,119.8,119.8,119.8,0.0,0.0,119.46,119.46,119.46,0.0,0.0,119.74,119.74,119.74,0.0,0.0
2016-12-25,120.44,120.44,120.44,0.0,0.0,120.83,120.83,120.83,0.0,0.0,120.09,120.09,120.09,0.0,0.0,120.26,120.26,120.26,0.0,0.0
2017-01-01,120.28,120.28,120.28,0.0,0.0,120.35,120.35,120.35,0.0,0.0,119.64,119.64,119.64,0.0,0.0,119.85,119.85,119.85,0.0,0.0
2017-01-08,118.66,118.66,118.66,0.0,0.0,119.12,119.12,119.12,0.0,0.0,118.29,118.29,118.29,0.0,0.0,118.92,118.92,118.92,0.0,0.0
2017-01-15,120.07,120.07,120.07,0.0,0.0,120.78,120.78,120.78,0.0,0.0,119.94,119.94,119.94,0.0,0.0,120.6,120.6,120.6,0.0,0.0
2017-01-22,122.63,122.63,122.63,0.0,0.0,122.68,122.68,122.68,0.0,0.0,122.17,122.17,122.17,0.0,0.0,122.45,122.45,122.45,0.0,0.0
2017-01-29,121.71,121.71,121.71,0.0,0.0,122.11,122.11,122.11,0.0,0.0,121.51,121.51,121.51,0.0,0.0,121.77,121.77,121.77,0.0,0.0
2017-02-05,121.35,121.35,121.35,0.0,0.0,121.92,121.92,121.92,0.0,0.0,121.35,121.35,121.35,0.0,0.0,121.78,121.78,121.78,0.0,0.0
2017-02-12,121.2,121.2,121.2,0.0,0.0,121.42,121.42,121.42,0.0,0.0,121.05,121.05,121.05,0.0,0.0,121.05,121.05,121.05,0.0,0.0
2017-02-19,122.03,122.03,122.03,0.0,0.0,122.05,122.05,122.05,0.0,0.0,121.4,121.4,121.4,0.0,0.0,121.49,121.49,121.49,0.0,0.0
2017-02-26,119.25,119.25,119.25,0.0,0.0,119.93,119.93,119.93,0.0,0.0,119.2,119.2,119.2,0.0,0.0,119.93,119.93,119.93,0.0,0.0
2017-03-05,118.58,118.58,118.58,0.0,0.0,118.85,118.85,118.85,0.0,0.0,118.45,118.45,118.45,0.0,0.0,118.68,118.68,118.68,0.0,0.0
2017-03-12,120.44,120.44,120.44,0.0,0.0,120.9,120.9,120.9,0.0,0.0,120.43,120.43,120.43,0.0,0.0,120.81,120.81,120.81,0.0,0.0
2017-03-19,121.61,121.61,121.61,0.0,0.0,121.9,121.9,121.9,0.0,0.0,121.6,121.6,121.6,0.0,0.0,121.72,121.72,121.72,0.0,0.0
2017-03-26,121.46,121.46,121.46,0.0,0.0,122.27,122.27,122.27,0.0,0.0,121.4,121.4,121.4,0.0,0.0,122.14,122.14,122.14,0.0,0.0
2017-04-02,120.94,120.94,120.94,0.0,0.0,120.96,120.96,120.96,0.0,0.0,120.57,120.57,120.57,0.0,0.0,120.58,120.58,120.58,0.0,0.0
2017-04-09,122.1,122.1,122.1,0.0,0.0,122.1,122.1,122.1,0.0,0.0,121.85,121.85,121.85,0.0,0.0,121.89,121.89,121.89,0.0,0.0
2017-04-16,124.63,124.63,124.63,0.0,0.0,124.77,124.77,124.77,0.0,0.0,124.46,124.46,124.46,0.0,0.0,124.74,124.74,124.74,0.0,0.0
2017-04-23,125.88,125.88,125.88,0.0,0.0,126.33,126.33,126.33,0.0,0.0,125.75,125.75,125.75,0.0,0.0,126.19,126.19,126.19,0.0,0.0
2017-04-30,126.09,126.09,126.09,0.0,0.0,126.5,126.5,126.5,0.0,0.0,126.06,126.06,126.06,0.0,0.0,126.5,126.5,126.5,0.0,0.0
2017-05-07,125.48,125.48,125.48,0.0,0.0,125.6,125.6,125.6,0.0,0.0,125.39,125.39,125.39,0.0,0.0,125.52,125.52,125.52,0.0,0.0
2017-05-14,126.82,126.82,126.82,0.0,0.0,127.03,127.03,127.03,0.0,0.0,126.77,126.77,126.77,0.0,0.0,126.96,126.96,126.96,0.0,0.0
2017-05-21,124.79,124.79,124.79,0.0,0.0,124.89,124.89,124.89,0.0,0.0,124.46,124.46,124.46,0.0,0.0,124.79,124.79,124.79,0.0,0.0
2017-05-28,125.4,125.4,125.4,0.0,0.0,125.63,125.63,125.63,0.0,0.0,125.28,125.28,125.28,0.0,0.0,125.46,125.46,125.46,0.0,0.0
2017-06-04,123.98,123.98,123.98,0.0,0.0,124.17,124.17,124.17,0.0,0.0,123.79,123.79,123.79,0.0,0.0,124.03,124.03,124.03,0.0,0.0
2017-06-11,124.43,124.43,124.43,0.0,0.0,124.68,124.68,124.68,0.0,0.0,124.38,124.38,124.38,0.0,0.0,124.53,124.53,124.53,0.0,0.0
2017-06-18,123.85,123.85,123.85,0.0,0.0,124.09,124.09,124.09,0.0,0.0,123.79,123.79,123.79,0.0,0.0,123.91,123.91,123.91,0.0,0.0
2017-06-25,126.36,126.36,126.36,0.0,0.0,126.82,126.82,126.82,0.0,0.0,126.17,126.17,126.17,0.0,0.0,126.82,126.82,126.82,0.0,0.0
2017-07-02,125.47,125.47,125.47,0.0,0.0,125.52,125.52,125.52,0.0,0.0,125.31,125.31,125.31,0.0,0.0,125.5,125.5,125.5,0.0,0.0
2017-07-09,126.69,126.69,126.69,0.0,0.0,127.67,127.67,127.67,0.0,0.0,126.69,126.69,126.69,0.0,0.0,127.61,127.61,127.61,0.0,0.0
2017-07-16,126.49,126.49,126.49,0.0,0.0,126.62,126.62,126.62,0.0,0.0,126.2,126.2,126.2,0.0,0.0,126.53,126.53,126.53,0.0,0.0
2017-07-23,127.32,127.32,127.32,0.0,0.0,128.03,128.03,128.03,0.0,0.0,127.32,127.32,127.32,0.0,0.0,128.01,128.01,128.01,0.0,0.0
2017-07-30,127.3,127.3,127.3,0.0,0.0,127.33,127.33,127.33,0.0,0.0,126.8,126.8,126.8,0.0,0.0,126.97,126.97,126.97,0.0,0.0
2017-08-06,126.24,126.24,126.24,0.0,0.0,126.79,126.79,126.79,0.0,0.0,125.97,125.97,125.97,0.0,0.0,126.7,126.7,126.7,0.0,0.0
2017-08-13,125.38,125.38,125.38,0.0,0.0,125.48,125.48,125.48,0.0,0.0,124.91,124.91,124.91,0.0,0.0,125.31,125.31,125.31,0.0,0.0
2017-08-20,124.89,124.89,124.89,0.0,0.0,125.41,125.41,125.41,0.0,0.0,124.74,124.74,124.74,0.0,0.0,125.3,125.3,125.3,0.0,0.0
2017-08-27,126.37,126.37,126.37,0.0,0.0,126.39,126.39,126.39,0.0,0.0,125.96,125.96,125.96,0.0,0.0,126.04,126.04,126.04,0.0,0.0
2017-09-03,128.46,128.46,128.46,0.0,0.0,128.56,128.56,128.56,0.0,0.0,128.26,128.26,128.26,0.0,0.0,128.43,128.43,128.43,0.0,0.0
2017-09-10,132.07,132.07,132.07,0.0,0.0,132.38,132.38,132.38,0.0,0.0,131.97,131.97,131.97,0.0,0.0,132.16,132.16,132.16,0.0,0.0
2017-09-17,131.94,131.94,131.94,0.0,0.0,131.94,131.94,131.94,0.0,0.0,131.25,131.25,131.25,0.0,0.0,131.54,131.54,131.54,0.0,0.0
2017-09-24,130.2,130.2,130.2,0.0,0.0,130.5,130.5,130.5,0.0,0.0,129.94,129.94,129.94,0.0,0.0,130.34,130.34,130.34,0.0,0.0
2017-10-01,126.92,126.92,126.92,0.0,0.0,127.12,127.12,127.12,0.0,0.0,126.73,126.73,126.73,0.0,0.0,127.08,127.08,127.08,0.0,0.0
2017-10-08,129.58,129.58,129.58,0.0,0.0,129.59,129.59,129.59,0.0,0.0,129.22,129.22,129.22,0.0,0.0,129.25,129.25,129.25,0.0,0.0
2017-10-15,128.1,128.1,128.1,0.0,0.0,128.36,128.36,128.36,0.0,0.0,128.05,128.05,128.05,0.0,0.0,128.23,128.23,128.23,0.0,0.0
2017-10-22,127.35,127.35,127.35,0.0,0.0,127.69,127.69,127.69,0.0,0.0,127.2,127.2,127.2,0.0,0.0,127.66,127.66,127.66,0.0,0.0
2017-10-29,127.36,127.36,127.36,0.0,0.0,127.43,127.43,127.43,0.0,0.0,126.99,126.99,126.99,0.0,0.0,127.11,127.11,127.11,0.0,0.0
2017-11-05,128.32,128.32,128.32,0.0,0.0,128.61,128.61,128.61,0.0,0.0,128.26,128.26,128.26,0.0,0.0,128.33,128.33,128.33,0.0,0.0
2017-11-12,128.28,128.28,128.28,0.0,0.0,128.55,128.55,128.55,0.0,0.0,128.28,128.28,128.28,0.0,0.0,128.51,128.51,128.51,0.0,0.0
2017-11-19,129.76,129.76,129.76,0.0,0.0,129.82,129.82,129.82,0.0,0.0,129.54,129.54,129.54,0.0,0.0,129.6,129.6,129.6,0.0,0.0
2017-11-26,130.94,130.94,130.94,0.0,0.0,131.4,131.4,131.4,0.0,0.0,130.73,130.73,130.73,0.0,0.0,130.96,130.96,130.96,0.0,0.0
2017-12-03,130.4,130.4,130.4,0.0,0.0,130.48,130.48,130.48,0.0,0.0,129.86,129.86,129.86,0.0,0.0,130.16,130.16,130.16,0.0,0.0
2017-12-10,129.57,129.57,129.57,0.0,0.0,129.63,129.63,129.63,0.0,0.0,129.31,129.31,129.31,0.0,0.0,129.55,129.55,129.55,0.0,0.0
2017-12-17,130.02,130.02,130.02,0.0,0.0,130.07,130.07,130.07,0.0,0.0,129.9,129.9,129.9,0.0,0.0,129.9,129.9,129.9,0.0,0.0
2017-12-24,131.36,131.36,131.36,0.0,0.0,131.62,131.62,131.62,0.0,0.0,131.2,131.2,131.2,0.0,0.0,131.2,131.2,131.2,0.0,0.0
2017-12-31,131.74,131.74,131.74,0.0,0.0,131.89,131.89,131.89,0.0,0.0,131.67,131.67,131.67,0.0,0.0,131.84,131.84,131.84,0.0,0.0
