Date,ProShares Ultra Euro_etf_Open_average,ProShares Ultra Euro_etf_Open_max,ProShares Ultra Euro_etf_Open_min,ProShares Ultra Euro_etf_Open_volatility,ProShares Ultra Euro_etf_Open_change,ProShares Ultra Euro_etf_High_average,ProShares Ultra Euro_etf_High_max,ProShares Ultra Euro_etf_High_min,ProShares Ultra Euro_etf_High_volatility,ProShares Ultra Euro_etf_High_change,ProShares Ultra Euro_etf_Low_average,ProShares Ultra Euro_etf_Low_max,ProShares Ultra Euro_etf_Low_min,ProShares Ultra Euro_etf_Low_volatility,ProShares Ultra Euro_etf_Low_change,ProShares Ultra Euro_etf_Close_average,ProShares Ultra Euro_etf_Close_max,ProShares Ultra Euro_etf_Close_min,ProShares Ultra Euro_etf_Close_volatility,ProShares Ultra Euro_etf_Close_change
2016-09-11,15.98,15.98,15.98,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2016-09-18,16.05,16.05,16.05,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.05,16.05,16.05,0.0,0.0,16.14,16.14,16.14,0.0,0.0
2016-09-25,16.15,16.15,16.15,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.12,16.12,16.12,0.0,0.0,16.12,16.12,16.12,0.0,0.0
2016-10-02,15.99,15.99,15.99,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.98,15.98,15.98,0.0,0.0
2016-10-09,15.51,15.51,15.51,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2016-10-16,15.13,15.13,15.13,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2016-10-23,15.24,15.24,15.24,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.34,15.34,15.34,0.0,0.0
2016-10-30,15.73,15.73,15.73,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2016-11-06,15.02,15.02,15.02,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.96,14.96,14.96,0.0,0.0
2016-11-13,14.35,14.35,14.35,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.25,14.25,14.25,0.0,0.0
2016-11-20,14.29,14.29,14.29,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.3,14.3,14.3,0.0,0.0
2016-11-27,14.37,14.37,14.37,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.37,14.37,14.37,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2016-12-04,14.14,14.14,14.14,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.08,14.08,14.08,0.0,0.0,14.12,14.12,14.12,0.0,0.0
2016-12-11,13.79,13.79,13.79,0.0,0.0,13.88,13.88,13.88,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.87,13.87,13.87,0.0,0.0
2016-12-18,13.85,13.85,13.85,0.0,0.0,13.89,13.89,13.89,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.88,13.88,13.88,0.0,0.0
2016-12-25,14.03,14.03,14.03,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.09,14.09,14.09,0.0,0.0
2017-01-01,14.06,14.06,14.06,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.06,14.06,14.06,0.0,0.0
2017-01-08,14.33,14.33,14.33,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.33,14.33,14.33,0.0,0.0
2017-01-15,14.39,14.39,14.39,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.3,14.3,14.3,0.0,0.0,14.47,14.47,14.47,0.0,0.0
2017-01-22,14.47,14.47,14.47,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.36,14.36,14.36,0.0,0.0,14.37,14.37,14.37,0.0,0.0
2017-01-29,14.63,14.63,14.63,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.68,14.68,14.68,0.0,0.0
2017-02-05,14.21,14.21,14.21,0.0,0.0,14.29,14.29,14.29,0.0,0.0,14.18,14.18,14.18,0.0,0.0,14.25,14.25,14.25,0.0,0.0
2017-02-12,14.35,14.35,14.35,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.15,14.15,14.15,0.0,0.0,14.2,14.2,14.2,0.0,0.0
2017-02-19,14.12,14.12,14.12,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.05,14.05,14.05,0.0,0.0,14.07,14.07,14.07,0.0,0.0
2017-02-26,13.98,13.98,13.98,0.0,0.0,14.15,14.15,14.15,0.0,0.0,13.96,13.96,13.96,0.0,0.0,14.15,14.15,14.15,0.0,0.0
2017-03-05,14.21,14.21,14.21,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.13,14.13,14.13,0.0,0.0,14.31,14.31,14.31,0.0,0.0
2017-03-12,14.49,14.49,14.49,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.44,14.44,14.44,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2017-03-19,14.63,14.63,14.63,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.61,14.61,14.61,0.0,0.0
2017-03-26,14.29,14.29,14.29,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.24,14.24,14.24,0.0,0.0,14.27,14.27,14.27,0.0,0.0
2017-04-02,14.12,14.12,14.12,0.0,0.0,14.19,14.19,14.19,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.03,14.03,14.03,0.0,0.0
2017-04-09,14.14,14.14,14.14,0.0,0.0,14.14,14.14,14.14,0.0,0.0,14.08,14.08,14.08,0.0,0.0,14.08,14.08,14.08,0.0,0.0
2017-04-16,14.29,14.29,14.29,0.0,0.0,14.29,14.29,14.29,0.0,0.0,14.26,14.26,14.26,0.0,0.0,14.29,14.29,14.29,0.0,0.0
2017-04-23,14.8,14.8,14.8,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2017-04-30,14.97,14.97,14.97,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.97,14.97,14.97,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2017-05-07,14.83,14.83,14.83,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2017-05-14,15.56,15.56,15.56,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.64,15.64,15.64,0.0,0.0
2017-05-21,15.49,15.49,15.49,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2017-05-28,15.75,15.75,15.75,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.8,15.8,15.8,0.0,0.0
2017-06-04,15.51,15.51,15.51,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.57,15.57,15.57,0.0,0.0
2017-06-11,15.5,15.5,15.5,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.56,15.56,15.56,0.0,0.0
2017-06-18,15.56,15.56,15.56,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.54,15.54,15.54,0.0,0.0
2017-06-25,16.14,16.14,16.14,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.13,16.13,16.13,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2017-07-02,16.12,16.12,16.12,0.0,0.0,16.12,16.12,16.12,0.0,0.0,16.04,16.04,16.04,0.0,0.0,16.1,16.1,16.1,0.0,0.0
2017-07-09,16.22,16.22,16.22,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2017-07-16,16.78,16.78,16.78,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.82,16.82,16.82,0.0,0.0
2017-07-23,16.98,16.98,16.98,0.0,0.0,17.07,17.07,17.07,0.0,0.0,16.97,16.97,16.97,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2017-07-30,17.34,17.34,17.34,0.0,0.0,17.34,17.34,17.34,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.12,17.12,17.12,0.0,0.0
2017-08-06,17.16,17.16,17.16,0.0,0.0,17.28,17.28,17.28,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.21,17.21,17.21,0.0,0.0
2017-08-13,17.0,17.0,17.0,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2017-08-20,17.33,17.33,17.33,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.53,17.53,17.53,0.0,0.0
2017-08-27,17.4,17.4,17.4,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.23,17.23,17.23,0.0,0.0,17.29,17.29,17.29,0.0,0.0
2017-09-03,17.85,17.85,17.85,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.76,17.76,17.76,0.0,0.0
2017-09-10,17.64,17.64,17.64,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.53,17.53,17.53,0.0,0.0
2017-09-17,17.53,17.53,17.53,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.49,17.49,17.49,0.0,0.0
2017-09-24,17.12,17.12,17.12,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.1,17.1,17.1,0.0,0.0
2017-10-01,16.74,16.74,16.74,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.84,16.84,16.84,0.0,0.0
2017-10-08,17.24,17.24,17.24,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.09,17.09,17.09,0.0,0.0
2017-10-15,16.98,16.98,16.98,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.97,16.97,16.97,0.0,0.0
2017-10-22,16.42,16.42,16.42,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2017-10-29,16.56,16.56,16.56,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.47,16.47,16.47,0.0,0.0
2017-11-05,16.55,16.55,16.55,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.58,16.58,16.58,0.0,0.0
2017-11-12,16.94,16.94,16.94,0.0,0.0,16.98,16.98,16.98,0.0,0.0,16.92,16.92,16.92,0.0,0.0,16.94,16.94,16.94,0.0,0.0
2017-11-19,17.27,17.27,17.27,0.0,0.0,17.36,17.36,17.36,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.35,17.35,17.35,0.0,0.0
2017-11-26,17.18,17.18,17.18,0.0,0.0,17.31,17.31,17.31,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.31,17.31,17.31,0.0,0.0
2017-12-03,16.81,16.81,16.81,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.84,16.84,16.84,0.0,0.0
2017-12-10,16.94,16.94,16.94,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2017-12-17,17.1,17.1,17.1,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.06,17.06,17.06,0.0,0.0,17.12,17.12,17.12,0.0,0.0
2017-12-24,17.45,17.45,17.45,0.0,0.0,17.51,17.51,17.51,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.46,17.46,17.46,0.0,0.0
2017-12-31,17.49,17.49,17.49,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.56,17.56,17.56,0.0,0.0
