Date,PowerShares DB Oil_etf_Open_average,PowerShares DB Oil_etf_Open_max,PowerShares DB Oil_etf_Open_min,PowerShares DB Oil_etf_Open_volatility,PowerShares DB Oil_etf_Open_change,PowerShares DB Oil_etf_High_average,PowerShares DB Oil_etf_High_max,PowerShares DB Oil_etf_High_min,PowerShares DB Oil_etf_High_volatility,PowerShares DB Oil_etf_High_change,PowerShares DB Oil_etf_Low_average,PowerShares DB Oil_etf_Low_max,PowerShares DB Oil_etf_Low_min,PowerShares DB Oil_etf_Low_volatility,PowerShares DB Oil_etf_Low_change,PowerShares DB Oil_etf_Close_average,PowerShares DB Oil_etf_Close_max,PowerShares DB Oil_etf_Close_min,PowerShares DB Oil_etf_Close_volatility,PowerShares DB Oil_etf_Close_change
2016-08-14,9.16,9.16,9.16,0.0,0.0,9.18,9.18,9.18,0.0,0.0,9.07,9.07,9.07,0.0,0.0,9.13,9.13,9.13,0.0,0.0
2016-08-21,8.92,8.92,8.92,0.0,0.0,9.12,9.12,9.12,0.0,0.0,8.86,8.86,8.86,0.0,0.0,8.94,8.94,8.94,0.0,0.0
2016-08-28,8.33,8.33,8.33,0.0,0.0,8.41,8.41,8.41,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.36,8.36,8.36,0.0,0.0
2016-09-04,8.8,8.8,8.8,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.63,8.63,8.63,0.0,0.0,8.63,8.63,8.63,0.0,0.0
2016-09-11,8.19,8.19,8.19,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.18,8.18,8.18,0.0,0.0,8.25,8.25,8.25,0.0,0.0
2016-09-18,8.55,8.55,8.55,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.26,8.26,8.26,0.0,0.0,8.32,8.32,8.32,0.0,0.0
2016-09-25,8.9,8.9,8.9,0.0,0.0,8.93,8.93,8.93,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.87,8.87,8.87,0.0,0.0
2016-10-02,9.29,9.29,9.29,0.0,0.0,9.3,9.3,9.3,0.0,0.0,9.12,9.12,9.12,0.0,0.0,9.16,9.16,9.16,0.0,0.0
2016-10-09,9.25,9.25,9.25,0.0,0.0,9.26,9.26,9.26,0.0,0.0,9.16,9.16,9.16,0.0,0.0,9.23,9.23,9.23,0.0,0.0
2016-10-16,9.23,9.23,9.23,0.0,0.0,9.31,9.31,9.31,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.3,9.3,9.3,0.0,0.0
2016-10-23,9.02,9.02,9.02,0.0,0.0,9.11,9.11,9.11,0.0,0.0,8.91,8.91,8.91,0.0,0.0,8.95,8.95,8.95,0.0,0.0
2016-10-30,8.16,8.16,8.16,0.0,0.0,8.27,8.27,8.27,0.0,0.0,8.06,8.06,8.06,0.0,0.0,8.16,8.16,8.16,0.0,0.0
2016-11-06,8.13,8.13,8.13,0.0,0.0,8.15,8.15,8.15,0.0,0.0,8.03,8.03,8.03,0.0,0.0,8.06,8.06,8.06,0.0,0.0
2016-11-13,8.43,8.43,8.43,0.0,0.0,8.49,8.49,8.49,0.0,0.0,8.32,8.32,8.32,0.0,0.0,8.48,8.48,8.48,0.0,0.0
2016-11-20,8.68,8.68,8.68,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.54,8.54,8.54,0.0,0.0
2016-11-27,9.39,9.39,9.39,0.0,0.0,9.47,9.47,9.47,0.0,0.0,9.33,9.33,9.33,0.0,0.0,9.43,9.43,9.43,0.0,0.0
2016-12-04,9.44,9.44,9.44,0.0,0.0,9.45,9.45,9.45,0.0,0.0,9.38,9.38,9.38,0.0,0.0,9.42,9.42,9.42,0.0,0.0
2016-12-11,9.45,9.45,9.45,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.42,9.42,9.42,0.0,0.0,9.55,9.55,9.55,0.0,0.0
2016-12-18,9.46,9.46,9.46,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.46,9.46,9.46,0.0,0.0,9.55,9.55,9.55,0.0,0.0
2016-12-25,9.63,9.63,9.63,0.0,0.0,9.68,9.68,9.68,0.0,0.0,9.63,9.63,9.63,0.0,0.0,9.68,9.68,9.68,0.0,0.0
2017-01-01,9.71,9.71,9.71,0.0,0.0,9.74,9.74,9.74,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.64,9.64,9.64,0.0,0.0
2017-01-08,9.46,9.46,9.46,0.0,0.0,9.52,9.52,9.52,0.0,0.0,9.39,9.39,9.39,0.0,0.0,9.42,9.42,9.42,0.0,0.0
2017-01-15,9.46,9.46,9.46,0.0,0.0,9.49,9.49,9.49,0.0,0.0,9.39,9.39,9.39,0.0,0.0,9.4,9.4,9.4,0.0,0.0
2017-01-22,9.4,9.4,9.4,0.0,0.0,9.44,9.44,9.44,0.0,0.0,9.32,9.32,9.32,0.0,0.0,9.41,9.41,9.41,0.0,0.0
2017-01-29,9.49,9.49,9.49,0.0,0.0,9.57,9.57,9.57,0.0,0.0,9.47,9.47,9.47,0.0,0.0,9.53,9.53,9.53,0.0,0.0
2017-02-05,9.46,9.46,9.46,0.0,0.0,9.48,9.48,9.48,0.0,0.0,9.42,9.42,9.42,0.0,0.0,9.45,9.45,9.45,0.0,0.0
2017-02-12,9.18,9.18,9.18,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.18,9.18,9.18,0.0,0.0,9.24,9.24,9.24,0.0,0.0
2017-02-19,9.23,9.23,9.23,0.0,0.0,9.26,9.26,9.26,0.0,0.0,9.22,9.22,9.22,0.0,0.0,9.23,9.23,9.23,0.0,0.0
2017-02-26,9.16,9.16,9.16,0.0,0.0,9.23,9.23,9.23,0.0,0.0,9.16,9.16,9.16,0.0,0.0,9.2,9.2,9.2,0.0,0.0
2017-03-05,8.69,8.69,8.69,0.0,0.0,8.69,8.69,8.69,0.0,0.0,8.49,8.49,8.49,0.0,0.0,8.51,8.51,8.51,0.0,0.0
2017-03-12,8.55,8.55,8.55,0.0,0.0,8.56,8.56,8.56,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.51,8.51,8.51,0.0,0.0
2017-03-19,8.42,8.42,8.42,0.0,0.0,8.45,8.45,8.45,0.0,0.0,8.39,8.39,8.39,0.0,0.0,8.43,8.43,8.43,0.0,0.0
2017-03-26,8.71,8.71,8.71,0.0,0.0,8.81,8.81,8.81,0.0,0.0,8.71,8.71,8.71,0.0,0.0,8.79,8.79,8.79,0.0,0.0
2017-04-02,8.99,8.99,8.99,0.0,0.0,9.03,9.03,9.03,0.0,0.0,8.97,8.97,8.97,0.0,0.0,9.0,9.0,9.0,0.0,0.0
2017-04-09,9.25,9.25,9.25,0.0,0.0,9.26,9.26,9.26,0.0,0.0,9.17,9.17,9.17,0.0,0.0,9.2,9.2,9.2,0.0,0.0
2017-04-16,8.8,8.8,8.8,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.59,8.59,8.59,0.0,0.0,8.66,8.66,8.66,0.0,0.0
2017-04-23,8.58,8.58,8.58,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.51,8.51,8.51,0.0,0.0,8.54,8.54,8.54,0.0,0.0
2017-04-30,8.04,8.04,8.04,0.0,0.0,8.22,8.22,8.22,0.0,0.0,8.04,8.04,8.04,0.0,0.0,8.19,8.19,8.19,0.0,0.0
2017-05-07,8.38,8.38,8.38,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.37,8.37,8.37,0.0,0.0
2017-05-14,8.64,8.64,8.64,0.0,0.0,8.72,8.72,8.72,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.7,8.7,8.7,0.0,0.0
2017-05-21,8.43,8.43,8.43,0.0,0.0,8.55,8.55,8.55,0.0,0.0,8.41,8.41,8.41,0.0,0.0,8.52,8.52,8.52,0.0,0.0
2017-05-28,8.22,8.22,8.22,0.0,0.0,8.28,8.28,8.28,0.0,0.0,8.14,8.14,8.14,0.0,0.0,8.23,8.23,8.23,0.0,0.0
2017-06-04,7.98,7.98,7.98,0.0,0.0,8.06,8.06,8.06,0.0,0.0,7.96,7.96,7.96,0.0,0.0,8.02,8.02,8.02,0.0,0.0
2017-06-11,7.86,7.86,7.86,0.0,0.0,7.87,7.87,7.87,0.0,0.0,7.83,7.83,7.83,0.0,0.0,7.85,7.85,7.85,0.0,0.0
2017-06-18,7.49,7.49,7.49,0.0,0.0,7.58,7.58,7.58,0.0,0.0,7.47,7.47,7.47,0.0,0.0,7.58,7.58,7.58,0.0,0.0
2017-06-25,7.95,7.95,7.95,0.0,0.0,8.08,8.08,8.08,0.0,0.0,7.92,7.92,7.92,0.0,0.0,8.07,8.07,8.07,0.0,0.0
2017-07-02,7.78,7.78,7.78,0.0,0.0,7.79,7.79,7.79,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.73,7.73,7.73,0.0,0.0
2017-07-09,8.02,8.02,8.02,0.0,0.0,8.09,8.09,8.09,0.0,0.0,7.99,7.99,7.99,0.0,0.0,8.08,8.08,8.08,0.0,0.0
2017-07-16,8.07,8.07,8.07,0.0,0.0,8.07,8.07,8.07,0.0,0.0,7.88,7.88,7.88,0.0,0.0,7.9,7.9,7.9,0.0,0.0
2017-07-23,8.4,8.4,8.4,0.0,0.0,8.46,8.46,8.46,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.44,8.44,8.44,0.0,0.0
2017-07-30,8.4,8.4,8.4,0.0,0.0,8.47,8.47,8.47,0.0,0.0,8.35,8.35,8.35,0.0,0.0,8.44,8.44,8.44,0.0,0.0
2017-08-06,8.25,8.25,8.25,0.0,0.0,8.37,8.37,8.37,0.0,0.0,8.21,8.21,8.21,0.0,0.0,8.34,8.34,8.34,0.0,0.0
2017-08-13,8.06,8.06,8.06,0.0,0.0,8.32,8.32,8.32,0.0,0.0,8.02,8.02,8.02,0.0,0.0,8.3,8.3,8.3,0.0,0.0
2017-08-20,8.18,8.18,8.18,0.0,0.0,8.25,8.25,8.25,0.0,0.0,8.18,8.18,8.18,0.0,0.0,8.23,8.23,8.23,0.0,0.0
2017-08-27,8.35,8.35,8.35,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.37,8.37,8.37,0.0,0.0
2017-09-03,8.51,8.51,8.51,0.0,0.0,8.54,8.54,8.54,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.34,8.34,8.34,0.0,0.0
2017-09-10,8.66,8.66,8.66,0.0,0.0,8.69,8.69,8.69,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.67,8.67,8.67,0.0,0.0
2017-09-17,8.67,8.67,8.67,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.69,8.69,8.69,0.0,0.0
2017-09-24,8.81,8.81,8.81,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.77,8.77,8.77,0.0,0.0,8.79,8.79,8.79,0.0,0.0
2017-10-01,8.54,8.54,8.54,0.0,0.0,8.55,8.55,8.55,0.0,0.0,8.46,8.46,8.46,0.0,0.0,8.48,8.48,8.48,0.0,0.0
2017-10-08,8.8,8.8,8.8,0.0,0.0,8.83,8.83,8.83,0.0,0.0,8.74,8.74,8.74,0.0,0.0,8.79,8.79,8.79,0.0,0.0
2017-10-15,8.73,8.73,8.73,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.72,8.72,8.72,0.0,0.0,8.83,8.83,8.83,0.0,0.0
2017-10-22,8.94,8.94,8.94,0.0,0.0,9.17,9.17,9.17,0.0,0.0,8.94,8.94,8.94,0.0,0.0,9.15,9.15,9.15,0.0,0.0
2017-10-29,9.3,9.3,9.3,0.0,0.0,9.47,9.47,9.47,0.0,0.0,9.25,9.25,9.25,0.0,0.0,9.45,9.45,9.45,0.0,0.0
2017-11-05,9.73,9.73,9.73,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.64,9.64,9.64,0.0,0.0,9.68,9.68,9.68,0.0,0.0
2017-11-12,9.48,9.48,9.48,0.0,0.0,9.61,9.61,9.61,0.0,0.0,9.47,9.47,9.47,0.0,0.0,9.6,9.6,9.6,0.0,0.0
2017-11-19,9.86,9.86,9.86,0.0,0.0,9.9,9.9,9.9,0.0,0.0,9.83,9.83,9.83,0.0,0.0,9.89,9.89,9.89,0.0,0.0
2017-11-26,9.83,9.83,9.83,0.0,0.0,9.93,9.93,9.93,0.0,0.0,9.79,9.79,9.79,0.0,0.0,9.84,9.84,9.84,0.0,0.0
2017-12-03,9.73,9.73,9.73,0.0,0.0,9.74,9.74,9.74,0.0,0.0,9.64,9.64,9.64,0.0,0.0,9.7,9.7,9.7,0.0,0.0
2017-12-10,9.68,9.68,9.68,0.0,0.0,9.69,9.69,9.69,0.0,0.0,9.62,9.62,9.62,0.0,0.0,9.66,9.66,9.66,0.0,0.0
2017-12-17,9.79,9.79,9.79,0.0,0.0,9.88,9.88,9.88,0.0,0.0,9.79,9.79,9.79,0.0,0.0,9.85,9.85,9.85,0.0,0.0
2017-12-24,10.15,10.15,10.15,0.0,0.0,10.21,10.21,10.21,0.0,0.0,10.12,10.12,10.12,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2017-12-31,10.35,10.35,10.35,0.0,0.0,10.4,10.4,10.4,0.0,0.0,10.31,10.31,10.31,0.0,0.0,10.38,10.38,10.38,0.0,0.0
