Date,iShares AsiaPacific DividendEtf_Open_average,iShares AsiaPacific DividendEtf_Open_max,iShares AsiaPacific DividendEtf_Open_min,iShares AsiaPacific DividendEtf_Open_volatility,iShares AsiaPacific DividendEtf_Open_change,iShares AsiaPacific DividendEtf_High_average,iShares AsiaPacific DividendEtf_High_max,iShares AsiaPacific DividendEtf_High_min,iShares AsiaPacific DividendEtf_High_volatility,iShares AsiaPacific DividendEtf_High_change,iShares AsiaPacific DividendEtf_Low_average,iShares AsiaPacific DividendEtf_Low_max,iShares AsiaPacific DividendEtf_Low_min,iShares AsiaPacific DividendEtf_Low_volatility,iShares AsiaPacific DividendEtf_Low_change,iShares AsiaPacific DividendEtf_Close_average,iShares AsiaPacific DividendEtf_Close_max,iShares AsiaPacific DividendEtf_Close_min,iShares AsiaPacific DividendEtf_Close_volatility,iShares AsiaPacific DividendEtf_Close_change
2017-02-05,47.72,47.72,47.72,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2017-02-12,48.19,48.19,48.19,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2017-02-19,48.18,48.18,48.18,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2017-02-26,47.75,47.75,47.75,0.0,0.0,48.01,48.01,48.01,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2017-03-05,48.02,48.02,48.02,0.0,0.0,48.14,48.14,48.14,0.0,0.0,47.89,47.89,47.89,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2017-03-12,48.64,48.64,48.64,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2017-03-19,47.72,47.72,47.72,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.87,47.87,47.87,0.0,0.0
2017-03-26,48.72,48.72,48.72,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2017-04-02,48.32,48.32,48.32,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.36,48.36,48.36,0.0,0.0
2017-04-09,48.3,48.3,48.3,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2017-04-16,47.87,47.87,47.87,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.82,47.82,47.82,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2017-04-23,48.1,48.1,48.1,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2017-04-30,47.57,47.57,47.57,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2017-05-07,47.4,47.4,47.4,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2017-05-14,47.45,47.45,47.45,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2017-05-21,47.6,47.6,47.6,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2017-05-28,47.94,47.94,47.94,0.0,0.0,48.15,48.15,48.15,0.0,0.0,47.88,47.88,47.88,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2017-06-04,47.7,47.7,47.7,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2017-06-11,48.29,48.29,48.29,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2017-06-18,47.65,47.65,47.65,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2017-06-25,48.37,48.37,48.37,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2017-07-02,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2017-07-09,49.23,49.23,49.23,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2017-07-16,49.72,49.72,49.72,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2017-07-23,49.55,49.55,49.55,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2017-07-30,49.56,49.56,49.56,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2017-08-06,48.57,48.57,48.57,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2017-08-13,49.59,49.59,49.59,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2017-08-20,49.65,49.65,49.65,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2017-08-27,49.54,49.54,49.54,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2017-09-03,49.97,49.97,49.97,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2017-09-10,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2017-09-17,49.68,49.68,49.68,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2017-09-24,48.52,48.52,48.52,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2017-10-01,48.52,48.52,48.52,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2017-10-08,49.74,49.74,49.74,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2017-10-15,49.51,49.51,49.51,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.43,49.43,49.43,0.0,0.0
2017-10-22,48.63,48.63,48.63,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2017-10-29,48.78,48.78,48.78,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2017-11-05,49.12,49.12,49.12,0.0,0.0,49.28,49.28,49.28,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2017-11-12,48.43,48.43,48.43,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2017-11-19,49.39,49.39,49.39,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2017-11-26,48.99,48.99,48.99,0.0,0.0,49.37,49.37,49.37,0.0,0.0,48.99,48.99,48.99,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2017-12-03,48.91,48.91,48.91,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2017-12-10,49.45,49.45,49.45,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2017-12-17,49.81,49.81,49.81,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2017-12-24,50.33,50.33,50.33,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2017-12-31,51.0,51.0,51.0,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.22,51.22,51.22,0.0,0.0
