Date,PowerShares Preferred PortfolioEtf_Open_average,PowerShares Preferred PortfolioEtf_Open_max,PowerShares Preferred PortfolioEtf_Open_min,PowerShares Preferred PortfolioEtf_Open_volatility,PowerShares Preferred PortfolioEtf_Open_change,PowerShares Preferred PortfolioEtf_High_average,PowerShares Preferred PortfolioEtf_High_max,PowerShares Preferred PortfolioEtf_High_min,PowerShares Preferred PortfolioEtf_High_volatility,PowerShares Preferred PortfolioEtf_High_change,PowerShares Preferred PortfolioEtf_Low_average,PowerShares Preferred PortfolioEtf_Low_max,PowerShares Preferred PortfolioEtf_Low_min,PowerShares Preferred PortfolioEtf_Low_volatility,PowerShares Preferred PortfolioEtf_Low_change,PowerShares Preferred PortfolioEtf_Close_average,PowerShares Preferred PortfolioEtf_Close_max,PowerShares Preferred PortfolioEtf_Close_min,PowerShares Preferred PortfolioEtf_Close_volatility,PowerShares Preferred PortfolioEtf_Close_change
2017-03-26,14.8,14.8,14.8,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.82,14.82,14.82,0.0,0.0
2017-04-02,14.99,14.99,14.99,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.97,14.97,14.97,0.0,0.0
2017-04-09,14.9,14.9,14.9,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2017-04-16,14.91,14.91,14.91,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2017-04-23,14.97,14.97,14.97,0.0,0.0,14.98,14.98,14.98,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.95,14.95,14.95,0.0,0.0
2017-04-30,14.99,14.99,14.99,0.0,0.0,15.01,15.01,15.01,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.99,14.99,14.99,0.0,0.0
2017-05-07,15.04,15.04,15.04,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2017-05-14,14.97,14.97,14.97,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.96,14.96,14.96,0.0,0.0
2017-05-21,15.02,15.02,15.02,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2017-05-28,15.08,15.08,15.08,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2017-06-04,15.08,15.08,15.08,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2017-06-11,15.05,15.05,15.05,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2017-06-18,15.09,15.09,15.09,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2017-06-25,15.1,15.1,15.1,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.11,15.11,15.11,0.0,0.0
2017-07-02,15.15,15.15,15.15,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.16,15.16,15.16,0.0,0.0
2017-07-09,15.08,15.08,15.08,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2017-07-16,15.13,15.13,15.13,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.13,15.13,15.13,0.0,0.0
2017-07-23,15.11,15.11,15.11,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2017-07-30,15.18,15.18,15.18,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0
2017-08-06,15.01,15.01,15.01,0.0,0.0,15.02,15.02,15.02,0.0,0.0,14.96,14.96,14.96,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2017-08-13,14.98,14.98,14.98,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.97,14.97,14.97,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2017-08-20,15.01,15.01,15.01,0.0,0.0,15.03,15.03,15.03,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2017-08-27,15.09,15.09,15.09,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2017-09-03,15.07,15.07,15.07,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2017-09-10,15.09,15.09,15.09,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2017-09-17,15.05,15.05,15.05,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.05,15.05,15.05,0.0,0.0
2017-09-24,15.05,15.05,15.05,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2017-10-01,14.99,14.99,14.99,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2017-10-08,15.04,15.04,15.04,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2017-10-15,15.03,15.03,15.03,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2017-10-22,14.95,14.95,14.95,0.0,0.0,14.98,14.98,14.98,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.98,14.98,14.98,0.0,0.0
2017-10-29,14.95,14.95,14.95,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.97,14.97,14.97,0.0,0.0
2017-11-05,14.89,14.89,14.89,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.92,14.92,14.92,0.0,0.0
2017-11-12,14.97,14.97,14.97,0.0,0.0,15.05,15.05,15.05,0.0,0.0,14.97,14.97,14.97,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2017-11-19,15.01,15.01,15.01,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2017-11-26,15.0,15.0,15.0,0.0,0.0,15.02,15.02,15.02,0.0,0.0,14.96,14.96,14.96,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2017-12-03,15.06,15.06,15.06,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2017-12-10,15.01,15.01,15.01,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2017-12-17,14.95,14.95,14.95,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.91,14.91,14.91,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2017-12-24,14.9,14.9,14.9,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.86,14.86,14.86,0.0,0.0
2017-12-31,14.8,14.8,14.8,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.81,14.81,14.81,0.0,0.0
