Date,iShares US Telecommunications_etf_Open_average,iShares US Telecommunications_etf_Open_max,iShares US Telecommunications_etf_Open_min,iShares US Telecommunications_etf_Open_volatility,iShares US Telecommunications_etf_Open_change,iShares US Telecommunications_etf_High_average,iShares US Telecommunications_etf_High_max,iShares US Telecommunications_etf_High_min,iShares US Telecommunications_etf_High_volatility,iShares US Telecommunications_etf_High_change,iShares US Telecommunications_etf_Low_average,iShares US Telecommunications_etf_Low_max,iShares US Telecommunications_etf_Low_min,iShares US Telecommunications_etf_Low_volatility,iShares US Telecommunications_etf_Low_change,iShares US Telecommunications_etf_Close_average,iShares US Telecommunications_etf_Close_max,iShares US Telecommunications_etf_Close_min,iShares US Telecommunications_etf_Close_volatility,iShares US Telecommunications_etf_Close_change
2016-03-13,30.3,30.3,30.3,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2016-03-20,29.44,29.44,29.44,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2016-03-27,30.49,30.49,30.49,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.35,30.35,30.35,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2016-04-03,30.86,30.86,30.86,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2016-04-10,30.92,30.92,30.92,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.89,30.89,30.89,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2016-04-17,31.08,31.08,31.08,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2016-04-24,31.34,31.34,31.34,0.0,0.0,31.38,31.38,31.38,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2016-05-01,30.6,30.6,30.6,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2016-05-08,30.61,30.61,30.61,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2016-05-15,30.54,30.54,30.54,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2016-05-22,31.27,31.27,31.27,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2016-05-29,31.4,31.4,31.4,0.0,0.0,31.42,31.42,31.42,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2016-06-05,31.22,31.22,31.22,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2016-06-12,31.77,31.77,31.77,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2016-06-19,31.97,31.97,31.97,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2016-06-26,33.3,33.3,33.3,0.0,0.0,33.32,33.32,33.32,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2016-07-03,33.32,33.32,33.32,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2016-07-10,34.69,34.69,34.69,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2016-07-17,33.56,33.56,33.56,0.0,0.0,34.48,34.48,34.48,0.0,0.0,33.56,33.56,33.56,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2016-07-24,34.05,34.05,34.05,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.47,34.47,34.47,0.0,0.0
2016-07-31,33.77,33.77,33.77,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2016-08-07,32.89,32.89,32.89,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2016-08-14,32.07,32.07,32.07,0.0,0.0,32.24,32.24,32.24,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2016-08-21,31.97,31.97,31.97,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2016-08-28,32.09,32.09,32.09,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2016-09-04,32.42,32.42,32.42,0.0,0.0,32.54,32.54,32.54,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2016-09-11,32.22,32.22,32.22,0.0,0.0,32.29,32.29,32.29,0.0,0.0,31.88,31.88,31.88,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2016-09-18,32.67,32.67,32.67,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2016-09-25,32.54,32.54,32.54,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2016-10-02,31.69,31.69,31.69,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2016-10-09,31.72,31.72,31.72,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2016-10-16,31.26,31.26,31.26,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2016-10-23,31.81,31.81,31.81,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2016-10-30,29.43,29.43,29.43,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2016-11-06,30.41,30.41,30.41,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2016-11-13,31.1,31.1,31.1,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2016-11-20,32.36,32.36,32.36,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2016-11-27,31.9,31.9,31.9,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.9,31.9,31.9,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2016-12-04,33.73,33.73,33.73,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2016-12-11,33.8,33.8,33.8,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2016-12-18,34.96,34.96,34.96,0.0,0.0,35.56,35.56,35.56,0.0,0.0,34.76,34.76,34.76,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2016-12-25,34.71,34.71,34.71,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2017-01-01,36.39,36.39,36.39,0.0,0.0,36.47,36.47,36.47,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2017-01-08,35.32,35.32,35.32,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2017-01-15,35.31,35.31,35.31,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.17,35.17,35.17,0.0,0.0
2017-01-22,35.47,35.47,35.47,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2017-01-29,34.44,34.44,34.44,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2017-02-05,34.08,34.08,34.08,0.0,0.0,34.32,34.32,34.32,0.0,0.0,33.98,33.98,33.98,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2017-02-12,33.97,33.97,33.97,0.0,0.0,34.34,34.34,34.34,0.0,0.0,33.82,33.82,33.82,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2017-02-19,34.18,34.18,34.18,0.0,0.0,34.27,34.27,34.27,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2017-02-26,33.19,33.19,33.19,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.78,32.78,32.78,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2017-03-05,32.32,32.32,32.32,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2017-03-12,33.08,33.08,33.08,0.0,0.0,33.3,33.3,33.3,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2017-03-19,32.05,32.05,32.05,0.0,0.0,32.29,32.29,32.29,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2017-03-26,32.39,32.39,32.39,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2017-04-02,33.06,33.06,33.06,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2017-04-09,33.68,33.68,33.68,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2017-04-16,33.89,33.89,33.89,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2017-04-23,34.46,34.46,34.46,0.0,0.0,34.46,34.46,34.46,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2017-04-30,32.14,32.14,32.14,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2017-05-07,31.93,31.93,31.93,0.0,0.0,32.46,32.46,32.46,0.0,0.0,31.78,31.78,31.78,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2017-05-14,32.21,32.21,32.21,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2017-05-21,32.7,32.7,32.7,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2017-05-28,33.21,33.21,33.21,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2017-06-04,33.57,33.57,33.57,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2017-06-11,33.64,33.64,33.64,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2017-06-18,32.4,32.4,32.4,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2017-06-25,32.46,32.46,32.46,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2017-07-02,31.7,31.7,31.7,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2017-07-09,31.04,31.04,31.04,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2017-07-16,31.8,31.8,31.8,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2017-07-23,32.3,32.3,32.3,0.0,0.0,32.56,32.56,32.56,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2017-07-30,31.78,31.78,31.78,0.0,0.0,32.61,32.61,32.61,0.0,0.0,31.66,31.66,31.66,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2017-08-06,31.79,31.79,31.79,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.79,31.79,31.79,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2017-08-13,31.2,31.2,31.2,0.0,0.0,31.41,31.41,31.41,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2017-08-20,31.75,31.75,31.75,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2017-08-27,31.93,31.93,31.93,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2017-09-03,30.38,30.38,30.38,0.0,0.0,30.73,30.73,30.73,0.0,0.0,29.9,29.9,29.9,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2017-09-10,30.03,30.03,30.03,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2017-09-17,30.77,30.77,30.77,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2017-09-24,30.74,30.74,30.74,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2017-10-01,31.3,31.3,31.3,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2017-10-08,31.1,31.1,31.1,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2017-10-15,30.6,30.6,30.6,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2017-10-22,30.33,30.33,30.33,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2017-10-29,29.15,29.15,29.15,0.0,0.0,29.28,29.28,29.28,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2017-11-05,27.8,27.8,27.8,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2017-11-12,28.13,28.13,28.13,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2017-11-19,29.17,29.17,29.17,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.8,28.8,28.8,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2017-11-26,30.15,30.15,30.15,0.0,0.0,30.37,30.37,30.37,0.0,0.0,29.66,29.66,29.66,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2017-12-03,28.7,28.7,28.7,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2017-12-10,29.56,29.56,29.56,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2017-12-17,29.41,29.41,29.41,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2017-12-24,29.6,29.6,29.6,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2017-12-31,29.56,29.56,29.56,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.29,29.29,29.29,0.0,0.0
