Date,iShares Interest Rate Hedged High Yield BondEtf_Open_average,iShares Interest Rate Hedged High Yield BondEtf_Open_max,iShares Interest Rate Hedged High Yield BondEtf_Open_min,iShares Interest Rate Hedged High Yield BondEtf_Open_volatility,iShares Interest Rate Hedged High Yield BondEtf_Open_change,iShares Interest Rate Hedged High Yield BondEtf_High_average,iShares Interest Rate Hedged High Yield BondEtf_High_max,iShares Interest Rate Hedged High Yield BondEtf_High_min,iShares Interest Rate Hedged High Yield BondEtf_High_volatility,iShares Interest Rate Hedged High Yield BondEtf_High_change,iShares Interest Rate Hedged High Yield BondEtf_Low_average,iShares Interest Rate Hedged High Yield BondEtf_Low_max,iShares Interest Rate Hedged High Yield BondEtf_Low_min,iShares Interest Rate Hedged High Yield BondEtf_Low_volatility,iShares Interest Rate Hedged High Yield BondEtf_Low_change,iShares Interest Rate Hedged High Yield BondEtf_Close_average,iShares Interest Rate Hedged High Yield BondEtf_Close_max,iShares Interest Rate Hedged High Yield BondEtf_Close_min,iShares Interest Rate Hedged High Yield BondEtf_Close_volatility,iShares Interest Rate Hedged High Yield BondEtf_Close_change
2016-03-13,83.59,83.59,83.59,0.0,0.0,83.59,83.59,83.59,0.0,0.0,83.59,83.59,83.59,0.0,0.0,83.59,83.59,83.59,0.0,0.0
2016-03-20,83.12,83.12,83.12,0.0,0.0,83.19,83.19,83.19,0.0,0.0,83.01,83.01,83.01,0.0,0.0,83.01,83.01,83.01,0.0,0.0
2016-03-27,82.16,82.16,82.16,0.0,0.0,82.86,82.86,82.86,0.0,0.0,82.16,82.16,82.16,0.0,0.0,82.72,82.72,82.72,0.0,0.0
2016-04-03,81.98,81.98,81.98,0.0,0.0,82.0,82.0,82.0,0.0,0.0,81.71,81.71,81.71,0.0,0.0,81.96,81.96,81.96,0.0,0.0
2016-04-10,83.27,83.27,83.27,0.0,0.0,83.27,83.27,83.27,0.0,0.0,83.27,83.27,83.27,0.0,0.0,83.27,83.27,83.27,0.0,0.0
2016-04-17,84.79,84.79,84.79,0.0,0.0,84.79,84.79,84.79,0.0,0.0,84.79,84.79,84.79,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2016-04-24,84.51,84.51,84.51,0.0,0.0,84.66,84.66,84.66,0.0,0.0,84.51,84.51,84.51,0.0,0.0,84.53,84.53,84.53,0.0,0.0
2016-05-01,83.63,83.63,83.63,0.0,0.0,83.74,83.74,83.74,0.0,0.0,83.49,83.49,83.49,0.0,0.0,83.74,83.74,83.74,0.0,0.0
2016-05-08,84.25,84.25,84.25,0.0,0.0,84.25,84.25,84.25,0.0,0.0,83.76,83.76,83.76,0.0,0.0,83.77,83.77,83.77,0.0,0.0
2016-05-15,84.18,84.18,84.18,0.0,0.0,84.31,84.31,84.31,0.0,0.0,84.18,84.18,84.18,0.0,0.0,84.31,84.31,84.31,0.0,0.0
2016-05-22,85.03,85.03,85.03,0.0,0.0,85.13,85.13,85.13,0.0,0.0,85.03,85.03,85.03,0.0,0.0,85.12,85.12,85.12,0.0,0.0
2016-05-29,84.54,84.54,84.54,0.0,0.0,84.59,84.59,84.59,0.0,0.0,84.36,84.36,84.36,0.0,0.0,84.39,84.39,84.39,0.0,0.0
2016-06-05,84.84,84.84,84.84,0.0,0.0,84.84,84.84,84.84,0.0,0.0,84.48,84.48,84.48,0.0,0.0,84.48,84.48,84.48,0.0,0.0
2016-06-12,83.62,83.62,83.62,0.0,0.0,84.01,84.01,84.01,0.0,0.0,83.61,83.61,83.61,0.0,0.0,84.01,84.01,84.01,0.0,0.0
2016-06-19,83.97,83.97,83.97,0.0,0.0,83.97,83.97,83.97,0.0,0.0,83.76,83.76,83.76,0.0,0.0,83.83,83.83,83.83,0.0,0.0
2016-06-26,84.99,84.99,84.99,0.0,0.0,85.87,85.87,85.87,0.0,0.0,84.86,84.86,84.86,0.0,0.0,85.87,85.87,85.87,0.0,0.0
2016-07-03,85.39,85.39,85.39,0.0,0.0,85.39,85.39,85.39,0.0,0.0,85.39,85.39,85.39,0.0,0.0,85.39,85.39,85.39,0.0,0.0
2016-07-10,86.1,86.1,86.1,0.0,0.0,86.1,86.1,86.1,0.0,0.0,86.1,86.1,86.1,0.0,0.0,86.1,86.1,86.1,0.0,0.0
2016-07-17,86.55,86.55,86.55,0.0,0.0,86.55,86.55,86.55,0.0,0.0,86.55,86.55,86.55,0.0,0.0,86.55,86.55,86.55,0.0,0.0
2016-07-24,85.62,85.62,85.62,0.0,0.0,85.81,85.81,85.81,0.0,0.0,85.62,85.62,85.62,0.0,0.0,85.77,85.77,85.77,0.0,0.0
2016-07-31,85.92,85.92,85.92,0.0,0.0,86.05,86.05,86.05,0.0,0.0,85.92,85.92,85.92,0.0,0.0,85.96,85.96,85.96,0.0,0.0
2016-08-07,87.03,87.03,87.03,0.0,0.0,87.09,87.09,87.09,0.0,0.0,86.92,86.92,86.92,0.0,0.0,87.09,87.09,87.09,0.0,0.0
2016-08-14,87.51,87.51,87.51,0.0,0.0,87.66,87.66,87.66,0.0,0.0,87.51,87.51,87.51,0.0,0.0,87.66,87.66,87.66,0.0,0.0
2016-08-21,87.51,87.51,87.51,0.0,0.0,87.51,87.51,87.51,0.0,0.0,87.51,87.51,87.51,0.0,0.0,87.51,87.51,87.51,0.0,0.0
2016-08-28,87.81,87.81,87.81,0.0,0.0,87.89,87.89,87.89,0.0,0.0,87.81,87.81,87.81,0.0,0.0,87.89,87.89,87.89,0.0,0.0
2016-09-04,87.25,87.25,87.25,0.0,0.0,87.25,87.25,87.25,0.0,0.0,87.25,87.25,87.25,0.0,0.0,87.25,87.25,87.25,0.0,0.0
2016-09-11,86.88,86.88,86.88,0.0,0.0,86.88,86.88,86.88,0.0,0.0,86.75,86.75,86.75,0.0,0.0,86.8,86.8,86.8,0.0,0.0
2016-09-18,87.79,87.79,87.79,0.0,0.0,87.98,87.98,87.98,0.0,0.0,87.75,87.75,87.75,0.0,0.0,87.81,87.81,87.81,0.0,0.0
2016-09-25,87.9,87.9,87.9,0.0,0.0,87.91,87.91,87.91,0.0,0.0,87.9,87.9,87.9,0.0,0.0,87.91,87.91,87.91,0.0,0.0
2016-10-02,88.29,88.29,88.29,0.0,0.0,88.29,88.29,88.29,0.0,0.0,88.29,88.29,88.29,0.0,0.0,88.29,88.29,88.29,0.0,0.0
2016-10-09,87.95,87.95,87.95,0.0,0.0,87.95,87.95,87.95,0.0,0.0,87.95,87.95,87.95,0.0,0.0,87.95,87.95,87.95,0.0,0.0
2016-10-16,88.51,88.51,88.51,0.0,0.0,88.53,88.53,88.53,0.0,0.0,88.51,88.51,88.51,0.0,0.0,88.52,88.52,88.52,0.0,0.0
2016-10-23,87.92,87.92,87.92,0.0,0.0,88.01,88.01,88.01,0.0,0.0,87.78,87.78,87.78,0.0,0.0,87.81,87.81,87.81,0.0,0.0
2016-10-30,86.31,86.31,86.31,0.0,0.0,86.47,86.47,86.47,0.0,0.0,86.31,86.31,86.31,0.0,0.0,86.47,86.47,86.47,0.0,0.0
2016-11-06,86.17,86.17,86.17,0.0,0.0,86.17,86.17,86.17,0.0,0.0,85.36,85.36,85.36,0.0,0.0,85.49,85.49,85.49,0.0,0.0
2016-11-13,87.33,87.33,87.33,0.0,0.0,87.51,87.51,87.51,0.0,0.0,87.18,87.18,87.18,0.0,0.0,87.46,87.46,87.46,0.0,0.0
2016-11-20,88.33,88.33,88.33,0.0,0.0,88.49,88.49,88.49,0.0,0.0,88.32,88.32,88.32,0.0,0.0,88.47,88.47,88.47,0.0,0.0
2016-11-27,87.99,87.99,87.99,0.0,0.0,88.06,88.06,88.06,0.0,0.0,87.82,87.82,87.82,0.0,0.0,88.05,88.05,88.05,0.0,0.0
2016-12-04,89.23,89.23,89.23,0.0,0.0,89.55,89.55,89.55,0.0,0.0,89.19,89.19,89.19,0.0,0.0,89.4,89.4,89.4,0.0,0.0
2016-12-11,89.62,89.62,89.62,0.0,0.0,89.63,89.63,89.63,0.0,0.0,89.35,89.35,89.35,0.0,0.0,89.42,89.42,89.42,0.0,0.0
2016-12-18,90.1,90.1,90.1,0.0,0.0,90.26,90.26,90.26,0.0,0.0,90.07,90.07,90.07,0.0,0.0,90.21,90.21,90.21,0.0,0.0
2016-12-25,89.6,89.6,89.6,0.0,0.0,89.7,89.7,89.7,0.0,0.0,89.45,89.45,89.45,0.0,0.0,89.58,89.58,89.58,0.0,0.0
2017-01-01,90.05,90.05,90.05,0.0,0.0,90.22,90.22,90.22,0.0,0.0,90.0,90.0,90.0,0.0,0.0,90.22,90.22,90.22,0.0,0.0
2017-01-08,90.21,90.21,90.21,0.0,0.0,90.41,90.41,90.41,0.0,0.0,90.09,90.09,90.09,0.0,0.0,90.33,90.33,90.33,0.0,0.0
2017-01-15,90.28,90.28,90.28,0.0,0.0,90.28,90.28,90.28,0.0,0.0,90.18,90.18,90.18,0.0,0.0,90.25,90.25,90.25,0.0,0.0
2017-01-22,90.69,90.69,90.69,0.0,0.0,90.87,90.87,90.87,0.0,0.0,90.68,90.68,90.68,0.0,0.0,90.81,90.81,90.81,0.0,0.0
2017-01-29,90.7,90.7,90.7,0.0,0.0,90.7,90.7,90.7,0.0,0.0,90.52,90.52,90.52,0.0,0.0,90.6,90.6,90.6,0.0,0.0
2017-02-05,90.49,90.49,90.49,0.0,0.0,90.55,90.55,90.55,0.0,0.0,90.39,90.39,90.39,0.0,0.0,90.53,90.53,90.53,0.0,0.0
2017-02-12,90.69,90.69,90.69,0.0,0.0,90.93,90.93,90.93,0.0,0.0,90.69,90.69,90.69,0.0,0.0,90.9,90.9,90.9,0.0,0.0
2017-02-19,91.09,91.09,91.09,0.0,0.0,91.15,91.15,91.15,0.0,0.0,91.03,91.03,91.03,0.0,0.0,91.14,91.14,91.14,0.0,0.0
2017-02-26,91.66,91.66,91.66,0.0,0.0,91.66,91.66,91.66,0.0,0.0,91.47,91.47,91.47,0.0,0.0,91.56,91.56,91.56,0.0,0.0
2017-03-05,90.53,90.53,90.53,0.0,0.0,90.53,90.53,90.53,0.0,0.0,89.79,89.79,89.79,0.0,0.0,89.97,89.97,89.97,0.0,0.0
2017-03-12,90.75,90.75,90.75,0.0,0.0,90.75,90.75,90.75,0.0,0.0,90.5,90.5,90.5,0.0,0.0,90.5,90.5,90.5,0.0,0.0
2017-03-19,89.87,89.87,89.87,0.0,0.0,90.0,90.0,90.0,0.0,0.0,89.84,89.84,89.84,0.0,0.0,89.93,89.93,89.93,0.0,0.0
2017-03-26,91.09,91.09,91.09,0.0,0.0,91.35,91.35,91.35,0.0,0.0,90.98,90.98,90.98,0.0,0.0,91.02,91.02,91.02,0.0,0.0
2017-04-02,90.48,90.48,90.48,0.0,0.0,91.88,91.88,91.88,0.0,0.0,90.41,90.41,90.41,0.0,0.0,90.75,90.75,90.75,0.0,0.0
2017-04-09,90.24,90.24,90.24,0.0,0.0,90.26,90.26,90.26,0.0,0.0,90.0,90.0,90.0,0.0,0.0,90.0,90.0,90.0,0.0,0.0
2017-04-16,90.42,90.42,90.42,0.0,0.0,90.42,90.42,90.42,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.35,90.35,90.35,0.0,0.0
2017-04-23,91.13,91.13,91.13,0.0,0.0,91.13,91.13,91.13,0.0,0.0,90.96,90.96,90.96,0.0,0.0,91.02,91.02,91.02,0.0,0.0
2017-04-30,90.71,90.71,90.71,0.0,0.0,90.78,90.78,90.78,0.0,0.0,90.45,90.45,90.45,0.0,0.0,90.57,90.57,90.57,0.0,0.0
2017-05-07,90.83,90.83,90.83,0.0,0.0,90.86,90.86,90.86,0.0,0.0,90.81,90.81,90.81,0.0,0.0,90.86,90.86,90.86,0.0,0.0
2017-05-14,90.86,90.86,90.86,0.0,0.0,90.97,90.97,90.97,0.0,0.0,90.76,90.76,90.76,0.0,0.0,90.85,90.85,90.85,0.0,0.0
2017-05-21,91.13,91.13,91.13,0.0,0.0,91.32,91.32,91.32,0.0,0.0,91.13,91.13,91.13,0.0,0.0,91.29,91.29,91.29,0.0,0.0
2017-05-28,91.17,91.17,91.17,0.0,0.0,91.17,91.17,91.17,0.0,0.0,91.17,91.17,91.17,0.0,0.0,91.17,91.17,91.17,0.0,0.0
2017-06-04,91.16,91.16,91.16,0.0,0.0,91.16,91.16,91.16,0.0,0.0,91.03,91.03,91.03,0.0,0.0,91.03,91.03,91.03,0.0,0.0
2017-06-11,90.7,90.7,90.7,0.0,0.0,90.77,90.77,90.77,0.0,0.0,90.7,90.7,90.7,0.0,0.0,90.77,90.77,90.77,0.0,0.0
2017-06-18,90.67,90.67,90.67,0.0,0.0,90.72,90.72,90.72,0.0,0.0,90.64,90.64,90.64,0.0,0.0,90.72,90.72,90.72,0.0,0.0
2017-06-25,91.27,91.27,91.27,0.0,0.0,91.43,91.43,91.43,0.0,0.0,91.27,91.27,91.27,0.0,0.0,91.33,91.33,91.33,0.0,0.0
2017-07-02,91.17,91.17,91.17,0.0,0.0,91.17,91.17,91.17,0.0,0.0,90.59,90.59,90.59,0.0,0.0,90.81,90.81,90.81,0.0,0.0
2017-07-09,91.3,91.3,91.3,0.0,0.0,91.44,91.44,91.44,0.0,0.0,91.3,91.3,91.3,0.0,0.0,91.44,91.44,91.44,0.0,0.0
2017-07-16,91.51,91.51,91.51,0.0,0.0,91.52,91.52,91.52,0.0,0.0,91.46,91.46,91.46,0.0,0.0,91.52,91.52,91.52,0.0,0.0
2017-07-23,91.66,91.66,91.66,0.0,0.0,91.72,91.72,91.72,0.0,0.0,91.65,91.65,91.65,0.0,0.0,91.67,91.67,91.67,0.0,0.0
2017-07-30,91.28,91.28,91.28,0.0,0.0,91.3,91.3,91.3,0.0,0.0,91.19,91.19,91.19,0.0,0.0,91.19,91.19,91.19,0.0,0.0
2017-08-06,89.97,89.97,89.97,0.0,0.0,90.06,90.06,90.06,0.0,0.0,89.81,89.81,89.81,0.0,0.0,89.85,89.85,89.85,0.0,0.0
2017-08-13,89.87,89.87,89.87,0.0,0.0,90.22,90.22,90.22,0.0,0.0,89.87,89.87,89.87,0.0,0.0,90.06,90.06,90.06,0.0,0.0
2017-08-20,90.71,90.71,90.71,0.0,0.0,90.71,90.71,90.71,0.0,0.0,90.64,90.64,90.64,0.0,0.0,90.67,90.67,90.67,0.0,0.0
2017-08-27,90.98,90.98,90.98,0.0,0.0,91.16,91.16,91.16,0.0,0.0,90.98,90.98,90.98,0.0,0.0,91.16,91.16,91.16,0.0,0.0
2017-09-03,90.29,90.29,90.29,0.0,0.0,90.29,90.29,90.29,0.0,0.0,90.09,90.09,90.09,0.0,0.0,90.09,90.09,90.09,0.0,0.0
2017-09-10,91.01,91.01,91.01,0.0,0.0,91.08,91.08,91.08,0.0,0.0,91.0,91.0,91.0,0.0,0.0,91.06,91.06,91.06,0.0,0.0
2017-09-17,91.26,91.26,91.26,0.0,0.0,91.3,91.3,91.3,0.0,0.0,91.23,91.23,91.23,0.0,0.0,91.3,91.3,91.3,0.0,0.0
2017-09-24,91.58,91.58,91.58,0.0,0.0,91.79,91.79,91.79,0.0,0.0,91.58,91.58,91.58,0.0,0.0,91.79,91.79,91.79,0.0,0.0
2017-10-01,91.69,91.69,91.69,0.0,0.0,91.69,91.69,91.69,0.0,0.0,91.57,91.57,91.57,0.0,0.0,91.63,91.63,91.63,0.0,0.0
2017-10-08,91.35,91.35,91.35,0.0,0.0,91.37,91.37,91.37,0.0,0.0,91.35,91.35,91.35,0.0,0.0,91.37,91.37,91.37,0.0,0.0
2017-10-15,92.02,92.02,92.02,0.0,0.0,92.05,92.05,92.05,0.0,0.0,92.02,92.02,92.02,0.0,0.0,92.05,92.05,92.05,0.0,0.0
2017-10-22,91.79,91.79,91.79,0.0,0.0,91.84,91.84,91.84,0.0,0.0,91.77,91.77,91.77,0.0,0.0,91.81,91.81,91.81,0.0,0.0
2017-10-29,91.31,91.31,91.31,0.0,0.0,91.36,91.36,91.36,0.0,0.0,91.24,91.24,91.24,0.0,0.0,91.24,91.24,91.24,0.0,0.0
2017-11-05,90.46,90.46,90.46,0.0,0.0,90.46,90.46,90.46,0.0,0.0,90.33,90.33,90.33,0.0,0.0,90.42,90.42,90.42,0.0,0.0
2017-11-12,90.75,90.75,90.75,0.0,0.0,90.88,90.88,90.88,0.0,0.0,90.75,90.75,90.75,0.0,0.0,90.87,90.87,90.87,0.0,0.0
2017-11-19,91.27,91.27,91.27,0.0,0.0,91.3,91.3,91.3,0.0,0.0,91.27,91.27,91.27,0.0,0.0,91.29,91.29,91.29,0.0,0.0
2017-11-26,91.4,91.4,91.4,0.0,0.0,91.47,91.47,91.47,0.0,0.0,90.92,90.92,90.92,0.0,0.0,91.17,91.17,91.17,0.0,0.0
2017-12-03,90.94,90.94,90.94,0.0,0.0,90.99,90.99,90.99,0.0,0.0,90.94,90.94,90.94,0.0,0.0,90.98,90.98,90.98,0.0,0.0
2017-12-10,90.84,90.84,90.84,0.0,0.0,90.9,90.9,90.9,0.0,0.0,90.84,90.84,90.84,0.0,0.0,90.88,90.88,90.88,0.0,0.0
2017-12-17,91.18,91.18,91.18,0.0,0.0,91.18,91.18,91.18,0.0,0.0,91.18,91.18,91.18,0.0,0.0,91.18,91.18,91.18,0.0,0.0
2017-12-24,90.85,90.85,90.85,0.0,0.0,90.85,90.85,90.85,0.0,0.0,90.85,90.85,90.85,0.0,0.0,90.85,90.85,90.85,0.0,0.0
2017-12-31,91.85,91.85,91.85,0.0,0.0,91.91,91.91,91.91,0.0,0.0,91.85,91.85,91.85,0.0,0.0,91.87,91.87,91.87,0.0,0.0
