Date,FlexShares Real Assets Allocation_etf_Open_average,FlexShares Real Assets Allocation_etf_Open_max,FlexShares Real Assets Allocation_etf_Open_min,FlexShares Real Assets Allocation_etf_Open_volatility,FlexShares Real Assets Allocation_etf_Open_change,FlexShares Real Assets Allocation_etf_High_average,FlexShares Real Assets Allocation_etf_High_max,FlexShares Real Assets Allocation_etf_High_min,FlexShares Real Assets Allocation_etf_High_volatility,FlexShares Real Assets Allocation_etf_High_change,FlexShares Real Assets Allocation_etf_Low_average,FlexShares Real Assets Allocation_etf_Low_max,FlexShares Real Assets Allocation_etf_Low_min,FlexShares Real Assets Allocation_etf_Low_volatility,FlexShares Real Assets Allocation_etf_Low_change,FlexShares Real Assets Allocation_etf_Close_average,FlexShares Real Assets Allocation_etf_Close_max,FlexShares Real Assets Allocation_etf_Close_min,FlexShares Real Assets Allocation_etf_Close_volatility,FlexShares Real Assets Allocation_etf_Close_change
2016-08-28,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2016-09-04,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2016-09-11,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2016-09-18,27.01,27.01,27.01,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.02,27.02,27.02,0.0,0.0
2016-09-25,26.84,26.84,26.84,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2016-10-02,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2016-10-09,25.56,25.56,25.56,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2016-10-16,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2016-10-23,25.7,25.7,25.7,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2016-10-30,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2016-11-06,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2016-11-13,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2016-11-20,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2016-11-27,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2016-12-04,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2016-12-11,25.49,25.49,25.49,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2016-12-18,25.6,25.6,25.6,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2016-12-25,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2017-01-01,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2017-01-08,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2017-01-15,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2017-01-22,25.86,25.86,25.86,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2017-01-29,25.9,25.9,25.9,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2017-02-05,26.09,26.09,26.09,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2017-02-12,26.16,26.16,26.16,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2017-02-19,26.36,26.36,26.36,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2017-02-26,26.21,26.21,26.21,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.29,26.29,26.29,0.0,0.0
2017-03-05,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2017-03-12,26.34,26.34,26.34,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2017-03-19,26.39,26.39,26.39,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2017-03-26,26.46,26.46,26.46,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2017-04-02,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2017-04-09,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2017-04-16,26.82,26.82,26.82,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2017-04-23,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2017-04-30,26.88,26.88,26.88,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2017-05-07,26.9,26.9,26.9,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2017-05-14,27.1,27.1,27.1,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2017-05-21,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2017-05-28,27.68,27.68,27.68,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2017-06-04,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2017-06-11,27.74,27.74,27.74,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2017-06-18,27.35,27.35,27.35,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2017-06-25,27.16,27.16,27.16,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2017-07-02,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2017-07-09,27.43,27.43,27.43,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2017-07-16,27.68,27.68,27.68,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.73,27.73,27.73,0.0,0.0
2017-07-23,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2017-07-30,28.0,28.0,28.0,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2017-08-06,27.78,27.78,27.78,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2017-08-13,27.74,27.74,27.74,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.78,27.78,27.78,0.0,0.0
2017-08-20,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2017-08-27,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2017-09-03,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2017-09-10,28.29,28.29,28.29,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2017-09-17,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2017-09-24,28.07,28.07,28.07,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2017-10-01,28.01,28.01,28.01,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2017-10-08,28.45,28.45,28.45,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2017-10-15,28.34,28.34,28.34,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2017-10-22,27.94,27.94,27.94,0.0,0.0,28.12,28.12,28.12,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2017-10-29,28.23,28.23,28.23,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2017-11-05,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2017-11-12,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2017-11-19,28.49,28.49,28.49,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2017-11-26,28.65,28.65,28.65,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2017-12-03,28.62,28.62,28.62,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2017-12-10,28.78,28.78,28.78,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2017-12-17,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2017-12-24,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2017-12-31,28.94,28.94,28.94,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.97,28.97,28.97,0.0,0.0
