Date,iShares MSCI Emerging Markets Asia_etf_Open_average,iShares MSCI Emerging Markets Asia_etf_Open_max,iShares MSCI Emerging Markets Asia_etf_Open_min,iShares MSCI Emerging Markets Asia_etf_Open_volatility,iShares MSCI Emerging Markets Asia_etf_Open_change,iShares MSCI Emerging Markets Asia_etf_High_average,iShares MSCI Emerging Markets Asia_etf_High_max,iShares MSCI Emerging Markets Asia_etf_High_min,iShares MSCI Emerging Markets Asia_etf_High_volatility,iShares MSCI Emerging Markets Asia_etf_High_change,iShares MSCI Emerging Markets Asia_etf_Low_average,iShares MSCI Emerging Markets Asia_etf_Low_max,iShares MSCI Emerging Markets Asia_etf_Low_min,iShares MSCI Emerging Markets Asia_etf_Low_volatility,iShares MSCI Emerging Markets Asia_etf_Low_change,iShares MSCI Emerging Markets Asia_etf_Close_average,iShares MSCI Emerging Markets Asia_etf_Close_max,iShares MSCI Emerging Markets Asia_etf_Close_min,iShares MSCI Emerging Markets Asia_etf_Close_volatility,iShares MSCI Emerging Markets Asia_etf_Close_change
2016-06-12,50.28,50.28,50.28,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2016-06-19,50.7,50.7,50.7,0.0,0.0,50.82,50.82,50.82,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2016-06-26,52.77,52.77,52.77,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2016-07-03,52.18,52.18,52.18,0.0,0.0,52.19,52.19,52.19,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2016-07-10,53.91,53.91,53.91,0.0,0.0,53.91,53.91,53.91,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2016-07-17,54.02,54.02,54.02,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.02,54.02,54.02,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2016-07-24,54.57,54.57,54.57,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2016-07-31,54.9,54.9,54.9,0.0,0.0,55.35,55.35,55.35,0.0,0.0,54.9,54.9,54.9,0.0,0.0,55.35,55.35,55.35,0.0,0.0
2016-08-07,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.43,56.43,56.43,0.0,0.0
2016-08-14,56.61,56.61,56.61,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.51,56.51,56.51,0.0,0.0
2016-08-21,56.27,56.27,56.27,0.0,0.0,56.8,56.8,56.8,0.0,0.0,55.79,55.79,55.79,0.0,0.0,56.13,56.13,56.13,0.0,0.0
2016-08-28,56.85,56.85,56.85,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.73,56.73,56.73,0.0,0.0,56.83,56.83,56.83,0.0,0.0
2016-09-04,57.33,57.33,57.33,0.0,0.0,57.33,57.33,57.33,0.0,0.0,56.31,56.31,56.31,0.0,0.0,56.31,56.31,56.31,0.0,0.0
2016-09-11,56.02,56.02,56.02,0.0,0.0,56.02,56.02,56.02,0.0,0.0,55.69,55.69,55.69,0.0,0.0,55.93,55.93,55.93,0.0,0.0
2016-09-18,57.95,57.95,57.95,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2016-09-25,57.29,57.29,57.29,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.25,57.25,57.25,0.0,0.0,57.45,57.45,57.45,0.0,0.0
2016-10-02,57.98,57.98,57.98,0.0,0.0,57.98,57.98,57.98,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.75,57.75,57.75,0.0,0.0
2016-10-09,56.39,56.39,56.39,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.12,56.12,56.12,0.0,0.0
2016-10-16,56.62,56.62,56.62,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2016-10-23,56.04,56.04,56.04,0.0,0.0,56.24,56.24,56.24,0.0,0.0,55.7,55.7,55.7,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2016-10-30,54.83,54.83,54.83,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2016-11-06,52.59,52.59,52.59,0.0,0.0,53.31,53.31,53.31,0.0,0.0,52.56,52.56,52.56,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2016-11-13,53.14,53.14,53.14,0.0,0.0,53.14,53.14,53.14,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2016-11-20,53.73,53.73,53.73,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2016-11-27,53.79,53.79,53.79,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.73,53.73,53.73,0.0,0.0
2016-12-04,54.89,54.89,54.89,0.0,0.0,55.02,55.02,55.02,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2016-12-11,53.42,53.42,53.42,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.11,53.11,53.11,0.0,0.0,53.12,53.12,53.12,0.0,0.0
2016-12-18,51.42,51.42,51.42,0.0,0.0,51.64,51.64,51.64,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.56,51.56,51.56,0.0,0.0
2016-12-25,52.76,52.76,52.76,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.36,52.36,52.36,0.0,0.0
2017-01-01,53.81,53.81,53.81,0.0,0.0,54.09,54.09,54.09,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2017-01-08,55.12,55.12,55.12,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.02,55.02,55.02,0.0,0.0,55.07,55.07,55.07,0.0,0.0
2017-01-15,54.67,54.67,54.67,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2017-01-22,56.6,56.6,56.6,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.2,56.2,56.2,0.0,0.0,56.32,56.32,56.32,0.0,0.0
2017-01-29,56.93,56.93,56.93,0.0,0.0,57.12,57.12,57.12,0.0,0.0,56.87,56.87,56.87,0.0,0.0,57.04,57.04,57.04,0.0,0.0
2017-02-05,57.62,57.62,57.62,0.0,0.0,57.78,57.78,57.78,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2017-02-12,57.84,57.84,57.84,0.0,0.0,57.84,57.84,57.84,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2017-02-19,58.25,58.25,58.25,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.07,58.07,58.07,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2017-02-26,57.57,57.57,57.57,0.0,0.0,57.57,57.57,57.57,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.5,57.5,57.5,0.0,0.0
2017-03-05,57.5,57.5,57.5,0.0,0.0,57.83,57.83,57.83,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.81,57.81,57.81,0.0,0.0
2017-03-12,60.15,60.15,60.15,0.0,0.0,60.25,60.25,60.25,0.0,0.0,59.88,59.88,59.88,0.0,0.0,60.16,60.16,60.16,0.0,0.0
2017-03-19,60.57,60.57,60.57,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.48,60.48,60.48,0.0,0.0,60.65,60.65,60.65,0.0,0.0
2017-03-26,60.22,60.22,60.22,0.0,0.0,60.24,60.24,60.24,0.0,0.0,60.01,60.01,60.01,0.0,0.0,60.01,60.01,60.01,0.0,0.0
2017-04-02,60.21,60.21,60.21,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.01,60.01,60.01,0.0,0.0,60.25,60.25,60.25,0.0,0.0
2017-04-09,60.03,60.03,60.03,0.0,0.0,60.22,60.22,60.22,0.0,0.0,59.93,59.93,59.93,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2017-04-16,60.11,60.11,60.11,0.0,0.0,60.18,60.18,60.18,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.01,60.01,60.01,0.0,0.0
2017-04-23,61.53,61.53,61.53,0.0,0.0,61.53,61.53,61.53,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.29,61.29,61.29,0.0,0.0
2017-04-30,61.47,61.47,61.47,0.0,0.0,61.63,61.63,61.63,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.52,61.52,61.52,0.0,0.0
2017-05-07,63.06,63.06,63.06,0.0,0.0,63.14,63.14,63.14,0.0,0.0,62.97,62.97,62.97,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2017-05-14,63.28,63.28,63.28,0.0,0.0,63.62,63.62,63.62,0.0,0.0,62.7,62.7,62.7,0.0,0.0,63.6,63.6,63.6,0.0,0.0
2017-05-21,64.5,64.5,64.5,0.0,0.0,64.64,64.64,64.64,0.0,0.0,64.17,64.17,64.17,0.0,0.0,64.64,64.64,64.64,0.0,0.0
2017-05-28,64.87,64.87,64.87,0.0,0.0,65.15,65.15,65.15,0.0,0.0,64.66,64.66,64.66,0.0,0.0,65.06,65.06,65.06,0.0,0.0
2017-06-04,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0,64.79,64.79,64.79,0.0,0.0,64.86,64.86,64.86,0.0,0.0
2017-06-11,64.25,64.25,64.25,0.0,0.0,64.25,64.25,64.25,0.0,0.0,63.99,63.99,63.99,0.0,0.0,64.25,64.25,64.25,0.0,0.0
2017-06-18,65.0,65.0,65.0,0.0,0.0,65.27,65.27,65.27,0.0,0.0,64.98,64.98,64.98,0.0,0.0,65.16,65.16,65.16,0.0,0.0
2017-06-25,65.18,65.18,65.18,0.0,0.0,65.18,65.18,65.18,0.0,0.0,64.73,64.73,64.73,0.0,0.0,64.84,64.84,64.84,0.0,0.0
2017-07-02,64.42,64.42,64.42,0.0,0.0,64.66,64.66,64.66,0.0,0.0,64.25,64.25,64.25,0.0,0.0,64.39,64.39,64.39,0.0,0.0
2017-07-09,67.23,67.23,67.23,0.0,0.0,67.62,67.62,67.62,0.0,0.0,67.2,67.2,67.2,0.0,0.0,67.61,67.61,67.61,0.0,0.0
2017-07-16,67.8,67.8,67.8,0.0,0.0,67.82,67.82,67.82,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2017-07-23,67.87,67.87,67.87,0.0,0.0,68.11,68.11,68.11,0.0,0.0,67.83,67.83,67.83,0.0,0.0,68.04,68.04,68.04,0.0,0.0
2017-07-30,68.37,68.37,68.37,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.13,68.13,68.13,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2017-08-06,66.56,66.56,66.56,0.0,0.0,66.86,66.86,66.86,0.0,0.0,66.3,66.3,66.3,0.0,0.0,66.69,66.69,66.69,0.0,0.0
2017-08-13,67.54,67.54,67.54,0.0,0.0,69.28,69.28,69.28,0.0,0.0,67.38,67.38,67.38,0.0,0.0,69.28,69.28,69.28,0.0,0.0
2017-08-20,69.6,69.6,69.6,0.0,0.0,69.79,69.79,69.79,0.0,0.0,69.27,69.27,69.27,0.0,0.0,69.46,69.46,69.46,0.0,0.0
2017-08-27,69.71,69.71,69.71,0.0,0.0,69.74,69.74,69.74,0.0,0.0,69.37,69.37,69.37,0.0,0.0,69.71,69.71,69.71,0.0,0.0
2017-09-03,69.49,69.49,69.49,0.0,0.0,69.49,69.49,69.49,0.0,0.0,69.01,69.01,69.01,0.0,0.0,69.21,69.21,69.21,0.0,0.0
2017-09-10,70.31,70.31,70.31,0.0,0.0,70.67,70.67,70.67,0.0,0.0,70.31,70.31,70.31,0.0,0.0,70.6,70.6,70.6,0.0,0.0
2017-09-17,70.43,70.43,70.43,0.0,0.0,70.56,70.56,70.56,0.0,0.0,70.16,70.16,70.16,0.0,0.0,70.37,70.37,70.37,0.0,0.0
2017-09-24,69.02,69.02,69.02,0.0,0.0,69.68,69.68,69.68,0.0,0.0,68.97,68.97,68.97,0.0,0.0,69.59,69.59,69.59,0.0,0.0
2017-10-01,70.95,70.95,70.95,0.0,0.0,71.19,71.19,71.19,0.0,0.0,70.18,70.18,70.18,0.0,0.0,71.18,71.18,71.18,0.0,0.0
2017-10-08,72.55,72.55,72.55,0.0,0.0,73.15,73.15,73.15,0.0,0.0,72.42,72.42,72.42,0.0,0.0,72.6,72.6,72.6,0.0,0.0
2017-10-15,72.29,72.29,72.29,0.0,0.0,72.35,72.35,72.35,0.0,0.0,72.04,72.04,72.04,0.0,0.0,72.28,72.28,72.28,0.0,0.0
2017-10-22,71.82,71.82,71.82,0.0,0.0,72.61,72.61,72.61,0.0,0.0,71.74,71.74,71.74,0.0,0.0,72.57,72.57,72.57,0.0,0.0
2017-10-29,73.79,73.79,73.79,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.14,73.14,73.14,0.0,0.0,73.6,73.6,73.6,0.0,0.0
2017-11-05,73.61,73.61,73.61,0.0,0.0,73.69,73.69,73.69,0.0,0.0,73.4,73.4,73.4,0.0,0.0,73.69,73.69,73.69,0.0,0.0
2017-11-12,74.32,74.32,74.32,0.0,0.0,74.49,74.49,74.49,0.0,0.0,74.28,74.28,74.28,0.0,0.0,74.31,74.31,74.31,0.0,0.0
2017-11-19,75.94,75.94,75.94,0.0,0.0,75.94,75.94,75.94,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.63,75.63,75.63,0.0,0.0
2017-11-26,73.01,73.01,73.01,0.0,0.0,73.01,73.01,73.01,0.0,0.0,72.3,72.3,72.3,0.0,0.0,72.71,72.71,72.71,0.0,0.0
2017-12-03,72.6,72.6,72.6,0.0,0.0,72.77,72.77,72.77,0.0,0.0,72.33,72.33,72.33,0.0,0.0,72.62,72.62,72.62,0.0,0.0
2017-12-10,74.25,74.25,74.25,0.0,0.0,74.25,74.25,74.25,0.0,0.0,72.84,72.84,72.84,0.0,0.0,73.01,73.01,73.01,0.0,0.0
2017-12-17,72.64,72.64,72.64,0.0,0.0,73.05,73.05,73.05,0.0,0.0,72.64,72.64,72.64,0.0,0.0,73.01,73.01,73.01,0.0,0.0
2017-12-24,74.19,74.19,74.19,0.0,0.0,74.38,74.38,74.38,0.0,0.0,73.75,73.75,73.75,0.0,0.0,73.75,73.75,73.75,0.0,0.0
2017-12-31,76.7,76.7,76.7,0.0,0.0,77.11,77.11,77.11,0.0,0.0,76.53,76.53,76.53,0.0,0.0,77.1,77.1,77.1,0.0,0.0
