Date,ProShares UltraShort Silver_etf_Open_average,ProShares UltraShort Silver_etf_Open_max,ProShares UltraShort Silver_etf_Open_min,ProShares UltraShort Silver_etf_Open_volatility,ProShares UltraShort Silver_etf_Open_change,ProShares UltraShort Silver_etf_High_average,ProShares UltraShort Silver_etf_High_max,ProShares UltraShort Silver_etf_High_min,ProShares UltraShort Silver_etf_High_volatility,ProShares UltraShort Silver_etf_High_change,ProShares UltraShort Silver_etf_Low_average,ProShares UltraShort Silver_etf_Low_max,ProShares UltraShort Silver_etf_Low_min,ProShares UltraShort Silver_etf_Low_volatility,ProShares UltraShort Silver_etf_Low_change,ProShares UltraShort Silver_etf_Close_average,ProShares UltraShort Silver_etf_Close_max,ProShares UltraShort Silver_etf_Close_min,ProShares UltraShort Silver_etf_Close_volatility,ProShares UltraShort Silver_etf_Close_change
2016-03-13,46.87,46.87,46.87,0.0,0.0,47.72,47.72,47.72,0.0,0.0,46.33,46.33,46.33,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2016-03-20,50.28,50.28,50.28,0.0,0.0,51.22,51.22,51.22,0.0,0.0,50.13,50.13,50.13,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2016-03-27,52.36,52.36,52.36,0.0,0.0,53.53,53.53,53.53,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.53,51.53,51.53,0.0,0.0
2016-04-03,50.27,50.27,50.27,0.0,0.0,50.45,50.45,50.45,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2016-04-10,44.71,44.71,44.71,0.0,0.0,44.86,44.86,44.86,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2016-04-17,39.13,39.13,39.13,0.0,0.0,40.8,40.8,40.8,0.0,0.0,38.6,38.6,38.6,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2016-04-24,36.13,36.13,36.13,0.0,0.0,36.64,36.64,36.64,0.0,0.0,35.76,35.76,35.76,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2016-05-01,38.03,38.03,38.03,0.0,0.0,38.26,38.26,38.26,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2016-05-08,39.75,39.75,39.75,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2016-05-15,41.21,41.21,41.21,0.0,0.0,42.31,42.31,42.31,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2016-05-22,43.05,43.05,43.05,0.0,0.0,43.75,43.75,43.75,0.0,0.0,42.88,42.88,42.88,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2016-05-29,42.49,42.49,42.49,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2016-06-05,37.61,37.61,37.61,0.0,0.0,38.27,38.27,38.27,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2016-06-12,37.3,37.3,37.3,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.11,37.11,37.11,0.0,0.0
2016-06-19,34.87,34.87,34.87,0.0,0.0,35.89,35.89,35.89,0.0,0.0,34.87,34.87,34.87,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2016-06-26,29.9,29.9,29.9,0.0,0.0,30.02,30.02,30.02,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2016-07-03,28.08,28.08,28.08,0.0,0.0,28.32,28.32,28.32,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2016-07-10,27.26,27.26,27.26,0.0,0.0,27.45,27.45,27.45,0.0,0.0,26.78,26.78,26.78,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2016-07-17,28.44,28.44,28.44,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2016-07-24,26.51,26.51,26.51,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2016-07-31,27.29,27.29,27.29,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2016-08-07,26.35,26.35,26.35,0.0,0.0,27.76,27.76,27.76,0.0,0.0,26.31,26.31,26.31,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2016-08-14,28.62,28.62,28.62,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2016-08-21,30.39,30.39,30.39,0.0,0.0,30.94,30.94,30.94,0.0,0.0,29.35,29.35,29.35,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2016-08-28,28.87,28.87,28.87,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2016-09-04,27.84,27.84,27.84,0.0,0.0,29.02,29.02,29.02,0.0,0.0,27.84,27.84,27.84,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2016-09-11,30.02,30.02,30.02,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2016-09-18,26.67,26.67,26.67,0.0,0.0,27.33,27.33,27.33,0.0,0.0,26.64,26.64,26.64,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2016-09-25,26.96,26.96,26.96,0.0,0.0,28.63,28.63,28.63,0.0,0.0,26.93,26.93,26.93,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2016-10-02,33.28,33.28,33.28,0.0,0.0,35.28,35.28,35.28,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2016-10-09,33.84,33.84,33.84,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2016-10-16,33.46,33.46,33.46,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2016-10-23,32.81,32.81,32.81,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2016-10-30,30.22,30.22,30.22,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2016-11-06,30.0,30.0,30.0,0.0,0.0,34.1,34.1,34.1,0.0,0.0,30.0,30.0,30.0,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2016-11-13,36.27,36.27,36.27,0.0,0.0,37.09,37.09,37.09,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2016-11-20,36.63,36.63,36.63,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2016-11-27,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2016-12-04,34.44,34.44,34.44,0.0,0.0,35.33,35.33,35.33,0.0,0.0,34.25,34.25,34.25,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2016-12-11,38.32,38.32,38.32,0.0,0.0,38.78,38.78,38.78,0.0,0.0,37.38,37.38,37.38,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2016-12-18,39.61,39.61,39.61,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.79,39.79,39.79,0.0,0.0
2016-12-25,37.41,37.41,37.41,0.0,0.0,39.07,39.07,39.07,0.0,0.0,37.29,37.29,37.29,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2017-01-01,36.33,36.33,36.33,0.0,0.0,36.44,36.44,36.44,0.0,0.0,35.8,35.8,35.8,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2017-01-08,35.2,35.2,35.2,0.0,0.0,35.53,35.53,35.53,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2017-01-15,33.77,33.77,33.77,0.0,0.0,34.22,34.22,34.22,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2017-01-22,34.85,34.85,34.85,0.0,0.0,34.9,34.9,34.9,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2017-01-29,32.18,32.18,32.18,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2017-02-05,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2017-02-12,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2017-02-19,28.99,28.99,28.99,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2017-02-26,30.96,30.96,30.96,0.0,0.0,30.96,30.96,30.96,0.0,0.0,29.86,29.86,29.86,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2017-03-05,33.58,33.58,33.58,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2017-03-12,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2017-03-19,30.89,30.89,30.89,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2017-03-26,28.97,28.97,28.97,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2017-04-02,28.44,28.44,28.44,0.0,0.0,29.81,29.81,29.81,0.0,0.0,28.3,28.3,28.3,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2017-04-09,27.77,27.77,27.77,0.0,0.0,28.11,28.11,28.11,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2017-04-16,29.72,29.72,29.72,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2017-04-23,32.12,32.12,32.12,0.0,0.0,32.36,32.36,32.36,0.0,0.0,31.83,31.83,31.83,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2017-04-30,35.71,35.71,35.71,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2017-05-07,35.13,35.13,35.13,0.0,0.0,35.25,35.25,35.25,0.0,0.0,34.86,34.86,34.86,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2017-05-14,33.3,33.3,33.3,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2017-05-21,31.52,31.52,31.52,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2017-05-28,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2017-06-04,31.91,31.91,31.91,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2017-06-11,33.8,33.8,33.8,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2017-06-18,33.65,33.65,33.65,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2017-06-25,34.16,34.16,34.16,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.09,34.09,34.09,0.0,0.0
2017-07-02,37.5,37.5,37.5,0.0,0.0,39.63,39.63,39.63,0.0,0.0,37.5,37.5,37.5,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2017-07-09,36.11,36.11,36.11,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2017-07-16,34.34,34.34,34.34,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2017-07-23,33.45,33.45,33.45,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2017-07-30,34.31,34.31,34.31,0.0,0.0,35.26,35.26,35.26,0.0,0.0,34.22,34.22,34.22,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2017-08-06,31.76,31.76,31.76,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2017-08-13,31.22,31.22,31.22,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2017-08-20,31.46,31.46,31.46,0.0,0.0,32.78,32.78,32.78,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2017-08-27,29.33,29.33,29.33,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2017-09-03,27.91,27.91,27.91,0.0,0.0,28.45,28.45,28.45,0.0,0.0,27.86,27.86,27.86,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2017-09-10,29.28,29.28,29.28,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2017-09-17,31.65,31.65,31.65,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2017-09-24,32.37,32.37,32.37,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2017-10-01,33.08,33.08,33.08,0.0,0.0,33.96,33.96,33.96,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2017-10-08,30.15,30.15,30.15,0.0,0.0,30.38,30.38,30.38,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2017-10-15,30.68,30.68,30.68,0.0,0.0,31.5,31.5,31.5,0.0,0.0,30.56,30.56,30.56,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2017-10-22,32.71,32.71,32.71,0.0,0.0,32.75,32.75,32.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2017-10-29,30.7,30.7,30.7,0.0,0.0,32.1,32.1,32.1,0.0,0.0,30.63,30.63,30.63,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2017-11-05,31.16,31.16,31.16,0.0,0.0,32.06,32.06,32.06,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2017-11-12,31.0,31.0,31.0,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2017-11-19,31.1,31.1,31.1,0.0,0.0,31.29,31.29,31.29,0.0,0.0,30.83,30.83,30.83,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2017-11-26,33.85,33.85,33.85,0.0,0.0,34.3,34.3,34.3,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2017-12-03,36.26,36.26,36.26,0.0,0.0,36.37,36.37,36.37,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2017-12-10,35.0,35.0,35.0,0.0,0.0,35.3,35.3,35.3,0.0,0.0,34.86,34.86,34.86,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2017-12-17,34.14,34.14,34.14,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2017-12-24,31.3,31.3,31.3,0.0,0.0,31.54,31.54,31.54,0.0,0.0,30.81,30.81,30.81,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2017-12-31,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.48,30.48,30.48,0.0,0.0
