Date,ProShares UltraShort MSCI EAFEEtf_Open_average,ProShares UltraShort MSCI EAFEEtf_Open_max,ProShares UltraShort MSCI EAFEEtf_Open_min,ProShares UltraShort MSCI EAFEEtf_Open_volatility,ProShares UltraShort MSCI EAFEEtf_Open_change,ProShares UltraShort MSCI EAFEEtf_High_average,ProShares UltraShort MSCI EAFEEtf_High_max,ProShares UltraShort MSCI EAFEEtf_High_min,ProShares UltraShort MSCI EAFEEtf_High_volatility,ProShares UltraShort MSCI EAFEEtf_High_change,ProShares UltraShort MSCI EAFEEtf_Low_average,ProShares UltraShort MSCI EAFEEtf_Low_max,ProShares UltraShort MSCI EAFEEtf_Low_min,ProShares UltraShort MSCI EAFEEtf_Low_volatility,ProShares UltraShort MSCI EAFEEtf_Low_change,ProShares UltraShort MSCI EAFEEtf_Close_average,ProShares UltraShort MSCI EAFEEtf_Close_max,ProShares UltraShort MSCI EAFEEtf_Close_min,ProShares UltraShort MSCI EAFEEtf_Close_volatility,ProShares UltraShort MSCI EAFEEtf_Close_change
2016-03-13,41.48,41.48,41.48,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2016-03-20,43.7,43.7,43.7,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0
2016-03-27,43.52,43.52,43.52,0.0,0.0,43.52,43.52,43.52,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2016-04-03,42.75,42.75,42.75,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2016-04-10,39.94,39.94,39.94,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.89,39.89,39.89,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2016-04-17,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2016-04-24,39.61,39.61,39.61,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2016-05-01,41.8,41.8,41.8,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2016-05-08,41.51,41.51,41.51,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2016-05-15,41.24,41.24,41.24,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.18,41.18,41.18,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2016-05-22,39.16,39.16,39.16,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2016-05-29,38.97,38.97,38.97,0.0,0.0,39.66,39.66,39.66,0.0,0.0,38.97,38.97,38.97,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2016-06-05,41.15,41.15,41.15,0.0,0.0,41.15,41.15,41.15,0.0,0.0,41.15,41.15,41.15,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2016-06-12,42.68,42.68,42.68,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.17,42.17,42.17,0.0,0.0
2016-06-19,43.52,43.52,43.52,0.0,0.0,43.84,43.84,43.84,0.0,0.0,42.23,42.23,42.23,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2016-06-26,40.11,40.11,40.11,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2016-07-03,41.23,41.23,41.23,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.91,40.91,40.91,0.0,0.0
2016-07-10,38.36,38.36,38.36,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2016-07-17,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2016-07-24,37.25,37.25,37.25,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2016-07-31,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2016-08-07,35.78,35.78,35.78,0.0,0.0,36.06,36.06,36.06,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2016-08-14,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2016-08-21,35.88,35.88,35.88,0.0,0.0,36.71,36.71,36.71,0.0,0.0,35.45,35.45,35.45,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2016-08-28,35.41,35.41,35.41,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2016-09-04,35.61,35.61,35.61,0.0,0.0,36.23,36.23,36.23,0.0,0.0,35.61,35.61,35.61,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2016-09-11,37.31,37.31,37.31,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2016-09-18,35.08,35.08,35.08,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2016-09-25,35.22,35.22,35.22,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.17,35.17,35.17,0.0,0.0
2016-10-02,36.15,36.15,36.15,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2016-10-09,36.84,36.84,36.84,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.82,36.82,36.82,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2016-10-16,36.56,36.56,36.56,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2016-10-23,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2016-10-30,38.25,38.25,38.25,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2016-11-06,37.72,37.72,37.72,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.83,37.83,37.83,0.0,0.0
2016-11-13,38.81,38.81,38.81,0.0,0.0,39.07,39.07,39.07,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2016-11-20,38.84,38.84,38.84,0.0,0.0,38.84,38.84,38.84,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.54,38.54,38.54,0.0,0.0
2016-11-27,38.07,38.07,38.07,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.07,38.07,38.07,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2016-12-04,35.11,35.11,35.11,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2016-12-11,36.1,36.1,36.1,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2016-12-18,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2016-12-25,35.98,35.98,35.98,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.95,35.95,35.95,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2017-01-01,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2017-01-08,33.95,33.95,33.95,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2017-01-15,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2017-01-22,33.38,33.38,33.38,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2017-01-29,33.34,33.34,33.34,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.14,33.14,33.14,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2017-02-05,33.29,33.29,33.29,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2017-02-12,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2017-02-19,33.07,33.07,33.07,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2017-02-26,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2017-03-05,32.64,32.64,32.64,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2017-03-12,30.78,30.78,30.78,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2017-03-19,30.93,30.93,30.93,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2017-03-26,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2017-04-02,31.18,31.18,31.18,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2017-04-09,31.46,31.46,31.46,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2017-04-16,31.14,31.14,31.14,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2017-04-23,29.27,29.27,29.27,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2017-04-30,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2017-05-07,28.22,28.22,28.22,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2017-05-14,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2017-05-21,27.46,27.46,27.46,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2017-05-28,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2017-06-04,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2017-06-11,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2017-06-18,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2017-06-25,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2017-07-02,27.38,27.38,27.38,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2017-07-09,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2017-07-16,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2017-07-23,26.01,26.01,26.01,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2017-07-30,25.22,25.22,25.22,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2017-08-06,26.42,26.42,26.42,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2017-08-13,26.37,26.37,26.37,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2017-08-20,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2017-08-27,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2017-09-03,25.13,25.13,25.13,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2017-09-10,24.77,24.77,24.77,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2017-09-17,23.98,23.98,23.98,0.0,0.0,24.63,24.63,24.63,0.0,0.0,23.98,23.98,23.98,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2017-09-24,23.95,23.95,23.95,0.0,0.0,24.06,24.06,24.06,0.0,0.0,23.95,23.95,23.95,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2017-10-01,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2017-10-08,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2017-10-15,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2017-10-22,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2017-10-29,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2017-11-05,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2017-11-12,24.34,24.34,24.34,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2017-11-19,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2017-11-26,23.57,23.57,23.57,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2017-12-03,23.83,23.83,23.83,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2017-12-10,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0
2017-12-17,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2017-12-24,22.68,22.68,22.68,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.79,22.79,22.79,0.0,0.0
2017-12-31,21.77,21.77,21.77,0.0,0.0,21.77,21.77,21.77,0.0,0.0,21.77,21.77,21.77,0.0,0.0,21.77,21.77,21.77,0.0,0.0
