Date,iShares US Technology_etf_Open_average,iShares US Technology_etf_Open_max,iShares US Technology_etf_Open_min,iShares US Technology_etf_Open_volatility,iShares US Technology_etf_Open_change,iShares US Technology_etf_High_average,iShares US Technology_etf_High_max,iShares US Technology_etf_High_min,iShares US Technology_etf_High_volatility,iShares US Technology_etf_High_change,iShares US Technology_etf_Low_average,iShares US Technology_etf_Low_max,iShares US Technology_etf_Low_min,iShares US Technology_etf_Low_volatility,iShares US Technology_etf_Low_change,iShares US Technology_etf_Close_average,iShares US Technology_etf_Close_max,iShares US Technology_etf_Close_min,iShares US Technology_etf_Close_volatility,iShares US Technology_etf_Close_change
2016-03-13,107.33,107.33,107.33,0.0,0.0,107.38,107.38,107.38,0.0,0.0,106.57,106.57,106.57,0.0,0.0,107.13,107.13,107.13,0.0,0.0
2016-03-20,105.84,105.84,105.84,0.0,0.0,106.45,106.45,106.45,0.0,0.0,105.6,105.6,105.6,0.0,0.0,106.42,106.42,106.42,0.0,0.0
2016-03-27,107.89,107.89,107.89,0.0,0.0,109.34,109.34,109.34,0.0,0.0,107.7,107.7,107.7,0.0,0.0,109.31,109.31,109.31,0.0,0.0
2016-04-03,107.87,107.87,107.87,0.0,0.0,108.24,108.24,108.24,0.0,0.0,106.87,106.87,106.87,0.0,0.0,107.18,107.18,107.18,0.0,0.0
2016-04-10,108.75,108.75,108.75,0.0,0.0,108.95,108.95,108.95,0.0,0.0,108.16,108.16,108.16,0.0,0.0,108.33,108.33,108.33,0.0,0.0
2016-04-17,106.55,106.55,106.55,0.0,0.0,106.98,106.98,106.98,0.0,0.0,105.64,105.64,105.64,0.0,0.0,106.24,106.24,106.24,0.0,0.0
2016-04-24,102.74,102.74,102.74,0.0,0.0,102.92,102.92,102.92,0.0,0.0,101.47,101.47,101.47,0.0,0.0,102.28,102.28,102.28,0.0,0.0
2016-05-01,101.24,101.24,101.24,0.0,0.0,102.08,102.08,102.08,0.0,0.0,101.02,101.02,101.02,0.0,0.0,102.08,102.08,102.08,0.0,0.0
2016-05-08,102.09,102.09,102.09,0.0,0.0,103.03,103.03,103.03,0.0,0.0,101.87,101.87,101.87,0.0,0.0,102.12,102.12,102.12,0.0,0.0
2016-05-15,102.98,102.98,102.98,0.0,0.0,104.24,104.24,104.24,0.0,0.0,102.98,102.98,102.98,0.0,0.0,103.96,103.96,103.96,0.0,0.0
2016-05-22,107.1,107.1,107.1,0.0,0.0,107.86,107.86,107.86,0.0,0.0,107.1,107.1,107.1,0.0,0.0,107.85,107.85,107.85,0.0,0.0
2016-05-29,107.66,107.66,107.66,0.0,0.0,107.67,107.67,107.67,0.0,0.0,106.8,106.8,106.8,0.0,0.0,107.36,107.36,107.36,0.0,0.0
2016-06-05,107.17,107.17,107.17,0.0,0.0,107.49,107.49,107.49,0.0,0.0,106.72,106.72,106.72,0.0,0.0,106.99,106.99,106.99,0.0,0.0
2016-06-12,105.81,105.81,105.81,0.0,0.0,105.81,105.81,105.81,0.0,0.0,104.66,104.66,104.66,0.0,0.0,104.96,104.96,104.96,0.0,0.0
2016-06-19,103.35,103.35,103.35,0.0,0.0,104.76,104.76,104.76,0.0,0.0,102.38,102.38,102.38,0.0,0.0,102.55,102.55,102.55,0.0,0.0
2016-06-26,105.06,105.06,105.06,0.0,0.0,105.8,105.8,105.8,0.0,0.0,105.06,105.06,105.06,0.0,0.0,105.33,105.33,105.33,0.0,0.0
2016-07-03,106.08,106.08,106.08,0.0,0.0,107.28,107.28,107.28,0.0,0.0,106.05,106.05,106.05,0.0,0.0,107.27,107.27,107.27,0.0,0.0
2016-07-10,109.9,109.9,109.9,0.0,0.0,109.9,109.9,109.9,0.0,0.0,109.22,109.22,109.22,0.0,0.0,109.56,109.56,109.56,0.0,0.0
2016-07-17,111.26,111.26,111.26,0.0,0.0,111.9,111.9,111.9,0.0,0.0,110.91,110.91,110.91,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2016-07-24,114.18,114.18,114.18,0.0,0.0,114.4,114.4,114.4,0.0,0.0,113.83,113.83,113.83,0.0,0.0,114.13,114.13,114.13,0.0,0.0
2016-07-31,115.16,115.16,115.16,0.0,0.0,116.18,116.18,116.18,0.0,0.0,115.1,115.1,115.1,0.0,0.0,116.1,116.1,116.1,0.0,0.0
2016-08-07,116.23,116.23,116.23,0.0,0.0,116.39,116.39,116.39,0.0,0.0,116.06,116.06,116.06,0.0,0.0,116.39,116.39,116.39,0.0,0.0
2016-08-14,116.21,116.21,116.21,0.0,0.0,116.86,116.86,116.86,0.0,0.0,116.05,116.05,116.05,0.0,0.0,116.7,116.7,116.7,0.0,0.0
2016-08-21,116.63,116.63,116.63,0.0,0.0,117.51,117.51,117.51,0.0,0.0,116.12,116.12,116.12,0.0,0.0,116.71,116.71,116.71,0.0,0.0
2016-08-28,117.46,117.46,117.46,0.0,0.0,117.78,117.78,117.78,0.0,0.0,116.98,116.98,116.98,0.0,0.0,117.47,117.47,117.47,0.0,0.0
2016-09-04,116.28,116.28,116.28,0.0,0.0,116.54,116.54,116.54,0.0,0.0,114.3,114.3,114.3,0.0,0.0,114.3,114.3,114.3,0.0,0.0
2016-09-11,118.29,118.29,118.29,0.0,0.0,118.35,118.35,118.35,0.0,0.0,117.38,117.38,117.38,0.0,0.0,117.92,117.92,117.92,0.0,0.0
2016-09-18,119.31,119.31,119.31,0.0,0.0,119.32,119.32,119.32,0.0,0.0,118.22,118.22,118.22,0.0,0.0,118.47,118.47,118.47,0.0,0.0
2016-09-25,118.72,118.72,118.72,0.0,0.0,119.34,119.34,119.34,0.0,0.0,118.45,118.45,118.45,0.0,0.0,119.0,119.0,119.0,0.0,0.0
2016-10-02,119.37,119.37,119.37,0.0,0.0,119.4,119.4,119.4,0.0,0.0,118.42,118.42,118.42,0.0,0.0,119.0,119.0,119.0,0.0,0.0
2016-10-09,118.06,118.06,118.06,0.0,0.0,118.77,118.77,118.77,0.0,0.0,117.78,117.78,117.78,0.0,0.0,117.97,117.97,117.97,0.0,0.0
2016-10-16,118.58,118.58,118.58,0.0,0.0,118.88,118.88,118.88,0.0,0.0,118.12,118.12,118.12,0.0,0.0,118.82,118.82,118.82,0.0,0.0
2016-10-23,118.93,118.93,118.93,0.0,0.0,119.89,119.89,119.89,0.0,0.0,118.31,118.31,118.31,0.0,0.0,118.53,118.53,118.53,0.0,0.0
2016-10-30,115.43,115.43,115.43,0.0,0.0,116.26,116.26,116.26,0.0,0.0,114.93,114.93,114.93,0.0,0.0,115.23,115.23,115.23,0.0,0.0
2016-11-06,115.97,115.97,115.97,0.0,0.0,117.33,117.33,117.33,0.0,0.0,115.97,115.97,115.97,0.0,0.0,117.2,117.2,117.2,0.0,0.0
2016-11-13,119.38,119.38,119.38,0.0,0.0,119.61,119.61,119.61,0.0,0.0,118.7,118.7,118.7,0.0,0.0,118.91,118.91,118.91,0.0,0.0
2016-11-20,119.66,119.66,119.66,0.0,0.0,120.07,120.07,120.07,0.0,0.0,119.62,119.62,119.62,0.0,0.0,120.02,120.02,120.02,0.0,0.0
2016-11-27,115.81,115.81,115.81,0.0,0.0,116.79,116.79,116.79,0.0,0.0,115.53,115.53,115.53,0.0,0.0,116.53,116.53,116.53,0.0,0.0
2016-12-04,121.18,121.18,121.18,0.0,0.0,121.66,121.66,121.66,0.0,0.0,121.07,121.07,121.07,0.0,0.0,121.56,121.56,121.56,0.0,0.0
2016-12-11,123.09,123.09,123.09,0.0,0.0,123.09,123.09,123.09,0.0,0.0,121.62,121.62,121.62,0.0,0.0,121.78,121.78,121.78,0.0,0.0
2016-12-18,121.79,121.79,121.79,0.0,0.0,122.08,122.08,122.08,0.0,0.0,121.56,121.56,121.56,0.0,0.0,122.08,122.08,122.08,0.0,0.0
2016-12-25,121.57,121.57,121.57,0.0,0.0,121.58,121.58,121.58,0.0,0.0,119.97,119.97,119.97,0.0,0.0,120.25,120.25,120.25,0.0,0.0
2017-01-01,121.94,121.94,121.94,0.0,0.0,123.3,123.3,123.3,0.0,0.0,121.61,121.61,121.61,0.0,0.0,123.04,123.04,123.04,0.0,0.0
2017-01-08,123.91,123.91,123.91,0.0,0.0,124.39,124.39,124.39,0.0,0.0,123.85,123.85,123.85,0.0,0.0,124.25,124.25,124.25,0.0,0.0
2017-01-15,124.28,124.28,124.28,0.0,0.0,124.67,124.67,124.67,0.0,0.0,124.07,124.07,124.07,0.0,0.0,124.37,124.37,124.37,0.0,0.0
2017-01-22,127.62,127.62,127.62,0.0,0.0,127.86,127.86,127.86,0.0,0.0,127.34,127.34,127.34,0.0,0.0,127.61,127.61,127.61,0.0,0.0
2017-01-29,127.63,127.63,127.63,0.0,0.0,128.13,128.13,128.13,0.0,0.0,127.63,127.63,127.63,0.0,0.0,128.06,128.06,128.06,0.0,0.0
2017-02-05,129.74,129.74,129.74,0.0,0.0,129.89,129.89,129.89,0.0,0.0,129.21,129.21,129.21,0.0,0.0,129.6,129.6,129.6,0.0,0.0
2017-02-12,131.39,131.39,131.39,0.0,0.0,132.09,132.09,132.09,0.0,0.0,131.34,131.34,131.34,0.0,0.0,132.09,132.09,132.09,0.0,0.0
2017-02-19,131.75,131.75,131.75,0.0,0.0,132.78,132.78,132.78,0.0,0.0,131.53,131.53,131.53,0.0,0.0,132.77,132.77,132.77,0.0,0.0
2017-02-26,132.99,132.99,132.99,0.0,0.0,133.21,133.21,133.21,0.0,0.0,132.58,132.58,132.58,0.0,0.0,133.2,133.2,133.2,0.0,0.0
2017-03-05,133.87,133.87,133.87,0.0,0.0,134.09,134.09,134.09,0.0,0.0,133.39,133.39,133.39,0.0,0.0,133.92,133.92,133.92,0.0,0.0
2017-03-12,135.3,135.3,135.3,0.0,0.0,135.42,135.42,135.42,0.0,0.0,134.92,134.92,134.92,0.0,0.0,134.96,134.96,134.96,0.0,0.0
2017-03-19,134.06,134.06,134.06,0.0,0.0,134.44,134.44,134.44,0.0,0.0,133.09,133.09,133.09,0.0,0.0,133.56,133.56,133.56,0.0,0.0
2017-03-26,135.07,135.07,135.07,0.0,0.0,135.54,135.54,135.54,0.0,0.0,134.81,134.81,134.81,0.0,0.0,135.17,135.17,135.17,0.0,0.0
2017-04-02,134.34,134.34,134.34,0.0,0.0,134.73,134.73,134.73,0.0,0.0,133.94,133.94,133.94,0.0,0.0,134.34,134.34,134.34,0.0,0.0
2017-04-09,132.85,132.85,132.85,0.0,0.0,133.74,133.74,133.74,0.0,0.0,132.44,132.44,132.44,0.0,0.0,132.46,132.46,132.46,0.0,0.0
2017-04-16,134.62,134.62,134.62,0.0,0.0,134.93,134.93,134.93,0.0,0.0,134.35,134.35,134.35,0.0,0.0,134.65,134.65,134.65,0.0,0.0
2017-04-23,138.43,138.43,138.43,0.0,0.0,138.5,138.5,138.5,0.0,0.0,137.87,137.87,137.87,0.0,0.0,138.21,138.21,138.21,0.0,0.0
2017-04-30,139.9,139.9,139.9,0.0,0.0,140.48,140.48,140.48,0.0,0.0,139.68,139.68,139.68,0.0,0.0,140.47,140.47,140.47,0.0,0.0
2017-05-07,141.84,141.84,141.84,0.0,0.0,142.12,142.12,142.12,0.0,0.0,141.62,141.62,141.62,0.0,0.0,142.12,142.12,142.12,0.0,0.0
2017-05-14,141.12,141.12,141.12,0.0,0.0,141.72,141.72,141.72,0.0,0.0,140.99,140.99,140.99,0.0,0.0,141.14,141.14,141.14,0.0,0.0
2017-05-21,144.28,144.28,144.28,0.0,0.0,144.4,144.4,144.4,0.0,0.0,143.86,143.86,143.86,0.0,0.0,144.4,144.4,144.4,0.0,0.0
2017-05-28,145.11,145.11,145.11,0.0,0.0,146.3,146.3,146.3,0.0,0.0,144.78,144.78,144.78,0.0,0.0,146.3,146.3,146.3,0.0,0.0
2017-06-04,147.36,147.36,147.36,0.0,0.0,147.54,147.54,147.54,0.0,0.0,140.38,140.38,140.38,0.0,0.0,142.57,142.57,142.57,0.0,0.0
2017-06-11,141.13,141.13,141.13,0.0,0.0,141.26,141.26,141.26,0.0,0.0,140.29,140.29,140.29,0.0,0.0,140.84,140.84,140.84,0.0,0.0
2017-06-18,143.41,143.41,143.41,0.0,0.0,144.9,144.9,144.9,0.0,0.0,143.18,143.18,143.18,0.0,0.0,144.61,144.61,144.61,0.0,0.0
2017-06-25,140.48,140.48,140.48,0.0,0.0,140.71,140.71,140.71,0.0,0.0,139.55,139.55,139.55,0.0,0.0,139.72,139.72,139.72,0.0,0.0
2017-07-02,139.1,139.1,139.1,0.0,0.0,140.98,140.98,140.98,0.0,0.0,139.06,139.06,139.06,0.0,0.0,140.49,140.49,140.49,0.0,0.0
2017-07-09,145.14,145.14,145.14,0.0,0.0,145.96,145.96,145.96,0.0,0.0,144.75,144.75,144.75,0.0,0.0,145.82,145.82,145.82,0.0,0.0
2017-07-16,146.72,146.72,146.72,0.0,0.0,147.16,147.16,147.16,0.0,0.0,146.47,146.47,146.47,0.0,0.0,147.07,147.07,147.07,0.0,0.0
2017-07-23,145.16,145.16,145.16,0.0,0.0,146.03,146.03,146.03,0.0,0.0,144.95,144.95,144.95,0.0,0.0,145.78,145.78,145.78,0.0,0.0
2017-07-30,145.84,145.84,145.84,0.0,0.0,146.41,146.41,146.41,0.0,0.0,145.58,145.58,145.58,0.0,0.0,145.96,145.96,145.96,0.0,0.0
2017-08-06,143.79,143.79,143.79,0.0,0.0,145.05,145.05,145.05,0.0,0.0,143.57,143.57,143.57,0.0,0.0,144.69,144.69,144.69,0.0,0.0
2017-08-13,144.7,144.7,144.7,0.0,0.0,145.65,145.65,145.65,0.0,0.0,144.1,144.1,144.1,0.0,0.0,144.57,144.57,144.57,0.0,0.0
2017-08-20,146.83,146.83,146.83,0.0,0.0,147.22,147.22,147.22,0.0,0.0,146.02,146.02,146.02,0.0,0.0,146.14,146.14,146.14,0.0,0.0
2017-08-27,150.16,150.16,150.16,0.0,0.0,150.3,150.3,150.3,0.0,0.0,149.45,149.45,149.45,0.0,0.0,149.73,149.73,149.73,0.0,0.0
2017-09-03,148.85,148.85,148.85,0.0,0.0,149.05,149.05,149.05,0.0,0.0,147.53,147.53,147.53,0.0,0.0,147.66,147.66,147.66,0.0,0.0
2017-09-10,149.05,149.05,149.05,0.0,0.0,150.0,150.0,150.0,0.0,0.0,148.84,148.84,148.84,0.0,0.0,149.74,149.74,149.74,0.0,0.0
2017-09-17,147.95,147.95,147.95,0.0,0.0,148.58,148.58,148.58,0.0,0.0,147.75,147.75,147.75,0.0,0.0,148.42,148.42,148.42,0.0,0.0
2017-09-24,148.99,148.99,148.99,0.0,0.0,149.97,149.97,149.97,0.0,0.0,148.81,148.81,148.81,0.0,0.0,149.92,149.92,149.92,0.0,0.0
2017-10-01,151.3,151.3,151.3,0.0,0.0,152.32,152.32,152.32,0.0,0.0,151.3,151.3,151.3,0.0,0.0,152.28,152.28,152.28,0.0,0.0
2017-10-08,154.08,154.08,154.08,0.0,0.0,154.44,154.44,154.44,0.0,0.0,153.99,153.99,153.99,0.0,0.0,154.24,154.24,154.24,0.0,0.0
2017-10-15,155.7,155.7,155.7,0.0,0.0,156.16,156.16,156.16,0.0,0.0,155.59,155.59,155.59,0.0,0.0,155.8,155.8,155.8,0.0,0.0
2017-10-22,158.48,158.48,158.48,0.0,0.0,160.57,160.57,160.57,0.0,0.0,158.03,158.03,158.03,0.0,0.0,160.08,160.08,160.08,0.0,0.0
2017-10-29,162.45,162.45,162.45,0.0,0.0,163.19,163.19,163.19,0.0,0.0,161.54,161.54,161.54,0.0,0.0,163.06,163.06,163.06,0.0,0.0
2017-11-05,162.89,162.89,162.89,0.0,0.0,163.25,163.25,163.25,0.0,0.0,162.47,162.47,162.47,0.0,0.0,163.09,163.09,163.09,0.0,0.0
2017-11-12,163.56,163.56,163.56,0.0,0.0,163.59,163.59,163.59,0.0,0.0,162.64,162.64,162.64,0.0,0.0,162.76,162.76,162.76,0.0,0.0
2017-11-19,165.25,165.25,165.25,0.0,0.0,165.98,165.98,165.98,0.0,0.0,165.25,165.25,165.25,0.0,0.0,165.89,165.89,165.89,0.0,0.0
2017-11-26,162.02,162.02,162.02,0.0,0.0,162.95,162.95,162.95,0.0,0.0,159.7,159.7,159.7,0.0,0.0,162.2,162.2,162.2,0.0,0.0
2017-12-03,162.66,162.66,162.66,0.0,0.0,163.19,163.19,163.19,0.0,0.0,161.84,161.84,161.84,0.0,0.0,162.13,162.13,162.13,0.0,0.0
2017-12-10,163.59,163.59,163.59,0.0,0.0,165.13,165.13,165.13,0.0,0.0,163.03,163.03,163.03,0.0,0.0,164.91,164.91,164.91,0.0,0.0
2017-12-17,164.55,164.55,164.55,0.0,0.0,164.8,164.8,164.8,0.0,0.0,164.22,164.22,164.22,0.0,0.0,164.7,164.7,164.7,0.0,0.0
2017-12-24,163.81,163.81,163.81,0.0,0.0,163.81,163.81,163.81,0.0,0.0,162.71,162.71,162.71,0.0,0.0,162.77,162.77,162.77,0.0,0.0
2017-12-31,168.71,168.71,168.71,0.0,0.0,169.56,169.56,169.56,0.0,0.0,168.37,168.37,168.37,0.0,0.0,169.46,169.46,169.46,0.0,0.0
