Date,ESGR_stock_Open_average,ESGR_stock_Open_max,ESGR_stock_Open_min,ESGR_stock_Open_volatility,ESGR_stock_Open_change,ESGR_stock_High_average,ESGR_stock_High_max,ESGR_stock_High_min,ESGR_stock_High_volatility,ESGR_stock_High_change,ESGR_stock_Low_average,ESGR_stock_Low_max,ESGR_stock_Low_min,ESGR_stock_Low_volatility,ESGR_stock_Low_change,ESGR_stock_Close_average,ESGR_stock_Close_max,ESGR_stock_Close_min,ESGR_stock_Close_volatility,ESGR_stock_Close_change,ESGR_stock_Volume_average,ESGR_stock_Volume_max,ESGR_stock_Volume_min,ESGR_stock_Volume_volatility,ESGR_stock_Volume_change
2016-10-23,166.31,167.9,165.45,2.450000000000017,0.9000000000000057,167.51,169.0,166.6,2.4000000000000057,0.9000000000000057,165.434,166.2,164.42,1.7800000000000011,1.3500000000000227,166.46,167.45,165.8,1.6499999999999773,0.6999999999999886,16060,23151,12730,10421,9865
2016-10-30,167.222,168.43,166.03,2.4000000000000057,0.8199999999999932,169.05,169.75,167.95,1.8000000000000114,-1.450000000000017,166.226,166.45,166.03,0.4199999999999875,0.06999999999999318,167.21,168.6,166.6,2.0,-2.0,15442,18524,11668,6856,3031
2016-11-06,176.89,188.8,169.1,19.700000000000017,19.700000000000017,186.51,200.0,172.65,27.349999999999994,27.349999999999994,175.39000000000001,188.8,166.85,21.950000000000017,21.950000000000017,182.9,200.0,170.9,29.099999999999994,29.099999999999994,35661,78588,15574,63014,59700
2016-11-13,201.43,205.2,200.0,5.199999999999989,-0.05000000000001137,204.12,209.35,200.65,8.699999999999989,-1.8499999999999943,197.306,199.65,195.78,3.8700000000000045,-0.6500000000000057,200.57,203.8,197.5,6.300000000000011,-2.5500000000000114,50100,61937,35030,26907,-9697
2016-11-20,198.525,199.5,197.8,1.6999999999999886,-0.8000000000000114,200.475,201.1,199.7,1.4000000000000057,-0.700000000000017,193.62,196.55,188.03,8.52000000000001,2.1500000000000057,198.7125,200.1,197.0,3.0999999999999943,0.6999999999999886,28418,38212,13825,24387,-16802
2016-11-27,198.15,199.95,196.25,3.6999999999999886,0.05000000000001137,200.16,201.7,198.5,3.1999999999999886,-2.8999999999999773,194.82999999999998,196.45,192.0,4.449999999999989,-3.3499999999999943,196.78,198.7,193.2,5.5,-5.5,27459,39336,19379,19957,-173
2016-12-04,193.18,194.7,190.7,4.0,-0.8999999999999773,194.686,196.25,193.9,2.3499999999999943,-2.25,191.18,194.1,190.05,4.049999999999983,0.549999999999983,192.93,194.15,190.7,3.450000000000017,-0.25,37779,54567,25598,28969,-5304
2016-12-11,196.84,198.9,193.7,5.200000000000017,4.25,200.08,202.0,198.0,4.0,4.0,196.12,197.2,192.55,4.649999999999977,4.649999999999977,197.45,198.5,195.25,3.25,2.5,40834,76219,26001,50218,42141
2016-12-18,200.14,204.95,197.3,7.649999999999977,0.25,203.41,204.95,200.5,4.449999999999989,-0.8000000000000114,197.76,201.4,194.05,7.349999999999994,1.5999999999999943,201.21,203.75,198.5,5.25,-1.75,25178,29168,18588,10580,-10580
2016-12-25,199.325,200.2,198.7,1.5,-1.3499999999999943,199.6625,200.5,199.1,1.4000000000000057,-1.4000000000000057,196.55,198.0,195.65,2.3499999999999943,-1.75,198.075,198.25,197.7,0.5500000000000114,-0.4000000000000057,16125,27865,8411,19454,-12992
2017-01-01,200.4875,202.05,199.05,3.0,-0.8499999999999943,203.305,203.75,202.7,1.0500000000000114,0.6699999999999875,197.7625,199.05,196.7,2.3500000000000227,1.4000000000000057,199.8125,203.45,197.9,5.549999999999983,1.299999999999983,16868,23540,10682,12858,-8473
2017-01-08,198.96,207.3,194.85,12.450000000000017,-3.3499999999999943,199.79,207.3,195.45,11.850000000000023,-3.5500000000000114,194.09,196.05,192.5,3.5500000000000114,-2.1500000000000057,196.09,198.1,194.25,3.8499999999999943,-2.299999999999983,21042,26604,12851,13753,-12217
2017-01-15,194.85,196.7,193.05,3.6499999999999773,1.8499999999999943,195.8825,196.9,194.93,1.9699999999999989,-1.8199999999999932,192.6625,193.15,192.0,1.1500000000000057,-0.6000000000000227,194.2625,195.7,192.7,3.0,-2.6500000000000057,16944,19057,14446,4611,-4611
2017-01-22,196.342,199.4,192.9,6.5,6.5,198.724,199.97,196.1,3.8700000000000045,3.8700000000000045,194.73,195.8,192.0,3.8000000000000114,3.1999999999999886,197.42,198.9,193.95,4.950000000000017,3.200000000000017,21818,30494,11882,18612,14870
2017-01-29,193.01,196.05,191.3,4.75,-4.75,194.38,196.05,192.9,3.1500000000000057,-1.6000000000000227,191.62,192.6,190.0,2.5999999999999943,-1.299999999999983,192.65,193.65,190.4,3.25,-0.700000000000017,15768,20938,12236,8702,6084
2017-02-05,191.85,195.8,190.1,5.700000000000017,0.14999999999997726,193.12,195.8,191.65,4.150000000000006,-0.5,189.552,190.55,188.4,2.1500000000000057,0.4000000000000057,191.08,192.0,190.65,1.3499999999999943,1.1500000000000057,15868,18670,12972,5698,4040
2017-02-12,192.68,193.9,191.15,2.75,0.5,194.88,197.2,192.55,4.649999999999977,0.30000000000001137,191.11,192.2,189.05,3.1499999999999773,0.0,193.02,194.7,192.0,2.6999999999999886,0.8499999999999943,30225,56351,13709,42642,29515
2017-02-19,192.925,193.75,192.4,1.3499999999999943,-1.3499999999999943,194.5,195.1,194.15,0.9499999999999886,-0.6500000000000057,192.05,192.4,191.65,0.75,0.75,193.6,194.45,192.95,1.5,-1.0,27182,41703,13136,28567,-25048
2017-02-26,195.58,198.8,193.2,5.600000000000023,2.8000000000000114,196.55,198.9,193.9,5.0,2.8499999999999943,192.91,195.5,191.05,4.449999999999989,-0.39999999999997726,195.37,198.8,193.2,5.600000000000023,1.8500000000000227,30180,37525,23674,13851,-1958
2017-03-05,192.33,194.5,190.0,4.5,-4.5,193.07,194.5,191.6,2.9000000000000057,-2.9000000000000057,189.98000000000002,191.1,188.05,3.049999999999983,-3.049999999999983,191.38,193.4,190.0,3.4000000000000057,-3.0500000000000114,33187,45075,17700,27375,10659
2017-03-12,192.72,195.0,190.05,4.949999999999989,3.549999999999983,194.71,197.9,192.7,5.200000000000017,5.200000000000017,191.11,192.55,190.0,2.5500000000000114,2.5,193.7,195.0,191.65,3.3499999999999943,3.3499999999999943,40189,95666,20711,74955,70618
