Date,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_average,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_max,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_min,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_volatility,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_change,PowerShares DWA Healthcare Momentum Portfolio_etf_High_average,PowerShares DWA Healthcare Momentum Portfolio_etf_High_max,PowerShares DWA Healthcare Momentum Portfolio_etf_High_min,PowerShares DWA Healthcare Momentum Portfolio_etf_High_volatility,PowerShares DWA Healthcare Momentum Portfolio_etf_High_change,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_average,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_max,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_min,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_volatility,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_change,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_average,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_max,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_min,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_volatility,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_change
2017-04-02,51.8,51.8,51.8,0.0,0.0,52.12,52.12,52.12,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.12,52.12,52.12,0.0,0.0
2017-04-09,52.28,52.28,52.28,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.11,52.11,52.11,0.0,0.0
2017-04-16,52.87,52.87,52.87,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2017-04-23,54.67,54.67,54.67,0.0,0.0,55.14,55.14,55.14,0.0,0.0,54.67,54.67,54.67,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2017-04-30,54.14,54.14,54.14,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.32,54.32,54.32,0.0,0.0
2017-05-07,54.75,54.75,54.75,0.0,0.0,54.87,54.87,54.87,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2017-05-14,53.74,53.74,53.74,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.39,53.39,53.39,0.0,0.0
2017-05-21,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2017-05-28,55.77,55.77,55.77,0.0,0.0,56.7,56.7,56.7,0.0,0.0,55.77,55.77,55.77,0.0,0.0,56.58,56.58,56.58,0.0,0.0
2017-06-04,57.45,57.45,57.45,0.0,0.0,58.24,58.24,58.24,0.0,0.0,56.71,56.71,56.71,0.0,0.0,56.79,56.79,56.79,0.0,0.0
2017-06-11,56.0,56.0,56.0,0.0,0.0,56.16,56.16,56.16,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2017-06-18,61.26,61.26,61.26,0.0,0.0,62.0,62.0,62.0,0.0,0.0,61.02,61.02,61.02,0.0,0.0,62.0,62.0,62.0,0.0,0.0
2017-06-25,61.95,61.95,61.95,0.0,0.0,62.14,62.14,62.14,0.0,0.0,61.8,61.8,61.8,0.0,0.0,61.98,61.98,61.98,0.0,0.0
2017-07-02,61.75,61.75,61.75,0.0,0.0,62.5,62.5,62.5,0.0,0.0,61.75,61.75,61.75,0.0,0.0,62.34,62.34,62.34,0.0,0.0
2017-07-09,63.44,63.44,63.44,0.0,0.0,63.49,63.49,63.49,0.0,0.0,63.12,63.12,63.12,0.0,0.0,63.12,63.12,63.12,0.0,0.0
2017-07-16,63.34,63.34,63.34,0.0,0.0,63.41,63.41,63.41,0.0,0.0,62.97,62.97,62.97,0.0,0.0,62.98,62.98,62.98,0.0,0.0
2017-07-23,61.62,61.62,61.62,0.0,0.0,63.47,63.47,63.47,0.0,0.0,61.62,61.62,61.62,0.0,0.0,63.44,63.44,63.44,0.0,0.0
2017-07-30,61.21,61.21,61.21,0.0,0.0,61.67,61.67,61.67,0.0,0.0,61.18,61.18,61.18,0.0,0.0,61.67,61.67,61.67,0.0,0.0
2017-08-06,59.86,59.86,59.86,0.0,0.0,60.58,60.58,60.58,0.0,0.0,59.7,59.7,59.7,0.0,0.0,60.41,60.41,60.41,0.0,0.0
2017-08-13,60.12,60.12,60.12,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.37,60.37,60.37,0.0,0.0
2017-08-20,62.71,62.71,62.71,0.0,0.0,62.71,62.71,62.71,0.0,0.0,61.61,61.61,61.61,0.0,0.0,61.83,61.83,61.83,0.0,0.0
2017-08-27,65.99,65.99,65.99,0.0,0.0,66.15,66.15,66.15,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.99,65.99,65.99,0.0,0.0
2017-09-03,65.33,65.33,65.33,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.02,65.02,65.02,0.0,0.0,65.02,65.02,65.02,0.0,0.0
2017-09-10,66.11,66.11,66.11,0.0,0.0,66.11,66.11,66.11,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2017-09-17,66.03,66.03,66.03,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.06,65.06,65.06,0.0,0.0,65.44,65.44,65.44,0.0,0.0
2017-09-24,67.03,67.03,67.03,0.0,0.0,67.72,67.72,67.72,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.69,67.69,67.69,0.0,0.0
2017-10-01,69.14,69.14,69.14,0.0,0.0,69.37,69.37,69.37,0.0,0.0,68.62,68.62,68.62,0.0,0.0,68.77,68.77,68.77,0.0,0.0
2017-10-08,67.87,67.87,67.87,0.0,0.0,67.87,67.87,67.87,0.0,0.0,67.05,67.05,67.05,0.0,0.0,67.05,67.05,67.05,0.0,0.0
2017-10-15,67.71,67.71,67.71,0.0,0.0,68.62,68.62,68.62,0.0,0.0,67.58,67.58,67.58,0.0,0.0,68.18,68.18,68.18,0.0,0.0
2017-10-22,67.42,67.42,67.42,0.0,0.0,69.01,69.01,69.01,0.0,0.0,67.42,67.42,67.42,0.0,0.0,68.88,68.88,68.88,0.0,0.0
2017-10-29,69.15,69.15,69.15,0.0,0.0,70.12,70.12,70.12,0.0,0.0,69.15,69.15,69.15,0.0,0.0,70.07,70.07,70.07,0.0,0.0
2017-11-05,68.45,68.45,68.45,0.0,0.0,68.88,68.88,68.88,0.0,0.0,68.02,68.02,68.02,0.0,0.0,68.64,68.64,68.64,0.0,0.0
2017-11-12,69.66,69.66,69.66,0.0,0.0,69.66,69.66,69.66,0.0,0.0,68.19,68.19,68.19,0.0,0.0,68.43,68.43,68.43,0.0,0.0
2017-11-19,69.71,69.71,69.71,0.0,0.0,69.94,69.94,69.94,0.0,0.0,69.69,69.69,69.69,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2017-11-26,71.27,71.27,71.27,0.0,0.0,71.59,71.59,71.59,0.0,0.0,69.22,69.22,69.22,0.0,0.0,71.02,71.02,71.02,0.0,0.0
2017-12-03,69.67,69.67,69.67,0.0,0.0,70.18,70.18,70.18,0.0,0.0,69.61,69.61,69.61,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2017-12-10,69.77,69.77,69.77,0.0,0.0,69.82,69.82,69.82,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.81,69.81,69.81,0.0,0.0
2017-12-17,71.48,71.48,71.48,0.0,0.0,71.82,71.82,71.82,0.0,0.0,70.87,70.87,70.87,0.0,0.0,71.82,71.82,71.82,0.0,0.0
2017-12-24,73.43,73.43,73.43,0.0,0.0,73.49,73.49,73.49,0.0,0.0,72.07,72.07,72.07,0.0,0.0,72.07,72.07,72.07,0.0,0.0
2017-12-31,74.46,74.46,74.46,0.0,0.0,74.46,74.46,74.46,0.0,0.0,73.35,73.35,73.35,0.0,0.0,73.72,73.72,73.72,0.0,0.0
