Date,BREW_stock_Open_average,BREW_stock_Open_max,BREW_stock_Open_min,BREW_stock_Open_volatility,BREW_stock_Open_change,BREW_stock_High_average,BREW_stock_High_max,BREW_stock_High_min,BREW_stock_High_volatility,BREW_stock_High_change,BREW_stock_Low_average,BREW_stock_Low_max,BREW_stock_Low_min,BREW_stock_Low_volatility,BREW_stock_Low_change,BREW_stock_Close_average,BREW_stock_Close_max,BREW_stock_Close_min,BREW_stock_Close_volatility,BREW_stock_Close_change,BREW_stock_Volume_average,BREW_stock_Volume_max,BREW_stock_Volume_min,BREW_stock_Volume_volatility,BREW_stock_Volume_change
2016-09-25,19.392,20.65,18.51,2.139999999999997,-2.139999999999997,19.584,20.83,18.92,1.9099999999999966,-1.9099999999999966,18.596,19.14,18.18,0.9600000000000009,-0.8300000000000018,19.003999999999998,19.32,18.45,0.870000000000001,-0.39000000000000057,237677,293644,191498,102146,40968
2016-10-02,18.272,18.84,17.59,1.25,-0.7600000000000016,18.662,19.07,18.28,0.7899999999999991,-0.7899999999999991,17.788,18.3,17.25,1.0500000000000007,-0.4800000000000004,18.15,18.52,17.59,0.9299999999999997,-0.379999999999999,298851,398130,199753,198377,-96585
2016-10-09,18.002000000000002,18.26,17.67,0.5899999999999999,-0.1700000000000017,18.468,18.99,18.08,0.9100000000000001,0.1999999999999993,17.694,17.99,17.26,0.7299999999999969,0.13999999999999702,18.104,18.44,17.67,0.7699999999999996,0.3200000000000003,183226,256472,132121,124351,92057
2016-10-16,18.05,18.25,17.9,0.3500000000000014,0.05000000000000071,18.4,18.5,18.3,0.1999999999999993,-0.04999999999999716,17.69,17.85,17.55,0.3000000000000007,-0.14999999999999858,18.04,18.35,17.85,0.5,0.05000000000000071,126276,183930,84675,99255,66904
2016-10-23,17.33,18.3,15.85,2.450000000000001,-2.299999999999999,17.834,19.4,16.32,3.0799999999999983,-2.0799999999999983,16.7,18.0,15.75,2.25,-2.25,16.95,18.25,15.9,2.3499999999999996,-2.1999999999999993,195464,406274,76709,329565,8467
2016-10-30,15.03,16.15,13.4,2.7499999999999982,-2.700000000000001,15.538,16.35,14.25,2.1000000000000014,-2.0500000000000007,14.44,15.55,13.15,2.4000000000000004,-2.049999999999999,15.0,16.05,13.65,2.4000000000000004,-2.4000000000000004,201085,381056,80268,300788,146043
2016-11-06,14.47,16.0,13.5,2.5,2.3000000000000007,15.306000000000001,17.05,14.13,2.92,2.92,14.216,15.75,13.35,2.4000000000000004,2.25,14.95,16.4,13.6,2.799999999999999,2.799999999999999,228910,294966,139979,154987,38344
2016-11-13,15.89,16.65,15.25,1.3999999999999986,-1.3999999999999986,16.196,16.85,15.75,1.1000000000000014,-1.0300000000000011,15.370000000000001,16.35,15.0,1.3500000000000014,-1.2500000000000018,15.7,16.6,15.1,1.5000000000000018,-0.8500000000000014,131969,163231,100479,62752,-43465
2016-11-20,15.9,16.15,15.65,0.4999999999999982,0.3999999999999986,16.075,16.3,15.95,0.3500000000000014,0.3500000000000014,15.475,15.65,15.25,0.40000000000000036,0.40000000000000036,15.850000000000001,16.1,15.6,0.5000000000000018,0.20000000000000107,75691,104611,41877,62734,-62734
2016-11-27,15.479999999999999,16.4,14.65,1.7499999999999982,-1.049999999999999,15.79,16.5,14.95,1.5500000000000007,-1.5500000000000007,14.926,15.53,14.35,1.1799999999999997,-1.08,15.28,16.45,14.65,1.799999999999999,-1.6999999999999993,144297,212140,91204,120936,30102
2016-12-04,15.36,16.2,14.75,1.4499999999999993,1.4499999999999993,15.937999999999999,16.9,15.35,1.549999999999999,1.4099999999999984,15.139999999999999,16.15,14.7,1.4499999999999993,1.3999999999999986,15.709999999999999,16.65,15.15,1.4999999999999982,1.4999999999999982,106359,126794,74988,51806,3067
2016-12-11,16.22,16.65,15.95,0.6999999999999993,-0.3999999999999986,16.766000000000002,17.73,16.3,1.4299999999999997,1.0300000000000011,15.87,16.2,15.6,0.5999999999999996,0.5999999999999996,16.36,17.6,15.9,1.700000000000001,1.700000000000001,151124,326870,89221,237649,196478
