Date,iShares MSCI WorldEtf_Open_average,iShares MSCI WorldEtf_Open_max,iShares MSCI WorldEtf_Open_min,iShares MSCI WorldEtf_Open_volatility,iShares MSCI WorldEtf_Open_change,iShares MSCI WorldEtf_High_average,iShares MSCI WorldEtf_High_max,iShares MSCI WorldEtf_High_min,iShares MSCI WorldEtf_High_volatility,iShares MSCI WorldEtf_High_change,iShares MSCI WorldEtf_Low_average,iShares MSCI WorldEtf_Low_max,iShares MSCI WorldEtf_Low_min,iShares MSCI WorldEtf_Low_volatility,iShares MSCI WorldEtf_Low_change,iShares MSCI WorldEtf_Close_average,iShares MSCI WorldEtf_Close_max,iShares MSCI WorldEtf_Close_min,iShares MSCI WorldEtf_Close_volatility,iShares MSCI WorldEtf_Close_change
2016-03-13,69.31,69.31,69.31,0.0,0.0,69.43,69.43,69.43,0.0,0.0,69.01,69.01,69.01,0.0,0.0,69.12,69.12,69.12,0.0,0.0
2016-03-20,67.94,67.94,67.94,0.0,0.0,68.52,68.52,68.52,0.0,0.0,67.87,67.87,67.87,0.0,0.0,68.47,68.47,68.47,0.0,0.0
2016-03-27,69.15,69.15,69.15,0.0,0.0,69.45,69.45,69.45,0.0,0.0,68.37,68.37,68.37,0.0,0.0,69.2,69.2,69.2,0.0,0.0
2016-04-03,69.09,69.09,69.09,0.0,0.0,69.26,69.26,69.26,0.0,0.0,68.72,68.72,68.72,0.0,0.0,68.95,68.95,68.95,0.0,0.0
2016-04-10,70.55,70.55,70.55,0.0,0.0,70.6,70.6,70.6,0.0,0.0,70.28,70.28,70.28,0.0,0.0,70.29,70.29,70.29,0.0,0.0
2016-04-17,71.1,71.1,71.1,0.0,0.0,71.42,71.42,71.42,0.0,0.0,70.88,70.88,70.88,0.0,0.0,71.39,71.39,71.39,0.0,0.0
2016-04-24,70.5,70.5,70.5,0.0,0.0,70.5,70.5,70.5,0.0,0.0,69.87,69.87,69.87,0.0,0.0,70.11,70.11,70.11,0.0,0.0
2016-05-01,69.08,69.08,69.08,0.0,0.0,69.52,69.52,69.52,0.0,0.0,69.03,69.03,69.03,0.0,0.0,69.26,69.26,69.26,0.0,0.0
2016-05-08,69.62,69.62,69.62,0.0,0.0,69.84,69.84,69.84,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.04,69.04,69.04,0.0,0.0
2016-05-15,69.58,69.58,69.58,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.4,69.4,69.4,0.0,0.0,69.46,69.46,69.46,0.0,0.0
2016-05-22,70.74,70.74,70.74,0.0,0.0,70.98,70.98,70.98,0.0,0.0,70.74,70.74,70.74,0.0,0.0,70.83,70.83,70.83,0.0,0.0
2016-05-29,70.8,70.8,70.8,0.0,0.0,71.16,71.16,71.16,0.0,0.0,70.62,70.62,70.62,0.0,0.0,71.16,71.16,71.16,0.0,0.0
2016-06-05,70.51,70.51,70.51,0.0,0.0,70.73,70.73,70.73,0.0,0.0,70.0,70.0,70.0,0.0,0.0,70.19,70.19,70.19,0.0,0.0
2016-06-12,69.6,69.6,69.6,0.0,0.0,69.9,69.9,69.9,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2016-06-19,66.69,66.69,66.69,0.0,0.0,68.75,68.75,68.75,0.0,0.0,66.62,66.62,66.62,0.0,0.0,67.47,67.47,67.47,0.0,0.0
2016-06-26,69.61,69.61,69.61,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.4,69.4,69.4,0.0,0.0,69.52,69.52,69.52,0.0,0.0
2016-07-03,69.4,69.4,69.4,0.0,0.0,69.81,69.81,69.81,0.0,0.0,69.4,69.4,69.4,0.0,0.0,69.76,69.76,69.76,0.0,0.0
2016-07-10,71.44,71.44,71.44,0.0,0.0,71.56,71.56,71.56,0.0,0.0,71.1,71.1,71.1,0.0,0.0,71.25,71.25,71.25,0.0,0.0
2016-07-17,71.55,71.55,71.55,0.0,0.0,71.63,71.63,71.63,0.0,0.0,71.47,71.47,71.47,0.0,0.0,71.63,71.63,71.63,0.0,0.0
2016-07-24,71.85,71.85,71.85,0.0,0.0,72.26,72.26,72.26,0.0,0.0,71.71,71.71,71.71,0.0,0.0,72.21,72.21,72.21,0.0,0.0
2016-07-31,71.82,71.82,71.82,0.0,0.0,72.25,72.25,72.25,0.0,0.0,71.82,71.82,71.82,0.0,0.0,72.09,72.09,72.09,0.0,0.0
2016-08-07,72.79,72.79,72.79,0.0,0.0,73.03,73.03,73.03,0.0,0.0,72.69,72.69,72.69,0.0,0.0,72.93,72.93,72.93,0.0,0.0
2016-08-14,72.78,72.78,72.78,0.0,0.0,72.93,72.93,72.93,0.0,0.0,72.77,72.77,72.77,0.0,0.0,72.93,72.93,72.93,0.0,0.0
2016-08-21,72.63,72.63,72.63,0.0,0.0,72.63,72.63,72.63,0.0,0.0,72.03,72.03,72.03,0.0,0.0,72.36,72.36,72.36,0.0,0.0
2016-08-28,73.04,73.04,73.04,0.0,0.0,73.19,73.19,73.19,0.0,0.0,73.04,73.04,73.04,0.0,0.0,73.07,73.07,73.07,0.0,0.0
2016-09-04,72.58,72.58,72.58,0.0,0.0,72.73,72.73,72.73,0.0,0.0,71.57,71.57,71.57,0.0,0.0,71.6,71.6,71.6,0.0,0.0
2016-09-11,70.98,70.98,70.98,0.0,0.0,71.38,71.38,71.38,0.0,0.0,70.98,70.98,70.98,0.0,0.0,71.3,71.3,71.3,0.0,0.0
2016-09-18,72.6,72.6,72.6,0.0,0.0,72.79,72.79,72.79,0.0,0.0,72.46,72.46,72.46,0.0,0.0,72.48,72.48,72.48,0.0,0.0
2016-09-25,72.08,72.08,72.08,0.0,0.0,72.73,72.73,72.73,0.0,0.0,72.08,72.08,72.08,0.0,0.0,72.66,72.66,72.66,0.0,0.0
2016-10-02,72.26,72.26,72.26,0.0,0.0,72.26,72.26,72.26,0.0,0.0,71.71,71.71,71.71,0.0,0.0,71.99,71.99,71.99,0.0,0.0
2016-10-09,71.52,71.52,71.52,0.0,0.0,71.6,71.6,71.6,0.0,0.0,71.13,71.13,71.13,0.0,0.0,71.13,71.13,71.13,0.0,0.0
2016-10-16,71.29,71.29,71.29,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.29,71.29,71.29,0.0,0.0,71.65,71.65,71.65,0.0,0.0
2016-10-23,71.35,71.35,71.35,0.0,0.0,71.52,71.52,71.52,0.0,0.0,71.08,71.08,71.08,0.0,0.0,71.33,71.33,71.33,0.0,0.0
2016-10-30,69.75,69.75,69.75,0.0,0.0,70.1,70.1,70.1,0.0,0.0,69.67,69.67,69.67,0.0,0.0,69.75,69.75,69.75,0.0,0.0
2016-11-06,71.55,71.55,71.55,0.0,0.0,71.55,71.55,71.55,0.0,0.0,71.05,71.05,71.05,0.0,0.0,71.43,71.43,71.43,0.0,0.0
2016-11-13,71.61,71.61,71.61,0.0,0.0,71.67,71.67,71.67,0.0,0.0,71.35,71.35,71.35,0.0,0.0,71.54,71.54,71.54,0.0,0.0
2016-11-20,72.44,72.44,72.44,0.0,0.0,72.44,72.44,72.44,0.0,0.0,72.23,72.23,72.23,0.0,0.0,72.32,72.32,72.32,0.0,0.0
2016-11-27,72.32,72.32,72.32,0.0,0.0,72.32,72.32,72.32,0.0,0.0,71.97,71.97,71.97,0.0,0.0,72.2,72.2,72.2,0.0,0.0
2016-12-04,74.12,74.12,74.12,0.0,0.0,74.28,74.28,74.28,0.0,0.0,73.8,73.8,73.8,0.0,0.0,74.2,74.2,74.2,0.0,0.0
2016-12-11,74.24,74.24,74.24,0.0,0.0,74.29,74.29,74.29,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.93,73.93,73.93,0.0,0.0
2016-12-18,73.4,73.4,73.4,0.0,0.0,73.63,73.63,73.63,0.0,0.0,73.31,73.31,73.31,0.0,0.0,73.59,73.59,73.59,0.0,0.0
2016-12-25,73.63,73.63,73.63,0.0,0.0,73.63,73.63,73.63,0.0,0.0,72.92,72.92,72.92,0.0,0.0,73.08,73.08,73.08,0.0,0.0
2017-01-01,74.56,74.56,74.56,0.0,0.0,74.86,74.86,74.86,0.0,0.0,74.37,74.37,74.37,0.0,0.0,74.79,74.79,74.79,0.0,0.0
2017-01-08,74.7,74.7,74.7,0.0,0.0,74.97,74.97,74.97,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.94,74.94,74.94,0.0,0.0
2017-01-15,74.67,74.67,74.67,0.0,0.0,74.78,74.78,74.78,0.0,0.0,74.48,74.48,74.48,0.0,0.0,74.64,74.64,74.64,0.0,0.0
2017-01-22,75.78,75.78,75.78,0.0,0.0,75.78,75.78,75.78,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.56,75.56,75.56,0.0,0.0
2017-01-29,75.49,75.49,75.49,0.0,0.0,75.76,75.76,75.76,0.0,0.0,75.49,75.49,75.49,0.0,0.0,75.59,75.59,75.59,0.0,0.0
2017-02-05,75.92,75.92,75.92,0.0,0.0,76.12,76.12,76.12,0.0,0.0,75.92,75.92,75.92,0.0,0.0,75.99,75.99,75.99,0.0,0.0
2017-02-12,76.76,76.76,76.76,0.0,0.0,76.99,76.99,76.99,0.0,0.0,76.66,76.66,76.66,0.0,0.0,76.89,76.89,76.89,0.0,0.0
2017-02-19,76.88,76.88,76.88,0.0,0.0,77.21,77.21,77.21,0.0,0.0,76.84,76.84,76.84,0.0,0.0,77.2,77.2,77.2,0.0,0.0
2017-02-26,77.51,77.51,77.51,0.0,0.0,77.66,77.66,77.66,0.0,0.0,77.37,77.37,77.37,0.0,0.0,77.66,77.66,77.66,0.0,0.0
2017-03-05,77.58,77.58,77.58,0.0,0.0,77.58,77.58,77.58,0.0,0.0,77.09,77.09,77.09,0.0,0.0,77.45,77.45,77.45,0.0,0.0
2017-03-12,78.42,78.42,78.42,0.0,0.0,78.43,78.43,78.43,0.0,0.0,78.12,78.12,78.12,0.0,0.0,78.12,78.12,78.12,0.0,0.0
2017-03-19,77.68,77.68,77.68,0.0,0.0,77.72,77.72,77.72,0.0,0.0,77.41,77.41,77.41,0.0,0.0,77.5,77.5,77.5,0.0,0.0
2017-03-26,78.01,78.01,78.01,0.0,0.0,78.12,78.12,78.12,0.0,0.0,77.87,77.87,77.87,0.0,0.0,77.87,77.87,77.87,0.0,0.0
2017-04-02,77.62,77.62,77.62,0.0,0.0,77.85,77.85,77.85,0.0,0.0,77.6,77.6,77.6,0.0,0.0,77.66,77.66,77.66,0.0,0.0
2017-04-09,77.36,77.36,77.36,0.0,0.0,77.5,77.5,77.5,0.0,0.0,76.95,76.95,76.95,0.0,0.0,76.98,76.98,76.98,0.0,0.0
2017-04-16,77.64,77.64,77.64,0.0,0.0,77.71,77.71,77.71,0.0,0.0,77.56,77.56,77.56,0.0,0.0,77.58,77.58,77.58,0.0,0.0
2017-04-23,79.32,79.32,79.32,0.0,0.0,79.37,79.37,79.37,0.0,0.0,79.08,79.08,79.08,0.0,0.0,79.18,79.18,79.18,0.0,0.0
2017-04-30,79.79,79.79,79.79,0.0,0.0,80.11,80.11,80.11,0.0,0.0,79.67,79.67,79.67,0.0,0.0,80.08,80.08,80.08,0.0,0.0
2017-05-07,79.79,79.79,79.79,0.0,0.0,79.91,79.91,79.91,0.0,0.0,79.72,79.72,79.72,0.0,0.0,79.83,79.83,79.83,0.0,0.0
2017-05-14,79.99,79.99,79.99,0.0,0.0,80.29,80.29,80.29,0.0,0.0,79.98,79.98,79.98,0.0,0.0,80.09,80.09,80.09,0.0,0.0
2017-05-21,80.74,80.74,80.74,0.0,0.0,80.88,80.88,80.88,0.0,0.0,80.73,80.73,80.73,0.0,0.0,80.88,80.88,80.88,0.0,0.0
2017-05-28,81.53,81.53,81.53,0.0,0.0,81.89,81.89,81.89,0.0,0.0,81.48,81.48,81.48,0.0,0.0,81.86,81.86,81.86,0.0,0.0
2017-06-04,81.46,81.46,81.46,0.0,0.0,81.63,81.63,81.63,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.37,81.37,81.37,0.0,0.0
2017-06-11,81.26,81.26,81.26,0.0,0.0,81.48,81.48,81.48,0.0,0.0,81.06,81.06,81.06,0.0,0.0,81.48,81.48,81.48,0.0,0.0
2017-06-18,80.37,80.37,80.37,0.0,0.0,80.61,80.61,80.61,0.0,0.0,80.33,80.33,80.33,0.0,0.0,80.57,80.57,80.57,0.0,0.0
2017-06-25,80.6,80.6,80.6,0.0,0.0,80.6,80.6,80.6,0.0,0.0,80.26,80.26,80.26,0.0,0.0,80.33,80.33,80.33,0.0,0.0
2017-07-02,79.94,79.94,79.94,0.0,0.0,80.26,80.26,80.26,0.0,0.0,79.91,79.91,79.91,0.0,0.0,80.26,80.26,80.26,0.0,0.0
2017-07-09,81.43,81.43,81.43,0.0,0.0,81.67,81.67,81.67,0.0,0.0,81.29,81.29,81.29,0.0,0.0,81.67,81.67,81.67,0.0,0.0
2017-07-16,81.94,81.94,81.94,0.0,0.0,81.95,81.95,81.95,0.0,0.0,81.73,81.73,81.73,0.0,0.0,81.93,81.93,81.93,0.0,0.0
2017-07-23,82.12,82.12,82.12,0.0,0.0,82.23,82.23,82.23,0.0,0.0,81.91,81.91,81.91,0.0,0.0,82.23,82.23,82.23,0.0,0.0
2017-07-30,82.66,82.66,82.66,0.0,0.0,82.66,82.66,82.66,0.0,0.0,82.46,82.46,82.46,0.0,0.0,82.62,82.62,82.62,0.0,0.0
2017-08-06,81.18,81.18,81.18,0.0,0.0,81.31,81.31,81.31,0.0,0.0,81.04,81.04,81.04,0.0,0.0,81.07,81.07,81.07,0.0,0.0
2017-08-13,80.98,80.98,80.98,0.0,0.0,81.16,81.16,81.16,0.0,0.0,80.9,80.9,80.9,0.0,0.0,80.98,80.98,80.98,0.0,0.0
2017-08-20,81.69,81.69,81.69,0.0,0.0,81.93,81.93,81.93,0.0,0.0,81.58,81.58,81.58,0.0,0.0,81.59,81.59,81.59,0.0,0.0
2017-08-27,82.49,82.49,82.49,0.0,0.0,82.61,82.61,82.61,0.0,0.0,82.42,82.42,82.42,0.0,0.0,82.42,82.42,82.42,0.0,0.0
2017-09-03,82.5,82.5,82.5,0.0,0.0,82.65,82.65,82.65,0.0,0.0,82.45,82.45,82.45,0.0,0.0,82.48,82.48,82.48,0.0,0.0
2017-09-10,83.31,83.31,83.31,0.0,0.0,83.57,83.57,83.57,0.0,0.0,83.31,83.31,83.31,0.0,0.0,83.54,83.54,83.54,0.0,0.0
2017-09-17,83.58,83.58,83.58,0.0,0.0,83.84,83.84,83.84,0.0,0.0,83.5,83.5,83.5,0.0,0.0,83.84,83.84,83.84,0.0,0.0
2017-09-24,83.82,83.82,83.82,0.0,0.0,84.2,84.2,84.2,0.0,0.0,83.82,83.82,83.82,0.0,0.0,84.09,84.09,84.09,0.0,0.0
2017-10-01,84.6,84.6,84.6,0.0,0.0,84.82,84.82,84.82,0.0,0.0,84.59,84.59,84.59,0.0,0.0,84.73,84.73,84.73,0.0,0.0
2017-10-08,85.51,85.51,85.51,0.0,0.0,85.53,85.53,85.53,0.0,0.0,85.39,85.39,85.39,0.0,0.0,85.46,85.46,85.46,0.0,0.0
2017-10-15,85.76,85.76,85.76,0.0,0.0,85.79,85.79,85.79,0.0,0.0,85.58,85.58,85.58,0.0,0.0,85.76,85.76,85.76,0.0,0.0
2017-10-22,85.55,85.55,85.55,0.0,0.0,85.77,85.77,85.77,0.0,0.0,85.32,85.32,85.32,0.0,0.0,85.67,85.67,85.67,0.0,0.0
2017-10-29,85.86,85.86,85.86,0.0,0.0,86.19,86.19,86.19,0.0,0.0,85.73,85.73,85.73,0.0,0.0,86.05,86.05,86.05,0.0,0.0
2017-11-05,85.92,85.92,85.92,0.0,0.0,86.0,86.0,86.0,0.0,0.0,85.79,85.79,85.79,0.0,0.0,85.96,85.96,85.96,0.0,0.0
2017-11-12,85.87,85.87,85.87,0.0,0.0,85.9,85.9,85.9,0.0,0.0,85.7,85.7,85.7,0.0,0.0,85.78,85.78,85.78,0.0,0.0
2017-11-19,86.83,86.83,86.83,0.0,0.0,86.89,86.89,86.89,0.0,0.0,86.83,86.83,86.83,0.0,0.0,86.88,86.88,86.88,0.0,0.0
2017-11-26,87.31,87.31,87.31,0.0,0.0,87.59,87.59,87.59,0.0,0.0,86.74,86.74,86.74,0.0,0.0,87.41,87.41,87.41,0.0,0.0
2017-12-03,87.38,87.38,87.38,0.0,0.0,87.63,87.63,87.63,0.0,0.0,87.37,87.37,87.37,0.0,0.0,87.58,87.58,87.58,0.0,0.0
2017-12-10,87.96,87.96,87.96,0.0,0.0,88.19,88.19,88.19,0.0,0.0,87.78,87.78,87.78,0.0,0.0,87.95,87.95,87.95,0.0,0.0
2017-12-17,87.9,87.9,87.9,0.0,0.0,88.1,88.1,88.1,0.0,0.0,87.77,87.77,87.77,0.0,0.0,88.1,88.1,88.1,0.0,0.0
2017-12-24,88.53,88.53,88.53,0.0,0.0,88.53,88.53,88.53,0.0,0.0,88.03,88.03,88.03,0.0,0.0,88.11,88.11,88.11,0.0,0.0
2017-12-31,90.1,90.1,90.1,0.0,0.0,90.42,90.42,90.42,0.0,0.0,90.0,90.0,90.0,0.0,0.0,90.42,90.42,90.42,0.0,0.0
