Date,FlexShares US Quality Large Cap_etf_Open_average,FlexShares US Quality Large Cap_etf_Open_max,FlexShares US Quality Large Cap_etf_Open_min,FlexShares US Quality Large Cap_etf_Open_volatility,FlexShares US Quality Large Cap_etf_Open_change,FlexShares US Quality Large Cap_etf_High_average,FlexShares US Quality Large Cap_etf_High_max,FlexShares US Quality Large Cap_etf_High_min,FlexShares US Quality Large Cap_etf_High_volatility,FlexShares US Quality Large Cap_etf_High_change,FlexShares US Quality Large Cap_etf_Low_average,FlexShares US Quality Large Cap_etf_Low_max,FlexShares US Quality Large Cap_etf_Low_min,FlexShares US Quality Large Cap_etf_Low_volatility,FlexShares US Quality Large Cap_etf_Low_change,FlexShares US Quality Large Cap_etf_Close_average,FlexShares US Quality Large Cap_etf_Close_max,FlexShares US Quality Large Cap_etf_Close_min,FlexShares US Quality Large Cap_etf_Close_volatility,FlexShares US Quality Large Cap_etf_Close_change
2017-03-05,29.49,29.49,29.49,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2017-03-12,29.58,29.58,29.58,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2017-03-19,29.02,29.02,29.02,0.0,0.0,29.02,29.02,29.02,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2017-03-26,29.32,29.32,29.32,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2017-04-02,29.15,29.15,29.15,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2017-04-09,28.9,28.9,28.9,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2017-04-16,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2017-04-23,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2017-04-30,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2017-05-07,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2017-05-14,29.16,29.16,29.16,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2017-05-21,29.54,29.54,29.54,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2017-05-28,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2017-06-04,29.94,29.94,29.94,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2017-06-11,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2017-06-18,29.69,29.69,29.69,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2017-06-25,29.56,29.56,29.56,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2017-07-02,29.63,29.63,29.63,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2017-07-09,30.03,30.03,30.03,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.96,29.96,29.96,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2017-07-16,30.21,30.21,30.21,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2017-07-23,30.21,30.21,30.21,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2017-07-30,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2017-08-06,29.93,29.93,29.93,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2017-08-13,29.71,29.71,29.71,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2017-08-20,29.94,29.94,29.94,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2017-08-27,30.26,30.26,30.26,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2017-09-03,30.08,30.08,30.08,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2017-09-10,30.67,30.67,30.67,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2017-09-17,30.64,30.64,30.64,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2017-09-24,30.97,30.97,30.97,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2017-10-01,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2017-10-08,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2017-10-15,31.56,31.56,31.56,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2017-10-22,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2017-10-29,32.0,32.0,32.0,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2017-11-05,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2017-11-12,32.07,32.07,32.07,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2017-11-19,32.3,32.3,32.3,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2017-11-26,32.53,32.53,32.53,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.76,32.76,32.76,0.0,0.0
2017-12-03,33.12,33.12,33.12,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2017-12-10,33.28,33.28,33.28,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2017-12-17,33.45,33.45,33.45,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2017-12-24,33.94,33.94,33.94,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2017-12-31,33.98,33.98,33.98,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.03,34.03,34.03,0.0,0.0
