Date,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_volatility,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_change,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_volatility,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_change,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_volatility,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_change,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_volatility,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_change
2016-05-15,33.49,33.49,33.49,0.0,0.0,33.52,33.52,33.52,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2016-05-22,28.49,28.49,28.49,0.0,0.0,28.6,28.6,28.6,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2016-05-29,25.2,25.2,25.2,0.0,0.0,27.0,27.0,27.0,0.0,0.0,25.2,25.2,25.2,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2016-06-05,29.19,29.19,29.19,0.0,0.0,30.48,30.48,30.48,0.0,0.0,29.16,29.16,29.16,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2016-06-12,31.83,31.83,31.83,0.0,0.0,34.04,34.04,34.04,0.0,0.0,31.8,31.8,31.8,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2016-06-19,35.14,35.14,35.14,0.0,0.0,36.5,36.5,36.5,0.0,0.0,33.75,33.75,33.75,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2016-06-26,32.43,32.43,32.43,0.0,0.0,32.49,32.49,32.49,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2016-07-03,28.56,28.56,28.56,0.0,0.0,28.7,28.7,28.7,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2016-07-10,27.82,27.82,27.82,0.0,0.0,27.84,27.84,27.84,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2016-07-17,24.61,24.61,24.61,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2016-07-24,22.82,22.82,22.82,0.0,0.0,23.23,23.23,23.23,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2016-07-31,20.44,20.44,20.44,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.07,20.07,20.07,0.0,0.0,20.45,20.45,20.45,0.0,0.0
2016-08-07,21.63,21.63,21.63,0.0,0.0,22.09,22.09,22.09,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2016-08-14,21.87,21.87,21.87,0.0,0.0,22.01,22.01,22.01,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.78,21.78,21.78,0.0,0.0
2016-08-21,23.28,23.28,23.28,0.0,0.0,23.39,23.39,23.39,0.0,0.0,22.27,22.27,22.27,0.0,0.0,22.77,22.77,22.77,0.0,0.0
2016-08-28,23.59,23.59,23.59,0.0,0.0,24.12,24.12,24.12,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2016-09-04,22.6,22.6,22.6,0.0,0.0,24.14,24.14,24.14,0.0,0.0,22.56,22.56,22.56,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2016-09-11,21.56,21.56,21.56,0.0,0.0,21.7,21.7,21.7,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2016-09-18,19.38,19.38,19.38,0.0,0.0,19.51,19.51,19.51,0.0,0.0,18.83,18.83,18.83,0.0,0.0,19.51,19.51,19.51,0.0,0.0
2016-09-25,21.82,21.82,21.82,0.0,0.0,22.27,22.27,22.27,0.0,0.0,20.9,20.9,20.9,0.0,0.0,21.13,21.13,21.13,0.0,0.0
2016-10-02,22.03,22.03,22.03,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2016-10-09,24.61,24.61,24.61,0.0,0.0,26.67,26.67,26.67,0.0,0.0,24.61,24.61,24.61,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2016-10-16,25.49,25.49,25.49,0.0,0.0,26.24,26.24,26.24,0.0,0.0,25.43,25.43,25.43,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2016-10-23,27.5,27.5,27.5,0.0,0.0,29.14,29.14,29.14,0.0,0.0,27.26,27.26,27.26,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2016-10-30,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0,29.88,29.88,29.88,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2016-11-06,19.65,19.65,19.65,0.0,0.0,20.32,20.32,20.32,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.35,19.35,19.35,0.0,0.0
2016-11-13,19.02,19.02,19.02,0.0,0.0,20.07,20.07,20.07,0.0,0.0,18.94,18.94,18.94,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2016-11-20,19.61,19.61,19.61,0.0,0.0,20.44,20.44,20.44,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.8,19.8,19.8,0.0,0.0
2016-11-27,23.4,23.4,23.4,0.0,0.0,23.64,23.64,23.64,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2016-12-04,22.61,22.61,22.61,0.0,0.0,23.36,23.36,23.36,0.0,0.0,21.52,21.52,21.52,0.0,0.0,23.08,23.08,23.08,0.0,0.0
2016-12-11,22.32,22.32,22.32,0.0,0.0,22.53,22.53,22.53,0.0,0.0,21.53,21.53,21.53,0.0,0.0,22.32,22.32,22.32,0.0,0.0
2016-12-18,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.18,22.18,22.18,0.0,0.0
2016-12-25,23.51,23.51,23.51,0.0,0.0,24.27,24.27,24.27,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2017-01-01,20.22,20.22,20.22,0.0,0.0,20.53,20.53,20.53,0.0,0.0,19.94,19.94,19.94,0.0,0.0,20.2,20.2,20.2,0.0,0.0
2017-01-08,20.35,20.35,20.35,0.0,0.0,20.35,20.35,20.35,0.0,0.0,19.5,19.5,19.5,0.0,0.0,20.08,20.08,20.08,0.0,0.0
2017-01-15,20.98,20.98,20.98,0.0,0.0,21.63,21.63,21.63,0.0,0.0,20.93,20.93,20.93,0.0,0.0,21.5,21.5,21.5,0.0,0.0
2017-01-22,21.53,21.53,21.53,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2017-01-29,19.55,19.55,19.55,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2017-02-05,18.77,18.77,18.77,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.91,18.91,18.91,0.0,0.0
2017-02-12,17.33,17.33,17.33,0.0,0.0,17.33,17.33,17.33,0.0,0.0,16.96,16.96,16.96,0.0,0.0,16.99,16.99,16.99,0.0,0.0
2017-02-19,18.18,18.18,18.18,0.0,0.0,18.25,18.25,18.25,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.73,17.73,17.73,0.0,0.0
2017-02-26,16.15,16.15,16.15,0.0,0.0,16.15,16.15,16.15,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2017-03-05,15.78,15.78,15.78,0.0,0.0,16.37,16.37,16.37,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2017-03-12,16.58,16.58,16.58,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.59,16.59,16.59,0.0,0.0
2017-03-19,17.53,17.53,17.53,0.0,0.0,17.58,17.58,17.58,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.28,17.28,17.28,0.0,0.0
2017-03-26,16.66,16.66,16.66,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2017-04-02,35.46,35.46,35.46,0.0,0.0,35.46,35.46,35.46,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2017-04-09,35.08,35.08,35.08,0.0,0.0,35.2,35.2,35.2,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2017-04-16,34.76,34.76,34.76,0.0,0.0,35.66,35.66,35.66,0.0,0.0,34.42,34.42,34.42,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2017-04-23,31.84,31.84,31.84,0.0,0.0,32.32,32.32,32.32,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2017-04-30,32.02,32.02,32.02,0.0,0.0,32.74,32.74,32.74,0.0,0.0,31.64,31.64,31.64,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2017-05-07,34.32,34.32,34.32,0.0,0.0,34.32,34.32,34.32,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2017-05-14,33.1,33.1,33.1,0.0,0.0,33.9,33.9,33.9,0.0,0.0,32.42,32.42,32.42,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2017-05-21,33.76,33.76,33.76,0.0,0.0,34.63,34.63,34.63,0.0,0.0,33.69,33.69,33.69,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2017-05-28,33.2,33.2,33.2,0.0,0.0,33.27,33.27,33.27,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2017-06-04,31.98,31.98,31.98,0.0,0.0,32.64,32.64,32.64,0.0,0.0,30.99,30.99,30.99,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2017-06-11,32.91,32.91,32.91,0.0,0.0,33.5,33.5,33.5,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2017-06-18,24.78,24.78,24.78,0.0,0.0,25.68,25.68,25.68,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2017-06-25,25.92,25.92,25.92,0.0,0.0,26.94,26.94,26.94,0.0,0.0,25.92,25.92,25.92,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2017-07-02,26.35,26.35,26.35,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2017-07-09,25.25,25.25,25.25,0.0,0.0,25.33,25.33,25.33,0.0,0.0,24.84,24.84,24.84,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2017-07-16,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2017-07-23,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2017-07-30,25.6,25.6,25.6,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2017-08-06,27.8,27.8,27.8,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2017-08-13,27.64,27.64,27.64,0.0,0.0,28.18,28.18,28.18,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2017-08-20,25.4,25.4,25.4,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.14,25.14,25.14,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2017-08-27,21.44,21.44,21.44,0.0,0.0,21.44,21.44,21.44,0.0,0.0,20.37,20.37,20.37,0.0,0.0,20.48,20.48,20.48,0.0,0.0
2017-09-03,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.4,20.4,20.4,0.0,0.0,20.78,20.78,20.78,0.0,0.0
2017-09-10,21.04,21.04,21.04,0.0,0.0,21.28,21.28,21.28,0.0,0.0,20.82,20.82,20.82,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2017-09-17,21.36,21.36,21.36,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.5,21.5,21.5,0.0,0.0
2017-09-24,21.38,21.38,21.38,0.0,0.0,21.5,21.5,21.5,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2017-10-01,19.46,19.46,19.46,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2017-10-08,20.14,20.14,20.14,0.0,0.0,20.34,20.34,20.34,0.0,0.0,19.9,19.9,19.9,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2017-10-15,20.83,20.83,20.83,0.0,0.0,21.54,21.54,21.54,0.0,0.0,20.83,20.83,20.83,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2017-10-22,25.0,25.0,25.0,0.0,0.0,25.26,25.26,25.26,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2017-10-29,24.48,24.48,24.48,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2017-11-05,25.94,25.94,25.94,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2017-11-12,25.22,25.22,25.22,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2017-11-19,24.86,24.86,24.86,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2017-11-26,24.09,24.09,24.09,0.0,0.0,25.28,25.28,25.28,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2017-12-03,24.24,24.24,24.24,0.0,0.0,24.27,24.27,24.27,0.0,0.0,23.1,23.1,23.1,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2017-12-10,23.79,23.79,23.79,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2017-12-17,23.0,23.0,23.0,0.0,0.0,23.14,23.14,23.14,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2017-12-24,22.02,22.02,22.02,0.0,0.0,22.79,22.79,22.79,0.0,0.0,21.92,21.92,21.92,0.0,0.0,22.79,22.79,22.79,0.0,0.0
2017-12-31,20.56,20.56,20.56,0.0,0.0,21.17,21.17,21.17,0.0,0.0,20.56,20.56,20.56,0.0,0.0,20.94,20.94,20.94,0.0,0.0
