Date,ProShares VIX Short-Term Futures_etf_Open_average,ProShares VIX Short-Term Futures_etf_Open_max,ProShares VIX Short-Term Futures_etf_Open_min,ProShares VIX Short-Term Futures_etf_Open_volatility,ProShares VIX Short-Term Futures_etf_Open_change,ProShares VIX Short-Term Futures_etf_High_average,ProShares VIX Short-Term Futures_etf_High_max,ProShares VIX Short-Term Futures_etf_High_min,ProShares VIX Short-Term Futures_etf_High_volatility,ProShares VIX Short-Term Futures_etf_High_change,ProShares VIX Short-Term Futures_etf_Low_average,ProShares VIX Short-Term Futures_etf_Low_max,ProShares VIX Short-Term Futures_etf_Low_min,ProShares VIX Short-Term Futures_etf_Low_volatility,ProShares VIX Short-Term Futures_etf_Low_change,ProShares VIX Short-Term Futures_etf_Close_average,ProShares VIX Short-Term Futures_etf_Close_max,ProShares VIX Short-Term Futures_etf_Close_min,ProShares VIX Short-Term Futures_etf_Close_volatility,ProShares VIX Short-Term Futures_etf_Close_change
2016-12-11,85.44,85.44,85.44,0.0,0.0,86.64,86.64,86.64,0.0,0.0,84.84,84.84,84.84,0.0,0.0,85.36,85.36,85.36,0.0,0.0
2016-12-18,81.16,81.16,81.16,0.0,0.0,81.56,81.56,81.56,0.0,0.0,80.36,80.36,80.36,0.0,0.0,80.56,80.56,80.56,0.0,0.0
2016-12-25,82.44,82.44,82.44,0.0,0.0,85.96,85.96,85.96,0.0,0.0,82.4,82.4,82.4,0.0,0.0,85.04,85.04,85.04,0.0,0.0
2017-01-01,73.88,73.88,73.88,0.0,0.0,74.52,74.52,74.52,0.0,0.0,72.16,72.16,72.16,0.0,0.0,73.72,73.72,73.72,0.0,0.0
2017-01-08,71.12,71.12,71.12,0.0,0.0,72.36,72.36,72.36,0.0,0.0,70.6,70.6,70.6,0.0,0.0,71.6,71.6,71.6,0.0,0.0
2017-01-15,71.0,71.0,71.0,0.0,0.0,71.24,71.24,71.24,0.0,0.0,68.96,68.96,68.96,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2017-01-22,63.8,63.8,63.8,0.0,0.0,64.32,64.32,64.32,0.0,0.0,63.06,63.06,63.06,0.0,0.0,63.32,63.32,63.32,0.0,0.0
2017-01-29,62.88,62.88,62.88,0.0,0.0,63.28,63.28,63.28,0.0,0.0,62.2,62.2,62.2,0.0,0.0,62.76,62.76,62.76,0.0,0.0
2017-02-05,61.04,61.04,61.04,0.0,0.0,61.16,61.16,61.16,0.0,0.0,60.28,60.28,60.28,0.0,0.0,60.64,60.64,60.64,0.0,0.0
2017-02-12,59.8,59.8,59.8,0.0,0.0,60.22,60.22,60.22,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.6,58.6,58.6,0.0,0.0
2017-02-19,63.28,63.28,63.28,0.0,0.0,63.56,63.56,63.56,0.0,0.0,60.14,60.14,60.14,0.0,0.0,60.32,60.32,60.32,0.0,0.0
2017-02-26,59.48,59.48,59.48,0.0,0.0,59.64,59.64,59.64,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.44,58.44,58.44,0.0,0.0
2017-03-05,56.96,56.96,56.96,0.0,0.0,57.78,57.78,57.78,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2017-03-12,52.96,52.96,52.96,0.0,0.0,53.08,53.08,53.08,0.0,0.0,51.94,51.94,51.94,0.0,0.0,52.76,52.76,52.76,0.0,0.0
2017-03-19,56.0,56.0,56.0,0.0,0.0,58.34,58.34,58.34,0.0,0.0,54.84,54.84,54.84,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2017-03-26,51.84,51.84,51.84,0.0,0.0,52.72,52.72,52.72,0.0,0.0,51.44,51.44,51.44,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2017-04-02,53.72,53.72,53.72,0.0,0.0,55.04,55.04,55.04,0.0,0.0,53.16,53.16,53.16,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2017-04-09,59.84,59.84,59.84,0.0,0.0,61.26,61.26,61.26,0.0,0.0,58.72,58.72,58.72,0.0,0.0,60.88,60.88,60.88,0.0,0.0
2017-04-16,57.56,57.56,57.56,0.0,0.0,58.6,58.6,58.6,0.0,0.0,57.32,57.32,57.32,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2017-04-23,50.08,50.08,50.08,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2017-04-30,47.84,47.84,47.84,0.0,0.0,48.4,48.4,48.4,0.0,0.0,47.6,47.6,47.6,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2017-05-07,47.16,47.16,47.16,0.0,0.0,47.32,47.32,47.32,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2017-05-14,50.6,50.6,50.6,0.0,0.0,50.64,50.64,50.64,0.0,0.0,47.84,47.84,47.84,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2017-05-21,45.96,45.96,45.96,0.0,0.0,45.96,45.96,45.96,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2017-05-28,44.12,44.12,44.12,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.96,43.96,43.96,0.0,0.0
2017-06-04,43.3,43.3,43.3,0.0,0.0,46.24,46.24,46.24,0.0,0.0,42.8,42.8,42.8,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2017-06-11,43.24,43.24,43.24,0.0,0.0,44.04,44.04,44.04,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.16,43.16,43.16,0.0,0.0
2017-06-18,42.12,42.12,42.12,0.0,0.0,42.42,42.42,42.42,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2017-06-25,42.0,42.0,42.0,0.0,0.0,43.84,43.84,43.84,0.0,0.0,41.68,41.68,41.68,0.0,0.0,42.52,42.52,42.52,0.0,0.0
2017-07-02,44.24,44.24,44.24,0.0,0.0,44.64,44.64,44.64,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.64,43.64,43.64,0.0,0.0
2017-07-09,40.64,40.64,40.64,0.0,0.0,40.72,40.72,40.72,0.0,0.0,39.72,39.72,39.72,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2017-07-16,37.87,37.87,37.87,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.31,37.31,37.31,0.0,0.0
2017-07-23,38.0,38.0,38.0,0.0,0.0,38.51,38.51,38.51,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2017-07-30,37.27,37.27,37.27,0.0,0.0,37.43,37.43,37.43,0.0,0.0,36.82,36.82,36.82,0.0,0.0,37.31,37.31,37.31,0.0,0.0
2017-08-06,44.55,44.55,44.55,0.0,0.0,46.81,46.81,46.81,0.0,0.0,43.12,43.12,43.12,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2017-08-13,44.11,44.11,44.11,0.0,0.0,45.64,45.64,45.64,0.0,0.0,42.02,42.02,42.02,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2017-08-20,40.03,40.03,40.03,0.0,0.0,40.45,40.45,40.45,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2017-08-27,38.12,38.12,38.12,0.0,0.0,38.47,38.47,38.47,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.35,38.35,38.35,0.0,0.0
2017-09-03,39.89,39.89,39.89,0.0,0.0,40.56,40.56,40.56,0.0,0.0,39.69,39.69,39.69,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2017-09-10,36.04,36.04,36.04,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2017-09-17,34.65,34.65,34.65,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2017-09-24,33.11,33.11,33.11,0.0,0.0,33.36,33.36,33.36,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2017-10-01,30.91,30.91,30.91,0.0,0.0,31.57,31.57,31.57,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2017-10-08,29.59,29.59,29.59,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2017-10-15,28.15,28.15,28.15,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2017-10-22,29.33,29.33,29.33,0.0,0.0,29.84,29.84,29.84,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2017-10-29,27.85,27.85,27.85,0.0,0.0,28.22,28.22,28.22,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2017-11-05,28.59,28.59,28.59,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2017-11-12,29.05,29.05,29.05,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2017-11-19,26.21,26.21,26.21,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2017-11-26,26.81,26.81,26.81,0.0,0.0,30.0,30.0,30.0,0.0,0.0,26.54,26.54,26.54,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2017-12-03,25.61,25.61,25.61,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2017-12-10,23.99,23.99,23.99,0.0,0.0,24.01,24.01,24.01,0.0,0.0,23.18,23.18,23.18,0.0,0.0,23.36,23.36,23.36,0.0,0.0
2017-12-17,22.86,22.86,22.86,0.0,0.0,23.21,23.21,23.21,0.0,0.0,22.75,22.75,22.75,0.0,0.0,23.03,23.03,23.03,0.0,0.0
2017-12-24,22.68,22.68,22.68,0.0,0.0,23.24,23.24,23.24,0.0,0.0,22.68,22.68,22.68,0.0,0.0,23.15,23.15,23.15,0.0,0.0
2017-12-31,21.77,21.77,21.77,0.0,0.0,21.93,21.93,21.93,0.0,0.0,21.75,21.75,21.75,0.0,0.0,21.83,21.83,21.83,0.0,0.0
