Date,ProShares Ultra GoldEtf_Open_average,ProShares Ultra GoldEtf_Open_max,ProShares Ultra GoldEtf_Open_min,ProShares Ultra GoldEtf_Open_volatility,ProShares Ultra GoldEtf_Open_change,ProShares Ultra GoldEtf_High_average,ProShares Ultra GoldEtf_High_max,ProShares Ultra GoldEtf_High_min,ProShares Ultra GoldEtf_High_volatility,ProShares Ultra GoldEtf_High_change,ProShares Ultra GoldEtf_Low_average,ProShares Ultra GoldEtf_Low_max,ProShares Ultra GoldEtf_Low_min,ProShares Ultra GoldEtf_Low_volatility,ProShares Ultra GoldEtf_Low_change,ProShares Ultra GoldEtf_Close_average,ProShares Ultra GoldEtf_Close_max,ProShares Ultra GoldEtf_Close_min,ProShares Ultra GoldEtf_Close_volatility,ProShares Ultra GoldEtf_Close_change
2016-05-22,38.2,38.2,38.2,0.0,0.0,38.33,38.33,38.33,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2016-05-29,39.6,39.6,39.6,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2016-06-05,41.92,41.92,41.92,0.0,0.0,42.1,42.1,42.1,0.0,0.0,41.59,41.59,41.59,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2016-06-12,42.88,42.88,42.88,0.0,0.0,43.6,43.6,43.6,0.0,0.0,42.64,42.64,42.64,0.0,0.0,43.45,43.45,43.45,0.0,0.0
2016-06-19,45.31,45.31,45.31,0.0,0.0,45.31,45.31,45.31,0.0,0.0,43.99,43.99,43.99,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2016-06-26,46.01,46.01,46.01,0.0,0.0,46.39,46.39,46.39,0.0,0.0,45.74,45.74,45.74,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2016-07-03,47.38,47.38,47.38,0.0,0.0,47.91,47.91,47.91,0.0,0.0,46.82,46.82,46.82,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2016-07-10,44.83,44.83,44.83,0.0,0.0,45.42,45.42,45.42,0.0,0.0,44.83,44.83,44.83,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2016-07-17,44.94,44.94,44.94,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2016-07-24,46.32,46.32,46.32,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2016-07-31,46.21,46.21,46.21,0.0,0.0,46.37,46.37,46.37,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2016-08-07,46.57,46.57,46.57,0.0,0.0,46.81,46.81,46.81,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.51,45.51,45.51,0.0,0.0
2016-08-14,46.0,46.0,46.0,0.0,0.0,46.34,46.34,46.34,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2016-08-21,45.03,45.03,45.03,0.0,0.0,45.84,45.84,45.84,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2016-08-28,44.65,44.65,44.65,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.73,44.73,44.73,0.0,0.0
2016-09-04,45.22,45.22,45.22,0.0,0.0,45.42,45.42,45.42,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.93,44.93,44.93,0.0,0.0
2016-09-11,43.49,43.49,43.49,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.67,43.67,43.67,0.0,0.0
2016-09-18,45.46,45.46,45.46,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2016-09-25,44.63,44.63,44.63,0.0,0.0,44.63,44.63,44.63,0.0,0.0,43.89,43.89,43.89,0.0,0.0,44.01,44.01,44.01,0.0,0.0
2016-10-02,40.38,40.38,40.38,0.0,0.0,40.5,40.5,40.5,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2016-10-09,39.81,39.81,39.81,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2016-10-16,40.7,40.7,40.7,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2016-10-23,40.93,40.93,40.93,0.0,0.0,41.75,41.75,41.75,0.0,0.0,40.68,40.68,40.68,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2016-10-30,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0,42.83,42.83,42.83,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2016-11-06,39.69,39.69,39.69,0.0,0.0,39.79,39.79,39.79,0.0,0.0,37.51,37.51,37.51,0.0,0.0,38.04,38.04,38.04,0.0,0.0
2016-11-13,37.02,37.02,37.02,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2016-11-20,35.63,35.63,35.63,0.0,0.0,35.66,35.66,35.66,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2016-11-27,34.69,34.69,34.69,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2016-12-04,34.29,34.29,34.29,0.0,0.0,34.31,34.31,34.31,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2016-12-11,32.16,32.16,32.16,0.0,0.0,32.7,32.7,32.7,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2016-12-18,32.06,32.06,32.06,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2016-12-25,33.65,33.65,33.65,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2017-01-01,34.55,34.55,34.55,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2017-01-08,35.67,35.67,35.67,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2017-01-15,36.21,36.21,36.21,0.0,0.0,36.8,36.8,36.8,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2017-01-22,35.08,35.08,35.08,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2017-01-29,36.9,36.9,36.9,0.0,0.0,37.16,37.16,37.16,0.0,0.0,36.75,36.75,36.75,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2017-02-05,37.28,37.28,37.28,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2017-02-12,38.25,38.25,38.25,0.0,0.0,38.4,38.4,38.4,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2017-02-19,39.2,39.2,39.2,0.0,0.0,39.33,39.33,39.33,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2017-02-26,37.5,37.5,37.5,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2017-03-05,35.75,35.75,35.75,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2017-03-12,37.38,37.38,37.38,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2017-03-19,38.33,38.33,38.33,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.27,38.27,38.27,0.0,0.0,38.54,38.54,38.54,0.0,0.0
2017-03-26,38.36,38.36,38.36,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.45,38.45,38.45,0.0,0.0
2017-04-02,39.51,39.51,39.51,0.0,0.0,39.74,39.74,39.74,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2017-04-09,40.96,40.96,40.96,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2017-04-16,40.59,40.59,40.59,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2017-04-23,39.43,39.43,39.43,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2017-04-30,37.09,37.09,37.09,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2017-05-07,37.31,37.31,37.31,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2017-05-14,38.68,38.68,38.68,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.69,38.69,38.69,0.0,0.0
2017-05-21,39.4,39.4,39.4,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.43,39.43,39.43,0.0,0.0
2017-05-28,39.83,39.83,39.83,0.0,0.0,40.14,40.14,40.14,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2017-06-04,39.26,39.26,39.26,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2017-06-11,38.58,38.58,38.58,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2017-06-18,38.78,38.78,38.78,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2017-06-25,37.66,37.66,37.66,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2017-07-02,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2017-07-09,36.9,36.9,36.9,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2017-07-16,38.22,38.22,38.22,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2017-07-23,38.94,38.94,38.94,0.0,0.0,39.4,39.4,39.4,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2017-07-30,38.76,38.76,38.76,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2017-08-06,40.23,40.23,40.23,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.14,40.14,40.14,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2017-08-13,41.07,41.07,41.07,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2017-08-20,40.52,40.52,40.52,0.0,0.0,40.67,40.67,40.67,0.0,0.0,39.5,39.5,39.5,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2017-08-27,42.68,42.68,42.68,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.06,42.06,42.06,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2017-09-03,44.15,44.15,44.15,0.0,0.0,44.22,44.22,44.22,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2017-09-10,42.66,42.66,42.66,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2017-09-17,40.58,40.58,40.58,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2017-09-24,40.14,40.14,40.14,0.0,0.0,40.14,40.14,40.14,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2017-10-01,38.68,38.68,38.68,0.0,0.0,39.29,39.29,39.29,0.0,0.0,38.4,38.4,38.4,0.0,0.0,39.26,39.26,39.26,0.0,0.0
2017-10-08,40.88,40.88,40.88,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.7,40.7,40.7,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2017-10-15,39.47,39.47,39.47,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2017-10-22,38.63,38.63,38.63,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.6,38.6,38.6,0.0,0.0,39.02,39.02,39.02,0.0,0.0
2017-10-29,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.86,38.86,38.86,0.0,0.0
2017-11-05,39.7,39.7,39.7,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.18,39.18,39.18,0.0,0.0
2017-11-12,39.71,39.71,39.71,0.0,0.0,40.52,40.52,40.52,0.0,0.0,39.63,39.63,39.63,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2017-11-19,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2017-11-26,39.04,39.04,39.04,0.0,0.0,39.89,39.89,39.89,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.37,39.37,39.37,0.0,0.0
2017-12-03,37.4,37.4,37.4,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2017-12-10,38.0,38.0,38.0,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2017-12-17,38.73,38.73,38.73,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.93,38.93,38.93,0.0,0.0
2017-12-24,40.56,40.56,40.56,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2017-12-31,41.36,41.36,41.36,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.68,41.68,41.68,0.0,0.0
