Date,SPDR Gold SharesEtf_Open_average,SPDR Gold SharesEtf_Open_max,SPDR Gold SharesEtf_Open_min,SPDR Gold SharesEtf_Open_volatility,SPDR Gold SharesEtf_Open_change,SPDR Gold SharesEtf_High_average,SPDR Gold SharesEtf_High_max,SPDR Gold SharesEtf_High_min,SPDR Gold SharesEtf_High_volatility,SPDR Gold SharesEtf_High_change,SPDR Gold SharesEtf_Low_average,SPDR Gold SharesEtf_Low_max,SPDR Gold SharesEtf_Low_min,SPDR Gold SharesEtf_Low_volatility,SPDR Gold SharesEtf_Low_change,SPDR Gold SharesEtf_Close_average,SPDR Gold SharesEtf_Close_max,SPDR Gold SharesEtf_Close_min,SPDR Gold SharesEtf_Close_volatility,SPDR Gold SharesEtf_Close_change
2016-04-10,117.33,117.33,117.33,0.0,0.0,118.12,118.12,118.12,0.0,0.0,117.19,117.19,117.19,0.0,0.0,117.92,117.92,117.92,0.0,0.0
2016-04-17,118.71,118.71,118.71,0.0,0.0,119.02,119.02,119.02,0.0,0.0,117.28,117.28,117.28,0.0,0.0,117.89,117.89,117.89,0.0,0.0
2016-04-24,122.43,122.43,122.43,0.0,0.0,123.93,123.93,123.93,0.0,0.0,122.34,122.34,122.34,0.0,0.0,123.65,123.65,123.65,0.0,0.0
2016-05-01,122.83,122.83,122.83,0.0,0.0,123.81,123.81,123.81,0.0,0.0,122.59,122.59,122.59,0.0,0.0,123.18,123.18,123.18,0.0,0.0
2016-05-08,121.09,121.09,121.09,0.0,0.0,121.86,121.86,121.86,0.0,0.0,120.66,120.66,120.66,0.0,0.0,121.71,121.71,121.71,0.0,0.0
2016-05-15,120.19,120.19,120.19,0.0,0.0,120.32,120.32,120.32,0.0,0.0,119.31,119.31,119.31,0.0,0.0,119.71,119.71,119.71,0.0,0.0
2016-05-22,116.27,116.27,116.27,0.0,0.0,116.36,116.36,116.36,0.0,0.0,115.29,115.29,115.29,0.0,0.0,115.62,115.62,115.62,0.0,0.0
2016-05-29,118.25,118.25,118.25,0.0,0.0,118.89,118.89,118.89,0.0,0.0,118.23,118.23,118.23,0.0,0.0,118.88,118.88,118.88,0.0,0.0
2016-06-05,121.55,121.55,121.55,0.0,0.0,122.1,122.1,122.1,0.0,0.0,121.17,121.17,121.17,0.0,0.0,121.74,121.74,121.74,0.0,0.0
2016-06-12,123.26,123.26,123.26,0.0,0.0,124.1,124.1,124.1,0.0,0.0,122.69,122.69,122.69,0.0,0.0,123.95,123.95,123.95,0.0,0.0
2016-06-19,126.62,126.62,126.62,0.0,0.0,126.82,126.82,126.82,0.0,0.0,125.0,125.0,125.0,0.0,0.0,126.01,126.01,126.01,0.0,0.0
2016-06-26,127.66,127.66,127.66,0.0,0.0,128.42,128.42,128.42,0.0,0.0,127.44,127.44,127.44,0.0,0.0,128.41,128.41,128.41,0.0,0.0
2016-07-03,129.85,129.85,129.85,0.0,0.0,130.52,130.52,130.52,0.0,0.0,128.97,128.97,128.97,0.0,0.0,130.52,130.52,130.52,0.0,0.0
2016-07-10,126.38,126.38,126.38,0.0,0.0,127.19,127.19,127.19,0.0,0.0,126.33,126.33,126.33,0.0,0.0,126.84,126.84,126.84,0.0,0.0
2016-07-17,126.43,126.43,126.43,0.0,0.0,126.52,126.52,126.52,0.0,0.0,126.01,126.01,126.01,0.0,0.0,126.35,126.35,126.35,0.0,0.0
2016-07-24,128.42,128.42,128.42,0.0,0.0,129.41,129.41,129.41,0.0,0.0,127.88,127.88,127.88,0.0,0.0,128.98,128.98,128.98,0.0,0.0
2016-07-31,128.46,128.46,128.46,0.0,0.0,128.55,128.55,128.55,0.0,0.0,127.39,127.39,127.39,0.0,0.0,127.55,127.55,127.55,0.0,0.0
2016-08-07,129.12,129.12,129.12,0.0,0.0,129.26,129.26,129.26,0.0,0.0,127.2,127.2,127.2,0.0,0.0,127.4,127.4,127.4,0.0,0.0
2016-08-14,128.08,128.08,128.08,0.0,0.0,128.67,128.67,128.67,0.0,0.0,127.86,127.86,127.86,0.0,0.0,127.97,127.97,127.97,0.0,0.0
2016-08-21,126.88,126.88,126.88,0.0,0.0,128.11,128.11,128.11,0.0,0.0,125.82,125.82,125.82,0.0,0.0,126.05,126.05,126.05,0.0,0.0
2016-08-28,126.29,126.29,126.29,0.0,0.0,126.57,126.57,126.57,0.0,0.0,125.58,125.58,125.58,0.0,0.0,126.57,126.57,126.57,0.0,0.0
2016-09-04,127.24,127.24,127.24,0.0,0.0,127.51,127.51,127.51,0.0,0.0,126.7,126.7,126.7,0.0,0.0,126.75,126.75,126.75,0.0,0.0
2016-09-11,124.81,124.81,124.81,0.0,0.0,125.25,125.25,125.25,0.0,0.0,124.67,124.67,124.67,0.0,0.0,125.06,125.06,125.06,0.0,0.0
2016-09-18,127.6,127.6,127.6,0.0,0.0,127.86,127.86,127.86,0.0,0.0,127.43,127.43,127.43,0.0,0.0,127.65,127.65,127.65,0.0,0.0
2016-09-25,126.52,126.52,126.52,0.0,0.0,126.55,126.55,126.55,0.0,0.0,125.23,125.23,125.23,0.0,0.0,125.64,125.64,125.64,0.0,0.0
2016-10-02,120.49,120.49,120.49,0.0,0.0,120.58,120.58,120.58,0.0,0.0,118.42,118.42,118.42,0.0,0.0,119.74,119.74,119.74,0.0,0.0
2016-10-09,119.37,119.37,119.37,0.0,0.0,120.16,120.16,120.16,0.0,0.0,119.29,119.29,119.29,0.0,0.0,119.36,119.36,119.36,0.0,0.0
2016-10-16,120.9,120.9,120.9,0.0,0.0,120.92,120.92,120.92,0.0,0.0,120.55,120.55,120.55,0.0,0.0,120.83,120.83,120.83,0.0,0.0
2016-10-23,121.2,121.2,121.2,0.0,0.0,122.48,122.48,122.48,0.0,0.0,120.81,120.81,120.81,0.0,0.0,121.58,121.58,121.58,0.0,0.0
2016-10-30,124.4,124.4,124.4,0.0,0.0,124.54,124.54,124.54,0.0,0.0,124.04,124.04,124.04,0.0,0.0,124.39,124.39,124.39,0.0,0.0
2016-11-06,119.65,119.65,119.65,0.0,0.0,119.69,119.69,119.69,0.0,0.0,116.23,116.23,116.23,0.0,0.0,117.1,117.1,117.1,0.0,0.0
2016-11-13,115.52,115.52,115.52,0.0,0.0,115.77,115.77,115.77,0.0,0.0,114.96,114.96,114.96,0.0,0.0,115.15,115.15,115.15,0.0,0.0
2016-11-20,113.42,113.42,113.42,0.0,0.0,113.51,113.51,113.51,0.0,0.0,112.35,112.35,112.35,0.0,0.0,112.61,112.61,112.61,0.0,0.0
2016-11-27,111.89,111.89,111.89,0.0,0.0,112.32,112.32,112.32,0.0,0.0,111.78,111.78,111.78,0.0,0.0,112.14,112.14,112.14,0.0,0.0
2016-12-04,111.18,111.18,111.18,0.0,0.0,111.25,111.25,111.25,0.0,0.0,110.19,110.19,110.19,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2016-12-11,107.95,107.95,107.95,0.0,0.0,108.78,108.78,108.78,0.0,0.0,107.47,107.47,107.47,0.0,0.0,108.05,108.05,108.05,0.0,0.0
2016-12-18,107.84,107.84,107.84,0.0,0.0,108.25,108.25,108.25,0.0,0.0,107.8,107.8,107.8,0.0,0.0,107.93,107.93,107.93,0.0,0.0
2016-12-25,110.38,110.38,110.38,0.0,0.0,110.62,110.62,110.62,0.0,0.0,109.53,109.53,109.53,0.0,0.0,109.61,109.61,109.61,0.0,0.0
2017-01-01,111.81,111.81,111.81,0.0,0.0,112.38,112.38,112.38,0.0,0.0,111.57,111.57,111.57,0.0,0.0,111.75,111.75,111.75,0.0,0.0
2017-01-08,113.65,113.65,113.65,0.0,0.0,114.31,114.31,114.31,0.0,0.0,113.19,113.19,113.19,0.0,0.0,114.21,114.21,114.21,0.0,0.0
2017-01-15,114.65,114.65,114.65,0.0,0.0,115.76,115.76,115.76,0.0,0.0,114.32,114.32,114.32,0.0,0.0,115.05,115.05,115.05,0.0,0.0
2017-01-22,112.93,112.93,112.93,0.0,0.0,113.55,113.55,113.55,0.0,0.0,112.81,112.81,112.81,0.0,0.0,113.49,113.49,113.49,0.0,0.0
2017-01-29,115.73,115.73,115.73,0.0,0.0,116.36,116.36,116.36,0.0,0.0,115.71,115.71,115.71,0.0,0.0,116.13,116.13,116.13,0.0,0.0
2017-02-05,116.68,116.68,116.68,0.0,0.0,117.86,117.86,117.86,0.0,0.0,116.67,116.67,116.67,0.0,0.0,117.6,117.6,117.6,0.0,0.0
2017-02-12,118.19,118.19,118.19,0.0,0.0,118.4,118.4,118.4,0.0,0.0,117.62,117.62,117.62,0.0,0.0,117.68,117.68,117.68,0.0,0.0
2017-02-19,119.74,119.74,119.74,0.0,0.0,119.88,119.88,119.88,0.0,0.0,119.25,119.25,119.25,0.0,0.0,119.7,119.7,119.7,0.0,0.0
2017-02-26,116.95,116.95,116.95,0.0,0.0,117.73,117.73,117.73,0.0,0.0,116.44,116.44,116.44,0.0,0.0,117.51,117.51,117.51,0.0,0.0
2017-03-05,114.45,114.45,114.45,0.0,0.0,114.73,114.73,114.73,0.0,0.0,114.13,114.13,114.13,0.0,0.0,114.72,114.72,114.72,0.0,0.0
2017-03-12,117.04,117.04,117.04,0.0,0.0,117.27,117.27,117.27,0.0,0.0,116.91,116.91,116.91,0.0,0.0,116.99,116.99,116.99,0.0,0.0
2017-03-19,118.5,118.5,118.5,0.0,0.0,119.21,119.21,119.21,0.0,0.0,118.39,118.39,118.39,0.0,0.0,118.86,118.86,118.86,0.0,0.0
2017-03-26,118.61,118.61,118.61,0.0,0.0,119.08,119.08,119.08,0.0,0.0,118.46,118.46,118.46,0.0,0.0,118.72,118.72,118.72,0.0,0.0
2017-04-02,120.3,120.3,120.3,0.0,0.0,120.67,120.67,120.67,0.0,0.0,119.14,119.14,119.14,0.0,0.0,119.46,119.46,119.46,0.0,0.0
2017-04-09,122.54,122.54,122.54,0.0,0.0,122.65,122.65,122.65,0.0,0.0,122.03,122.03,122.03,0.0,0.0,122.6,122.6,122.6,0.0,0.0
2017-04-16,122.14,122.14,122.14,0.0,0.0,122.61,122.61,122.61,0.0,0.0,121.73,121.73,121.73,0.0,0.0,122.31,122.31,122.31,0.0,0.0
2017-04-23,120.34,120.34,120.34,0.0,0.0,120.77,120.77,120.77,0.0,0.0,120.27,120.27,120.27,0.0,0.0,120.77,120.77,120.77,0.0,0.0
2017-04-30,116.86,116.86,116.86,0.0,0.0,117.07,117.07,117.07,0.0,0.0,116.68,116.68,116.68,0.0,0.0,117.01,117.01,117.01,0.0,0.0
2017-05-07,117.07,117.07,117.07,0.0,0.0,117.16,117.16,117.16,0.0,0.0,116.73,116.73,116.73,0.0,0.0,116.83,116.83,116.83,0.0,0.0
2017-05-14,119.39,119.39,119.39,0.0,0.0,119.55,119.55,119.55,0.0,0.0,118.88,118.88,118.88,0.0,0.0,119.4,119.4,119.4,0.0,0.0
2017-05-21,120.49,120.49,120.49,0.0,0.0,120.79,120.79,120.79,0.0,0.0,120.33,120.33,120.33,0.0,0.0,120.54,120.54,120.54,0.0,0.0
2017-05-28,121.31,121.31,121.31,0.0,0.0,121.71,121.71,121.71,0.0,0.0,121.19,121.19,121.19,0.0,0.0,121.61,121.61,121.61,0.0,0.0
2017-06-04,120.46,120.46,120.46,0.0,0.0,120.91,120.91,120.91,0.0,0.0,120.4,120.4,120.4,0.0,0.0,120.54,120.54,120.54,0.0,0.0
2017-06-11,119.35,119.35,119.35,0.0,0.0,119.5,119.5,119.5,0.0,0.0,119.24,119.24,119.24,0.0,0.0,119.34,119.34,119.34,0.0,0.0
2017-06-18,119.65,119.65,119.65,0.0,0.0,119.66,119.66,119.66,0.0,0.0,119.31,119.31,119.31,0.0,0.0,119.43,119.43,119.43,0.0,0.0
2017-06-25,118.08,118.08,118.08,0.0,0.0,118.41,118.41,118.41,0.0,0.0,117.95,117.95,117.95,0.0,0.0,118.02,118.02,118.02,0.0,0.0
2017-07-02,115.78,115.78,115.78,0.0,0.0,115.79,115.79,115.79,0.0,0.0,114.8,114.8,114.8,0.0,0.0,115.28,115.28,115.28,0.0,0.0
2017-07-09,117.04,117.04,117.04,0.0,0.0,117.25,117.25,117.25,0.0,0.0,116.64,116.64,116.64,0.0,0.0,116.77,116.77,116.77,0.0,0.0
2017-07-16,119.0,119.0,119.0,0.0,0.0,119.39,119.39,119.39,0.0,0.0,118.75,118.75,118.75,0.0,0.0,119.26,119.26,119.26,0.0,0.0
2017-07-23,120.15,120.15,120.15,0.0,0.0,120.86,120.86,120.86,0.0,0.0,120.14,120.14,120.14,0.0,0.0,120.69,120.69,120.69,0.0,0.0
2017-07-30,119.97,119.97,119.97,0.0,0.0,120.04,120.04,120.04,0.0,0.0,119.22,119.22,119.22,0.0,0.0,119.65,119.65,119.65,0.0,0.0
2017-08-06,122.24,122.24,122.24,0.0,0.0,122.83,122.83,122.83,0.0,0.0,122.03,122.03,122.03,0.0,0.0,122.79,122.79,122.79,0.0,0.0
2017-08-13,123.37,123.37,123.37,0.0,0.0,123.54,123.54,123.54,0.0,0.0,122.0,122.0,122.0,0.0,0.0,122.3,122.3,122.3,0.0,0.0
2017-08-20,122.77,122.77,122.77,0.0,0.0,123.02,123.02,123.02,0.0,0.0,121.29,121.29,121.29,0.0,0.0,122.74,122.74,122.74,0.0,0.0
2017-08-27,126.01,126.01,126.01,0.0,0.0,126.17,126.17,126.17,0.0,0.0,125.12,125.12,125.12,0.0,0.0,126.06,126.06,126.06,0.0,0.0
2017-09-03,128.21,128.21,128.21,0.0,0.0,128.3,128.3,128.3,0.0,0.0,127.59,127.59,127.59,0.0,0.0,127.97,127.97,127.97,0.0,0.0
2017-09-10,125.99,125.99,125.99,0.0,0.0,125.99,125.99,125.99,0.0,0.0,125.41,125.41,125.41,0.0,0.0,125.53,125.53,125.53,0.0,0.0
2017-09-17,123.03,123.03,123.03,0.0,0.0,123.39,123.39,123.39,0.0,0.0,122.93,122.93,122.93,0.0,0.0,123.24,123.24,123.24,0.0,0.0
2017-09-24,122.29,122.29,122.29,0.0,0.0,122.3,122.3,122.3,0.0,0.0,121.55,121.55,121.55,0.0,0.0,121.58,121.58,121.58,0.0,0.0
2017-10-01,120.26,120.26,120.26,0.0,0.0,121.21,121.21,121.21,0.0,0.0,119.78,119.78,119.78,0.0,0.0,121.09,121.09,121.09,0.0,0.0
2017-10-08,123.66,123.66,123.66,0.0,0.0,123.86,123.86,123.86,0.0,0.0,123.34,123.34,123.34,0.0,0.0,123.82,123.82,123.82,0.0,0.0
2017-10-15,121.68,121.68,121.68,0.0,0.0,121.98,121.98,121.98,0.0,0.0,121.39,121.39,121.39,0.0,0.0,121.61,121.61,121.61,0.0,0.0
2017-10-22,120.38,120.38,120.38,0.0,0.0,120.99,120.99,120.99,0.0,0.0,120.21,120.21,120.21,0.0,0.0,120.9,120.9,120.9,0.0,0.0
2017-10-29,121.36,121.36,121.36,0.0,0.0,121.43,121.43,121.43,0.0,0.0,120.18,120.18,120.18,0.0,0.0,120.62,120.62,120.62,0.0,0.0
2017-11-05,121.99,121.99,121.99,0.0,0.0,122.11,122.11,122.11,0.0,0.0,120.94,120.94,120.94,0.0,0.0,121.13,121.13,121.13,0.0,0.0
2017-11-12,122.15,122.15,122.15,0.0,0.0,123.17,123.17,123.17,0.0,0.0,121.95,121.95,121.95,0.0,0.0,122.86,122.86,122.86,0.0,0.0
2017-11-19,122.36,122.36,122.36,0.0,0.0,122.61,122.61,122.61,0.0,0.0,122.22,122.22,122.22,0.0,0.0,122.32,122.32,122.32,0.0,0.0
2017-11-26,120.94,120.94,120.94,0.0,0.0,122.43,122.43,122.43,0.0,0.0,120.74,120.74,120.74,0.0,0.0,121.59,121.59,121.59,0.0,0.0
2017-12-03,118.63,118.63,118.63,0.0,0.0,118.92,118.92,118.92,0.0,0.0,118.33,118.33,118.33,0.0,0.0,118.48,118.48,118.48,0.0,0.0
2017-12-10,119.41,119.41,119.41,0.0,0.0,119.5,119.5,119.5,0.0,0.0,118.97,118.97,118.97,0.0,0.0,119.18,119.18,119.18,0.0,0.0
2017-12-17,120.67,120.67,120.67,0.0,0.0,121.14,121.14,121.14,0.0,0.0,120.57,120.57,120.57,0.0,0.0,120.94,120.94,120.94,0.0,0.0
2017-12-24,123.7,123.7,123.7,0.0,0.0,124.08,124.08,124.08,0.0,0.0,123.46,123.46,123.46,0.0,0.0,123.65,123.65,123.65,0.0,0.0
2017-12-31,124.93,124.93,124.93,0.0,0.0,125.48,125.48,125.48,0.0,0.0,124.83,124.83,124.83,0.0,0.0,125.33,125.33,125.33,0.0,0.0
