Date,iShares Short-Term Corporate BondEtf_Open_average,iShares Short-Term Corporate BondEtf_Open_max,iShares Short-Term Corporate BondEtf_Open_min,iShares Short-Term Corporate BondEtf_Open_volatility,iShares Short-Term Corporate BondEtf_Open_change,iShares Short-Term Corporate BondEtf_High_average,iShares Short-Term Corporate BondEtf_High_max,iShares Short-Term Corporate BondEtf_High_min,iShares Short-Term Corporate BondEtf_High_volatility,iShares Short-Term Corporate BondEtf_High_change,iShares Short-Term Corporate BondEtf_Low_average,iShares Short-Term Corporate BondEtf_Low_max,iShares Short-Term Corporate BondEtf_Low_min,iShares Short-Term Corporate BondEtf_Low_volatility,iShares Short-Term Corporate BondEtf_Low_change,iShares Short-Term Corporate BondEtf_Close_average,iShares Short-Term Corporate BondEtf_Close_max,iShares Short-Term Corporate BondEtf_Close_min,iShares Short-Term Corporate BondEtf_Close_volatility,iShares Short-Term Corporate BondEtf_Close_change
2016-04-24,105.57,105.57,105.57,0.0,0.0,105.69,105.69,105.69,0.0,0.0,105.56,105.56,105.56,0.0,0.0,105.62,105.62,105.62,0.0,0.0
2016-05-01,105.59,105.59,105.59,0.0,0.0,105.68,105.68,105.68,0.0,0.0,105.56,105.56,105.56,0.0,0.0,105.58,105.58,105.58,0.0,0.0
2016-05-08,105.52,105.52,105.52,0.0,0.0,105.62,105.62,105.62,0.0,0.0,105.52,105.52,105.52,0.0,0.0,105.59,105.59,105.59,0.0,0.0
2016-05-15,105.35,105.35,105.35,0.0,0.0,105.44,105.44,105.44,0.0,0.0,105.35,105.35,105.35,0.0,0.0,105.4,105.4,105.4,0.0,0.0
2016-05-22,105.44,105.44,105.44,0.0,0.0,105.51,105.51,105.51,0.0,0.0,105.35,105.35,105.35,0.0,0.0,105.41,105.41,105.41,0.0,0.0
2016-05-29,105.44,105.44,105.44,0.0,0.0,105.68,105.68,105.68,0.0,0.0,105.44,105.44,105.44,0.0,0.0,105.56,105.56,105.56,0.0,0.0
2016-06-05,105.69,105.69,105.69,0.0,0.0,105.71,105.71,105.71,0.0,0.0,105.6,105.6,105.6,0.0,0.0,105.69,105.69,105.69,0.0,0.0
2016-06-12,105.75,105.75,105.75,0.0,0.0,105.83,105.83,105.83,0.0,0.0,105.71,105.71,105.71,0.0,0.0,105.74,105.74,105.74,0.0,0.0
2016-06-19,106.0,106.0,106.0,0.0,0.0,106.0,106.0,106.0,0.0,0.0,105.78,105.78,105.78,0.0,0.0,105.86,105.86,105.86,0.0,0.0
2016-06-26,106.04,106.04,106.04,0.0,0.0,106.04,106.04,106.04,0.0,0.0,105.91,105.91,105.91,0.0,0.0,106.0,106.0,106.0,0.0,0.0
2016-07-03,105.9,105.9,105.9,0.0,0.0,106.05,106.05,106.05,0.0,0.0,105.9,105.9,105.9,0.0,0.0,106.04,106.04,106.04,0.0,0.0
2016-07-10,52.91,52.91,52.91,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.93,52.93,52.93,0.0,0.0
2016-07-17,52.96,52.96,52.96,0.0,0.0,52.97,52.97,52.97,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.94,52.94,52.94,0.0,0.0
2016-07-24,53.02,53.02,53.02,0.0,0.0,53.04,53.04,53.04,0.0,0.0,52.97,52.97,52.97,0.0,0.0,53.04,53.04,53.04,0.0,0.0
2016-07-31,52.98,52.98,52.98,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.94,52.94,52.94,0.0,0.0
2016-08-07,52.98,52.98,52.98,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.97,52.97,52.97,0.0,0.0
2016-08-14,52.97,52.97,52.97,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2016-08-21,52.95,52.95,52.95,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2016-08-28,52.91,52.91,52.91,0.0,0.0,52.91,52.91,52.91,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2016-09-04,52.83,52.83,52.83,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2016-09-11,52.92,52.92,52.92,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2016-09-18,52.84,52.84,52.84,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2016-09-25,52.88,52.88,52.88,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2016-10-02,52.74,52.74,52.74,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2016-10-09,52.8,52.8,52.8,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2016-10-16,52.83,52.83,52.83,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2016-10-23,52.76,52.76,52.76,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2016-10-30,52.74,52.74,52.74,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2016-11-06,52.62,52.62,52.62,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2016-11-13,52.54,52.54,52.54,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2016-11-20,52.47,52.47,52.47,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2016-11-27,52.37,52.37,52.37,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2016-12-04,52.45,52.45,52.45,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2016-12-11,52.29,52.29,52.29,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2016-12-18,52.37,52.37,52.37,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2016-12-25,52.41,52.41,52.41,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2017-01-01,52.48,52.48,52.48,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2017-01-08,52.51,52.51,52.51,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2017-01-15,52.49,52.49,52.49,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2017-01-22,52.51,52.51,52.51,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2017-01-29,52.52,52.52,52.52,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2017-02-05,52.53,52.53,52.53,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2017-02-12,52.55,52.55,52.55,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2017-02-19,52.64,52.64,52.64,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2017-02-26,52.47,52.47,52.47,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2017-03-05,52.44,52.44,52.44,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2017-03-12,52.49,52.49,52.49,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2017-03-19,52.58,52.58,52.58,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.58,52.58,52.58,0.0,0.0
2017-03-26,52.6,52.6,52.6,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2017-04-02,52.58,52.58,52.58,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2017-04-09,52.64,52.64,52.64,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2017-04-16,52.69,52.69,52.69,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2017-04-23,52.63,52.63,52.63,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2017-04-30,52.56,52.56,52.56,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2017-05-07,52.6,52.6,52.6,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2017-05-14,52.68,52.68,52.68,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2017-05-21,52.66,52.66,52.66,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2017-05-28,52.69,52.69,52.69,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2017-06-04,52.63,52.63,52.63,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2017-06-11,52.64,52.64,52.64,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.64,52.64,52.64,0.0,0.0
2017-06-18,52.66,52.66,52.66,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2017-06-25,52.67,52.67,52.67,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2017-07-02,52.56,52.56,52.56,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2017-07-09,52.66,52.66,52.66,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2017-07-16,52.73,52.73,52.73,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.74,52.74,52.74,0.0,0.0
2017-07-23,52.72,52.72,52.72,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.74,52.74,52.74,0.0,0.0
2017-07-30,52.66,52.66,52.66,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2017-08-06,52.64,52.64,52.64,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2017-08-13,52.74,52.74,52.74,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2017-08-20,52.73,52.73,52.73,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2017-08-27,52.72,52.72,52.72,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2017-09-03,52.78,52.78,52.78,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.78,52.78,52.78,0.0,0.0
2017-09-10,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2017-09-17,52.65,52.65,52.65,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2017-09-24,52.68,52.68,52.68,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2017-10-01,52.55,52.55,52.55,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.58,52.58,52.58,0.0,0.0
2017-10-08,52.62,52.62,52.62,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.64,52.64,52.64,0.0,0.0
2017-10-15,52.6,52.6,52.6,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.59,52.59,52.59,0.0,0.0
2017-10-22,52.56,52.56,52.56,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2017-10-29,52.51,52.51,52.51,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2017-11-05,52.47,52.47,52.47,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2017-11-12,52.41,52.41,52.41,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2017-11-19,52.42,52.42,52.42,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2017-11-26,52.33,52.33,52.33,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.33,52.33,52.33,0.0,0.0
2017-12-03,52.33,52.33,52.33,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2017-12-10,52.33,52.33,52.33,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2017-12-17,52.23,52.23,52.23,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2017-12-24,52.27,52.27,52.27,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.27,52.27,52.27,0.0,0.0
2017-12-31,52.25,52.25,52.25,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.23,52.23,52.23,0.0,0.0
