Date,iShares MSCI Brazil Small-CapEtf_Open_average,iShares MSCI Brazil Small-CapEtf_Open_max,iShares MSCI Brazil Small-CapEtf_Open_min,iShares MSCI Brazil Small-CapEtf_Open_volatility,iShares MSCI Brazil Small-CapEtf_Open_change,iShares MSCI Brazil Small-CapEtf_High_average,iShares MSCI Brazil Small-CapEtf_High_max,iShares MSCI Brazil Small-CapEtf_High_min,iShares MSCI Brazil Small-CapEtf_High_volatility,iShares MSCI Brazil Small-CapEtf_High_change,iShares MSCI Brazil Small-CapEtf_Low_average,iShares MSCI Brazil Small-CapEtf_Low_max,iShares MSCI Brazil Small-CapEtf_Low_min,iShares MSCI Brazil Small-CapEtf_Low_volatility,iShares MSCI Brazil Small-CapEtf_Low_change,iShares MSCI Brazil Small-CapEtf_Close_average,iShares MSCI Brazil Small-CapEtf_Close_max,iShares MSCI Brazil Small-CapEtf_Close_min,iShares MSCI Brazil Small-CapEtf_Close_volatility,iShares MSCI Brazil Small-CapEtf_Close_change
2016-05-01,8.88,8.88,8.88,0.0,0.0,9.0,9.0,9.0,0.0,0.0,8.87,8.87,8.87,0.0,0.0,9.0,9.0,9.0,0.0,0.0
2016-05-08,9.34,9.34,9.34,0.0,0.0,9.34,9.34,9.34,0.0,0.0,9.12,9.12,9.12,0.0,0.0,9.17,9.17,9.17,0.0,0.0
2016-05-15,8.88,8.88,8.88,0.0,0.0,8.92,8.92,8.92,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.84,8.84,8.84,0.0,0.0
2016-05-22,8.56,8.56,8.56,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.5,8.5,8.5,0.0,0.0
2016-05-29,8.96,8.96,8.96,0.0,0.0,9.03,9.03,9.03,0.0,0.0,8.89,8.89,8.89,0.0,0.0,9.03,9.03,9.03,0.0,0.0
2016-06-05,9.41,9.41,9.41,0.0,0.0,9.41,9.41,9.41,0.0,0.0,9.29,9.29,9.29,0.0,0.0,9.34,9.34,9.34,0.0,0.0
2016-06-12,9.17,9.17,9.17,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.15,9.15,9.15,0.0,0.0,9.18,9.18,9.18,0.0,0.0
2016-06-19,9.39,9.39,9.39,0.0,0.0,9.47,9.47,9.47,0.0,0.0,9.36,9.36,9.36,0.0,0.0,9.4,9.4,9.4,0.0,0.0
2016-06-26,10.29,10.29,10.29,0.0,0.0,10.33,10.33,10.33,0.0,0.0,10.14,10.14,10.14,0.0,0.0,10.3,10.3,10.3,0.0,0.0
2016-07-03,10.14,10.14,10.14,0.0,0.0,10.32,10.32,10.32,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.32,10.32,10.32,0.0,0.0
2016-07-10,10.87,10.87,10.87,0.0,0.0,11.04,11.04,11.04,0.0,0.0,10.86,10.86,10.86,0.0,0.0,11.03,11.03,11.03,0.0,0.0
2016-07-17,11.39,11.39,11.39,0.0,0.0,11.59,11.59,11.59,0.0,0.0,11.36,11.36,11.36,0.0,0.0,11.56,11.56,11.56,0.0,0.0
2016-07-24,11.43,11.43,11.43,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.68,11.68,11.68,0.0,0.0
2016-07-31,12.1,12.1,12.1,0.0,0.0,12.14,12.14,12.14,0.0,0.0,11.95,11.95,11.95,0.0,0.0,12.1,12.1,12.1,0.0,0.0
2016-08-07,12.05,12.05,12.05,0.0,0.0,12.15,12.15,12.15,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.85,11.85,11.85,0.0,0.0
2016-08-14,11.83,11.83,11.83,0.0,0.0,11.93,11.93,11.93,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.92,11.92,11.92,0.0,0.0
2016-08-21,11.5,11.5,11.5,0.0,0.0,11.73,11.73,11.73,0.0,0.0,11.29,11.29,11.29,0.0,0.0,11.31,11.31,11.31,0.0,0.0
2016-08-28,11.61,11.61,11.61,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.56,11.56,11.56,0.0,0.0,11.78,11.78,11.78,0.0,0.0
2016-09-04,11.74,11.74,11.74,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.43,11.43,11.43,0.0,0.0,11.43,11.43,11.43,0.0,0.0
2016-09-11,11.14,11.14,11.14,0.0,0.0,11.47,11.47,11.47,0.0,0.0,11.14,11.14,11.14,0.0,0.0,11.47,11.47,11.47,0.0,0.0
2016-09-18,11.86,11.86,11.86,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.69,11.69,11.69,0.0,0.0,11.69,11.69,11.69,0.0,0.0
2016-09-25,11.59,11.59,11.59,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.65,11.65,11.65,0.0,0.0
2016-10-02,12.21,12.21,12.21,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.03,12.03,12.03,0.0,0.0,12.18,12.18,12.18,0.0,0.0
2016-10-09,12.41,12.41,12.41,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2016-10-16,12.76,12.76,12.76,0.0,0.0,12.94,12.94,12.94,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.93,12.93,12.93,0.0,0.0
2016-10-23,12.87,12.87,12.87,0.0,0.0,12.95,12.95,12.95,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.69,12.69,12.69,0.0,0.0
2016-10-30,11.97,11.97,11.97,0.0,0.0,12.17,12.17,12.17,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.89,11.89,11.89,0.0,0.0
2016-11-06,11.07,11.07,11.07,0.0,0.0,11.07,11.07,11.07,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.89,10.89,10.89,0.0,0.0
2016-11-13,10.73,10.73,10.73,0.0,0.0,10.85,10.85,10.85,0.0,0.0,10.65,10.65,10.65,0.0,0.0,10.82,10.82,10.82,0.0,0.0
2016-11-20,10.91,10.91,10.91,0.0,0.0,10.92,10.92,10.92,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.87,10.87,10.87,0.0,0.0
2016-11-27,10.38,10.38,10.38,0.0,0.0,10.56,10.56,10.56,0.0,0.0,10.33,10.33,10.33,0.0,0.0,10.4,10.4,10.4,0.0,0.0
2016-12-04,10.9,10.9,10.9,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.84,10.84,10.84,0.0,0.0
2016-12-11,10.55,10.55,10.55,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.55,10.55,10.55,0.0,0.0
2016-12-18,10.62,10.62,10.62,0.0,0.0,10.79,10.79,10.79,0.0,0.0,10.62,10.62,10.62,0.0,0.0,10.74,10.74,10.74,0.0,0.0
2016-12-25,11.16,11.16,11.16,0.0,0.0,11.16,11.16,11.16,0.0,0.0,10.95,10.95,10.95,0.0,0.0,10.97,10.97,10.97,0.0,0.0
2017-01-01,11.68,11.68,11.68,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.56,11.56,11.56,0.0,0.0,11.62,11.62,11.62,0.0,0.0
2017-01-08,12.3,12.3,12.3,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2017-01-15,12.53,12.53,12.53,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2017-01-22,13.04,13.04,13.04,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.04,13.04,13.04,0.0,0.0,13.13,13.13,13.13,0.0,0.0
2017-01-29,13.49,13.49,13.49,0.0,0.0,13.56,13.56,13.56,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.47,13.47,13.47,0.0,0.0
2017-02-05,13.74,13.74,13.74,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.79,13.79,13.79,0.0,0.0
2017-02-12,14.21,14.21,14.21,0.0,0.0,14.33,14.33,14.33,0.0,0.0,14.13,14.13,14.13,0.0,0.0,14.27,14.27,14.27,0.0,0.0
2017-02-19,14.14,14.14,14.14,0.0,0.0,14.14,14.14,14.14,0.0,0.0,14.01,14.01,14.01,0.0,0.0,14.08,14.08,14.08,0.0,0.0
2017-02-26,14.07,14.07,14.07,0.0,0.0,14.15,14.15,14.15,0.0,0.0,13.91,13.91,13.91,0.0,0.0,14.15,14.15,14.15,0.0,0.0
2017-03-05,13.57,13.57,13.57,0.0,0.0,13.67,13.67,13.67,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2017-03-12,14.1,14.1,14.1,0.0,0.0,14.1,14.1,14.1,0.0,0.0,13.75,13.75,13.75,0.0,0.0,13.81,13.81,13.81,0.0,0.0
2017-03-19,13.46,13.46,13.46,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.46,13.46,13.46,0.0,0.0
2017-03-26,13.52,13.52,13.52,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.64,13.64,13.64,0.0,0.0
2017-04-02,13.5,13.5,13.5,0.0,0.0,13.66,13.66,13.66,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.51,13.51,13.51,0.0,0.0
2017-04-09,13.47,13.47,13.47,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2017-04-16,13.49,13.49,13.49,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.49,13.49,13.49,0.0,0.0,13.51,13.51,13.51,0.0,0.0
2017-04-23,13.6,13.6,13.6,0.0,0.0,13.95,13.95,13.95,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.93,13.93,13.93,0.0,0.0
2017-04-30,14.07,14.07,14.07,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.06,14.06,14.06,0.0,0.0,14.25,14.25,14.25,0.0,0.0
2017-05-07,14.82,14.82,14.82,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.78,14.78,14.78,0.0,0.0
2017-05-14,12.89,12.89,12.89,0.0,0.0,13.15,13.15,13.15,0.0,0.0,12.76,12.76,12.76,0.0,0.0,13.01,13.01,13.01,0.0,0.0
2017-05-21,13.15,13.15,13.15,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.23,13.23,13.23,0.0,0.0
2017-05-28,13.13,13.13,13.13,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.01,13.01,13.01,0.0,0.0,13.05,13.05,13.05,0.0,0.0
2017-06-04,13.13,13.13,13.13,0.0,0.0,13.16,13.16,13.16,0.0,0.0,12.99,12.99,12.99,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2017-06-11,12.93,12.93,12.93,0.0,0.0,12.99,12.99,12.99,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2017-06-18,12.43,12.43,12.43,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.48,12.48,12.48,0.0,0.0
2017-06-25,12.71,12.71,12.71,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.69,12.69,12.69,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2017-07-02,13.16,13.16,13.16,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.04,13.04,13.04,0.0,0.0,13.11,13.11,13.11,0.0,0.0
2017-07-09,14.04,14.04,14.04,0.0,0.0,14.15,14.15,14.15,0.0,0.0,14.04,14.04,14.04,0.0,0.0,14.11,14.11,14.11,0.0,0.0
2017-07-16,14.49,14.49,14.49,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.49,14.49,14.49,0.0,0.0
2017-07-23,14.44,14.44,14.44,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.44,14.44,14.44,0.0,0.0,14.63,14.63,14.63,0.0,0.0
2017-07-30,14.94,14.94,14.94,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.93,14.93,14.93,0.0,0.0
2017-08-06,14.62,14.62,14.62,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2017-08-13,15.08,15.08,15.08,0.0,0.0,15.25,15.25,15.25,0.0,0.0,14.95,14.95,14.95,0.0,0.0,15.21,15.21,15.21,0.0,0.0
2017-08-20,15.86,15.86,15.86,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.73,15.73,15.73,0.0,0.0
2017-08-27,16.44,16.44,16.44,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2017-09-03,17.42,17.42,17.42,0.0,0.0,17.42,17.42,17.42,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.32,17.32,17.32,0.0,0.0
2017-09-10,17.54,17.54,17.54,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.7,17.7,17.7,0.0,0.0
2017-09-17,17.32,17.32,17.32,0.0,0.0,17.52,17.52,17.52,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.51,17.51,17.51,0.0,0.0
2017-09-24,16.76,16.76,16.76,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.93,16.93,16.93,0.0,0.0
2017-10-01,17.37,17.37,17.37,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.28,17.28,17.28,0.0,0.0,17.51,17.51,17.51,0.0,0.0
2017-10-08,17.56,17.56,17.56,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.51,17.51,17.51,0.0,0.0,17.69,17.69,17.69,0.0,0.0
2017-10-15,17.46,17.46,17.46,0.0,0.0,17.51,17.51,17.51,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.38,17.38,17.38,0.0,0.0
2017-10-22,16.52,16.52,16.52,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.58,16.58,16.58,0.0,0.0
2017-10-29,16.17,16.17,16.17,0.0,0.0,16.17,16.17,16.17,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.65,15.65,15.65,0.0,0.0
2017-11-05,15.38,15.38,15.38,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.11,15.11,15.11,0.0,0.0
2017-11-12,15.63,15.63,15.63,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.96,15.96,15.96,0.0,0.0
2017-11-19,16.37,16.37,16.37,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.29,16.29,16.29,0.0,0.0,16.39,16.39,16.39,0.0,0.0
2017-11-26,15.64,15.64,15.64,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2017-12-03,15.87,15.87,15.87,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2017-12-10,15.71,15.71,15.71,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.81,15.81,15.81,0.0,0.0
2017-12-17,15.82,15.82,15.82,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2017-12-24,16.29,16.29,16.29,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.29,16.29,16.29,0.0,0.0
2017-12-31,16.93,16.93,16.93,0.0,0.0,17.07,17.07,17.07,0.0,0.0,16.86,16.86,16.86,0.0,0.0,17.07,17.07,17.07,0.0,0.0
