Date,iShares MSCI South AfricaEtf_Open_average,iShares MSCI South AfricaEtf_Open_max,iShares MSCI South AfricaEtf_Open_min,iShares MSCI South AfricaEtf_Open_volatility,iShares MSCI South AfricaEtf_Open_change,iShares MSCI South AfricaEtf_High_average,iShares MSCI South AfricaEtf_High_max,iShares MSCI South AfricaEtf_High_min,iShares MSCI South AfricaEtf_High_volatility,iShares MSCI South AfricaEtf_High_change,iShares MSCI South AfricaEtf_Low_average,iShares MSCI South AfricaEtf_Low_max,iShares MSCI South AfricaEtf_Low_min,iShares MSCI South AfricaEtf_Low_volatility,iShares MSCI South AfricaEtf_Low_change,iShares MSCI South AfricaEtf_Close_average,iShares MSCI South AfricaEtf_Close_max,iShares MSCI South AfricaEtf_Close_min,iShares MSCI South AfricaEtf_Close_volatility,iShares MSCI South AfricaEtf_Close_change
2016-05-01,46.68,46.68,46.68,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2016-05-08,45.79,45.79,45.79,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.07,45.07,45.07,0.0,0.0
2016-05-15,44.96,44.96,44.96,0.0,0.0,45.32,45.32,45.32,0.0,0.0,44.82,44.82,44.82,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2016-05-22,46.93,46.93,46.93,0.0,0.0,47.07,47.07,47.07,0.0,0.0,46.43,46.43,46.43,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2016-05-29,48.89,48.89,48.89,0.0,0.0,50.03,50.03,50.03,0.0,0.0,48.72,48.72,48.72,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2016-06-05,48.54,48.54,48.54,0.0,0.0,48.78,48.78,48.78,0.0,0.0,47.84,47.84,47.84,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2016-06-12,46.87,46.87,46.87,0.0,0.0,47.32,47.32,47.32,0.0,0.0,46.59,46.59,46.59,0.0,0.0,47.3,47.3,47.3,0.0,0.0
2016-06-19,45.93,45.93,45.93,0.0,0.0,46.99,46.99,46.99,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.42,45.42,45.42,0.0,0.0
2016-06-26,48.82,48.82,48.82,0.0,0.0,49.25,49.25,49.25,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2016-07-03,47.6,47.6,47.6,0.0,0.0,48.3,48.3,48.3,0.0,0.0,47.39,47.39,47.39,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2016-07-10,50.5,50.5,50.5,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2016-07-17,51.63,51.63,51.63,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2016-07-24,52.77,52.77,52.77,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.69,52.69,52.69,0.0,0.0,53.28,53.28,53.28,0.0,0.0
2016-07-31,52.86,52.86,52.86,0.0,0.0,53.28,53.28,53.28,0.0,0.0,52.51,52.51,52.51,0.0,0.0,53.28,53.28,53.28,0.0,0.0
2016-08-07,55.4,55.4,55.4,0.0,0.0,55.63,55.63,55.63,0.0,0.0,54.67,54.67,54.67,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2016-08-14,54.83,54.83,54.83,0.0,0.0,55.13,55.13,55.13,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.98,54.98,54.98,0.0,0.0
2016-08-21,52.19,52.19,52.19,0.0,0.0,52.84,52.84,52.84,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2016-08-28,50.36,50.36,50.36,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2016-09-04,50.83,50.83,50.83,0.0,0.0,50.83,50.83,50.83,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2016-09-11,50.23,50.23,50.23,0.0,0.0,50.38,50.38,50.38,0.0,0.0,49.68,49.68,49.68,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2016-09-18,52.3,52.3,52.3,0.0,0.0,52.42,52.42,52.42,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.94,51.94,51.94,0.0,0.0
2016-09-25,51.64,51.64,51.64,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2016-10-02,51.0,51.0,51.0,0.0,0.0,51.13,51.13,51.13,0.0,0.0,49.88,49.88,49.88,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2016-10-09,48.34,48.34,48.34,0.0,0.0,48.76,48.76,48.76,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2016-10-16,49.69,49.69,49.69,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2016-10-23,49.43,49.43,49.43,0.0,0.0,49.62,49.62,49.62,0.0,0.0,48.77,48.77,48.77,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2016-10-30,49.28,49.28,49.28,0.0,0.0,49.38,49.38,49.38,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.49,48.49,48.49,0.0,0.0
2016-11-06,45.98,45.98,45.98,0.0,0.0,46.09,46.09,46.09,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2016-11-13,46.74,46.74,46.74,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.22,46.22,46.22,0.0,0.0
2016-11-20,47.07,47.07,47.07,0.0,0.0,47.24,47.24,47.24,0.0,0.0,46.71,46.71,46.71,0.0,0.0,47.2,47.2,47.2,0.0,0.0
2016-11-27,45.77,45.77,45.77,0.0,0.0,46.53,46.53,46.53,0.0,0.0,45.64,45.64,45.64,0.0,0.0,46.34,46.34,46.34,0.0,0.0
2016-12-04,48.88,48.88,48.88,0.0,0.0,49.15,49.15,49.15,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2016-12-11,46.7,46.7,46.7,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2016-12-18,45.96,45.96,45.96,0.0,0.0,46.32,46.32,46.32,0.0,0.0,45.79,45.79,45.79,0.0,0.0,46.24,46.24,46.24,0.0,0.0
2016-12-25,48.88,48.88,48.88,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2017-01-01,49.57,49.57,49.57,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2017-01-08,50.85,50.85,50.85,0.0,0.0,51.3,51.3,51.3,0.0,0.0,50.74,50.74,50.74,0.0,0.0,51.18,51.18,51.18,0.0,0.0
2017-01-15,50.15,50.15,50.15,0.0,0.0,50.32,50.32,50.32,0.0,0.0,49.73,49.73,49.73,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2017-01-22,50.57,50.57,50.57,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2017-01-29,50.96,50.96,50.96,0.0,0.0,51.38,51.38,51.38,0.0,0.0,50.78,50.78,50.78,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2017-02-05,50.87,50.87,50.87,0.0,0.0,51.48,51.48,51.48,0.0,0.0,50.82,50.82,50.82,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2017-02-12,52.16,52.16,52.16,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.61,51.61,51.61,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2017-02-19,52.36,52.36,52.36,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2017-02-26,51.55,51.55,51.55,0.0,0.0,52.05,52.05,52.05,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2017-03-05,51.18,51.18,51.18,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2017-03-12,54.41,54.41,54.41,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2017-03-19,55.61,55.61,55.61,0.0,0.0,55.87,55.87,55.87,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2017-03-26,51.53,51.53,51.53,0.0,0.0,51.61,51.61,51.61,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2017-04-02,49.99,49.99,49.99,0.0,0.0,50.44,50.44,50.44,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2017-04-09,52.64,52.64,52.64,0.0,0.0,53.26,53.26,53.26,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.74,52.74,52.74,0.0,0.0
2017-04-16,53.19,53.19,53.19,0.0,0.0,53.29,53.29,53.29,0.0,0.0,52.95,52.95,52.95,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2017-04-23,54.17,54.17,54.17,0.0,0.0,54.32,54.32,54.32,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2017-04-30,52.39,52.39,52.39,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.32,52.32,52.32,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2017-05-07,54.66,54.66,54.66,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2017-05-14,55.09,55.09,55.09,0.0,0.0,55.71,55.71,55.71,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.41,55.41,55.41,0.0,0.0
2017-05-21,57.04,57.04,57.04,0.0,0.0,57.32,57.32,57.32,0.0,0.0,57.03,57.03,57.03,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2017-05-28,55.9,55.9,55.9,0.0,0.0,56.08,56.08,56.08,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.94,55.94,55.94,0.0,0.0
2017-06-04,54.54,54.54,54.54,0.0,0.0,54.72,54.72,54.72,0.0,0.0,53.77,53.77,53.77,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2017-06-11,53.24,53.24,53.24,0.0,0.0,53.5,53.5,53.5,0.0,0.0,52.89,52.89,52.89,0.0,0.0,53.39,53.39,53.39,0.0,0.0
2017-06-18,53.25,53.25,53.25,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2017-06-25,52.11,52.11,52.11,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2017-07-02,51.17,51.17,51.17,0.0,0.0,51.31,51.31,51.31,0.0,0.0,50.7,50.7,50.7,0.0,0.0,51.14,51.14,51.14,0.0,0.0
2017-07-09,54.37,54.37,54.37,0.0,0.0,54.94,54.94,54.94,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.82,54.82,54.82,0.0,0.0
2017-07-16,56.32,56.32,56.32,0.0,0.0,56.52,56.52,56.52,0.0,0.0,55.84,55.84,55.84,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2017-07-23,56.09,56.09,56.09,0.0,0.0,56.46,56.46,56.46,0.0,0.0,55.95,55.95,55.95,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2017-07-30,55.11,55.11,55.11,0.0,0.0,55.3,55.3,55.3,0.0,0.0,54.7,54.7,54.7,0.0,0.0,55.26,55.26,55.26,0.0,0.0
2017-08-06,54.33,54.33,54.33,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.1,54.1,54.1,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2017-08-13,55.9,55.9,55.9,0.0,0.0,56.47,56.47,56.47,0.0,0.0,55.61,55.61,55.61,0.0,0.0,56.15,56.15,56.15,0.0,0.0
2017-08-20,57.39,57.39,57.39,0.0,0.0,58.31,58.31,58.31,0.0,0.0,57.36,57.36,57.36,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2017-08-27,58.01,58.01,58.01,0.0,0.0,58.52,58.52,58.52,0.0,0.0,57.94,57.94,57.94,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2017-09-03,57.3,57.3,57.3,0.0,0.0,57.42,57.42,57.42,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.88,56.88,56.88,0.0,0.0
2017-09-10,55.71,55.71,55.71,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.96,55.96,55.96,0.0,0.0
2017-09-17,55.86,55.86,55.86,0.0,0.0,55.96,55.96,55.96,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.56,55.56,55.56,0.0,0.0
2017-09-24,54.27,54.27,54.27,0.0,0.0,54.32,54.32,54.32,0.0,0.0,53.93,53.93,53.93,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2017-10-01,54.52,54.52,54.52,0.0,0.0,55.03,55.03,55.03,0.0,0.0,54.24,54.24,54.24,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2017-10-08,57.62,57.62,57.62,0.0,0.0,58.19,58.19,58.19,0.0,0.0,57.55,57.55,57.55,0.0,0.0,57.97,57.97,57.97,0.0,0.0
2017-10-15,56.04,56.04,56.04,0.0,0.0,56.44,56.44,56.44,0.0,0.0,55.96,55.96,55.96,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2017-10-22,54.27,54.27,54.27,0.0,0.0,55.04,55.04,55.04,0.0,0.0,54.1,54.1,54.1,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2017-10-29,55.37,55.37,55.37,0.0,0.0,55.37,55.37,55.37,0.0,0.0,54.73,54.73,54.73,0.0,0.0,55.14,55.14,55.14,0.0,0.0
2017-11-05,54.81,54.81,54.81,0.0,0.0,54.94,54.94,54.94,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2017-11-12,57.42,57.42,57.42,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.29,57.29,57.29,0.0,0.0,57.58,57.58,57.58,0.0,0.0
2017-11-19,57.62,57.62,57.62,0.0,0.0,58.02,58.02,58.02,0.0,0.0,57.57,57.57,57.57,0.0,0.0,57.9,57.9,57.9,0.0,0.0
2017-11-26,58.86,58.86,58.86,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2017-12-03,56.68,56.68,56.68,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.2,56.2,56.2,0.0,0.0,56.67,56.67,56.67,0.0,0.0
2017-12-10,57.37,57.37,57.37,0.0,0.0,58.39,58.39,58.39,0.0,0.0,57.34,57.34,57.34,0.0,0.0,58.02,58.02,58.02,0.0,0.0
2017-12-17,61.72,61.72,61.72,0.0,0.0,62.54,62.54,62.54,0.0,0.0,61.72,61.72,61.72,0.0,0.0,62.44,62.44,62.44,0.0,0.0
2017-12-24,64.86,64.86,64.86,0.0,0.0,65.28,65.28,65.28,0.0,0.0,64.27,64.27,64.27,0.0,0.0,64.55,64.55,64.55,0.0,0.0
2017-12-31,64.28,64.28,64.28,0.0,0.0,65.1,65.1,65.1,0.0,0.0,64.27,64.27,64.27,0.0,0.0,65.08,65.08,65.08,0.0,0.0
