Date,Credit Suisse X Links Silver Shares Covered CallEtf_Open_average,Credit Suisse X Links Silver Shares Covered CallEtf_Open_max,Credit Suisse X Links Silver Shares Covered CallEtf_Open_min,Credit Suisse X Links Silver Shares Covered CallEtf_Open_volatility,Credit Suisse X Links Silver Shares Covered CallEtf_Open_change,Credit Suisse X Links Silver Shares Covered CallEtf_High_average,Credit Suisse X Links Silver Shares Covered CallEtf_High_max,Credit Suisse X Links Silver Shares Covered CallEtf_High_min,Credit Suisse X Links Silver Shares Covered CallEtf_High_volatility,Credit Suisse X Links Silver Shares Covered CallEtf_High_change,Credit Suisse X Links Silver Shares Covered CallEtf_Low_average,Credit Suisse X Links Silver Shares Covered CallEtf_Low_max,Credit Suisse X Links Silver Shares Covered CallEtf_Low_min,Credit Suisse X Links Silver Shares Covered CallEtf_Low_volatility,Credit Suisse X Links Silver Shares Covered CallEtf_Low_change,Credit Suisse X Links Silver Shares Covered CallEtf_Close_average,Credit Suisse X Links Silver Shares Covered CallEtf_Close_max,Credit Suisse X Links Silver Shares Covered CallEtf_Close_min,Credit Suisse X Links Silver Shares Covered CallEtf_Close_volatility,Credit Suisse X Links Silver Shares Covered CallEtf_Close_change
2016-04-10,9.95,9.95,9.95,0.0,0.0,10.05,10.05,10.05,0.0,0.0,9.95,9.95,9.95,0.0,0.0,10.01,10.01,10.01,0.0,0.0
2016-04-17,10.09,10.09,10.09,0.0,0.0,10.11,10.11,10.11,0.0,0.0,10.06,10.06,10.06,0.0,0.0,10.09,10.09,10.09,0.0,0.0
2016-04-24,10.27,10.27,10.27,0.0,0.0,10.27,10.27,10.27,0.0,0.0,10.21,10.21,10.21,0.0,0.0,10.22,10.22,10.22,0.0,0.0
2016-05-01,10.21,10.21,10.21,0.0,0.0,10.24,10.24,10.24,0.0,0.0,10.21,10.21,10.21,0.0,0.0,10.24,10.24,10.24,0.0,0.0
2016-05-08,10.2,10.2,10.2,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.16,10.16,10.16,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2016-05-15,9.8,9.8,9.8,0.0,0.0,9.8,9.8,9.8,0.0,0.0,9.73,9.73,9.73,0.0,0.0,9.77,9.77,9.77,0.0,0.0
2016-05-22,9.66,9.66,9.66,0.0,0.0,9.66,9.66,9.66,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.63,9.63,9.63,0.0,0.0
2016-05-29,9.67,9.67,9.67,0.0,0.0,9.79,9.79,9.79,0.0,0.0,9.67,9.67,9.67,0.0,0.0,9.78,9.78,9.78,0.0,0.0
2016-06-05,10.25,10.25,10.25,0.0,0.0,10.26,10.26,10.26,0.0,0.0,10.15,10.15,10.15,0.0,0.0,10.24,10.24,10.24,0.0,0.0
2016-06-12,10.26,10.26,10.26,0.0,0.0,10.32,10.32,10.32,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.32,10.32,10.32,0.0,0.0
2016-06-19,10.4,10.4,10.4,0.0,0.0,10.4,10.4,10.4,0.0,0.0,10.29,10.29,10.29,0.0,0.0,10.34,10.34,10.34,0.0,0.0
2016-06-26,10.7,10.7,10.7,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.67,10.67,10.67,0.0,0.0
2016-07-03,10.6,10.6,10.6,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.69,10.69,10.69,0.0,0.0
2016-07-10,10.86,10.86,10.86,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2016-07-17,10.36,10.36,10.36,0.0,0.0,10.47,10.47,10.47,0.0,0.0,10.34,10.34,10.34,0.0,0.0,10.42,10.42,10.42,0.0,0.0
2016-07-24,10.64,10.64,10.64,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.7,10.7,10.7,0.0,0.0
2016-07-31,10.65,10.65,10.65,0.0,0.0,10.65,10.65,10.65,0.0,0.0,10.52,10.52,10.52,0.0,0.0,10.55,10.55,10.55,0.0,0.0
2016-08-07,10.84,10.84,10.84,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.53,10.53,10.53,0.0,0.0,10.6,10.6,10.6,0.0,0.0
2016-08-14,10.33,10.33,10.33,0.0,0.0,10.33,10.33,10.33,0.0,0.0,10.13,10.13,10.13,0.0,0.0,10.14,10.14,10.14,0.0,0.0
2016-08-21,9.8,9.8,9.8,0.0,0.0,9.99,9.99,9.99,0.0,0.0,9.76,9.76,9.76,0.0,0.0,9.82,9.82,9.82,0.0,0.0
2016-08-28,10.02,10.02,10.02,0.0,0.0,10.21,10.21,10.21,0.0,0.0,10.02,10.02,10.02,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2016-09-04,10.26,10.26,10.26,0.0,0.0,10.26,10.26,10.26,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.06,10.06,10.06,0.0,0.0
2016-09-11,9.95,9.95,9.95,0.0,0.0,10.0,10.0,10.0,0.0,0.0,9.89,9.89,9.89,0.0,0.0,9.98,9.98,9.98,0.0,0.0
2016-09-18,10.27,10.27,10.27,0.0,0.0,10.33,10.33,10.33,0.0,0.0,10.16,10.16,10.16,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2016-09-25,10.15,10.15,10.15,0.0,0.0,10.23,10.23,10.23,0.0,0.0,9.99,9.99,9.99,0.0,0.0,10.03,10.03,10.03,0.0,0.0
2016-10-02,9.2,9.2,9.2,0.0,0.0,9.22,9.22,9.22,0.0,0.0,9.0,9.0,9.0,0.0,0.0,9.19,9.19,9.19,0.0,0.0
2016-10-09,9.19,9.19,9.19,0.0,0.0,9.2,9.2,9.2,0.0,0.0,9.14,9.14,9.14,0.0,0.0,9.17,9.17,9.17,0.0,0.0
2016-10-16,9.11,9.11,9.11,0.0,0.0,9.11,9.11,9.11,0.0,0.0,9.05,9.05,9.05,0.0,0.0,9.07,9.07,9.07,0.0,0.0
2016-10-23,9.18,9.18,9.18,0.0,0.0,9.22,9.22,9.22,0.0,0.0,9.15,9.15,9.15,0.0,0.0,9.19,9.19,9.19,0.0,0.0
2016-10-30,9.45,9.45,9.45,0.0,0.0,9.46,9.46,9.46,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.43,9.43,9.43,0.0,0.0
2016-11-06,9.5,9.5,9.5,0.0,0.0,9.5,9.5,9.5,0.0,0.0,8.96,8.96,8.96,0.0,0.0,9.0,9.0,9.0,0.0,0.0
2016-11-13,8.67,8.67,8.67,0.0,0.0,8.67,8.67,8.67,0.0,0.0,8.51,8.51,8.51,0.0,0.0,8.67,8.67,8.67,0.0,0.0
2016-11-20,8.53,8.53,8.53,0.0,0.0,8.57,8.57,8.57,0.0,0.0,8.51,8.51,8.51,0.0,0.0,8.53,8.53,8.53,0.0,0.0
2016-11-27,8.6,8.6,8.6,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.61,8.61,8.61,0.0,0.0
2016-12-04,8.78,8.78,8.78,0.0,0.0,8.81,8.81,8.81,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.74,8.74,8.74,0.0,0.0
2016-12-11,8.39,8.39,8.39,0.0,0.0,8.46,8.46,8.46,0.0,0.0,8.35,8.35,8.35,0.0,0.0,8.4,8.4,8.4,0.0,0.0
2016-12-18,8.11,8.11,8.11,0.0,0.0,8.18,8.18,8.18,0.0,0.0,8.09,8.09,8.09,0.0,0.0,8.11,8.11,8.11,0.0,0.0
2016-12-25,8.35,8.35,8.35,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.17,8.17,8.17,0.0,0.0,8.19,8.19,8.19,0.0,0.0
2017-01-01,8.52,8.52,8.52,0.0,0.0,8.55,8.55,8.55,0.0,0.0,8.46,8.46,8.46,0.0,0.0,8.5,8.5,8.5,0.0,0.0
2017-01-08,8.58,8.58,8.58,0.0,0.0,8.72,8.72,8.72,0.0,0.0,8.58,8.58,8.58,0.0,0.0,8.71,8.71,8.71,0.0,0.0
2017-01-15,8.71,8.71,8.71,0.0,0.0,8.72,8.72,8.72,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.71,8.71,8.71,0.0,0.0
2017-01-22,8.64,8.64,8.64,0.0,0.0,8.79,8.79,8.79,0.0,0.0,8.59,8.59,8.59,0.0,0.0,8.77,8.77,8.77,0.0,0.0
2017-01-29,8.91,8.91,8.91,0.0,0.0,8.94,8.94,8.94,0.0,0.0,8.88,8.88,8.88,0.0,0.0,8.91,8.91,8.91,0.0,0.0
2017-02-05,9.03,9.03,9.03,0.0,0.0,9.13,9.13,9.13,0.0,0.0,9.03,9.03,9.03,0.0,0.0,9.11,9.11,9.11,0.0,0.0
2017-02-12,9.17,9.17,9.17,0.0,0.0,9.17,9.17,9.17,0.0,0.0,9.09,9.09,9.09,0.0,0.0,9.12,9.12,9.12,0.0,0.0
2017-02-19,9.3,9.3,9.3,0.0,0.0,9.3,9.3,9.3,0.0,0.0,9.21,9.21,9.21,0.0,0.0,9.28,9.28,9.28,0.0,0.0
2017-02-26,9.0,9.0,9.0,0.0,0.0,9.1,9.1,9.1,0.0,0.0,8.96,8.96,8.96,0.0,0.0,9.08,9.08,9.08,0.0,0.0
2017-03-05,8.66,8.66,8.66,0.0,0.0,8.67,8.67,8.67,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.67,8.67,8.67,0.0,0.0
2017-03-12,8.85,8.85,8.85,0.0,0.0,8.85,8.85,8.85,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.8,8.8,8.8,0.0,0.0
2017-03-19,8.81,8.81,8.81,0.0,0.0,8.94,8.94,8.94,0.0,0.0,8.81,8.81,8.81,0.0,0.0,8.93,8.93,8.93,0.0,0.0
2017-03-26,9.12,9.12,9.12,0.0,0.0,9.16,9.16,9.16,0.0,0.0,9.11,9.11,9.11,0.0,0.0,9.15,9.15,9.15,0.0,0.0
2017-04-02,9.16,9.16,9.16,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.02,9.02,9.02,0.0,0.0,9.05,9.05,9.05,0.0,0.0
2017-04-09,9.3,9.3,9.3,0.0,0.0,9.3,9.3,9.3,0.0,0.0,9.25,9.25,9.25,0.0,0.0,9.27,9.27,9.27,0.0,0.0
2017-04-16,9.06,9.06,9.06,0.0,0.0,9.06,9.06,9.06,0.0,0.0,8.96,8.96,8.96,0.0,0.0,9.02,9.02,9.02,0.0,0.0
2017-04-23,8.74,8.74,8.74,0.0,0.0,8.74,8.74,8.74,0.0,0.0,8.67,8.67,8.67,0.0,0.0,8.69,8.69,8.69,0.0,0.0
2017-04-30,8.2,8.2,8.2,0.0,0.0,8.26,8.26,8.26,0.0,0.0,8.2,8.2,8.2,0.0,0.0,8.24,8.24,8.24,0.0,0.0
2017-05-07,8.22,8.22,8.22,0.0,0.0,8.31,8.31,8.31,0.0,0.0,8.22,8.22,8.22,0.0,0.0,8.3,8.3,8.3,0.0,0.0
2017-05-14,8.26,8.26,8.26,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.26,8.26,8.26,0.0,0.0,8.4,8.4,8.4,0.0,0.0
2017-05-21,8.65,8.65,8.65,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.58,8.58,8.58,0.0,0.0,8.6,8.6,8.6,0.0,0.0
2017-05-28,8.63,8.63,8.63,0.0,0.0,8.67,8.67,8.67,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.67,8.67,8.67,0.0,0.0
2017-06-04,8.64,8.64,8.64,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.54,8.54,8.54,0.0,0.0,8.56,8.56,8.56,0.0,0.0
2017-06-11,8.33,8.33,8.33,0.0,0.0,8.36,8.36,8.36,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.32,8.32,8.32,0.0,0.0
2017-06-18,8.32,8.32,8.32,0.0,0.0,8.32,8.32,8.32,0.0,0.0,8.25,8.25,8.25,0.0,0.0,8.29,8.29,8.29,0.0,0.0
2017-06-25,8.24,8.24,8.24,0.0,0.0,8.27,8.27,8.27,0.0,0.0,8.23,8.23,8.23,0.0,0.0,8.26,8.26,8.26,0.0,0.0
2017-07-02,7.86,7.86,7.86,0.0,0.0,7.86,7.86,7.86,0.0,0.0,7.62,7.62,7.62,0.0,0.0,7.72,7.72,7.72,0.0,0.0
2017-07-09,7.87,7.87,7.87,0.0,0.0,7.93,7.93,7.93,0.0,0.0,7.87,7.87,7.87,0.0,0.0,7.92,7.92,7.92,0.0,0.0
2017-07-16,8.07,8.07,8.07,0.0,0.0,8.1,8.1,8.1,0.0,0.0,8.06,8.06,8.06,0.0,0.0,8.09,8.09,8.09,0.0,0.0
2017-07-23,8.18,8.18,8.18,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.14,8.14,8.14,0.0,0.0,8.19,8.19,8.19,0.0,0.0
2017-07-30,8.17,8.17,8.17,0.0,0.0,8.17,8.17,8.17,0.0,0.0,8.03,8.03,8.03,0.0,0.0,8.07,8.07,8.07,0.0,0.0
2017-08-06,8.35,8.35,8.35,0.0,0.0,8.35,8.35,8.35,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.32,8.32,8.32,0.0,0.0
2017-08-13,8.28,8.28,8.28,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.21,8.21,8.21,0.0,0.0,8.26,8.26,8.26,0.0,0.0
2017-08-20,8.31,8.31,8.31,0.0,0.0,8.32,8.32,8.32,0.0,0.0,8.2,8.2,8.2,0.0,0.0,8.3,8.3,8.3,0.0,0.0
2017-08-27,8.47,8.47,8.47,0.0,0.0,8.52,8.52,8.52,0.0,0.0,8.47,8.47,8.47,0.0,0.0,8.49,8.49,8.49,0.0,0.0
2017-09-03,8.63,8.63,8.63,0.0,0.0,8.63,8.63,8.63,0.0,0.0,8.55,8.55,8.55,0.0,0.0,8.58,8.58,8.58,0.0,0.0
2017-09-10,8.46,8.46,8.46,0.0,0.0,8.49,8.49,8.49,0.0,0.0,8.43,8.43,8.43,0.0,0.0,8.46,8.46,8.46,0.0,0.0
2017-09-17,8.09,8.09,8.09,0.0,0.0,8.1,8.1,8.1,0.0,0.0,8.04,8.04,8.04,0.0,0.0,8.08,8.08,8.08,0.0,0.0
2017-09-24,8.01,8.01,8.01,0.0,0.0,8.01,8.01,8.01,0.0,0.0,7.93,7.93,7.93,0.0,0.0,7.93,7.93,7.93,0.0,0.0
2017-10-01,7.9,7.9,7.9,0.0,0.0,8.01,8.01,8.01,0.0,0.0,7.78,7.78,7.78,0.0,0.0,7.97,7.97,7.97,0.0,0.0
2017-10-08,8.28,8.28,8.28,0.0,0.0,8.28,8.28,8.28,0.0,0.0,8.22,8.22,8.22,0.0,0.0,8.25,8.25,8.25,0.0,0.0
2017-10-15,8.1,8.1,8.1,0.0,0.0,8.12,8.12,8.12,0.0,0.0,8.03,8.03,8.03,0.0,0.0,8.05,8.05,8.05,0.0,0.0
2017-10-22,7.92,7.92,7.92,0.0,0.0,7.97,7.97,7.97,0.0,0.0,7.89,7.89,7.89,0.0,0.0,7.95,7.95,7.95,0.0,0.0
2017-10-29,8.04,8.04,8.04,0.0,0.0,8.11,8.11,8.11,0.0,0.0,7.95,7.95,7.95,0.0,0.0,7.96,7.96,7.96,0.0,0.0
2017-11-05,8.05,8.05,8.05,0.0,0.0,8.08,8.08,8.08,0.0,0.0,7.97,7.97,7.97,0.0,0.0,8.0,8.0,8.0,0.0,0.0
2017-11-12,8.12,8.12,8.12,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.06,8.06,8.06,0.0,0.0,8.17,8.17,8.17,0.0,0.0
2017-11-19,8.02,8.02,8.02,0.0,0.0,8.04,8.04,8.04,0.0,0.0,7.99,7.99,7.99,0.0,0.0,7.99,7.99,7.99,0.0,0.0
2017-11-26,7.71,7.71,7.71,0.0,0.0,7.77,7.77,7.77,0.0,0.0,7.66,7.66,7.66,0.0,0.0,7.73,7.73,7.73,0.0,0.0
2017-12-03,7.32,7.32,7.32,0.0,0.0,7.45,7.45,7.45,0.0,0.0,7.32,7.32,7.32,0.0,0.0,7.41,7.41,7.41,0.0,0.0
2017-12-10,7.55,7.55,7.55,0.0,0.0,7.55,7.55,7.55,0.0,0.0,7.5,7.5,7.5,0.0,0.0,7.52,7.52,7.52,0.0,0.0
2017-12-17,7.59,7.59,7.59,0.0,0.0,7.68,7.68,7.68,0.0,0.0,7.59,7.59,7.59,0.0,0.0,7.64,7.64,7.64,0.0,0.0
2017-12-24,7.9,7.9,7.9,0.0,0.0,7.95,7.95,7.95,0.0,0.0,7.87,7.87,7.87,0.0,0.0,7.9,7.9,7.9,0.0,0.0
2017-12-31,7.9,7.9,7.9,0.0,0.0,8.04,8.04,8.04,0.0,0.0,7.78,7.78,7.78,0.0,0.0,8.02,8.02,8.02,0.0,0.0
