Date,GROW_stock_Open_average,GROW_stock_Open_max,GROW_stock_Open_min,GROW_stock_Open_volatility,GROW_stock_Open_change,GROW_stock_High_average,GROW_stock_High_max,GROW_stock_High_min,GROW_stock_High_volatility,GROW_stock_High_change,GROW_stock_Low_average,GROW_stock_Low_max,GROW_stock_Low_min,GROW_stock_Low_volatility,GROW_stock_Low_change,GROW_stock_Close_average,GROW_stock_Close_max,GROW_stock_Close_min,GROW_stock_Close_volatility,GROW_stock_Close_change,GROW_stock_Volume_average,GROW_stock_Volume_max,GROW_stock_Volume_min,GROW_stock_Volume_volatility,GROW_stock_Volume_change
2016-09-11,1.8418,1.9,1.81,0.08999999999999986,-0.08999999999999986,1.922,1.96,1.88,0.08000000000000007,0.030000000000000027,1.8,1.83,1.77,0.06000000000000005,-0.020000000000000018,1.858,1.96,1.8,0.15999999999999992,0.11999999999999988,44935,116005,6726,109279,29634
2016-09-18,1.966,2.0,1.91,0.09000000000000008,-0.050000000000000044,2.05,2.08,2.0,0.08000000000000007,0.0,1.9362,1.9809999999999999,1.87,0.11099999999999977,-0.07999999999999985,1.964,2.03,1.92,0.10999999999999988,-0.07000000000000006,66842,142803,6128,136675,42058
2016-09-25,1.8808,1.923,1.821,0.10200000000000009,-0.09899999999999998,1.9028,1.923,1.87,0.052999999999999936,-0.028999999999999915,1.813,1.86,1.78,0.08000000000000007,-0.08000000000000007,1.85,1.88,1.84,0.039999999999999813,-0.039999999999999813,15573,29228,7183,22045,22045
2016-10-02,1.702,1.86,1.589,0.27100000000000013,-0.20000000000000018,1.7318,1.86,1.65,0.2100000000000002,-0.20000000000000018,1.6334,1.801,1.5490000000000002,0.2519999999999998,-0.18099999999999983,1.6492,1.801,1.585,0.21599999999999997,-0.18099999999999983,28262,89901,2648,87253,-15380
2016-10-09,1.696,1.85,1.61,0.24,0.24,1.7838,1.91,1.64,0.27,0.27,1.649,1.79,1.53,0.26,0.17999999999999994,1.7698,1.91,1.63,0.28,0.28,56202,138245,4931,133314,43286
2016-10-16,1.7992,1.95,1.67,0.28,-0.28,1.848,1.95,1.71,0.24,-0.24,1.718,1.83,1.62,0.20999999999999996,-0.20999999999999996,1.748,1.83,1.62,0.20999999999999996,-0.20999999999999996,87219,248638,33745,214893,19056
2016-10-23,1.5942,1.631,1.55,0.08099999999999996,-0.07000000000000006,1.6382,1.74,1.6,0.1399999999999999,-0.1399999999999999,1.5494,1.58,1.52,0.06000000000000005,-0.04699999999999993,1.58,1.6,1.55,0.050000000000000044,-0.010000000000000009,15854,35179,9382,25797,-23492
2016-10-30,1.5354,1.587,1.45,0.137,-0.137,1.559,1.6,1.508,0.09200000000000008,-0.09200000000000008,1.5004,1.5730000000000002,1.42,0.15300000000000025,-0.15300000000000025,1.5058,1.6,1.42,0.18000000000000016,-0.18000000000000016,17210,33806,5254,28552,-814
2016-11-06,1.5294,1.6,1.5,0.10000000000000009,0.040000000000000036,1.55,1.6,1.5,0.10000000000000009,0.030000000000000027,1.444,1.5,1.41,0.09000000000000008,0.010000000000000009,1.516,1.56,1.46,0.10000000000000009,0.07000000000000006,47859,105396,6009,99387,72440
2016-11-13,1.608,1.69,1.55,0.1399999999999999,0.0,1.68,1.76,1.61,0.1499999999999999,-0.1499999999999999,1.5204,1.59,1.462,0.1280000000000001,-0.038000000000000034,1.5888,1.624,1.53,0.09400000000000008,-0.09000000000000008,113084,261682,6019,255663,-100482
2016-11-20,1.52,1.55,1.47,0.08000000000000007,-0.08000000000000007,1.5475,1.56,1.54,0.020000000000000018,-0.020000000000000018,1.4525,1.5,1.42,0.08000000000000007,-0.030000000000000027,1.495,1.54,1.44,0.10000000000000009,-0.06000000000000005,27807,34851,15953,18898,497
2016-11-27,1.4556,1.508,1.38,0.1280000000000001,-0.07000000000000006,1.518,1.57,1.46,0.1100000000000001,-0.1100000000000001,1.418,1.45,1.38,0.07000000000000006,-0.07000000000000006,1.4272,1.47,1.38,0.09000000000000008,-0.05400000000000005,58888,101323,20640,80683,-66361
2016-12-04,1.4696,1.546,1.43,0.1160000000000001,0.1160000000000001,1.5142,1.56,1.48,0.08000000000000007,0.06600000000000006,1.4364,1.452,1.42,0.03200000000000003,-0.010000000000000009,1.472,1.5,1.46,0.040000000000000036,-0.010000000000000009,35954,103596,9543,94053,88345
2016-12-11,1.446,1.49,1.4,0.09000000000000008,-0.020000000000000018,1.492,1.53,1.47,0.06000000000000005,-0.030000000000000027,1.3862,1.421,1.35,0.07099999999999995,-0.039999999999999813,1.43,1.47,1.37,0.09999999999999987,-0.05999999999999983,43839,103211,11509,91702,61188
2016-12-18,1.3774,1.45,1.327,0.123,-0.06299999999999994,1.432,1.48,1.39,0.09000000000000008,-0.07000000000000006,1.3222,1.361,1.3,0.06099999999999994,-0.050999999999999934,1.354,1.4,1.31,0.08999999999999986,-0.039999999999999813,30356,75257,7560,67697,10900
2016-12-25,1.3250000000000002,1.37,1.27,0.10000000000000009,-0.030000000000000027,1.36425,1.4,1.34,0.05999999999999983,0.029999999999999805,1.2725,1.3,1.25,0.050000000000000044,0.020000000000000018,1.31575,1.36,1.25,0.1100000000000001,0.03699999999999992,70071,99436,41437,57999,51007
2017-01-01,1.41625,1.47,1.395,0.07499999999999996,0.07000000000000006,1.48125,1.535,1.45,0.08499999999999996,0.08499999999999996,1.41,1.45,1.39,0.06000000000000005,0.050000000000000044,1.4449999999999998,1.47,1.39,0.08000000000000007,0.020000000000000018,31544,52760,10137,42623,18649
