Date,Guggenheim CurrencyShares Swedish Krona_Open_average,Guggenheim CurrencyShares Swedish Krona_Open_max,Guggenheim CurrencyShares Swedish Krona_Open_min,Guggenheim CurrencyShares Swedish Krona_High_average,Guggenheim CurrencyShares Swedish Krona_High_max,Guggenheim CurrencyShares Swedish Krona_High_min,Guggenheim CurrencyShares Swedish Krona_Low_average,Guggenheim CurrencyShares Swedish Krona_Low_max,Guggenheim CurrencyShares Swedish Krona_Low_min,Guggenheim CurrencyShares Swedish Krona_Close_average,Guggenheim CurrencyShares Swedish Krona_Close_max,Guggenheim CurrencyShares Swedish Krona_Close_min
2019-02-03,-2.3853691901477028,-2.3853691901477028,-2.3853691901477028,-2.358678027226218,-2.358678027226218,-2.358678027226218,-2.502467243166617,-2.502467243166617,-2.502467243166617,-2.460135105260626,-2.460135105260626,-2.460135105260626
2019-02-10,-1.8726055605389509,-1.8726055605389509,-1.8726055605389509,-1.7548698335504802,-1.7548698335504802,-1.7548698335504802,-1.8412151768156817,-1.8412151768156817,-1.8412151768156817,-1.7083760751583885,-1.7083760751583885,-1.7083760751583885
2019-02-17,-1.6609745193287555,-1.6609745193287555,-1.6609745193287555,-1.6866042797346013,-1.6866042797346013,-1.6866042797346013,-1.6314870026191748,-1.6314870026191748,-1.6314870026191748,-1.6591070058969577,-1.6591070058969577,-1.6591070058969577
2019-02-24,-1.293375857372518,-1.293375857372518,-1.293375857372518,-1.3130633004752421,-1.3130633004752421,-1.3130633004752421,-1.5401895083163077,-1.5401895083163077,-1.5401895083163077,-1.4600604090542995,-1.4600604090542995,-1.4600604090542995
2019-03-03,-1.4971993697508477,-1.4971993697508477,-1.4971993697508477,-1.5017418195396475,-1.5017418195396475,-1.5017418195396475,-1.4229100037444422,-1.4229100037444422,-1.4229100037444422,-1.4535875940267573,-1.4535875940267573,-1.4535875940267573
2019-03-10,-0.603300076382578,-0.603300076382578,-0.603300076382578,-0.6235877648193761,-0.6235877648193761,-0.6235877648193761,-0.6073995232363807,-0.6073995232363807,-0.6073995232363807,-0.6019431352578914,-0.6019431352578914,-0.6019431352578914
2019-03-17,-0.6304569589956326,-0.6304569589956326,-0.6304569589956326,-0.646323449331865,-0.646323449331865,-0.646323449331865,-0.564282886731296,-0.564282886731296,-0.564282886731296,-0.6035149965226484,-0.6035149965226484,-0.6035149965226484
2019-03-24,-0.7401692650139015,-0.7401692650139015,-0.7401692650139015,-0.7468229639612408,-0.7468229639612408,-0.7468229639612408,-0.6676321748499479,-0.6676321748499479,-0.6676321748499479,-0.6995855000747976,-0.6995855000747976,-0.6995855000747976
2019-03-31,-0.40801012342895154,-0.40801012342895154,-0.40801012342895154,-0.4214687055232384,-0.4214687055232384,-0.4214687055232384,-0.47956366520209404,-0.47956366520209404,-0.47956366520209404,-0.460045742549974,-0.460045742549974,-0.460045742549974
2019-04-07,-0.46288783054304306,-0.46288783054304306,-0.46288783054304306,-0.48413629653422846,-0.48413629653422846,-0.48413629653422846,-0.3592548698134625,-0.3592548698134625,-0.3592548698134625,-0.4154257954317622,-0.4154257954317622,-0.4154257954317622
2019-04-14,-1.1410164108895537,-1.1410164108895537,-1.1410164108895537,-0.7633923788830501,-0.7633923788830501,-0.7633923788830501,-1.0091430357386426,-1.0091430357386426,-1.0091430357386426,-0.6779452587692341,-0.6779452587692341,-0.6779452587692341
2019-04-21,-2.4309781617652493,-2.4309781617652493,-2.4309781617652493,-2.503188197013706,-2.503188197013706,-2.503188197013706,-2.4024576282665673,-2.4024576282665673,-2.4024576282665673,-2.4785324984367763,-2.4785324984367763,-2.4785324984367763
2019-04-28,-2.3415060864828616,-2.3415060864828616,-2.3415060864828616,-2.2386507676413587,-2.2386507676413587,-2.2386507676413587,-2.3252689853803985,-2.3252689853803985,-2.3252689853803985,-2.2122036633373927,-2.2122036633373927,-2.2122036633373927
2019-05-05,-1.9799632498596893,-1.9799632498596893,-1.9799632498596893,-2.071882903449277,-2.071882903449277,-2.071882903449277,-1.9756927857350972,-1.9756927857350972,-1.9756927857350972,-2.0631255615971473,-2.0631255615971473,-2.0631255615971473
2019-05-12,-1.6951698214427677,-1.6951698214427677,-1.6951698214427677,-1.7541687627645566,-1.7541687627645566,-1.7541687627645566,-1.7523660040243925,-1.7523660040243925,-1.7523660040243925,-1.8063188519338231,-1.8063188519338231,-1.8063188519338231
2019-05-19,-1.0316835758016374,-1.0316835758016374,-1.0316835758016374,-0.905366335593166,-0.905366335593166,-0.905366335593166,-1.002529932993498,-1.002529932993498,-1.002529932993498,-0.9102824558308168,-0.9102824558308168,-0.9102824558308168
