Date,PowerShares S&P EM Momentum Port_Open_average,PowerShares S&P EM Momentum Port_Open_max,PowerShares S&P EM Momentum Port_Open_min,PowerShares S&P EM Momentum Port_High_average,PowerShares S&P EM Momentum Port_High_max,PowerShares S&P EM Momentum Port_High_min,PowerShares S&P EM Momentum Port_Low_average,PowerShares S&P EM Momentum Port_Low_max,PowerShares S&P EM Momentum Port_Low_min,PowerShares S&P EM Momentum Port_Close_average,PowerShares S&P EM Momentum Port_Close_max,PowerShares S&P EM Momentum Port_Close_min
2019-03-17,0.1196016248912479,0.1196016248912479,0.1196016248912479,0.35492919276688795,0.35492919276688795,0.35492919276688795,0.24573101367178452,0.24573101367178452,0.24573101367178452,0.3901484779946061,0.3901484779946061,0.3901484779946061
2019-03-24,0.8902490893880577,0.8902490893880577,0.8902490893880577,1.0480495298529595,1.0480495298529595,1.0480495298529595,1.0218873358968437,1.0218873358968437,1.0218873358968437,1.1077940403993138,1.1077940403993138,1.1077940403993138
2019-03-31,0.7920031342751802,0.7920031342751802,0.7920031342751802,1.0711495386954963,1.0711495386954963,1.0711495386954963,0.9190319486490665,0.9190319486490665,0.9190319486490665,1.009228158716061,1.009228158716061,1.009228158716061
2019-04-07,0.1785370309189773,0.1785370309189773,0.1785370309189773,-0.006561169199545208,-0.006561169199545208,-0.006561169199545208,0.32005641808215485,0.32005641808215485,0.32005641808215485,0.0957145231485714,0.0957145231485714,0.0957145231485714
2019-04-14,0.4238538104950018,0.4238538104950018,0.4238538104950018,0.32479249374317165,0.32479249374317165,0.32479249374317165,0.5565966126844789,0.5565966126844789,0.5565966126844789,0.42301898903394064,0.42301898903394064,0.42301898903394064
2019-04-21,0.7706274504423376,0.7706274504423376,0.7706274504423376,0.6253577206614008,0.6253577206614008,0.6253577206614008,0.8919646949118533,0.8919646949118533,0.8919646949118533,0.6320684448535191,0.6320684448535191,0.6320684448535191
2019-04-28,-0.46548264972097525,-0.46548264972097525,-0.46548264972097525,-0.5053107633785894,-0.5053107633785894,-0.5053107633785894,-0.4353746240552,-0.4353746240552,-0.4353746240552,-0.39220504610348356,-0.39220504610348356,-0.39220504610348356
2019-05-05,-2.497505123973175,-2.497505123973175,-2.497505123973175,-2.6433128114695363,-2.6433128114695363,-2.6433128114695363,-2.494682919001071,-2.494682919001071,-2.494682919001071,-2.684388223542438,-2.684388223542438,-2.684388223542438
2019-05-12,-1.702068402694224,-1.702068402694224,-1.702068402694224,-1.8047326305239537,-1.8047326305239537,-1.8047326305239537,-1.6097991522153454,-1.6097991522153454,-1.6097991522153454,-1.7191101975004588,-1.7191101975004588,-1.7191101975004588
2019-05-19,-0.9043388981464985,-0.9043388981464985,-0.9043388981464985,-1.0116187884060823,-1.0116187884060823,-1.0116187884060823,-0.8327982432837214,-0.8327982432837214,-0.8327982432837214,-0.949347108556887,-0.949347108556887,-0.949347108556887
