Date,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_change
2016-08-14,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2016-08-21,25.79,25.79,25.79,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2016-08-28,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2016-09-04,25.98,25.98,25.98,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2016-09-11,25.81,25.81,25.81,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2016-09-18,25.97,25.97,25.97,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2016-09-25,25.69,25.69,25.69,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2016-10-02,25.83,25.83,25.83,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2016-10-09,25.31,25.31,25.31,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2016-10-16,25.64,25.64,25.64,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2016-10-23,25.75,25.75,25.75,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2016-10-30,25.45,25.45,25.45,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2016-11-06,25.33,25.33,25.33,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2016-11-13,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2016-11-20,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2016-11-27,25.28,25.28,25.28,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2016-12-04,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2016-12-11,25.54,25.54,25.54,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2016-12-18,25.58,25.58,25.58,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2016-12-25,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2017-01-01,25.23,25.23,25.23,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2017-01-08,25.54,25.54,25.54,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2017-01-15,25.28,25.28,25.28,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2017-01-22,25.33,25.33,25.33,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.35,25.35,25.35,0.0,0.0
